DecryptedSceneID|Actual Scene NAME|large image|name
1|Home_Square_Close_4CED_C4FA|Home_Square_Close_4CED_C4FA/large_T040.png|Home Square 4 - Closure
2|Xmas_Home_Square_14_FFA7_18E9|Xmas_Home_Square_14_FFA7_18E9/large_T042.png|Home Square 4 - Christmas
3|Home_Halloween_2014_A5A3_D283|Home_Halloween_2014_A5A3_D283/large_T035.png|Home Square 4 - Halloween
4|Home_Square_4_EC01_382D|Home_Square_4_EC01_382D/large_T061.png|Home Square 4 - Original
5|Home SquareGB3|Home_Square/large_scee_T369.png|Home Square 3 (SCEE)
6|Home SquareGB3_LBP|Home_Square/large_scee_T331.png|LittleBigPlanet Karting Home Square Takeover
7|Halloween_Archive_93EA_A96B|Halloween_Archive_93EA_A96B/large_T032.png|Home Square 2 - Halloween
8|Home SquareGB2_LBP|Home_Square/large_scee_T111.png|LittleBigPlanet™ 2 Home Square
9|Home SquareGB1|Home_Square/large_scee_T035.png|Home Square 1
10|Home SquareAsia|Home_Square/large_sceasia_T368.png|Home Square 3 (SCEAsia)
11|Home SquareUS|Home_Square/large_en-us_T379.png|The Hub
12|Home SquareJPWinterNight|Home_Square/large_ja-JP_T381.png|Japan Home Square: Winter Night
13|Home SquareJPSummer|Home_Square/large_ja-JP_T383.png|Japan Home Square: Summer Day
14|Game_Space_SCEE_5ACB_5A24|Game_Space_SCEE_5ACB_5A24/large_T032.png|Bowling Alley (SCEE)
15|Game SpaceGB|Game_Space/large_scee_T059.png|Bowling Alley (SCEE)
16|Game SpaceAsia|Game_Space/large_sceasia_T058.png|Bowling Alley (SCEAsia)
17|SCEA_Game_Space_D9CA_5D52|SCEA_Game_Space_D9CA_5D52/large_T032.png|Bowling Alley (SCEA)
18|Game SpaceUS|Game_Space/large_en-us_T060.png|Bowling Alley (SCEA)
19|Game SpaceJP|Game_Space/large_ja-JP_T055.png|Bowling Alley (SCEJ)
20|2013_Cinema_193B_7E40|2013_Cinema_193B_7E40/large_scee_T031.png|Cinema (SCEE)
21|CinemaGB|Cinema/large_scee_T071.png|Cinema (SCEE)
22|CinemaUS|Cinema/large_en-us_T073.png|Theater
23|CinemaJP|Cinema/large_ja-JP_T038.png|Cinema (SCEJ)
24|2013_Marketplace_8480_98F0|2013_Marketplace_8480_98F0/large_scee_T031.png|Shopping Mall - East (SCEE)
25|MarketplaceGB|Marketplace/large_scee_T118.png|Shopping Mall - East (SCEE)
26|MarketplaceAsia|Marketplace/large_sceasia_T116.png|Shopping Mall - East (SCEAsia)
27|MarketplaceUS|Marketplace/large_en-us_T114.png|Mall 1st Floor
28|MarketplaceJP|Marketplace/large_ja-JP_T040.png|The Mall (SCEJ)
29|RedbullHub_illume_v2|RedbullHub_illume_8B26_E7D1/large_T037.png|Red Bull Illume 2.0
30|Redbull_Flugtag_v2|Redbull_Flugtag_F33D_A3DE/large_T039.png|Red Bull Beach 2.0
31|DoubleSix_Lobby_D790_6CE|DoubleSix_Lobby_D790_6CE/large_T039.png|Doublesix Lobby (SCEE)
