id|name|desc|category|thumbnail
00000000-00000000-00000000-00000001|Scene|The virtual scene object for scripted resources|System-Core|P
00000000-00000000-00000000-00000016|Generic Game Launching Object|Generic Game Launching Object|System-GameLaunching|L
00000000-00000000-00000000-00000019|Warhawk Game Launching Object|Warhawk Game Launching Object|System-GameLaunching|P
00000000-00000000-00000000-000000A0|Ice Breaker|Keep the ball bouncing and smash all of the ice blocks.|Minigames-ArcadeMachine|L
00000000-00000000-00000000-00090000|00000000-00000000-00000000-00090000||System-Default|P
00000000-00000000-00000000-01090000|00000000-00000000-00000000-01090000||System-Default|P
00000000-00000000-00000010-00000000|Male Rig|The rig object for male characters|System-Core|L
00000000-00000000-00000010-00000001|Female Rig|The rig used for female characters|System-Core|L
00000000-00000000-00000010-00000002|Fallback Rig|The rig object for male characters|System-Core|P
00000000-00000000-000000A0-00000001|Master All-In-One|A plethora of custom features for a more tailored experience within Playstation Home Online.|System-Core|L
00000000-00000000-000000A0-00000002|Master All-In-One|A plethora of custom features for a more tailored experience within Playstation Home Online.|System-Core|L
00000000-00000000-000000A0-00000003|MAIO DEBUG|A plethora of custom features for a more tailored experience within Playstation Home Online.|System-Core|L
00004315-A4D54487-95D275AC-12615BD8|Interact|Cavity Wall Animation MG|Minigames-Targetable|L
00033179-83F9478E-914C756D-D38A72B2|Cafe Table, Square|A wooden table perfectly suited for a cafe.|NoSDAT|S
00082DB2-7D1C427F-AF4F66A7-ED170192|00082DB2-7D1C427F-AF4F66A7-ED170192||NoFilesAtAll|P
00082DFE-F2264E31-9AA4CBA3-ABB0F654|00082DFE-F2264E31-9AA4CBA3-ABB0F654||NoFilesAtAll|P
000B508C-2B424BF7-AAB7D20F-A6EFEE36|000B508C-2B424BF7-AAB7D20F-A6EFEE36||NoFilesAtAll|P
001089FC-A76A41CA-88877CBF-429C2CDF|Chic gothic lolita set (Black, Women)|A 7-piece gothic and lolita fashion set that includes hairstyle, dress (with without tights), pumps (with without tights) and headdress (Large Small). Defensive strength  None Cuteness  This set includes the following items. Vertical roll hairstyle (Women)(Head) Lace headdress (Black, Women)(Head accessories) Lace headdress, Small (Black, Women)(Head accessories) Chic gothic lolita dress (Black, Women)(Outfits) Chic gothic lolita dress and Tights (Black, Women)(Outfits) Strap high sole pumps (Black, Women)(Shoes) Strap high sole pumps and Tights (Black, Women)(Shoes) Upon purchase, the items will be placed into their respective categories.|Bundle-Female|S
001A05CA-B39D4A2F-86A375CD-0B82B029|001A05CA-B39D4A2F-86A375CD-0B82B029||NoSDAT|S
001CF12F-928C476C-B3DBC7B0-7A9233BA|whale_fire_pack||System-ResourcePack|L
001F9067-F0CC4DF1-8E7F67DF-740F7535|x7 Bundle Volume 27|Get this exclusive bundle at great value, only available in x7. Includes  Crystal Chair, Crystal Desk, Crystal Entertainment Center, Crystal Furniture Bundle, Crystal Lamp, Crystal Sofa and Active Item - Crystal Clock.|Bundle-Furniture|L
0021EB95-BC944D0B-8A6D2200-01D14375|Hollywood Hills House Ultimate Bundle|This amazing bundle comes with all four versions of the Hollywood Hills House as well as the following items  1) Hollywood Hills House Daytime Estate (with Home Theatre) 2) Hollywood Hills House Daytime Clubhouse (with Home Theatre) 3) Hollywood Hills House Nighttime Estate (with Home Theatre) 4) Hollywood Hills House Nighttime Clubhouse (with Home Theatre) 5) LOOT Active Camera 6) LOOT Active Light 7) 140 LOOT EOD TV - Flatscreen 8) Aerial Swimming 9) LOOT Firepit 10) LOOT Outdoor Oven 11) LOOT Velvet Rope 12) LOOT Tiki Torch - Single 13) LOOT Tiki Torch - Double 14) LOOT Tiki Totem 15) Cabin Boy in Trout Trouble Classic 16) LOOT Photo Telescope 17) LOOT Grandfather Clock 18) LOOT Searchlight 19) LOOT Fog Machine Create the ultimate party with your friends -- at your Hollywood Hills House from LOOT . PLEASE READ BEFORE YOU PURCHASE  Due to contractual and rights agreements, some EOD channels are nation specific. Crackle content is ONLY available in United States, Canada, United Kingdom, and Australia. RadioIO is ONLY available in the United States and Canada. In addition, due to rights issues, countries may not receive the same content selections within the channels. Only one TV can be active at a time. The LOOT EOD will work in any private space, UNLESS the space comes with a video screen you cannot turn off.|Bundle-Scene|L
002BC6D1-F3F54528-8B9EB614-921A947E|002BC6D1-F3F54528-8B9EB614-921A947E||NoFilesAtAll|P
002F710A-131D44E1-917411E7-19759197|nDreams Shop|nDreams Shop|Minigames-Targetable|L
0033A3B3-8FBE4F40-9C0A1197-27CDE015|Phantom|Phantom|Minigames-Minigame|P
0034A777-F38E4B47-96796A89-BCA61C97|Deton8 DX Fuel Additive x26|An explosive fuel additive for your Sodium2 racer that focuses on providing boosted acceleration when added as well as increasing top speed. This is a 26 use item that will be used automatically in a race if equipped.|Other-Technology|S
003B961F-D17C4E9A-B974082C-81366A0C|003B961F-D17C4E9A-B974082C-81366A0C||NoFilesAtAll|P
003DC7E9-445A40BC-992B4581-24D144B5|003DC7E9-445A40BC-992B4581-24D144B5||NoFilesAtAll|P
004D997D-7FE14D7D-A1BA5579-B14AA0A8|004D997D-7FE14D7D-A1BA5579-B14AA0A8||NoFilesAtAll|P
004E6146-4CAF4DD3-AAD0BF28-B90B335A|Media Tutorial|An Introduction to the Hollywood Hills House.|Minigames-Minigame|L
0055CA89-4BC74F2C-8B5280F9-3BA82F53|0055CA89-4BC74F2C-8B5280F9-3BA82F53||NoFilesAtAll|P
005A0E15-8F6A4685-8F545E0A-EC7E5C67|005A0E15-8F6A4685-8F545E0A-EC7E5C67||NoFilesAtAll|P
00627510-9FD042D6-B974C76F-131E7A35|00627510-9FD042D6-B974C76F-131E7A35||NoFilesAtAll|P
0064F789-817F4212-B73F41BF-E41736DD|0064F789-817F4212-B73F41BF-E41736DD||NoFilesAtAll|P
0065978C-2914471A-A700BE1E-C3607A4C|0065978C-2914471A-A700BE1E-C3607A4C||NoFilesAtAll|P
0068F24E-16144084-B7D2AE33-3AD8F828|0068F24E-16144084-B7D2AE33-3AD8F828||NoFilesAtAll|P
006D5E10-9C594A99-B61F40FF-343706DF|DataStation(School PS)|DataStation(School PS)|Minigames-Minigame|P
0070C3F1-C5BB48FD-8B971296-0307705E|Spunland Seeds|Whenever you visit Spunland you will always start with 3 seeds.|Other-Consumable|L
00767723-D7AD42C6-B361C2AA-CFD762B5|00767723-D7AD42C6-B361C2AA-CFD762B5||NoFilesAtAll|P
0076F6A5-D2424443-9E8BE347-B02E6853|Twin Lightning (for women)|Twin swords with lightning power.|NoSDAT|S
0077C74C-9D1F4EF8-BAB58F5C-DF827578|LMO Pop-Up Chair Bundle|Feel free to lounge wherever you please in PlayStation Home with these new pop-up chair locomotions from nDreams. This bundle includes  * LMO Pop-Up Chair - Set 1 * LMO Pop-Up Chair - Set 2 * LMO Pop-Up Chair - Set 3 * LMO Pop-Up Chair - Set 4 * LMO Pop-Up Chair - Set 5 Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Locomotion|L
007B35A1-2EB243FE-872D585E-53023593|Ferris Wheel|Enjoy a birds-eye view of the Casual District with a friend.|Minigames-Targetable|L
007B48EF-E1D44B80-8D2E9235-004848EE|GRNZSWIMCAPMLXX1||NoFilesAtAll|P
007D6DA8-2BB34349-88239B85-01B91FED|Ultimate Modular Bundle|141x Modular furniture items. This bundle includes  All 45 Modular Kitchen furniture items. All 48 MyBedroom furniture items. All 48 Idea - Modular Sofa furniture items. Upon purchase, the items will be placed into their respective categories.|Bundle-Furniture|L
007E1473-26F440C5-AD41584A-28A004D4|007E1473-26F440C5-AD41584A-28A004D4||NoFilesAtAll|P
