id|name|desc|category|thumbnail
0281F296-EF57449C-8981A019-5DBD155C|Hip Hop moves bundle|This bundle contains Hip Hop moves volume 1 (the Chicken Soup, the Phat Daddy, the Soldier Boy, Cooking, and the Sponge Mob) and volume 2 (the Reject, the Jerk, the Doggie, Fresh Hair and the Wobbly Leg). All moves are for both male and female avatars. Each animation pack also contains a randomizer, chaining the moves one after the other, for a more varied effect.|Bundle-Animation|L
02C8552A-D6794BE0-88F37AB3-D360882A|The Hot Dance Bundle Lust|Show off the hottest moves in all of PlayStation Home with these new motion-captured dances from nDreams. This bundle includes * The Hot Dance Pack Lust (Male) * The Hot Dance Pack Lust (Female) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|L
06930465-0A904FFA-BF584030-8789D93A|LMO - nDreams Sweetie Pie Bundle|Be the cutest person in all of PlayStation Home with these adorable new LMOs from nDreams. This bundle includes * LMO - nDreams Sweetie Pie - Dandelion * LMO - nDreams Sweetie Pie - Blow A Kiss Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|L
07BA3908-B1054307-A76E320D-0DE29C4C|Capoeira Dance Bundle|Time to show off with the Capoeira dance packs. This bundle includes * GST - Capoeira Dance Pack (Male) * GST - Capoeira Dance Pack (Female) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|L
08170744-3B3940C0-B3755FA6-4FD0B93C|Paradise Health Club Dance Bundle 1|Dance your way to vitality with these motion-captured dances from nDreams. This bundle includes * Paradise Health Club Dance Pack 1 (Male) * Paradise Health Club Dance Pack 1 (Female) Upon purchase, all items will be added to their corresponding categories.|Bundle-Animation|L
08837467-00884490-A787C791-C77CC600|Robo-Punk Ultimate Dance Bundle|Show off your dancing talents with da funkiest electronic moves in PlayStation Home. This bundle includes * Robo-Punk Dance Pack 1 (Male) * Robo-Punk Dance Pack 1 (Female) * Robo-Punk Dance Pack 2 (Male) * Robo-Punk Dance Pack 2 (Female) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|L
13AE57E1-D8474065-B1157BF2-FA780C4D|LMO - nDreams Lifestyle 2 - Technology Bundle|Stand out in PlayStation Home with these cool new LMOs from nDreams. This bundle includes * LMO - nDreams Lifestyle 2 - Tablet * LMO - nDreams Lifestyle 2 - Texting * LMO - nDreams Lifestyle 2 - Selfie Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|L
15536215-67064E34-901EBA4B-1FEDAFF8|Attitude Dance Bundle|Show attitude as you dance with the Attitude Dance Packs. This bundle includes * GST - Attitude Dance Pack (Male) * GST - Attitude Dance Pack (Female) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|L
1555B0E0-14CE4544-B19E0E69-64C39B86|nDreams 2-Player Interactions Medieval Dance Bundle|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. This bundle includes * nDreams 2-Player Interactions Medieval Dance (Lead) * nDreams 2-Player Interactions Medieval Dance (Follow) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|L
15C2E79D-93CD4783-AFE0A37D-2D924140|nDreams 2-Player Interactions Dancing Bundle (The Tango)|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. This bundle includes * nDreams 2-Player Interactions Dancing Pack 6 (Lead) * nDreams 2-Player Interactions Dancing Pack 6 (Follow) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|L
