id|name|desc|category|thumbnail
00A69035-639A496E-AFE8DCE6-A19E96A7|Ayanami Rei Spectacular Wig Set|This set of costumes allows you to become Ayanami Rei. This set includes the following items for avatar customisation. Ayanami Rei Spinning Wig/Head - Ayanami Rei Spinning Interface/Head Accessory *When purchased, each item will be added to the relevant category in the Customise Avatar section. Colour.|Bundle-Clothing|S
025402E9-A3474BA3-BE18E2F4-D78B997C|Sodium Data Runner Clothing Pack|Sodium Data Runner Clothing Pack This pack includes the following Sodium Salt Flat Visor Hairstyle Sodium Earth Dreamer Gauntlet Sodium Data Runner Jacket Sodium Circuit Breaker Trousers Sodium Data Runner Trainers It can get hot out there on the salt flats - dress to keep cool and look cool.|Bundle-Clothing|L
02C596A4-162141B1-8AA056F2-67CF4740|Poncho Bundle|You can never go wrong with a poncho, so why not get three? Bundle includes a Black Poncho, Pink Poncho and Purple Poncho.|Bundle-Clothing|L
02D82162-CDA54F3F-88533719-67B06046|Kretzky Taskmaster Sawtip TS17 Bundle|Kretzky Taskmaster Sawtip TS17 Bundle, 1) Kretzky Taskmaster Sawtip TS17 Arm, 2) Kretzky Taskmaster Sawtip TS17 Hand.|Bundle-Clothing|S
02E8240E-6401483A-875B0451-9706030C|x7 Bundle Volume 16|Get this exclusive bundle at great value, only available in x7. Includes Alice 5 Item Bundle, Alice themed dress, Alice themed gloves, Alice themed hair, Alice themed shoes, Alice themed shirt, Mad Hatter themed pants, Mad Hatter themed gloves, Mad Hatter themed hat, Mad Hatter 5 Item Bundle, Mad Hatter themed shirt and Mad Hatter themed shoes.|Bundle-Clothing|L
032810D5-F806484C-A9464F99-8408391E|Panda Bundle|Reinvent the Pajama Party. Change your boring outfits and add a touch of color to your nights. Fun and different, there is a Kigurumis to suit every personality. Are you daring, curious, agile or strong? No matter who you are, there is always a Kigurumis for you. Become the center of attention in the most original way, engage your instincts and throw the wildest parties. This bundle contains - Kigu Panda Hat - Kigu Panda Suit - Kigu Panda Shoes - Kigu Panda Gloves|Bundle-Clothing|L
03B4D6A1-F03D4655-AE5C093D-0BDF027F|Sagat Alternate Costume Bundle|Sagats outfit has been faithfully reproduced for PlayStation Home. This costume bundle includes the following items for your avatar. Sagat Eyepatch - alternate Sagat Pants - alternate Purchasing this set will add each of the above items to their respective categories. In order to make full use of alternate costumes, some parts of the original costumes may be necessary. If you do not already have the original costumes, please purchase them separately. Sagat Bodysuit Sagat Hand Wraps Street Fighter IV CAPCOM U.S.A., Inc.|Bundle-Clothing|P
044C5A3B-E1814E2D-B030C234-700A41EF|inVerse Special Edition Sneakers Complete Bundle|The inVerse Special Edition Sneakers Patterned Bundle has the perfect shoe to compliment any outfit. This bundle contains inVerse Special Edition Sneakers - Cobalt Blue - Male inVerse Special Edition Sneakers - Forest Green - Male inVerse Special Edition Sneakers - Sunflower Yellow - Male inVerse Special Edition Sneakers - Pink Frosting - Male inVerse Special Edition Sneakers - Tactical Black - Male inVerse Special Edition Sneakers - Rich Maroon - Male inVerse Special Edition Sneakers - Perfect White - Male inVerse Special Edition Sneakers - Checkboard - Male inVerse Special Edition Sneakers - Red Plaid - Male inVerse Special Edition Sneakers - Jolly Rodger - Male inVerse Special Edition Sneakers - Cobalt Blue - Female inVerse Special Edition Sneakers - Forest Green - Female inVerse Special Edition Sneakers - Sunflower Yellow - Female inVerse Special Edition Sneakers - Pink Frosting - Female inVerse Special Edition Sneakers - Tactical Black - Female inVerse Special Edition Sneakers - Rich Maroon - Female inVerse Special Edition Sneakers - Perfect White - Female inVerse Special Edition Sneakers - Checkboard - Female inVerse Special Edition Sneakers - Red Plaid - Female inVerse Special Edition Sneakers - Jolly Rodger - Female|Bundle-Clothing|L
04954B90-0F1F4211-95026525-4CFA2B4E| Robowishbone Bundle|Includes the Robowishbone T-shirt and Hoodie from your friends at Loot and Iron Fist Clothing .|Bundle-Clothing|L
04BEA8C8-63824F81-A932FA95-28F6885A|Born Lucky Waistcoat Bundle|Celebrate St Patricks Day in style with the born lucky waistcoat bundle. This bundle includes Born Lucky Waistcoat - Female Born Lucky Waistcoat - Male.|Bundle-Clothing|L
05EAC44A-46D14E0C-88192607-0A93BB99|Avengers Collection|Includes Captain America, Iron Man, Hulk, Thor, Hawkeye, Black Widow and SHIELD Agent. TM and 2012 Marvel and Subs. |Bundle-Clothing|L
0646DDD6-E7BF45D5-8F1D54D4-53D93A1B|Ascendance - Bureau Mega Bundle 01|The Bureau expects each and every citizen to conform to the fashion regulations implemented within Sanctum. Meet these regulations with these Bureau-approved outfit pack. This bundle contains (1) Ascendance - Asymmetric Haircut (Women) (2) Ascendance - Equilibrium Dress - Black (Women) (3) Ascendance - Equilibrium Dress - White (Women) (4) Ascendance - Equilibrium Dress - Brown (Women) (5) Ascendance - Data Eye-Piece V3.0 (Women) (6) Ascendance - Combed Back Hair (Men) (7) Ascendance - Genesis Jacket - Black (Men) (8) Ascendance - Genesis Jacket - Grey (Men) (9) Ascendance - Genesis Jacket - Blue (Men) (10) Ascendance - Formal Trousers - Black (Men) (11) Ascendance - Formal Trousers - Grey (Men) (12) Ascendance - Formal Trousers - Brown (Men)|Bundle-Clothing|L
06C71DA7-65354BE9-89F7E47B-E23C4C9D|Billabong - Release Bundle - Volume 10|Billabong - Release Bundle - Volume 10 This bundle contains (1) Billabong - Transit Snapback Cap - Blue Heather (Men) (2) Billabong - Blaster Boardshorts - Orange (Men) (3) Billabong - Spinner Tank Top - Phantom (Men) (4) Billabong - Spades Hooded Flannel Shirt - White (Men) (5) Billabong - Invert Hoodie - Dark Marine (Men) (6) Billabong - Beauty Bells Trousers - Off Black Multi (Women) (7) Billabong - Showin Ropes Dress - White Cap (Women) (8) Billabong - Cheeky Jane Swimsuit - Sandy Toes (Women) (9) Billabong - Wings Of Love Hoodie - Off Black (Women)|Bundle-Clothing|L
085FDD16-24214913-87D7C710-E7FBF0DE|Venetian Set Black (for Men)|Venetian Series Black Set (for Men) This Set Includes The Following Items Venetian Chapeau Black Hat For Men (head) Venetian Mask Black Mask For Men (face Accessories) Venetian Cape Black For Men (top) Venetian Pants And Boots Black For Men (bottoms And Shoes) Venetian Gloves And Rapier Black For Men (hands) ) (Hands) Each Item Will Be Added To The Corresponding Category When Purchased.|Bundle-Clothing|L
090E9BE3-ACEE44FB-8E10A602-F79E4582|Nekomata 6-piece Set (black Male)|Including Hairstyle, Nails, Kimono Top, Kimono Bottom, Feet And Hair Ornament. Defense (None) - Mononoke Degree This Set Includes The Following Items. Nekomata Earrings (brown Male) Head Accessory Nekomata Hairstyle (blue String Male) Head Nekomata Kimono Top (black Male) Tops Nekomata Kimono Bottom (black Male) Bottoms Nekomata Claws (engine Male) Hands Nekomata Feet (brown Male) Shoes When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Clothing|L
09131657-34EE4573-A721FA1B-5B34E7B4|Fashion Skinny Jeans Bundle|Fashion Skinny Jeans Bundle - including Black, Blue and White Skinny Jeans|Bundle-Clothing|L
