id|name|desc|category|thumbnail
1B2F4199-52324D27-807BADD9-FFEE0514|Three Cheerful Cats Set|This Set Includes A Tortoiseshell Cat, Black Cat, And Tiger Cat That Follow Their Owner. This Set Includes The Following Items Cheerful Tortoiseshell Cat portable Item Cheerful Black Cat portable Item Cheerful Tiger Cat portable Item Each Item Will Be Added To The Corresponding Category When Purchased.|Bundle-Companion|L
30670D58-811C4F1A-AB825F3C-5CFC3FD9|Super Peep Bonus Bundle (30 items in all.)|Pump up the Peeps with this Super Peep Bonus Bundle Pack, containing all 30 Peeps. Ten (10) Heavy Pet Peeps to bring into your apartment and let the fun begin. You can control your Peep with custom animations and moves. Ten (10) Companion Peeps to take outside of your apartment as a Companion and Ten (10) Mini-Peeps to display in your apartment, each in its own Peep-a-Boo box. Stack them for all to see. Colors as shown. This set includes the following items. Chim Peep - Black on Black Chim Peep - Static Mini - Black on Black Chim Peep - Heavy Pet - Black on Black Techno Peep - Glowing Green Techno Peep - Static Mini - Glowing Green Techno Peep - Heavy Pet - Glowing Green Super Powered Peep - Ricochet Red Super Powered Peep - Static Mini - Ricochet Red Super Powered Peep - Heavy Pet - Ricochet Red Up-Chuck Peep - Puke Green Up-Chuck Peep - Static Mini - Puke Green Up-Chuck Peep - Heavy Pet - Puke Green What the Bleep Peep - Bone White What the Bleep Peep - Static Mini - Bone White What the Bleep Peep - Heavy Pet - Bone White Scary Fairy Peep - Persnickety Purple Scary Fairy Peep - Static Mini - Persnickety Purple Scary Fairy Peep - Heavy Pet - Persnickety Purple Sweetie Peep - Perfect Pink Sweetie Peep - Static Mini - Perfect Pink Sweetie Peep - Heavy Pet - Perfect Pink Lil Snow Peep - Pampered Purple Lil Snow Peep - Static Mini - Pampered Purple Lil Snow Peep - Heavy Pet - Pampered Purple Sunshine Peep - Blue Skies Sunshine Peep - Static Mini - Blue Skies Sunshine Peep - Heavy Pet - Blue Skies Creepy Peep - Monster Green Creepy Peep - Static Mini - Monster Green Creepy Peep - Heavy Pet - Monster Green All of the above items will become available in their relevant categories on purchasing this bundle.|Bundle-Companion|L
34B276E5-AB584FBE-A5AB3296-1EAE0F75|x7 Bundle Volume 78|Exclusive x7 Value Bundle. Includes Glamourous Hair Glamourous Animated Bracelet GlamourousAnimated Hoops Earrings Glamourous Animated Heels Glamourous Peach Dress Ancient Broadsword Mermaid Companion|Bundle-Companion|L
4A1AA0E3-38EC4564-AFA9312B-16A3429A|HGL Mini-Creature Companion - Bundle|The massive Creatures you know and love werent the only experiment run by the Home Grown Laboratory. Designed to live in underground tunnel networks these Mini-Creatures are perfect for a world where the surface is an inhospitable, irradiated wasteland. This bundle includes (1) HGL Mini-Creature Companion - Troops (2) HGL Mini-Creature Companion - Critters (3) HGL Mini-Creature Companion - Sonics (4) HGL Mini-Creature Companion - Undead Purchasing this item grants you 80 fights in HGL.|Bundle-Companion|L
5A22DE31-5B9D45A1-8099AD6E-BAE23F7C|Dull-eyed Chick 6 Color Set|Dull-eyed Chick. This 6 Color Set Includes Yellow, Orange, Green, Blue, Purple, And Pink. This Set Includes The Following Items Chick With Dull Eyes (yellow) portable Item Chick With Dull Eyes (pink) portable Item Chick With Dull Eyes (blue) portable Item Chick With Dull Eyes (green) portable Item Chick With Dull Eyes (orange) portable Item Chick With Dull Eyes (purple) portable Item Chick With Dull Eyes (purple) portable Item When Purchased, Each Item Will Be Added To The Corresponding Category.|Bundle-Companion|L
5A28C58F-E1AF496B-99DEF052-5173CFFD|Legend of Hero NARISOKONAI T-shirt Set (ISSHIN Pack/Women)|This set contains below items for customizing your avatar.*NARISOKONAI T-shirt (Cornet/Women) (Torso)*NARISOKONAI T-shirt (Peter/Women) (Torso)*NARISOKONAI T-shirt (Pudding/Women) (Torso)*NARISOKONAI T-shirt (Bread/Women) (Torso)*NARISOKONAI T-shirt (Panini/Women) (Torso)The items will be added under the category of Wardrobe after purchasing.|Bundle-Companion|L
5B22B663-30644746-8B7E9C98-A709E6B7|Thanksgiving - Bundle|Thanksgiving - Bundle This bundle contains (1) Animal Avatars - Thanksgiving - Turkey (2) Riding Turkey (3) The Autumn Wind (4) Turkey Companion (5) Thanksgiving Dining Table - Refined - 10 Person (6) Pilgrim Costume - Dress (Women) (7) Pilgrim Costume - Hat (Women) (8) Pilgrim Costume - Shoes (Women) (9) Pilgrim Costume - Hat (Men) (10) Pilgrim Costume - Jacket (Men) (11) Pilgrim Costume - Pants (Men) (12) Pilgrim Costume - Shoes (Men)|Bundle-Companion|L
6446B0BE-F6534105-B162422E-34131043|Springtime Adventure Pack|Get the springtime spirit with this bundle of active items and furnishings. Bundle Includes Bunny Companion Easter Bunny Companion Jackalope Companion Egg Hunt Bunny Den Cascarones Easter Basket Swing Set Bird Perch Birds Nest Carousel Spring Bouquet Flower Bed - Round Flower Bed - Square Flower Bed - Rectangle Flower Rug|Bundle-Companion|L
7EAB4545-FD1A49D2-95865793-F41A3F1F|Super Peep Bonus Bundle 2 (30 items in all.)|Pump up the Peeps with this Super Peep Bonus Bundle Pack, containing all 30 Peeps. Ten (10) Heavy Pet Peeps to bring into your apartment and let the fun begin. You can control your Peep with custom animations and moves. Ten (10) Companion Peeps to take outside of your apartment as a Companion and Ten (10) Mini-Peeps to display in your apartment, each in its own Peep-a-Boo box. Stack them for all to see. Colors as shown. This set includes the following items. Chim Peep - Red on White Chim Peep - Static Mini - Red on White Chim Peep - Heavy Pet - Red on White Techno Peep - Robot Red Techno Peep - Static Mini - Robot Red Techno Peep - Heavy Pet - Robot Red Super Powered Peep - Bolting Blue Super Powered Peep - Static Mini - Bolting Blue Super Powered Peep - Heavy Pet - Bolting Blue Up-Chuck - Pasty White Up-Chuck Peep - Static Mini - Pasty White Up-Chuck - Heavy Pet - Pasty White What the Bleep Peep - Blazing Blue What the Bleep Peep - Static Mini - Blazing Blue What the Bleep Peep - Heavy Pet - Blazing Blue Scary Fairy Peep - Rotten Redhead Scary Fairy Peep - Static Mini - Rotten Redhead Scary Fairy Peep - Heavy Pet - Rotten Redhead Sweetie Peep - Vavoom Violet Sweetie Peep - Static Mini - Vavoom Violet Sweetie Peep - Heavy Pet - Vavoom Violet Lil Snow Peep - Powder Pink Lil Snow Peep - Static Mini - Powder Pink Lil Snow Peep - Heavy Pet - Powder Pink Sunshine Peep - Summer Rain Sunshine Peep - Static Mini - Summer Rain Sunshine Peep - Heavy Pet - Summer Rain Creepy Peep - Orphan Orange Creepy Peep - Static Mini - Orphan Orange Creepy Peep - Heavy Pet - Orphan Orange All of the above items will become available in their relevant categories on purchasing this bundle.|Bundle-Companion|L
85EC3346-8C8D42C8-852D08CE-D0A63ADE|Forsaken Planet Companion Bundle|Travel PlayStation Home with your favorite companions from Forsaken Planet, a LOOT Entertainment videogame for tablets and smart phones. This bundle comes with all five Forsaken Planet companions Pimento, Camel, Raccoon, Zombie and Cow. When you purchase this Forsaken Planet Companion Bundle, you unlock a character and character hat* for use in the Forsaken Planet game. This character and hat can only be unlocked in PlayStation Home. To retrieve your rewards, create or access your LOOT Entertainment account at the log-in station located at the Forsaken Planet globe logo in the LOOT Space Station Hub. Looking for even sweeter Forsaken Planet deals and in-game rewards? Check out the Forsaken Planet Ultimate Bundle in the LOOT Store. (*Character and character hat unlock specialized gameplay perks within the Forsaken Planet videogame.)|Bundle-Companion|L
87345A11-039D4D5D-85D7118C-E74A181D|B Movie Madness - Mad Scientist - Bundle - Women|Join the B Movie Madness with this Mad Scientist costume. This bundle contains (1) B Movie Madness - Mad Scientist - Feet - Women (2) B Movie Madness - Mad Scientist - Hands - Women (3) B Movie Madness - Mad Scientist - Head - Women (4) B Movie Madness - Mad Scientist - Legs - Women (5) B Movie Madness - Mad Scientist - Torso - Women (6) B Movie Madness - Mad Scientist - Companion - Igor Upon purchase, the items will be placed into their respective categories.|Bundle-Companion|L
907F200A-D4E34BD5-AD284728-088F9A0B|Street Moves Vol 2 Bundle|Here you can find the Street Moves characters and musical companion from Volume 2 in one affordable bundle. This Bundle includes. * Broadway Star (Male) * Boogy Boy (Male) * Swingin Sister (Female) * Embarrassing Dad (Male) * Companion Headphones Upon purchase, all items will be added to their corresponding categories.|Bundle-Companion|L
9093DC05-0DA14516-8573C3C1-460DF282|Bramblenook Barnyard Bundle|The perfect bundle for the animal lover. Bundle includes Pigsty Chicken Coop Sheepfold Chick Companion Piglet Companion Lamb Companion Chicken Companion Pig Companion Sheep Companion|Bundle-Companion|L
990F5C4F-84754FB4-A42E589C-701049EE|Novus Prime Ultimate Value Pack|Unlock the ultimate sci-fi action collection in PlayStation Home with every piece of Novus Prime content ever released by Hellfire Games. The Novus Prime Ultimate Value Pack contains over 80 items every fighter ship, weapon, outfit, XP and Nebulon boost, mission expansion, companion, paint job, game enhancement, clothing item, and personal space available for Novus Prime. Includes - Officer s Quarters Personal Space - Private Hangar Expansion - Power Mech-Suit with Nebulon Magnet (Bundle) - Rogue Mech-Suit (Bundle) - Discobot XT6000 Suit (Male) - Obsidian Bladewalker Suit (Male) - Obsidian Pilot Suit (Male) - Obsidian Blade ship - Kunai Fighter Ship w Helmet (Male and Female) - Codebreaker Ship w Helmet (Male and Female) - Midas Reactive Defense System w 25% Nebulon Booster (Male and Female) - Nebulon Storage Backpack w 10% Nebulon Booster (Male and Female) - Avatar Projection System w 5% XP Booster (Male and Female) - Twin Pulse Cannons w 5% XP Booster (Male and Female) - Handheld Arc Drill w 5% Nebulon Booster (Male and Female) - Disruption Shot Pistols w 5% Nebulon Booster (Male and Female) - Ion Stream Power Armor (Male) - Nebulon-Interweave Power Suit (Female) - Tech Goggles w Enemy Scanner (Male and Female) - Obsidian Throwing Star (Male and Female) - Radiant Storm Ship Weapon - Electromagnetic Bomb Ship Weapon - Ion Beam Ship Weapon - Ion Blaster Cannons (Male and Female) - Escalation Mission Pack - Obsidian Rune Blades (Male and Female) - Novus Prime Stereo - Novus Prime Concept Art Blackwing - Novus Prime Concept Art Blade Lotus - Novus Prime Concept Art Codebreaker - Novus Prime Concept Art Gladius - Novus Prime Concept Art Kunai - Novus Prime Concept Art Witch Doctor - Novus Prime Concept Art Adamant - Novus Prime Concept Art The Kraken - Long-Term Memory Conditioning (300% XP Boost) - Conduit Pilot Gloves (Male and Female) - Mental Conditioning Chamber - Armored Pilot s Leggings w Deflection Shield (Male and Female) - Bot Spider Companion - DataBot Jr. Companion - Bot Bee Swarm Companion - Mini-Mech Companion - Lil Sis Companion - Mini Gladius Companion - Mini Witch Doctor Companion - Mini Obsidian Blade Companion - Flames Paint Job w Helmet (Male and Female) - Tiger Stripes Paint Job w Helmet (Male and Female) - Tribal Skulls Paint Job w Helmet (Male and Female) - Spacewalk Propulsion Boots (Male and Female) - Zero-Gravity Simulator (Male and Female) - Spacewalk Blaster Pistol (Male and Female) - Turbo Matrix Ship Engines Upgrade|Bundle-Companion|L
A25A56F1-9B0741B1-ADE3B504-C238BEF4|3 Spirited-Cat Set|A 3-cat set including a calico, a black cat and a tabby that follow the heels of the owner. This set includes the following items. Spirited calico (Portable item) Spirited black cat (Portable item) Spirited tabby (Portable item) Upon purchase, the items will be placed in their respective categories.|Bundle-Companion|L
A73FF06A-D13D4D3C-8264BDDE-82BE8712|HGL Creature Costume and Companion Bundle|This mega bundle gives you all the HGL Creature Costumes and all of the HGL Mini-Creature Companions. This bundle includes (1) HGL Creature Costume - Troops (Male) (2) HGL Creature Costume - Troops (Female) (3) HGL Creature Costume - Critters (Male) (4) HGL Creature Costume - Critters (Female) (5) HGL Creature Costume - Sonics (Male) (6) HGL Creature Costume - Sonics (Female) (7) HGL Creature Costume - Undead (Male) (8) HGL Creature Costume - Undead (Female) (9) HGL Mini-Creature Companion - Troops (10) HGL Mini-Creature Companion - Critters (11) HGL Mini-Creature Companion - Sonics (12) HGL Mini-Creature Companion - Undead Purchasing this item grants you 240 fights in HGL.|Bundle-Companion|L
C0BE3346-E8CD473E-BAF45D60-2840B2C4|x7 Bundle Volume 89|Exclusive x7 Value Bundle. Includes Low Chrome Table Tribal Blade of Honor (F) Animated Neon Glasses (Female) Animated Rainy Cloud (Male) Infernal Revolver (Male) Grey Hoodie (Male) CAS - Rocket Racks Spotted Cat Companion|Bundle-Companion|L
