id|name|desc|category|thumbnail
001089FC-A76A41CA-88877CBF-429C2CDF|Chic gothic lolita set (Black, Women)|A 7-piece gothic and lolita fashion set that includes hairstyle, dress (with without tights), pumps (with without tights) and headdress (Large Small). Defensive strength None Cuteness This set includes the following items. Vertical roll hairstyle (Women)(Head) Lace headdress (Black, Women)(Head accessories) Lace headdress, Small (Black, Women)(Head accessories) Chic gothic lolita dress (Black, Women)(Outfits) Chic gothic lolita dress and Tights (Black, Women)(Outfits) Strap high sole pumps (Black, Women)(Shoes) Strap high sole pumps and Tights (Black, Women)(Shoes) Upon purchase, the items will be placed into their respective categories.|Bundle-Female|S
00B19041-50684FE9-BA003AD6-BAC944B6|Sodium Desert Raver Ultimate Pack (for Female)|Sodium Desert Raver Ultimate Pack (for Female) This pack includes the following Sodium Feather Mohawk with Hairstyle - Pink Sodium Scorpion Shades - Magenta Sodium Happy Daze Halter Bikini - Sundae Sodium Desert Trike Shorts - Sundae Sodium Neon Stomper Boots - Purple Chalk (for Female) Sodium Parakeet Epaulettes - Tropical Sodium Feather Mohawk with Hairstyle - Teal Sodium Scorpion Shades - Ocean Sodium Happy Daze Halter Bikini - Bright Skies Sodium Desert Trike Shorts - Bright Skies Sodium Neon Stomper Boots - Royal Oil (for Female) Sodium Parakeet Epaulettes - Paradise Invited to a rave in the baking hot Sodium desert? Weve got it covered.|Bundle-Female|L
0141069D-A4A6487A-8ECB6EA7-4E54C947|Element - Release Bundle - Volume 15 (Women)|Element - Release Bundle - Volume 15 (Women) This bundle contains (1) Element - Honey Tank Top - Rose (Women) (2) Element - Artemis Tank Top - Black (Women) (3) Element - Gallop Tank Top - White (Women) (4) Element - Skippy Long Sleeve Top - Light Blue (Women) (5) Element - Awakening Plaid Flannel Shirt - Neon Pink (Women) (6) Element - Bonfire Vest Jacket - Black (Women) (7) Element - Melodie Jacket - Olive (Women) (8) Element - Keisha Dress - Black (Women) (9) Element - Keisha Dress - White (Women)|Bundle-Female|L
015CFDFD-EDE34A75-B80729C5-6321B296|Endeavor Bundle - Female|Cropped waistcoats with kerchief arm accents. This bundle contains Endeavor - Green Endeavor - Black Endeavor - Purple Endeavor - White Endeavor - Yellow|Bundle-Female|L
017E751A-642A46E6-9DA76173-49A761F0|Poker Tournament - Tournament 21 Bracelet|Poker Tournament - Tournament 21 Bracelet. Both male and female versions are included.|Bundle-Female|L
018D087F-FBAC4E16-9C2FDE5B-401E0F5A|Codebreaker (Hacker Class) (bundle)|Outfitted with the latest in defensive shielding technology, the Codebreaker disrupts nearby AI systems, turning bot ships into allies. Powerful engines allow for escape when things go from bad to worse. The male and female versions of a special pilot s helmet are included with the purchase of this ship.|Bundle-Female|L
01FD57F0-3834467E-9ED9F556-3F95A686|Yacht Bathing Suit Value Pack|The paparazzi will never catch you in the same outfit twice. Includes 5 bikini sets and 2 one piece suits for a total of 14 pieces.|Bundle-Female|L
0213BDB4-F32E449F-9355A858-AB4C3A39|Quintek Robotic Left and Right Fist Bundle (Female)|Quintek robotic fist - delicate enough to stroke a kitten, powerful enough to punch through 3 inches of metal polymer. This pack includes the following Quintek Robotic Right Fist (Female) Quintek Robotic Left Fist (Female)|Bundle-Female|L
0226116C-EE5C4216-A0361F1A-34D3C8AB|Mofu Fluffy Costume Set (White For Women)|Mofu Fluffy Costume Set With Animal Image This Set Includes The Following Items Animal Coat (White For Women) (Top) Animal Boots (White For Women) (Shoes) Animal Head Accessory (White For Women) (Head Accessory) Animal Hand (White For Women) (Hand) Animal Hand And Tail (White For Women) (Hand) When Purchased Each Item Will Be Added To The Corresponding Category.|Bundle-Female|S
022E7333-D88A4676-804EE3FF-0EEA455B|Patched Cowgirl Jeans Bundle Female|Stylishly patched to give a modern designer look. This bundle contains Patched Cowgirl Jeans - Classic Patched Cowgirl Jeans - Washed Patched Cowgirl Jeans - Black Patched Cowgirl Jeans - Navy Patched Cowgirl Jeans - Stonewashed|Bundle-Female|L
027ECB19-80C64DAA-935D0AD0-C69970C5|They glow. Loco Earring (Kulche womens)|These stylish LocoRoco earrings glow to make you known. This set includes the following items -They glow. Loco Earring L (Kulche womens)(jewellery) -They glow. Loco Earring R (Kulche womens)(jewellery) Purchasing this item adds 1 LocoRoco to your Loco Island personal space. Up to 20 LocoRoco can be added to Loco Island. Once the maximum is reached, no further units can be added.|Bundle-Female|L
03020CEF-AF51454A-8BF942B9-6306583E|Skater Dress Bundle - Female|Slim patterned dresses with collar and belt. This bundle contains Skater Dress - Flowers Skater Dress - Spiral Skater Dress - Heart Skater Dress - Floral Skater Dress - Skull|Bundle-Female|L
0317C6B1-289C44A2-A9975D91-E0117D5B|Defenders Pack Female |Defend your Keep with a plethora of weapons. Includes Blunt Axe, Chained Mace, Short Mace, Warriors Sword, Thiefs Dagger, Knights Lance, and Basic Shield.|Bundle-Female|L
034EA4E1-F1764D66-A1365F37-C097B3C1|Venetian Boots Set (for Women)|Venetian Boots Set (for Women) This Set Includes The Following Items. Venetian Boots Red (for Women) (Shoes) Venetian Boots Blue (for Women) (Shoes) Venetian Boots Green (for Women) (Shoes) Each Item Will Be Added To The Appropriate Category When Purchased.|Bundle-Female|S
039AEEF9-E8124B5C-953F3343-77A9187D|6-piece Mini Skirt And Socks Set (navy Blue Check & White Female)|Navy Blue Check Mini Skirt, 6 Different Feet. Five Kinds Of White Socks (ankle Length, Shin Length, Below Knee Length, Above Knee Length, Thigh Length), White Tights. Defense Youthfulness This Set Includes The Following Items. Miniskirt And Ankle Socks (navy Blue Check & White Women) Bottoms Shoes Miniskirt And Crew Socks (navy Blue Check & White Women) Bottoms Shoes Miniskirt And High Socks (navy Blue Check & White Women) Bottoms Shoes Miniskirt And Over Knee Socks (navy Blue Check & White Women) Bottoms Shoes Miniskirt And Thigh-High Socks (Navy Blue Check & White Women) Bottoms Shoes Miniskirt And Tights (Navy Blue Check & White Women) Bottoms Shoes Each Item Will Be Added To The Corresponding Category When You Purchase It.|Bundle-Female|S
04440999-84194B7D-9EC1DA1E-4BCD8A67|Christmas Reindeer Outfit Bundle (Female)|Treat yourself this Christmastide with these dazzling new items from nDreams. This bundle includes * Christmas Reindeer Outfit (Female) * Christmas Reindeer Outfit (Female) (Glistening) * Christmas Reindeer Outfit (Female) (Gothic) Upon purchase, all items will be added to their corresponding categories.|Bundle-Female|L
04A0252C-A58541EA-9C3D25CF-BD16A4BC|Billabong - Best Sellers Volume 2 - Female|This bundle contains 20 of the most popular female Billabong items. This bundle contains Billabong - Akasha Denim Shorts - Light Billabong - Cosmia Dress - Blue Billabong - Costa - Slate Billabong - Deborah Billabong - Farrow Dress - Charcoal Billabong - Jovie Denim - Black Billabong - Jovie Denim - Pink Billabong - Kelly Dress Billabong - Late Night Fleece - White Billabong - Leena Dress - Blue Billabong - Lovelorn Pearl Billabong - Memory Shorts - Black Billabong - Memory Shorts - Blue Billabong - Nativa Billabong - Runaway Shorts - Floral Billabong - Sailor - Fleece Grey Billabong - Sailor - Fleece Stripes Billabong - Strapped Sandal - Black Billabong - Under Cover - Floral Billabong - Under Cover - Orange and White|Bundle-Female|L
04DF2C8B-67494BCE-8A4D52E9-91A75DAD|Nekomata 6-Piece Set (Black Female)|Nekomata 6-Piece Set Including Hairstyle, Nails, Kimono Top, Kimono Bottom, Feet And Hair Ornament. Defense (None) - Mononoke Degree This Set Includes The Following Items. Nekomata Earring (Peach Female) Head Accessories Nekomata Hairstyle (Blue Kanzashi Female) Head Nekomata Kimono Top (Black Female) Tops Nekomata Kimono Bottom (Black Female) Bottoms Nekomata Claws (Engine Female) Hands Nekomata Feet (Peach Female) Shoes When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Female|L
05374D66-D58B438A-8424582E-6F35FEA2|Tenjin Costume 4-Piece Set (Blue & Orange Female)|Tenjin Costume 4-Piece Set Including Hairstyle, Bikini Dress, Arm Accessories And Shoes. Defense (None) - Magic This Set Includes The Following Items. Heavenly Man Hairstyle (Orange Ribbon Female) Head Heavenly Man Bikini Dress & Stockings (Blue Female) Combination Heavenly Man Arm Accessory (Orange Female) Hands Heavenly Man Shoes & Stockings (Orange & Blue Female) Shoes When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Female|L
05B39493-61184BB9-93DCE497-94FC74D5|Secrets Leggings Ultimate Pack|Secrets Leggings Ultimate Pack This bundle includes the following items Secrets Suspenders Leggings - Black Secrets Suspenders Leggings - Red Secrets Suspenders Leggings - White Secrets Ripped Leggings - Black Secrets Ripped Leggings - Pink Secrets Ripped Leggings - White Secrets Laced Leggings - Stripe Secrets Laced Leggings - Black Secrets Laced Leggings - White Every woman should have a few Secrets.|Bundle-Female|L
05BAEDAE-78BC4C7B-832A6671-4C1FD3CD|Street Wear Bundle (Female)|Stand out from the crowd with the amazing Street Wear from nDreams. This Bundle Includes * nFashion - Street Wear Full Body Outfit 1 (Female) * nFashion - Street Wear Full Body Outfit 2 (Female) * nFashion - Street Wear Full Body Outfit 3 (Female) * nFashion - Street Wear Full Body Outfit 4 (Female) * nFashion -Street Wear Top and Necklace (Female) * nFashion -Street Wear Top, Wrists and Necklace (Female) * nFashion -Street Wear Joggers One Leg Rolled (Female) * nFashion -Street Wear Joggers (Female) * nFashion -Street Wear High Tops 1 (Female) * nFashion -Street Wear High Tops 2 (Female) Upon purchase, all items will be added to their corresponding categories.|Bundle-Female|L
05EC291F-FA2A4B0F-961E88CC-645DEB5A|Black and White Cat Costume Set (Women)|Black And White Cat Costume Set (Women) This Set Contains The Following Items Black And White Cat Suit (Women) (Outfit) Black And White Cat Ears (Women) (Head Accessory) Black And White Cat Footware (Women) (Shoes) Black And White Cat Gloves (Women) (Hand) Items Are Added To Each Category After Purchase.|Bundle-Female|L
063FACDC-F6F84210-8E4336D5-C58D2849|Danis Greatest Designs Set|We wanted to say goodbye by means of these 5 great valued bundles. Never have we worked with such passionate people as with the PlayStation Home community and thats the best motivation for us to do what we do. Some people we have met in and around Home we hold dear now. So thank you for the great chats thank you for the fun parties and thank you for all the valuable tips so that we could create all these cool items. We hope to see you in some other virtual world in the near future. Thank you, you are awesome. This bundle contains the following items A Touch of Spring Floral Dress (black) A Touch of Spring Floral Dress (mauve) A Touch of Spring Floral Dress (pink) Express Your Color Dress (Female, Black) Express Your Color Dress (Female, Blue) Express Your Color Dress (Female, Peach) Express Your Color Sunglasses (Female) Sweet Boho - Short Onepiece Outfit (Female, Apple) Sweet Boho - Short Onepiece Outfit (Female, Aqua) Sweet Boho - Short Onepiece Outfit (Female, Black) Magic Sparkles - Bracelet (female, pink) Magic Sparkles - Bracelet (female, white) Magic Sparkles - Long Animated Dress (female, pink) Magic Sparkles - Long Animated Dress (female, white) Thunderstorm - Skirt and Boots (female, black) Thunderstorm - Shorts and Boots (female, black) Thunderstorm - Top and Necklace (female, black) Not So Basic 1.1 - Asymmetrical Skirt Not So Basic 1.1 - Dotted Top Not So Basic 1.1 - Dotted Top with Collar Not So Basic 1.1 - Lace Shorts Not So Basic 1.2 - Cutout Uni Top (black) Not So Basic 1.2 - Skirt with split Chic Rock - Chic Top with zipper and collar (black) Lovely Valentine - Short, stay ups, shoes and bows (pink) Lovely Valentine - Skirt, stay ups, shoes and bows (pink) Lovely Valentine - Bustier with straps, bows and polka dots (pink) Short summer dress (pink) Long summer dress (pink) Fall inspiration - Purse and Ring (Female, Black) Sweet Boho - Jewels (Female) Express Your Color Shoes (Female, Black)|Bundle-Female|L
0673EF93-FCBF43CB-8D3D55D9-0F5C9763|Drey Halcyon Days Ultimate Pack (for Female)|Drey Halcyon Days Ultimate Pack (for Female) This pack includes the following Drey Halter Top - Yellow Drey Full Midi Skirt - Check Drey Slingback Wedges - Yellow Drey Halter Top - Coral Drey Full Midi Skirt - Floral Drey Slingback Wedges - Coral Drey Halter Top - Black Drey Full Midi Skirt - Mopeds Drey Slingback Wedges - Black Drey blends current colours with retro patterns for a fresh modern look.|Bundle-Female|L
