id|name|desc|category|thumbnail
0077C74C-9D1F4EF8-BAB58F5C-DF827578|LMO Pop-Up Chair Bundle|Feel free to lounge wherever you please in PlayStation Home with these new pop-up chair locomotions from nDreams. This bundle includes * LMO Pop-Up Chair - Set 1 * LMO Pop-Up Chair - Set 2 * LMO Pop-Up Chair - Set 3 * LMO Pop-Up Chair - Set 4 * LMO Pop-Up Chair - Set 5 Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Locomotion|L
00CBA776-DF2242BD-9026C826-47C0D191|VEEMEE Locomotion - Motor Vehicle Bundle|Ride in style with these motorised locomotions. This bundle contains (1) Go-Kart - Red (2) Go-Kart - Blue (3) Go-Kart - Flames (4) Classic Scooter - Black (5) Classic Scooter - Cream (6) Classic Scooter - Pink (7) Classic Scooter - Baby Blue (8) Classic Scooter - Union Flag (9) Classic Scooter - Il Tricolore|Bundle-Locomotion|L
019C05E0-A1C24BEA-A4FAF5CE-D9106F28|Carnie Rides Ultimate Bundle|This bundle contains Carnie Ride - Mug Carnie Ride - Tea Cup Carnie Ride - The Duck Carnie Ride - Old Bumper Carnie Ride - Vintage Bumper Carnie Ride - Bumper Train Carnie Ride - Bump Racer Carnie Ride - Horse Carnie Ride - Unicorn Carnie Ride - Zebra Carnie Ride - Seahorse Carnie Ride - Shuttle Coaster Carnie Ride - Wooden Coaster Carnie Ride - Hanging Coaster These Items increase your speed to the maximum when you hold the square button.|Bundle-Locomotion|L
01ABC99C-980A4B62-AA39D920-503A82FF|VEEMEE Locomotion - Bikes Bundle|Get in gear with these bicycle locomotions. This bundle contains (1) Hot Rod Bicycle (2) Road Bicycle (3) Mountain Bike with Full Suspension (4) Mountain Bike - Hard Tail (5) Beach Cruiser (6) Old Fashioned Bicycle (7) Penny Farthing (8) Unicycle (9) BMX (10) BMX Trick Bike - Hang Five (11) BMX Trick Bike - Tail Whip (12) BMX Trick Bike - Flat 360 (13) BMX Trick Bike - Rollaid (14) BMX Trick Bike - Whiplash|Bundle-Locomotion|L
033D4D0F-23C34E1F-9E5128C3-240EDAFA|Tales Mega Bundle|This bundle contains - Gunner Suit (female) - Gunner Shoes (female) - Gunner Gun (female) - Gunner Hat (female) - Gunner Suit (male) - Gunner Shoes (male) - Gunner Shotgun (male) - Gunner Hat (male) - Golden Chinese Dragon - Red Chinese Dragon - Cyan Chinese Dragon - White Chinese Dragon - Green Chinese Dragon - Warrior Helmet - Warrior Suit - Warrior Sword and Shield - Warrior Sandals - Succubus Horns - Red Succubus - Red Succubus Gloves - Energy Helmet (male) - Energy Suit - Energy Helmet (female) - Energy Top - Energy Shorts - Energy Boots - Black-Blue Energy Motorbike - Black-Pink Energy Motorbike - White-Blue Energy Motorbike - White-Pink Energy Motorbike|Bundle-Locomotion|L
043D2ABE-EF34475F-868ABB72-E2B4079D|LMO - Succubus wings set (Violet wings)|A locomotion item 2-piece set that includes succubus head wings as well as succubus wings and tail. The inner part of the wings is violet in colour. Movement speed of locomotion item This set includes the following items. LMO - Succubus head wings (Violet wings)(Portable item) LMO - Succubus wings and tail (Violet wings)(Portable item) LMO (Locomotion) is a portable item. Upon purchase, the items will be placed in their respective categories.|Bundle-Locomotion|L
04C3E0C3-FC0E4CD3-BBE8871F-CBC789F6|LMO-Roller skates set, Inline skates (White, Women, Men)|A set of shoes for roller skating and inline roller skates. If you use this item, you can move in skating movements. Defensive Strength Movement speed *LMO(Locomotion) is portable item. This set includes the following items. Roller skates, Inline skates (White, Men)(Shoes) Roller skates, Inline skates (White, Women)(Shoes) LMO-Roller skates, Inline skates (Red)(Portable items) *When purchased, each item is added to its respective category.|Bundle-Locomotion|L
057C5C4B-3FF8483C-851033C4-C645C726|Cute Gothic Loli Umbrella Set Of 2 (navy)|Parasol In Gothic & Lolita Fashion. This 2-piece Set Includes A Locomotion Item And A Furniture Item In An Umbrella Stand. Locomotion Movement Speed ~ LMO (locomotion) Is A Portable Item. This Set Includes The Following Items Cute Gothic Loli Umbrella And Umbrella Stand (navy) Decoration LMO-Cute Gothic Loli Umbrella (navy) Portable Items When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Locomotion|L
05DF853D-82034CCA-AA57170C-38B6CAE2|Spunland Rabbit Hop Bundle|Bundle Contains 3 Rabbit Hop LMOs Orange, Purple and White. By equipping this Locomotion Item, your avatars run speed will be faster. LMO (Locomotion) is a Portable Item.|Bundle-Locomotion|L
069810EE-4D004CF8-85890FBB-3F9AAB61|2-piece Pocket Bike Set (yellow & White)|Two Wheel Type Pocket Bike. This 2-piece Set Includes A Locomotion That Can Be Ridden And Moved And A Piece Of Furniture That Can Be Placed In A Room. Movement Speed - LMO (locomotion) Is A Portable Item. This Set Includes The Following Items Pocket Bike Figurine (yellow & White) decoration LMO-pocket Bike (yellow & White) portable Item When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Locomotion|L
08AD74D0-DE574511-ACCA56E9-4142C24E|VEEMEE Locomotion - Mini Vehicle Bundle|Who says that bigger is better? This bundle contains (1) Mini Plane - V62 Classic Fighter (2) Mini Plane - Jumbo Airliner (3) Mini Plane - Vintage Fighter (4) Mini Moto - Quad Bike - Blue (5) Mini Moto - Dirt Bike - Green (6) Mini Moto - Dirt Bike - Orange (7) Mini Moto - GT Bike - Green (8) Mini Moto - GT Bike - Red (9) Mini Moto - Road Bike - Green (10) Mini Moto - Road Bike - Red|Bundle-Locomotion|L
0AE9153E-03F44209-96CEBC79-15219447|Magic Carpet Set (Blue)|This Set Includes Two Flying Carpet Locomotions (high low), A Spread Carpet And A Rolled Carpet. Locomotion Movement Speed ~ This Set Includes The Following Items. Spread Magic Carpet (blue) Rug Rolled Magic Carpet (blue) Decoration LMO-Flying Magic Carpet High (blue) Portable Item LMO-Flying Magic Carpet Low (blue) Portable Item When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Locomotion|L
0BE2E12F-FE69452A-ADDC2323-B31E7665|nDreams Nightmare Collection Mummy Bundle|Terrify your friends with these chilling new items from nDreams. This bundle includes * nDreams Nightmare Collection Mummy Outfit (Female) * LMO - nDreams Nightmare Collection Undead Run Upon purchase, all items will be added to their corresponding categories.|Bundle-Locomotion|L
0BF36E9B-D1C44C9E-B393872D-E3DBEDC4|Spunbot Mega Bundle|Get the whole Spunbot set, includes 3 LMOs (Flapper Saucer, Copter Saucer and Classic Saucer), Spunbot legs ( male and female ) and the Spunbot anim pack for those flashy Spunbot Leg moves.|Bundle-Locomotion|L
0C1D0C5F-A5464B34-81591259-E044DB16|LMO - nDreams Lifestyle Bundle|Look your best in PlayStation Home with these cool new LMOs from nDreams. This bundle includes * LMO - nDreams Lifestyle - Lipstick * LMO - nDreams Lifestyle - Nails * LMO - nDreams Lifestyle - Drinking (Tumbler) * LMO - nDreams Lifestyle - Drinking (Pint) * LMO - nDreams Lifestyle - Drinking (Elegant) * LMO - nDreams Lifestyle - Eating (Hamburger) * LMO - nDreams Lifestyle - Eating (Taco) * LMO - nDreams Lifestyle - Cell Phone (Black) * LMO - nDreams Lifestyle - Cell Phone (White) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Locomotion|L
0D1572C4-31A840A1-B4D50AB4-67BBA7DD|LMO - Retro Rollerskates Value Pack|LMO - Retro Rollerskates Value Pack This pack includes the following LMO - Retro Rollerskates - Lockwood Orange LMO - Retro Rollerskates - Fuschia Fury LMO - DIY Retro Rollerskates - Lockwood Orange LMO - DIY Retro Rollerskates - Fuschia Fury Walking is so much effort, wouldnt it be easier to just whizz around on your very own pair of retro rollerskates? Thought so. Press square for a speed boost.|Bundle-Locomotion|L
0D9DD108-6A284F3A-B98D1DE1-7E99BA36|The Best of nDreams 2014 Bundle - LMO|This incredible value for money bundle contains the following items * LMO - nDreams Cutie Pie - Lollipop * LMO - nDreams Cutie Pie - Bubblegum * LMO - nDreams Sweetie Pie - Blow A Kiss * LMO Pop-Up Chair - Set 1 * LMO Pop-Up Chair - Set 2 * LMO - nDreams Lifestyle - Cell Phone (White) * LMO - nDreams Lifestyle - Drinking (Pint) * LMO - nDreams Lifestyle - Drinking (Elegant) * LMO - Fitness Pole * LMO - Rock Star Guitar (Heavy Metal Riffing) * LMO - Elegant Walk - Masculine * LMO - Elegant Walk - Feminine * LMO - Ninjutsu Warrior * LMO - Sun Lounger (Neon) * Harajuku Poser Locomotion * LMO - MegaStar Podium * LMO - nDreams Choppers - Original (Black and Red) * Locomotion - Super Dash * Locomotion - Ninja Run * LMO - nDreams Quad Bike Black Upon purchase, all items will be added to their corresponding categories. * These are portable items.|Bundle-Locomotion|L
0FC2BA53-23424507-879D4509-E8C42965|Lucky Set 3 - 2011 version (Women)|Cool and Cute Biker Style. (Lucky Set 3 contains different 5 items including 2011 special New Year T-shirt.) **IMPORTANT NOTICE** This Lucky Set may contain the items you have already purchased. Only the item which is not yet purchased is added to your wardrobe and same purchased item will not appear in the wardrobe twice. Purchased Lucky Set are not refundable, transferable or exchangeable, and cannot be redeemed for cash or credit. This Lucky Set 2011 contains different variety of items from Lucky Set 2010.|Bundle-Locomotion|S
10EBB9D2-049B46AF-A7794C6A-BEEF1BA1|LMO - Roller skate set, quad type (red, female/male)|Set of roller skating shoes and quad-type roller skates. When used, they can glide and move. Defence Movement speed *LMO (locomotion) is a portable item. This set includes the following items. - Roller skate shoes quad type (red, male) / shoes - Roller skate shoes quad type (red, female) / shoes - LMO - Roller skate quad type (black) / portable item * When purchased, each item is added to the relevant category.|Bundle-Locomotion|L
119A2786-5D274D30-8F190C52-54FDFE93|Magical Umbrella Set (frilly Pink)|Flying Magical Umbrella. This Two-piece Set Includes Locomotion, Which Can Float And Move In The Air, And An Umbrella In An Umbrella Stand. Locomotions Movement Speed ~ LMO (locomotion) Is A Portable Item. This Set Includes The Following Items Magic Umbrella In Umbrella Stand (frilly Pink) Decoration LMO-Magic Umbrella (frilly Pink) Portable Item When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Locomotion|L
14F0D479-039544C2-BE1C1CEB-E1973162|Two-piece Pocket Bike Set (green & White)|Two Wheel Type Pocket Bike. This 2-piece Set Includes A Locomotion That Can Be Ridden And Moved And A Piece Of Furniture That Can Be Placed In A Room. Movement Speed - LMO (locomotion) Is A Portable Item. This Set Includes The Following Items Pocket Bike Figurine (green & White) decoration LMO-pocket Bike (green & White) portable Item When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Locomotion|L
178733E4-00B8424E-9C2FEC33-8C687197|Male Pride Bundle|The Male Pride bundle includes * LMO - Pride Chopper * Pride Flag Icon (Male) * Pride Shorts and Boots (Male) * Pride Torso with Paint (Male) Upon purchase, all items will be added to their corresponding categories.|Bundle-Locomotion|L
192DA072-018A469C-9900166A-8A717BF6|LMO - nDreams Lifestyle - Eating Bundle|Stand out in PlayStation Home with these cool new LMOs from nDreams. This bundle includes * LMO - nDreams Lifestyle - Eating (Hamburger) * LMO - nDreams Lifestyle - Eating (Taco) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Locomotion|L
1A151BD9-96B44426-92A17B55-88F66CBD|Easter Locomotion Collection 03|Be sure to have everything you need for this Easter with an Easter Bunny Collection Bundle. These locomotion objects will boost your speed. Speed Standard = 5.25meters per second This bundle contains (1) Animal Avatar - Easter Rabbit - Steel (2) Animal Avatar - Easter Rabbit - White (3) Rolling Giant Egg - Blue These items are portable items.|Bundle-Locomotion|L
1AC85A4E-772A4B28-BD4CBB89-0D24E043|Locomotion - 6-Piece Picnic Sheet Set (Camellia)|A 6-piece set of different kinds of sheets on which you can sit, indispensable for outings. When using these, you can sit in an idle position. Locomotion Speed This set includes the following items - Locomotion - Picnic Sheet (Camellia) (Portables) - Locomotion - Springtime Japanese Sweets and Picnic Sheet (Camellia) (Portables) - Locomotion - Lovey-Dovey Wife Bento and Picnic Sheet (Camellia) (Portables) - Locomotion - Snacks and Picnic Sheet (Camellia) (Portables) - Locomotion - Stacked Food Boxes and Picnic Sheet (Camellia) (Portables) - Locomotion - Chinese Banquet and Picnic Sheet (Camellia) (Portables) * Upon purchase, each item will be added to the applicable category.|Bundle-Locomotion|L
