id|name|desc|category|thumbnail
0211E84C-F7154168-A49D7832-F464B8CB|Brown Tabby Cat Costume Set (Men)|Brown Tabby Cat Costume Set (Men) This Set Contains The Following Items Brown Tabby Cat Suit (Hommes) (Outfit) Brown Tabby Cat Ears (Men) (Head Accessory) Brown Tabby Cat Footware (Men) (Shoes) Brown Tabby Cat Gloves (Men) (Hand) Items Are Added To Each Category After Purchase.|Bundle-Male|L
02240619-587C418F-A341BA4D-B5CBDA36|Spuntacle Bundle (male)|3 Pairs of stylish Spuntacles for the discerning Homie.|Bundle-Male|L
0231EA16-08EE4E4A-97C398C7-35C6CFCA|Rave Piercings (male)|Long live the party. Rave Party is the ideal collection for all those who love to go out to have fun and dance. Dare to combine different designs and create your own style.|Bundle-Male|L
05A5A050-20A946A5-B99428D8-D7098C65|Halloween Dark Minion Collection|This bundle contains the following items Flaming Skeletal Warrior Outfit (male) Frozen Skeletal Warrior Outfit (male) Spiked Demon Outfit (male) Orc Warrior Outfit (male and female) Each object will be added to its relevant wardrobe or furniture category.|Bundle-Male|L
062E7964-BEE744E3-B9002EBD-4EAE85FB|Windbreaker And Cargo Pants Dressing Set (white And Green Male)|3 Different Size Black Knit Hats, White Checked Windbreaker, Green Cargo Pants, Brown 7-piece Set Including Belt Boots And Their Combinations. Defense Coolness This Set Includes The Following Items. Knit Hat Small (black Male) head Accessory Knit Hat Medium (black Male) head Accessory Knit Hat Large (black Male) head Accessory Windbreaker (white Check Male) top Cargo Pants (green Male) bottoms Belt Boots (brown Male) shoes Cargo Pants & Belt Boots (Green & Brown Men) Bottoms When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Male|S
06DBD04B-B32E4F8C-9ECF61E7-97954B03|Gunslinger with fire Bundle (Men)|You will feel like that you are an actor in cowboy movie when you wear this Gunslinger outfit. This bundle includes following items Gunslinger Hat (Men) Gunslinger Top (Men) Gunslinger Pants (Men) Gunslinger Pistol (Men) Gunslinger Boots (Men) Animated Outdoor Firepit|Bundle-Male|S
081C3D57-10EC4A37-ABBAC860-10BD70E3|Raven Culture Megabundle I|This bundle contains - Raven Culture Piercings - Wicked Boots - Raven Black Jacket (female) - Raven Red Jacket (female) - Raven Reinforced Boots - Raven Kilt - Extreme Hairstyle - Enchanted Black Rose - Shelves of Sinister Stories - Raven Culture Hairstyle (male) - Red Rose Chained Corset - Spider Earrings - Black Raven Trousers - Raven Red Jacket (male) - Raven Black Jacket (male) - Raven Culture Corset - Raven Culture III Hairstyle (female) - Bands and Collar Raven - Raven Culture III Hairstyle (male) - Raven Culture Sofa - Raven Claws - Not so good girl Hairstyle - Raven Striped Trousers - Raven Platform Boots (male) - Raven Leather Leggings - Spiked Wristband Raven - Victorian Chair - Marble Round Table - Silver Skull Cane - Black Rose (male) - Black Rose (female) - Flirty Skirt - Neo Victorian Jacket - Black Bombe chest of drawers - Raven Signature - Spiked Shoes - Raven Leather Trousers (male) - Raven Leather Trousers (female) - Mysterious Hairstyle - Raven Culture Boots - Raven Culture Sunglasses (female) - Raven Culture Sun Glasses (male) - Nightfall Skirt - Raven Boots - Victorian Dandy Shoes - Gothic Blazer - Mystic Blue Waistcoat - Mysterious Mask - Raven Culture Hairstyle (female) - Black Rose Handbag - Raven Culture Handbag|Bundle-Male|L
09700FA8-988C435D-80249978-E1435E7A|Guardian Amulet Set|The Amulet Set Is Surrounded By A Mysterious Light. When Purchased, It Can Only Be Used Once Per Battle In The Oedo Mononoke Extermination Lounge, And When Used, Increases Defense For A Certain Amount Of Time. Increased Defense This Set Includes The Following Items. Hand Clutching A Charm Of Protection (Hand Male) Hand Clutching A Charm Of Protection (Hand Female) Amulet Of Protection (decoration) When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Male|S
097F5FD3-A2B1431E-AD014184-8B2D28E9|5-piece Set Of Costumes For A Celestial Being (pink And Yellow Male)|Includes Hairstyle, Hoodie, Bracelet, Shorts And Sandals. Defense (None) - Magic This Set Includes The Following Items. Soft Mohawk Hairstyle (Pink Hairpin For Men) Head Hoodie Of The Heavenly Host (Pink For Men) Tops Bracelets Of The Heavenly Host (Yellow For Men) Hands Shorts And Socks Of The Heavenly Host (Pink And Yellow For Men) Bottoms Sandals Of The Heavenly Host (Yellow For Men) Shoes When Purchased, Each The Item Will Be Added To The Corresponding Category.|Bundle-Male|L
0A2EB2A6-F17445DF-B92FADE1-722735BC|Element - Release Bundle - Volume 07|Element - Release Bundle - Volume 07 This bundle contains (1) Element - Best Coast Cap - White (Men) (2) Element - Knutsen Cap - Pine (Men) (3) Element - Lion Cap - Garnet (Men) (4) Element - Plan B - Short Stop Cap - Grey (Men) (5) Element - Chopped Hoodie - Grey Heather (Men) (6) Element - Plan B - Coaches Jacket - Red (Men) (7) Element - Cornell Jacket - Navy (Men) (8) Element - Plan B - Crosstown Hoodie - Grey Heather (Men) (9) Element - The OG Script Hoodie - Navy (Men) (10) Element - Bellflower Hoodie - Charcoal (Men) (11) Element - Dilly-Dally Beanie - Black (Women) (12) Element - Adorn Tank - Black (Women) (13) Element - Gabby Knit and Rowan Backpack - Natural and Natural (Women) (14) Element - Stormer Hoodie - Grey Heather (Women)|Bundle-Male|L
