id|name|desc|category|thumbnail
0021EB95-BC944D0B-8A6D2200-01D14375|Hollywood Hills House Ultimate Bundle|This amazing bundle comes with all four versions of the Hollywood Hills House as well as the following items 1) Hollywood Hills House Daytime Estate (with Home Theatre) 2) Hollywood Hills House Daytime Clubhouse (with Home Theatre) 3) Hollywood Hills House Nighttime Estate (with Home Theatre) 4) Hollywood Hills House Nighttime Clubhouse (with Home Theatre) 5) LOOT Active Camera 6) LOOT Active Light 7) 140 LOOT EOD TV - Flatscreen 8) Aerial Swimming 9) LOOT Firepit 10) LOOT Outdoor Oven 11) LOOT Velvet Rope 12) LOOT Tiki Torch - Single 13) LOOT Tiki Torch - Double 14) LOOT Tiki Totem 15) Cabin Boy in Trout Trouble Classic 16) LOOT Photo Telescope 17) LOOT Grandfather Clock 18) LOOT Searchlight 19) LOOT Fog Machine Create the ultimate party with your friends -- at your Hollywood Hills House from LOOT . PLEASE READ BEFORE YOU PURCHASE Due to contractual and rights agreements, some EOD channels are nation specific. Crackle content is ONLY available in United States, Canada, United Kingdom, and Australia. RadioIO is ONLY available in the United States and Canada. In addition, due to rights issues, countries may not receive the same content selections within the channels. Only one TV can be active at a time. The LOOT EOD will work in any private space, UNLESS the space comes with a video screen you cannot turn off.|Bundle-Scene|L
00A1BD13-AC5F46D2-B2A9A70A-3E3D0C5B|Plum Tree Pavilion Mega Bundle|Available as a single purchase, the Plum Tree Pavilion Mega Bundle includes the apartment, clubhouse, and furniture bundle for this space. Now you can enjoy everything this elaborate space has to offer.|Bundle-Scene|L
02543AF9-7DF84AAF-81E16F0A-B4C1D39D|Red Bull House of Skate Super Bundle (for Female)|Red Bull House of Skate Super Bundle (for Female) This pack includes the following Red Bull House of Skate Personal Space Red Bull Skateboarding Jacket (for Female) Red Bull Skateboard (for Female) Red Bull Skateboarding Jeans (for Female) Red Bull Skateboarding Sunglasses (for Female) Red Bull Skateboard - OG Logo Red Bull s 10,000 sq ft House of Skate including scenic views of the Hollywood Hills, hot tub, Red Bull Skateboarding gear including 2 skate decks, and a playable skate game. Flip, grind, and ollie your way through this modern skate haven while earning trophies and street cred.|Bundle-Scene|S
04D43019-2B44408E-B8309EBF-1BE778F7|Dream Forest Paradise Bundle|Dream Forest Paradise Bundle This bundle includes the following Dream Forest Paradise Dream Forest Paradise Clubhouse Your dreams come true with this breathtaking deluxe home amongst the trees, a luxurious treehouse if you will. Traverse the treetop bridges, swim in the lagoon, and explore your lush surroundings to obtain rewards. With a magnificent view from every angle youll never want to leave the Dream Forest Paradise from Figment. Live the Dream.|Bundle-Scene|L
06A68487-C88540B9-BE2FBF6B-BE61CB05|Paradise at Sea Mega Bundle|Available as a single purchase, the Paradise at Sea Mega Bundle includes the apartment, clubhouse, and furniture bundle for this space. Now you can enjoy everything this elaborate space has to offer.|Bundle-Scene|L
07C04136-E54443FD-857666D8-35F3DE11|Oscars Lobster Mania Island Bundle|This bundle contains Oscars Lobster Suit (Women) Oscars Lobster Suit (Men) Oscars Lobster Mania Island Upon purchase, the items will be placed into their respective categories.|Bundle-Scene|L
08CD680D-0AF3466F-9DB332E8-0A9570BA|Abbey Hill Cottage - Winter Retreat Ultimate Bundle (for Male)|Abbey Hills finest quality clothing for the most elegant of country folk. This pack includes the following Abbey Hill Cottage - Winter Retreat Personal Space Sir Gladstones Distinguished Boots The Julius Hairstyle Sir Gladstones Distinguished Coat|Bundle-Scene|L
09DC9CFB-A51C4246-9E2D20C9-FD2C6E7E|Planetland Mega Bundle|Discover a great new collection of furniture items and clothing items with this amusing mega bundle. This one of a kind bundle includes the Planetland apartment, 22 furniture items and 16 clothing items.|Bundle-Scene|L
0D2A4545-8764403D-9EE4F6EA-45BE57DC|Pharaohs Tomb Mega Bundle|Take a trip back in time to the era of the Pharaoh. This Egyptian themed mega bundle includes Pharaohs Tomb apartment, 17 furniture items and 35 clothing items.|Bundle-Scene|L
0D7BECF7-56CC4AC5-B04A0BB0-65BA2318|Dream Yacht Bundle|Dream Yacht Bundle This bundle includes the following The Dream Yacht The Dream Yacht Clubhouse Have the lifestyle you always dreamed of with the Dream Yacht from Figment. Three decks of opulent living, two hot tubs and more than 30 collectable rewards, plus an exclusive commerce point only available through the Dream Yacht. Live the dream.|Bundle-Scene|L
