id|name|desc|category|thumbnail
001089FC-A76A41CA-88877CBF-429C2CDF|Chic gothic lolita set (Black, Women)|A 7-piece gothic and lolita fashion set that includes hairstyle, dress (with without tights), pumps (with without tights) and headdress (Large Small). Defensive strength None Cuteness This set includes the following items. Vertical roll hairstyle (Women)(Head) Lace headdress (Black, Women)(Head accessories) Lace headdress, Small (Black, Women)(Head accessories) Chic gothic lolita dress (Black, Women)(Outfits) Chic gothic lolita dress and Tights (Black, Women)(Outfits) Strap high sole pumps (Black, Women)(Shoes) Strap high sole pumps and Tights (Black, Women)(Shoes) Upon purchase, the items will be placed into their respective categories.|Bundle-Female|S
001F9067-F0CC4DF1-8E7F67DF-740F7535|x7 Bundle Volume 27|Get this exclusive bundle at great value, only available in x7. Includes Crystal Chair, Crystal Desk, Crystal Entertainment Center, Crystal Furniture Bundle, Crystal Lamp, Crystal Sofa and Active Item - Crystal Clock.|Bundle-Furniture|L
0021EB95-BC944D0B-8A6D2200-01D14375|Hollywood Hills House Ultimate Bundle|This amazing bundle comes with all four versions of the Hollywood Hills House as well as the following items 1) Hollywood Hills House Daytime Estate (with Home Theatre) 2) Hollywood Hills House Daytime Clubhouse (with Home Theatre) 3) Hollywood Hills House Nighttime Estate (with Home Theatre) 4) Hollywood Hills House Nighttime Clubhouse (with Home Theatre) 5) LOOT Active Camera 6) LOOT Active Light 7) 140 LOOT EOD TV - Flatscreen 8) Aerial Swimming 9) LOOT Firepit 10) LOOT Outdoor Oven 11) LOOT Velvet Rope 12) LOOT Tiki Torch - Single 13) LOOT Tiki Torch - Double 14) LOOT Tiki Totem 15) Cabin Boy in Trout Trouble Classic 16) LOOT Photo Telescope 17) LOOT Grandfather Clock 18) LOOT Searchlight 19) LOOT Fog Machine Create the ultimate party with your friends -- at your Hollywood Hills House from LOOT . PLEASE READ BEFORE YOU PURCHASE Due to contractual and rights agreements, some EOD channels are nation specific. Crackle content is ONLY available in United States, Canada, United Kingdom, and Australia. RadioIO is ONLY available in the United States and Canada. In addition, due to rights issues, countries may not receive the same content selections within the channels. Only one TV can be active at a time. The LOOT EOD will work in any private space, UNLESS the space comes with a video screen you cannot turn off.|Bundle-Scene|L
0077C74C-9D1F4EF8-BAB58F5C-DF827578|LMO Pop-Up Chair Bundle|Feel free to lounge wherever you please in PlayStation Home with these new pop-up chair locomotions from nDreams. This bundle includes * LMO Pop-Up Chair - Set 1 * LMO Pop-Up Chair - Set 2 * LMO Pop-Up Chair - Set 3 * LMO Pop-Up Chair - Set 4 * LMO Pop-Up Chair - Set 5 Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Locomotion|L
007D6DA8-2BB34349-88239B85-01B91FED|Ultimate Modular Bundle|141x Modular furniture items. This bundle includes All 45 Modular Kitchen furniture items. All 48 MyBedroom furniture items. All 48 Idea - Modular Sofa furniture items. Upon purchase, the items will be placed into their respective categories.|Bundle-Furniture|L
00A1BD13-AC5F46D2-B2A9A70A-3E3D0C5B|Plum Tree Pavilion Mega Bundle|Available as a single purchase, the Plum Tree Pavilion Mega Bundle includes the apartment, clubhouse, and furniture bundle for this space. Now you can enjoy everything this elaborate space has to offer.|Bundle-Scene|L
00A69035-639A496E-AFE8DCE6-A19E96A7|Ayanami Rei Spectacular Wig Set|This set of costumes allows you to become Ayanami Rei. This set includes the following items for avatar customisation. Ayanami Rei Spinning Wig/Head - Ayanami Rei Spinning Interface/Head Accessory *When purchased, each item will be added to the relevant category in the Customise Avatar section. Colour.|Bundle-Clothing|S
00B19041-50684FE9-BA003AD6-BAC944B6|Sodium Desert Raver Ultimate Pack (for Female)|Sodium Desert Raver Ultimate Pack (for Female) This pack includes the following Sodium Feather Mohawk with Hairstyle - Pink Sodium Scorpion Shades - Magenta Sodium Happy Daze Halter Bikini - Sundae Sodium Desert Trike Shorts - Sundae Sodium Neon Stomper Boots - Purple Chalk (for Female) Sodium Parakeet Epaulettes - Tropical Sodium Feather Mohawk with Hairstyle - Teal Sodium Scorpion Shades - Ocean Sodium Happy Daze Halter Bikini - Bright Skies Sodium Desert Trike Shorts - Bright Skies Sodium Neon Stomper Boots - Royal Oil (for Female) Sodium Parakeet Epaulettes - Paradise Invited to a rave in the baking hot Sodium desert? Weve got it covered.|Bundle-Female|L
00CBA776-DF2242BD-9026C826-47C0D191|VEEMEE Locomotion - Motor Vehicle Bundle|Ride in style with these motorised locomotions. This bundle contains (1) Go-Kart - Red (2) Go-Kart - Blue (3) Go-Kart - Flames (4) Classic Scooter - Black (5) Classic Scooter - Cream (6) Classic Scooter - Pink (7) Classic Scooter - Baby Blue (8) Classic Scooter - Union Flag (9) Classic Scooter - Il Tricolore|Bundle-Locomotion|L
0134D583-377F4A98-93608C0D-8EC101EB|Red Brick Tile Set|A set of red brick tiles. This set includes the following items for customizing your personal space. Red Brick Tile - Square (Ornaments) Red Brick Tile - Wedge (Ornaments) *Each item will be added to their relevant wardrobe and furniture category.|Bundle-Furniture|L
