id|name|desc|category|thumbnail
002BCC9B-D754451E-98659D3E-28F7751F|Tropical Flower Decoration & Moo Moo Set (Purple & Green Female)|Two Pieces Of Flower Decoration With Purple Flowers And A Green Muumuu. Defense Tropical Degree ~ This Set Includes The Following Items. Tropical Flower Ornament (Purple Female) (Head Accessory) Muumuu (Tropical Green Female) (Combination) When Purchased, Each Item Will Be Added To The Appropriate Category.|Female-Bundle|L
006FEC54-D52A4479-99256F27-AF2E6409|Bollywood Star Bundle - Pearl|Bollywood Star Bundle - Pearl This pack includes the following Bollywood Star Crop Top - Pearl Bollywood Star Maxi Skirt - Pearl Bring a taste of the East to your wardrobe with this Bollywood inspired garment.|Female-Bundle|L
015E1382-9564472D-A7CAEAAB-A8DE71AD|Madam Wildfire Outfit (Female)|Looking like Super Fly on a Friday. Bundle includes hat, top, pants, rings, and shoes.|Female-Bundle|S
01DB38AE-F4174937-8F353E52-EC81DFFD|Queen of Hearts Bundle|This Valentines day, the quality and attention to detail of Altamar blend with romance to create this exclusive line. This limited edition is a unique design, accompanied by a line of warm and captivating accessories. Fall in love with class, fall in love with Altamar. This bundle contains - Queen of Hearts - Altamar Flirty Shoes - Altamar Red HandBag - Gold Necklace|Female-Bundle|L
028266EA-CB214D06-9EC90BE1-CC09820F|Holy Set (White Women)|The Costume Of Holy Unit Organized In Order To Fight Against Zombies. You Can Cultivate New Type Of This By Advancing L-Project. The Effect Of This Item Is To Make New Type As Same As The Other Holy Set. This Set Contains The Following Items Holy Cloak (White Women) (Outfit) Holy Veil (White Women) (Head) Items Are Added To Each Category After Purchase.|Female-Bundle|L
02977C93-B35E4B67-A630BCD2-782D4485|Mercian Defender Khul Armor (Female)|Mercian Defender Khul Armor (Female) This pack includes the following Mercian Defender Khul Wristguards and Amulet (Female) Mercian Defender Khul Breastplate (Female) Mercian Defender Khul Greaves(Female) Mercian Defender Khul Sabatons (Female) The Defender Armor can withstand the onslaught of heavy attacks, providing unstoppable force and raw power for the dedicated melee Warrior. Fame Required 15.|Female-Bundle|L
0297A870-4C414F72-B76AA2ED-46C0A651|Pop Diva Bundle (Female)|Youll be setting off fireworks when they see you dressed up. Bundle includes a new hairstyle, top, bottom, shoes, a bracelet and earrings.|Female-Bundle|L
02CB8CEE-6C04455B-A1E05AE9-8438D032|Desert Island Designer Pack (for Female)|Desert Island Designer Pack (for Female) This pack includes the following The Desert Island Damsel Desert Island Designer Sandals Desert Island Designer Bracelet Desert Island Designer Skirt Desert Island Designer Top Keep it chic while youre down at the beach.|Female-Bundle|L
02E0967E-54224C5C-B792DD97-B4FB6F17|Glow Heart Bundle - Pink|Glow Heart Bundle - including High Tops, Corset and Earrings|Female-Bundle|L
03067D1A-8A1D4AA0-A7EC2A7C-E9EE1E4F|Contrast Bundle|This bundle contains Contrast Studded Wedge Boots, Black Belted Jeans, Contrast Skull Vest Top and Contrast Black and White Gloves|Female-Bundle|L
032E9637-2F134396-9E306A52-C99BE471|Magic Sparkles - Set (female, black)|Add a touch of magic wherever you go. This content includes the following items Magic Sparkles - Long Animated Dress (female, black) TorsoLegs Magic Sparkles - Short Animated Dress (female, black) TorsoLegs Magic Sparkles - Shoes (female, black) Feet Magic Sparkles - Bracelet (female, black) Hands The items will be added to the relevant categories when bought. By Dani.|Female-Bundle|L
03350632-FD284C9F-A12736CD-7E30DE2D|Black and White Bundle III|This bundle contains -Striped Corset -Striped short skirt -Shoes with thighs -Lace Gloves|Female-Bundle|L
03456492-F9194AF2-A40C34D7-DB3942E9|Monk Armor Set (Female)|You are a holy warrior. Decimate foes with your physical and spiritual prowess in this iconic Monk armor set from Diablo III. The set includes the Monks Master Crown, Monk Cuirass, Monk Legwraps, Monk Treads, and Monk Fists.|Female-Bundle|L
044D02F3-30AA4B43-ABAC46E0-8B8AD18F|SilverSpike Bundle (Female)|And to think this is just SilverSpikes getting the mail outfit. Bundle includes headdress, jacket, leather pants, knee-high boots and of course, lots a spikes.|Female-Bundle|S
049C72EE-05594D4F-854EE6B3-8E58436C|Kalila Clothing Pack - Onyx (for Female)|Kalila Clothing Pack - Onyx (for Female) This pack includes the following The Kalila - Onyx Band (for Female) Kalilas Bikini Top - Onyx (for Female) Kalilas Sarong - Onyx (for Female) Kalilas Pendant - Onyx (for Female) Kalilas Ankle Bangles - Onyx Polish (for Female) The Kalila always aims to look her best for every ocassion.|Female-Bundle|L
04B97AC7-A1004F03-997733F3-557F2ACD|Magical Dress Set (Chocolat)|Color Variation Of Magical Valentines Dress Set. This Set Includes Cute Items In White And Chocolatey Colors. This Set Includes The Following Items For Avatar Customization. Magical Dress (Chocolat) combination Magical Boots (Chocolat) shoes Magical Crown (Chocolat) head Accessory Magical Stick (Chocolat) hand When Purchased, Each Item Will Be Added To The Appropriate Category In The Customize Avatar Section. Magical Dress (Chocolat) Combines Tops And Bottoms Into A Single Item. Please Note That Each Item Cannot Be Used Individually.|Female-Bundle|L
04C6E9DC-CDC74699-B4B0ED7F-A899A0FA|Rave Star Bundle|This bundle contains -Rave Love Top -Rave Star Skirt -Rave Yellow Boots (female)|Female-Bundle|L
