id|name|desc|category|thumbnail
00000000-00000000-00000000-01050002|Bar Shoes||Female-Feet|S
00000000-00000000-00000000-01050014|Sandals||Female-Feet|S
00000000-00000000-00000000-01050019|Yellow Sandals|A splash of yellow brings these stylish sandals to life.|Female-Feet|S
00000000-00000000-00000000-01050020|White Sandals|These sandals look great with anything.|Female-Feet|S
00000000-00000000-00000000-01050024|Basketball Boots|Athletic eight-hole basketball boots with toe cap detail.|Female-Feet|S
00000000-00000000-00000000-01050028|Court Shoes||Female-Feet|S
00000000-00000000-00000000-01050034|Pointed Ankle Boots|Brown leather ankle boots with pointed toes and buckle detail.|Female-Feet|S
00000000-00000000-00000000-01050039|Biker Boots|Rugged, tough boots. Great in any conditions.|Female-Feet|S
00000000-00000000-00000000-01050041|Work Boots|A solid seven holed work boot.|Female-Feet|S
00000000-00000000-00000000-01050048|Walking Sandals|Free those toes with these strappy leather sandals.|Female-Feet|S
00000000-00000000-00000000-01050049|Tan Walking Sandals|Look and feel great in these tan walking sandals.|Female-Feet|S
00000000-00000000-00000000-01050050|White Walking Sandals|Casual, comfortable and practical, these white walking sandals will make you look and feel great.|Female-Feet|S
00000000-00000000-00000000-01050051|Black and Grey Trainers|Retro-style trainers in black and grey with vibrant red laces and purple socks.|Female-Feet|S
00000000-00000000-00000000-01050052|Sports Trainers||Female-Feet|S
00000000-00000000-00000000-01050053|Purple and Beige Trainers|Retro-style trainers in purple and beige with vibrant green laces and pink socks.|Female-Feet|S
00000000-00000000-00000000-01050054|Red and Beige Trainers|Red and beige retro trainers with light blue laces and lilac socks.|Female-Feet|S
00000000-00000000-00000000-01050055|Bare feet||Female-Feet|S
00000000-00000000-00000000-01050056|Heels|Every woman should own a pair of high heels.|Female-Feet|S
00000000-00000000-00000000-01050060|Cream and Blue Beach Shoes|These cream and blue beach shoes are perfect whether youre on the beach or off it.|Female-Feet|S
001A7D15-B8934E24-A2514D5A-25720E0A|Blue Heels (Female)|These heels will always snag some attention on the beach.|Female-Feet|L
0035C8F7-71C843DF-863BF9EE-6D52BFF3|Police uniform-shoes (Women)|Shoes worn by people of police service.|Female-Feet|S
00533EC5-69A648E7-9706651A-9FB4713F|Front Laced Moccasin - White (Female)|These chic laced moccasins crafted from high quality suede. These boots are expertly crafted so that they will last you a lifetime, and the laces will never accidentally come undone.|Female-Feet|L
0053BB70-F9DD4273-805CD58E-4B425BAE|White Elegant Sandals (Women)|A pair of eye-catching white sandals with a big floral decoration on top.|Female-Feet|S
0075E12C-14744391-B2BB3219-0C88900C|Lidiceas Boots (Legendary Armor)|The Legendary Armor of Lidicea, the Queen of Mercia who abdicated her throne to unite the lands, uniting the people against the shadows and forming the Guardians of Mercia.|Female-Feet|L
0097C9E6-2F4F4F81-AB529F5D-19BEF509|Ajagara - Dragon Scout Sabatons (for Female)|The Dragon Scouts are highly revered guardians of Ajagara. They scour the skies with their trusty dragon mounts to ward off threats from the enemies of their proud nation.|Female-Feet|L
00B238DE-736F4F38-9E1C48B2-B52E1C48|Shin-length, Large Lame Rain Boots (black Female)|Shin-length, Thick Tube, Black Lame Rain Boots Perfect For Rainy Days. Defense Outdoor Degree |Female-Feet|S
00DA4DB9-8A884493-83302625-A578ED36|Open toe pumps (White and Navy blue, Women)|Pumps with toes part opened. Defensive Strength Cuteness |Female-Feet|L
00DBAEB6-404540DF-9BB3393B-3878811B|Female Ghostbusters Costume Boots.|Feet section of Ghostbusters Costume.|Female-Feet|L
00FCA6EC-B5F04B9F-AAC3B951-81B5272D|Foldover Ankle Boots - Black|Kitsch and kicking.|Female-Feet|L
00FF6616-9A244E1A-9CF7D47A-F5BA6A34|FABULOUS Shoes - Tiger (for her)|FABULOUS is our new fashion label. Go for the full colour block look or mix and match for a touch of individuality. Make an impression whatever the occasion. Look Fabulous.|Female-Feet|L
011EF424-C6ED4147-96A7AAC3-A893DB9A|Flashy Patent-Leather Shoes (Yellow Women)|Dazzling bright yellow patent-leather shoes. Paired with black socks.|Female-Feet|S
01590B1A-93364214-9F8334D9-14FCE551|Monotone Anklet Heels (Purple, Women)|A pair of heels with an elegant hue, giving off an air of nobility. Defensive Strength Gorgeousness *A gift from GZ gift|Female-Feet|L
01650FF2-784E4CE5-AF13F924-653403BC|Hot Pink Rock Boots|Alternative Rock Boots with glossy hot pink panels.|Female-Feet|L
017F4697-61A94F3A-92AFC08C-D0D0A9E4|Blue Santa Boots (for Women)|Santacostume FB02|Female-Feet|S
0185244A-C4174ECA-93991169-748BFAC4|Student Shoes And Socks (white Female)|Pure White Leather Shoes For Students, Giving A Noble Impression. Defense Youthfulness |Female-Feet|L
019322BA-D2CF4D29-BCEB912E-C70B4EE4|Infiltrator Stealth Boots - Feist|Iron Fusions scientists have perfected a lightweight stealth suit that also showcases some of the toughest Armor in this universe for when interplanetary espionage goes wrong. The Plasmablade helps with that too.|Female-Feet|L
019367BC-80E94297-A7AC418D-28A3D0E3|Turkey Feet|Gobble gobble.|Female-Feet|S
01D69B26-C2804B2C-B7BFF5E7-0AC8BA80|White Charming Sandals (Women)|A delightful pair of white sandals with a floral decoration attached.|Female-Feet|L
02237BB8-2A6E496D-AF32F197-8631A88C|Red Boots With Boa (short Type Female)|Red Fabric With White Boa, Short Type Defence |Female-Feet|S
02E48154-A77D4058-875E7310-C3C4422B|Classy School Uniform Shoes (White Socks Women)|High-quality brown leather loafers. Paired with white high socks.|Female-Feet|L
03164AF6-42634D33-B3E5090C-552AD528|Yellow Clogs|Because we are Dutch we wanted to give you a virtual Dutch souvenir, a pair of Dutch clogs. Join the club of cloggies.|Female-Feet|L
0319448C-A1B74881-8AEB9539-198EF565|Cowboy Boots - Black (Female)|This is a mighty fine pair of boots right here.|Female-Feet|L
033DBD75-00FA4F0F-8CA675EB-50FEB107|Black Shoes RaceOn. (Women)|Every pit stop beauty needs stunning stilettoes, these are stylish black.|Female-Feet|L
038017B6-8FB84BE1-A3F8DC7D-8CE2BAEC|Drey Wedge Boots - Black|As soon as she walked into his office, he knew disaster was just around the corner. He also knew he would follow her round that corner willingly |Female-Feet|L
03C9D397-442E4517-8ECA8DC0-C72FA64C|Tetrams Boots|Standard issue black boots, for standard issue protection.|Female-Feet|L
03FDE8B7-64FC4065-AC57D276-AB2026EF|Animal Boots (Pink For Women)|Female Feet Furboots04|Female-Feet|P
040FD92E-D3EE4C32-955C1148-48F67A78|Magic Sparkles - Shoes (female, black)|Add a touch of magic wherever you go. By Dani.|Female-Feet|L
041D2727-F6524C06-BD9FCAF6-2E0716D4|Kalilas Ankle Bangles (for Female)|The Kalila always aims to look her best for every ocassion.|Female-Feet|L
043C571C-84384995-81B8817B-64A30DDC|Mercian Fighter Khul Boots (Female)|Fighter Armour is strong enough to withstand attack yet light enough to allow the fighter to avoid incoming peril.|Female-Feet|P
0459DBDE-8BB04A99-B7D9EB33-80D0C7C7|inVerse Laceless Low Sneakers - Tactical Black - Female|The inVerse canvas Laceless Low sneaker is the perfect shoe to compliment any outfit.|Female-Feet|L
045E3DE1-282A4E1E-AC1C63B2-CC11459B|Butterfly Heels|These fashionable heels come with animated butterflies.|Female-Feet|L
04EA9690-3F184FB6-90155084-413D8A28|Silver biker boots for women|Those timeless boots with a shiny metallic sheen will spice up any casual outfit.|Female-Feet|L
05128762-F5564E5B-AD794A2C-41E70A6E|Gothic Platform Boots|Black leather platform boots. Dance under the midnight moon in this arcane apparel.|Female-Feet|L
052A82CD-41A645F7-A2F4A14F-627FFE4C|Lockwood Motorcycle Club Boots - Brown (for Female)|Only for the baddest bikers.|Female-Feet|L
056C3583-119A46E5-80D7ADFC-F21EA022|Sodium Pilot Chilli Boots (for Female)|Sodium Pilot Outfit - Chilli Red Edition.|Female-Feet|L
0581D3E0-26724C1A-93506001-65BF77A6|Skelly Kelly Fluoro Jelly Sandals|Skelly Kellys a picture of health she glows. . . In the dark.|Female-Feet|L
0642146D-6C954D3C-97BF3AB5-C49D80A1|Roller Skate Shoes, Rocket Type (White, Women)|Shoes outfitted with Rocket Type Roller Skates. Defensive Strength |Female-Feet|L
0658A913-B2504F96-8C7ECF91-E51006A9|Jewel Thiefs Boots - Russet (for Female)|Made from soft, silent leather, perfect for creeping unnoticed into vaults or treasure troves.|Female-Feet|L
06793EA2-D4DD414F-8DDBC4A9-65FB21AA|Animated Glowing Shoes (Red)|The revolutionary animated glow range - the best way to stand out in a crowd|Female-Feet|L
0681E10A-EBB946F2-AE9152A9-A29522EC|Trainers (Pink, Women)|Sporty trainers with laces. * A present from GZ Gift|Female-Feet|L
06891D3D-A2634146-8AB5FF2D-B5B7595C|Elvish Fantasy Boots (Female)|These boots are great for kicking through your opponents.|Female-Feet|L
0706560D-5A444072-BAA54455-4C1EDB05|Suede Boots - White|Give a girl the right shoes, and she can conquer the world - Marilyn Monroe.|Female-Feet|L
