id|name|desc|category|thumbnail
00000000-00000000-00000000-01060001|Circular Framed Spectacles|Circular Framed Spectacles|Female-Glasses|S
00000000-00000000-00000000-01060002|Light Frame Glasses|Light Frame Glasses|Female-Glasses|S
00000000-00000000-00000000-01060006|70s Sunglasses|Be unique in these great vintage 70s sunglasses.|Female-Glasses|S
00000000-00000000-00000000-01060011|Big Sunglasses|Big Sunglasses|Female-Glasses|S
00000000-00000000-00000000-01060012|Half Frame Sunglasses|Protect your eyes in these cool half frame sunglasses.|Female-Glasses|S
00000000-00000000-00000000-01060013|Wraparound Sunglasses|Smooth lines and wide frames in these stylish wraparound sunglasses.|Female-Glasses|S
00000000-00000000-00000000-01060014|Glam Sunglasses|Chic purple wraparound sunglasses.|Female-Glasses|S
00000000-00000000-00000000-01060016|Sport Sunglasses|Sleek and stylish sport sunglasses, a great look wherever you go.|Female-Glasses|S
00000000-00000000-00000000-01060017|Star Sunglasses|Lights, camera, action Feel every bit the star in these.|Female-Glasses|S
0106BD8D-7BCD401B-A7F0FD95-E1A6DA53|Orange Spuntacles (female)|Orange Spuntacles (female)|Female-Glasses|L
020A2745-EF40407B-B8685A77-22FA9F96|Lying False Nose 1st Level (Mermaid Female) INC.|1.3.2.27.PUB|Female-Glasses|S
0246358B-25C04937-858FF556-FA57F1AB|Lying False Nose 2nd Level (Centaur Female)|Lying False Nose 2nd Level (Centaur Female)|Female-Glasses|S
028EC957-869B4179-9E2C6E62-C617381E|Triangular Shades (for Female)|Put together an anime cosplay costume, or maybe just an outrageous outfit. Lockwood has all the finishing touches.|Female-Glasses|L
032446D3-F62946F6-947813A4-4AC9F3D0|Crew Bandanas - Beardy (Women)|Join the crew with one of these bandanas.|Female-Glasses|L
035CF768-714843A4-BCFC132C-E72D4CF5|Virus (Chaysusu) Mask (Women)|Mask In The Shape Of The Virus (Chaysusu) From The Escape Virus. (Women)|Female-Glasses|S
039C853A-9CE14C06-81F44EAC-0E4AE3AB|Hunter Infrared Goggles (for Female)|Seems you can spot a Yeti at five hundred paces. Accept these goggles as payment for thinning the herd.|Female-Glasses|L
0428B34C-7CE1464F-B1FE786A-EEDAE3AA|Disco Glasses|Protects your eyes from mirror balls, not the sun.|Female-Glasses|S
04292F10-449941D1-A3F36AB2-63FCB274|Yellow Heart-Shaped Sunglasses (Raised, F)|A pair of heart-shaped sunglasses with yellow-tinted lenses. *Item is worn raised and can be selected from Glasses.|Female-Glasses|S
