id|name|desc|category|thumbnail
00000000-00000000-00000000-01010001|Ponytail|Description|Female-Hair|L
00000000-00000000-00000000-01010002|Ponytail with Fringe|Ponytail with Fringe|Female-Hair|L
00000000-00000000-00000000-01010003|Pigtails|Pigtails|Female-Hair|L
00000000-00000000-00000000-01010004|Short Crop|Short Crop|Female-Hair|L
00000000-00000000-00000000-01010005|Bob|Bob|Female-Hair|L
00000000-00000000-00000000-01010006|Punky|Punky|Female-Hair|L
00000000-00000000-00000000-01010007|Large Afro|Large Afro|Female-Hair|L
00000000-00000000-00000000-01010008|Shaved|Shaved|Female-Hair|L
00000000-00000000-00000000-01010009|Loose Hair Up|Loose Hair Up|Female-Hair|L
00000000-00000000-00000000-01010010|Sleek Bob|Sleek Bob|Female-Hair|L
00000000-00000000-00000000-01010013|Mid length with Alice Band|Mid length with Alice Band|Female-Hair|L
00000000-00000000-00000000-01010014|Sleek Crop|Description|Female-Hair|L
00000000-00000000-00000000-01010015|Layered Bob|Layered Bob|Female-Hair|L
00000000-00000000-00000000-01010016|Chunky Mid Length Layered|Chunky Mid Length Layered|Female-Hair|L
00000000-00000000-00000000-01010017|Punk Spikes|Punk Spikes|Female-Hair|L
00000000-00000000-00000000-01010018|Sleek Side Parting|Sleek Side Parting|Female-Hair|L
00000000-00000000-00000000-01010019|Mohawk|Mohawk|Female-Hair|L
00000000-00000000-00000000-01010020|Cropped Mohawk|Cropped Mohawk|Female-Hair|L
00000000-00000000-00000000-01010021|Mid Length Wavy|Mid Length Wavy|Female-Hair|L
00000000-00000000-00000000-01010022|Fringed Bob|Fringed Bob|Female-Hair|L
00000000-00000000-00000000-01010023|Cornrows|Cornrows|Female-Hair|L
00000000-00000000-00000000-01010024|Bantu Knots|Bantu Knots|Female-Hair|L
0005F69A-3B064C0E-B878ACC6-364A9AA6|The Hermia|A sleek oversized bun atop the head, high fashion indeed. Hair by Medusa.|Female-Hair|L
00C455C3-E0DC4C83-AE18CB3B-F8C7FA84|The Femme Fatale|As soon as she walked into his office, he knew disaster was just around the corner. He also knew he would follow her round that corner willingly |Female-Hair|L
01920970-9A364375-A80B678B-026D2F90|Devilish Bob|A devilish bob haircut. This hairstyle will be the defining accessory to any look.|Female-Hair|L
01A796B2-51B34685-AAE47C1F-A5887C8C|Formal Affair|Styled long bangs in with an updo tail. This hairstyle will be the defining accessory to any look.|Female-Hair|L
02C2C93F-1B5C415B-872B0FBE-368B0306|The Venetian Baroness|The Venetian Duchess wont be out-coiffured on the dancefloor. Hair by Medusa.|Female-Hair|L
035E69FB-0F364CB5-90CB7677-B1668A5C|The Ramona - White|Delirious Squid and Medusa have collaborated to bring you these wild styles straight from the scene. Hair by Medusa.|Female-Hair|L
03867B07-890E4B68-84DB131A-C3F0A957|Country Ladys Updo with Headband - Felicity|Abbey Hills finest quality clothing for the most elegant of country folk|Female-Hair|L
045C6049-34AF43CA-ABF57686-C9EEF1EA|Holli Hairstyle - Pink Streak, Pink Clip|Complete your look this season with an exciting new hairstyle.|Female-Hair|L
053CDE9C-E4F746A6-B87133F9-410BCB39|Kawaii Short Hairstyle|Join the sweetest revolution. Kawaii is the cutest collection inspired by Asian designs, it combines pastel tones with the Pop style, it s the most original mix around.|Female-Hair|L
05F07EDA-77AA495F-84040CC1-05287C17|Split Ends - Highlighted Tied Hair - Teal (Women)|Hair tied up in a ponytail with teal highlights. Grab yourself a new look with these fashionable hair styles.|Female-Hair|L
061916DA-E9A94484-81951278-077B71D4|The Patti|Patti is a punk rocker.|Female-Hair|L
