id|name|desc|category|thumbnail
00000000-00000000-00000000-01020000|Bare Hands||Female-Hands|S
00000000-00000000-00000000-01020001|Fingerless Lace Gloves|Fingerless Lace Gloves|Female-Hands|S
000DBCFD-8B814FD3-91E3CCB9-CA88417E|Morocco Wasp Gloves|Smart leather gloves with a sci-fi twist.|Female-Hands|L
001AC637-75554FBB-AF61FFD5-E708BAAF|Gran Turismo 5 Schick Racing Gloves|Exclusive Gran Turismo 5 Schick Racing Gloves.|Female-Hands|S
0062DBE8-612143F5-9B10B1C2-BDFF7076|Anime Ninja Kunai and Gloves - Black (for Female)|Live your life as a noble Ninja or just cosplay for fun.|Female-Hands|L
00877438-BC7B47EE-804A89D3-A01C566C|The Secret Party Garden Boho Rings and Flowers (Female)|Look and feel part of the party with this boho clothing item from nDreams.|Female-Hands|L
0094DABE-511D4516-A6A1B9B6-337E244B|Animated Poison Axe (Female)|Forged deep in the tropical rainforest, infused with toxin, a venomous liquid seeps from the blade.|Female-Hands|L
009551BB-650C486D-B2B5890B-25B1D79B|Cornet Bracelet (Women)|Bracelet worn by Cornet, who went off searching for her father the adventurer. With blue nail polish on the fingernails. (From Legend of Hero NARISOKONAI)|Female-Hands|S
0099DA14-9FFC4F48-AAC67890-AE5A249F|Dirtbike Gloves - Pink (Female)|Protective gear for riding on a dirtbike. This will protect your hands.|Female-Hands|L
00AD1057-AC604994-85B3868E-88139D3B|Bollywood Star Hand Henna|Bring a taste of the East to your wardrobe with this Bollywood inspired garment.|Female-Hands|L
00B359F4-EC3147EB-A24272D6-E6E81FD0|Karma Power Aura (Female)|Rewarded for free to gifters generous enough to reach Karma level 14 in the Giftinator 9000 from Hellfire Games.|Female-Hands|L
00BDEBB9-9D17469A-BC0EF519-EA9704E5|Drey Chunky Bangles - Lemonwood|A must-have for any trendsetter. Update your look instantly with Dreys solid slip-on bangles.|Female-Hands|L
00C187B1-FB874D02-A6DA7EA1-48A5DE8A|Anime Animal Attire Cat Tail - Gray (for Female)|If youre feline foxy (get it?) then dress up in these animal inspired items. Very Kawaii.|Female-Hands|L
00D3C6C7-D2F94DA3-82ED3416-6089F7F7|Sodium2 - Project Velocity Gloves - Black (for Female)|Ultra lightweight and super tough, the Sodium2 - Project Velocity Range offers ultimate protection combined with anti-drag technology.|Female-Hands|L
00E43254-CA8F4BB8-818BEE32-FC11402E|Meito Dotanuki When Obi (Female)|The Blade Flesh Is So Thick And Heavy That It Can Split A Helmet In Half. (with A Sword Belt) Attack Power +|Female-Hands|L
010BC887-68DB41FB-8C222B51-0B0AB2A2|Lacy Gloves with Ring and Nail Polish - Sugar Plum|Victorian elegance meets Gothic mystique in these beautifully crafted gloves.|Female-Hands|L
0121FF89-7F054BC3-9EE2E359-B59EB223|Diamond Aura - April (Female)|Show your birth month pride with this birthstone Aura.|Female-Hands|L
01264531-8088478F-97552FEE-9E5F1CBE|Beam Katana LV1 (Gray Female)|Beam Samurais Main Weapon. Attack Power + Attribute Electricity Resistance Kikai Machine Degree Enhancement Level LV1 Charge Attack Available It Can Do Little Damage To Mononoke Exterminating Enemies. Special Abilities Are Limited To The Kikai Machine Empire.|Female-Hands|L
01275172-E43C42ED-87A04571-B5F69714|Retro Ray Gun - Green|2130s technology with a classic 1950s look.|Female-Hands|L
01899D4C-72F54F97-B5850533-7AE1D47B|Trident (female In Combat)|Trident (female In Combat)|Female-Hands|L
018C0629-A5124229-89DEDE18-30D6B48F|Female Diamond Poker Bracelet||Female-Hands|S
01B7F03A-54A34F57-A08184BC-058E3CB0|Japanese Hagoita for New Year 2012 - Type B (Women)|A Japanese hagoita to celebrate the coming of the new year 2012. The number 0 of 2012 is printed on it.|Female-Hands|S
01E0EB76-672D4A9F-AF573696-27FCBC2F|Japanese Hagoita for New Year 2010 - Type A (Women)|A Japanese hagoita to celebrate the coming of the new year 2010. The number 2 of 2010 is printed on it.|Female-Hands|S
01FA41B8-83834795-A014B705-8BD72E7A|Tsunami Wand (Female In Combat)|Tsunami Wand (Female In Combat)|Female-Hands|S
020EB496-60E642A1-9CF61BE2-49C4C06F|National Flag - Algeria (Women)|A hand held national flag. Who will you support? Exclusive to the Football Mania Acorn Meadows Park.|Female-Hands|L
024B977F-21E14AEB-8341B169-C443068B|Lantern (Female)|There are no flashlights in the wild west.|Female-Hands|L
025436CF-81D644D2-A8F2120D-B145F87D|Publicitys Watch.|Watch.|Female-Hands|S
0276007D-1F25479E-B87A9054-E60BADE8|Dirtbike Gloves - Red (Female)|Protective gear for riding on a dirtbike. This will protect your hands.|Female-Hands|L
0283A2B7-1B9C47D6-89321111-8BA5CBD7|2012 Japanese Kite Part 1 (Women)|2012, Japanese Kite Part 1 Made By Peakvox Imitating The Year Of The Dragon (Women)|Female-Hands|S
0310160F-364E435F-B2BBF160-4C0DF23E|Watering Can (for Female)|The sun is shining, the bees are buzzing, the flowers are Oh. The flowers arent doing anything yet. Better get down to work.|Female-Hands|L
034A3E48-C2714536-8DEB0A89-55285B51|Glowing Fan (Blue With Polka Dots Female)|Glowing Fan With Polka Dots On Blue Background. Gorgeousness |Female-Hands|L
03709740-E89448D3-AC2B0A98-8172D737|Baseball Bat - Lockwood Legends (for Female)|Batter up. Whose side are you on? Sponsored by Double Time - Hitting sportswear out of the park.|Female-Hands|L
0378D769-48354EC4-B66DF032-A1A1674D|Big Red Boxing Gloves|Danger. Do not run around Home smacking people with these gloves.. You have been warned|Female-Hands|S
039829B9-48EE4974-B71EEC9D-AE208BF8|Bow Fujimusume(Female)|Female Hands BowOBJ|Female-Hands|L
03AB924A-CF2845E8-A66BD431-0387E48F|Glowing Umbrella (Yellow Female)|Holding In Her Hand, A Yellow Glowing Umbrella.|Female-Hands|P
03B2EF82-E3844ECB-A852F727-043630AB|Vuvuzela Yellow (Female)|This Is An Elongated Trumpet-shaped Cheer Horn Unique To Africa.|Female-Hands|S
03BC05DA-7C8242FF-A6302325-B40E2078|Express Your Color Purse and Bracelet (Female, Black)|Express yourself with this stylish purse and bracelet in various colors. By Dani.|Female-Hands|L
03C37EA4-FF814C60-8E9C3401-81B4AFDF|Star Of The Tanabata Bracelet (Orange Female)|This Bracelet Is Inspired By The Star Of The Tanabata. Magic |Female-Hands|S
03F4C778-6BCC4556-B2937CC2-353DECED|Golden Rod (Black Iron Female)|A Huge Golden Rod Boasting Overwhelming Destructive Power. Attack Power Vs. Oni Attack Power |Female-Hands|S
03FD7758-998A45D5-B43DACAF-D165E0A6|Twin Bazelard Dagger (Female)|Female Hands Arms 2sword02|Female-Hands|L
043531D1-CD3F4D4B-AD0A8473-BB86B11C|Excalibur In White Silver (Female In Combat)|The Weapon Is In The Hand For Combat During The Mini-game.|Female-Hands|L
0490FB9C-2238469A-B190AD78-A833F4F2|Diamond Encrusted Designer Purse|The most high end of designers encrusted their latest design with diamonds.|Female-Hands|L
049E16E6-B4E94135-B409E207-D3392293|Uproar - Swyfts Leather Gloves|Represent your chosen Uproar gang by wearing this clothing item in-game and around PlayStation Home.|Female-Hands|L
04B65B3B-9B7040FB-A86E3428-F9A2BECA|Battou Yo-Yo In Hand (Red Female)|Battou Yo-Yo In Hand (Red Female)|Female-Hands|L
04EAB38A-8EDC4DCC-A7CE0349-93E26FA4|Party Axe (Female)|Wear your axe with pride, embedded in your back.|Female-Hands|S
05052F9A-CC3142F5-B920E716-0E219DF7|Blue Feather Clutch Purse (for Female)|Beautiful and useful too.|Female-Hands|L
052CF7CB-B03743E6-AC72A4E1-B9EC50DE|JTTW Sha Wujing - Spade (Female)|Become the Water Buffalo himself. This clothing item is taken from the Sha Wujing character set.|Female-Hands|L
053982B8-979442A5-A7C0087F-D1C0A8BD|Dagger (F)|A small, handy dagger. (From Semifinalist Fantasia) Attack + Defence - Combo 4 Attribute - *Weapon is held in the hands during combat and slung over the back at all other times.|Female-Hands|S
0585BCD9-CCEF434E-875247B2-329E6AEB|Deathscythe (Female)|Female Hands Deathscythe|Female-Hands|L
058914BC-480D4E80-90BAE72D-1F49185E|Ivory Swan Song Forearm and Calf Tattoos|These special ladies only tattoos are elegant and intricate. Show the guys girls can be edgy and feminine at the same time. Note Not all Torso or Leg items are created equal. When purchasing this Tattoo accessory item it may not work well on all clothing items. Please feel free to pick up our complimentary Bare Canvas torso item for male female to properly display your new ink.|Female-Hands|L
05A497DA-354D4C9A-A44BE4CD-19FEDCD6|Severance - Leather Gloves - Brown (Women)|Leather gloves designed for practical use. Exclusive to the VEEMEE 3D Printer.|Female-Hands|L
05DBA74E-FF3C4254-9CAB4E2E-E4347B74|Magical Stick (Mint)|Stick Included In Magical Dress Set (Mint).|Female-Hands|S
05E1E202-9A074D5A-880C1CD8-DDECF092|Espionage 9 Spy Case (Female)|Every spy needs a spy briefcase. Who knows what wondrous gadgets are kept inside? This item was won from the Espionage 9 game.|Female-Hands|S
05EA2D31-77D54CB0-B6E828C2-7994DF7D|Afterimage Spear And Mikaeshi Shield (Female)|A Set Of A Spear That Creates An Afterimage When It Attacks, Illuminating The Opponent, And A Shield With The Intention Of Using Its Owner As A Shield To Dodge Enemy Attacks Itself. (From Semifinalist Fantasia) Attack , Defense , Combo 2, Attribute Curse The Weapons Are Worn On The Hands During Combat Events. The Weapon Is Worn On The Hand During Combat Events, And On The Back During Normal Times.|Female-Hands|S
0609D071-75464310-A634D833-2DC694E6|Wand Of The Thunder God (Female In Combat)|Wand Of The Thunder God (Female In Combat)|Female-Hands|S
