id|name|desc|category|thumbnail
00000000-00000000-00000000-01010028|Beanie Hat||Female-Hat|S
00000000-00000000-00000000-01010031|Black Bucket Hat|The perfect accessory to add to your hat collection. This simple black bucket hat looks great and keeps the sun off.|Female-Hat|S
00000000-00000000-00000000-01010032|Blue Bucket Hat|Summer has arrived. Look no further than this blue bucket hat.|Female-Hat|S
00000000-00000000-00000000-01010033|Brown Bucket Hat|This simple brown bucket hat combines practicality and a great retro-look.|Female-Hat|S
00000000-00000000-00000000-01010034|Bucket Hat||Female-Hat|S
00000000-00000000-00000000-01010035|Blue Floral Bucket Hat|Look your best with this blue floral-patterned bucket hat.|Female-Hat|S
00000000-00000000-00000000-01010036|Khaki Bucket Hat|Look great and avoid those harmful UV-rays with this great khaki bucket hat.|Female-Hat|S
00000000-00000000-00000000-01010037|White Bucket Hat|This simple white bucket hat looks great and keeps the sun off.|Female-Hat|S
00000000-00000000-00000000-01010038|Baseball Cap||Female-Hat|S
00000000-00000000-00000000-01010039|Blue Baseball Cap|Keep your head covered in style with this classic baseball cap in blue.|Female-Hat|S
00000000-00000000-00000000-01010040|Powder Blue Baseball Cap|Authentic 1950s baseball cap in powder blue.|Female-Hat|S
00000000-00000000-00000000-01010041|Pink Baseball Cap|Authentic 1950s baseball cap with a feminine pink twist.|Female-Hat|S
00000000-00000000-00000000-01010042|Red and Blue Baseball Cap|Classic baseball cap in blue with red peak.|Female-Hat|S
00000000-00000000-00000000-01010043|Black Do-rag|Plain black do-rag.|Female-Hat|S
00000000-00000000-00000000-01010044|Jungle-Camo Do-rag|Classic jungle-camo do-rag.|Female-Hat|S
00000000-00000000-00000000-01010045|Pink-Camo Do-Rag|The do-rag gets a feminine twist with the pink camouflage pattern.|Female-Hat|S
00000000-00000000-00000000-01010046|Urban-Camo Do-rag|Keep your edge with this urban-camo do-rag.|Female-Hat|S
00000000-00000000-00000000-01010047|Red Do-rag|Plain red do-rag.|Female-Hat|S
00000000-00000000-00000000-01010049|Red Skull Do-rag|Edgy red do-rag with skull pattern.|Female-Hat|S
00000000-00000000-00000000-01010050|Stars and Stripes Do-rag|Support the stars and stripes with the Old Glory do-rag.|Female-Hat|S
00000000-00000000-00000000-01010051|Black and Grey Flat Cap|A classic flat cap, great for all seasons.|Female-Hat|S
00000000-00000000-00000000-01010053|Red Flat Cap|A classic flat cap, great for all seasons.|Female-Hat|S
00000000-00000000-00000000-01010059|Cow Girl Hat|A classic cow girl hat with simple leather band.|Female-Hat|S
00000000-00000000-00000000-01010062|Beret|Beret|Female-Hat|S
001EB186-C50B49D6-BA684D9D-5317804B|Bomberman Costume - Normal face (Black Ladies)|Head part of the Bomberman (Black Bomber) Costume. Black Bombers normal, cool expression.|Female-Hat|S
0022DE36-B8904DED-B733DDA8-C43679DD|Gold Enamel Hat (Women)|A gold enamel hat with studs nailed on the surface as the accent.|Female-Hat|S
005DD4FA-05EA4C08-9A9F28DF-3B2C13EA|Mombulo Hat (womens)|Perch this Mombulo stuffed animal on your head to ease the mood with your air of relaxation. Purchasing this item adds 1 LocoRoco to your Loco Island personal space. Up to 20 LocoRoco can be added to Loco Island. Once the maximum is reached, no further units can be added.|Female-Hat|L
0068998E-47834896-8049C08C-334CF679|Elegant Short Hairstyle (Women)|Elegant short hair that is parted to the left. Defensive Strength Sexiness |Female-Hat|L
0084CE82-07384551-90F2EDFD-8958E668|Chignon Hair Style (Double, Women)|A hair style with two chignon buns tied on the top of the head. Defensive Strength Cuteness |Female-Hat|L
0087F72B-D30B4A45-94F35BE5-B32DD579|Lili Wig|Lilis costume from TEKKEN 6. Collect all pieces to complete the costume set.|Female-Hat|L
0088CBF9-CF5B45E4-BA07ECFD-67FD13EB|Pixie Cut Hairstyle (Women)|A short, masculine hairstyle. Defensive Strength Gorgeousness |Female-Hat|L
008D41AF-347647DE-976EF878-0E6A8DD3|Medium Bob Cut Wig (Women)|Soft, round-shaped hair style. Defensive Strength Cuteness |Female-Hat|L
00B70317-9C2E46DE-B7972129-BD80D144|Slouch Beanie - Green|Comfortable, casual and cool.|Female-Hat|L
00B8721A-5AA2429F-B287C51D-5B9349EE|Valkyrie Helmet (for Female)|Theyll have to be formidable to get away with wearing this...|Female-Hat|L
00DC914D-3F054B62-A9ED25DE-0B81E05D|Police Helicopter Helmet (Female)|This is a reward from Home Tycoon.|Female-Hat|L
00E04BC6-447D46A3-8C796767-76F565C5|Robo Spunner Head (female)|Robo Spunner Head|Female-Hat|L
00F59CAD-ADBE4575-A25DEEE7-BA93508B|Pink Wedding Veil with Tiara (Women)|A pink veil flipped over the head with a tiara on the top.|Female-Hat|S
00FFAAA6-73F84764-8B1C236F-FD911CE5|Medium Layered Hairstyle (Women)|A shoulder-length, layered hairstyle. Defensive Strength Gorgeousness |Female-Hat|L
01064D5B-F45143A7-8F827A00-8FC76034|Stripy Beanie - Lucy|Striped beanie with long hair.|Female-Hat|L
011C49B0-538743C9-B00120BC-3DACC9BF|Natural Hair|Be naturally beautiful with this gorgeous hair.|Female-Hat|S
013E13EA-779E4F07-ABFF4970-6668C8F6|Hair Style With Feather Extensions (Blue Female)|Long Hairstyle With Light Blue Lines. Defense |Female-Hat|S
014B2169-A1B14F74-9E881AAB-670ECDFC|Natural Hairstyle, Straight (Women)|A natural, straight short hairstyle. Defensive Strength Sexiness |Female-Hat|L
015B5856-42364BD9-A08C709A-62A50000|Dead Ringer Prize 2 (female)|Dead Ringer Prize 2|Female-Hat|L
01730177-73764343-90E1F8C8-6A2ABF88|Short Twin Ponytail Hairstyle (Women)|A short hairstyle with twin ponytails tied with bows. Defensive Strength Cuteness |Female-Hat|L
01874DD2-4F7A4707-87F19206-86924B7A|Pilot Helmet (Earth Allied Forces Female)|Earth Allied Forces Full Face Pilot Helmet. (From R-TYPE TACTICS II -Operation BITTER CHOCOLATE-)|Female-Hat|S
01B9FE68-7DF441D2-9D8615C1-142F1E9D|Egyptian Cleopatra Crown|Elizabeth Taylor called. She wants her crown back.|Female-Hat|L
01EE42FA-461F42A7-975EB9B5-FFCC6038|Drop Science Cap Left Tilt - Fo Shizzlin|Peaked cap with label.|Female-Hat|L
01FE3F62-27AC48BD-872120C6-CA7D7D56|Foal Classic Fedora - White|Fun and fashionable the hottest trends from Foal.|Female-Hat|L
021404A5-3B624D10-BC49C192-6CDA7E55|Succubus Hairstyle (Black, Women)|Black succubus hairstyle with wings attached. Defensive Strength Magic Power Nightmare Level Sexiness +|Female-Hat|L
0222C964-785F4107-A869D00F-E3F99741|Kabuto Of Dokuganryu (Silver Female)|A Silver, Odd-shaped Helmet Said To Have Been Worn By Dokuganryu Masamune. Attack Power + Defense Power Chic |Female-Hat|L
02375CCA-6E3E4A15-BA33E8F3-28A1D2DC|Goldfish Bowl Head (Female)|Have friends visit your tank 500 times (maximum once daily per friend). This is a reward you wear on your head.|Female-Hat|L
0256B46F-0F384F7C-AE52C39B-C5ADE7EB|Shooting Gallery - Leaderboard Champion Hat (Female)|This is for being on the leaderboards at The Frontier.|Female-Hat|L
027C12AD-EB4F4428-BC3D8BA4-4B52B46E|Showdown - Leaderboard Champion Hat (Female)|This is for being on the leaderboards at The Frontier.|Female-Hat|L
0289D9A8-1E9E4B93-8FE69EB0-5202FDA1|Cleaver Hairstyles (Peach Hachi-maki Female)|Peach-colored Bowl Wrapped Around A Cleaver.|Female-Hat|L
0296D312-AE074818-8B71AFA3-FCFAD7A4|Cammy Wig|Feel like Cammy from Street Fighter IV with this adorable braided wig. Cute. Street Fighter IV CAPCOM U.S.A., Inc.|Female-Hat|S
02DE27DC-1B0A435D-8362CF42-5E9762D8|Big Eyed Owl Hat - Bessie|Shell just perch there all day long. Night too.|Female-Hat|L
02E4DAFB-D25841FB-9CFE4738-258917E0|Silent Hill 3 - Heather Mason Mask|A Heather Mason mask from Silent Hill 3.|Female-Hat|L
02EB72B1-F0574357-AA94ED93-79444D57|Baseball Cap (Red Female)|Cap Worn By Baseball Player. Defense Coolness |Female-Hat|L
02F686F3-7F884E5B-8B0F4045-54045449|The Marion Wig|A long, loose, sophisticated style, ideal for day or evening wear. Hair by Medusa|Female-Hat|S
02F7D95C-AF374871-8D0A8959-501DDA68|Kanazawa Independent Front Hair Style (Lieutenant Suzumiya Model Female)|Lt. Sachiko G. Suzumiya Model From The Four-panel Comic Kanazawa Independent Front Serialized On The Granzella Website. Hairstyle. Defense |Female-Hat|P
030C70FC-CF384F1A-9662EEAB-CC5A175E|Sodium Bounty Hunter Cap - White|Patrol the vast Sodium deserts on the tail of lousy fugitives, using anything in your arsenal to catch the perp.|Female-Hat|L
03302EF1-B31C4089-B6B071B1-113F9832|Worn Baseball Cap - Basic Head Protection|A worn baseball cap, offers only the bare minimum protection.|Female-Hat|L
0341DE91-499043C5-A716E0CE-CD31F4F4|Can-can Dancer Hat (Female)|A satin top-hat.|Female-Hat|L
034A3051-0AFC4D30-A1531905-F5251005|Party Sword Head (Female)|Did you see the point of this lovely headpiece or did it pass you by?|Female-Hat|S
035300A9-58EF4F5C-B5617BA0-058FCB3E|White Enamel Hat (Women)|A white enamel hat with studs nailed on the surface as the accent.|Female-Hat|S
0380FF91-CAD74406-BC11B99F-81FBF86C|Ringlet Hairstyle (Women)|A hairstyle with long hair curled into rolls. Defensive Strength Cuteness |Female-Hat|L
039A8E40-183D4B22-B1EBE0AC-0998AF00|Lime Green Disposable Film Fest Head - Female|Disposable Film Fest 2012|Female-Hat|S
03A4A67B-76374ACA-81B983C3-95DAB063|Holiday Top Hat - Purple|Be prepared for party season with the perfect party attire from Lockwood.|Female-Hat|L
03CB3964-E18547FC-A48E5155-93D509CD|Monsters Tikimask|Fell Like Your Favorite Village Protector With This Authentic Virtual Replica Of The PixelJunk Monsters Tikimask.|Female-Hat|L
03D0D73C-4A9A46C7-8157E29C-0270A5F8|Sunflower Hat (For Female)|A hat shaped like a giant sunflower. Enjoy summer to the fullest.|Female-Hat|L
03D54B6F-700940BE-A7889CB0-499427D4|Drey White Ribbon Detail Sun Hat with Wavy Hair|Capture the mood of sophistication in this luxury ribbon detail hat with luscious wavy hair.|Female-Hat|L
03F8CF82-AF664D3A-BF5C9352-35181AE7|Military Uniform Hat (Female)|Part of the military uniform bundle.|Female-Hat|L
03FB2BC0-AF1047C1-8DC61366-1F36AB43|Black Hat with Bow|With elegant bow feature, this black hat is perfect for special occasions and completing your outfit.  PMExtraCommerce |Female-Hat|L
04096C89-A0474434-9DDC6A37-07F521F1|Tester Unhappy Paper Bag Face|When youre just too embarassed to show your face in the Central Plaza, wear this.|Female-Hat|L
040FCE33-E37C41B8-8E797188-DB99C4DF|Billabong - Cabana Sun Hat - Natural (Women)|Wide brim straw sun hat with twine, bead and billabong logo label.|Female-Hat|L
0412F43B-AB124EC2-91ED9A0A-F29C9031|Straw Hat (Blue, F)|A blue hat with a wide brim woven out of straw. A great summer item for wearing at the beach.|Female-Hat|L
042870A4-670249D0-B1FB2E18-A22B5DD3|Ninja-Snow Ninja Mask (Female)|Ninja Mask For Slightly Advanced Ninjas. Beauty Over Sneaking.|Female-Hat|L
04412208-A8514686-8CEA2C93-7ACAD370|Barbarian Helm (Female)|Great for protection, and for goring, this helmet was designed with a true Barbarian in mind.|Female-Hat|L
045CA584-6D9C4D6F-9D837CEA-701743F9|Tennis Ball Head|Got tennis on the brain? Show it.|Female-Hat|S
046C4173-38D94D16-B92DD1CF-1F724550|DC Universe Online Mask Inspired by HARLEY QUINN|Step into the DC Universe and create your own super hero or archvillain, harness unique superpowers and join thousands of other players online. Battle alongside legendary characters in the iconic settings of METROPOLIS, GOTHAM CITY and beyond in compelling storylines as you fight to save or rule the universe. DC Universe Online The Next Legend Is You. |Female-Hat|S
049B773D-F36E41B3-92528CF7-13201832|Full Time Sport - Box Fresh - SW - Red (Women)|A red and black snap back cap with hair. This cap is straight out of the box and sits on an avatars head facing backwards and to the left.|Female-Hat|L
04A4E6B5-9ED24703-8782D2DA-FFD90289|Master Ninja Hood (Black, Female)|A black hood worn by only the highest-ranked ninjas. Defensive Strength + Stealth Level +|Female-Hat|S
04D496D6-80AF46B9-8116B45E-04E368DB|Black Tank - Heavy Combat Helmet|Heavy armour offers the best protection around but comes with a high weight penalty.|Female-Hat|S
04D4988D-B6F4403C-815FCD43-26452060|Mootohn Headwear (womens)|Having a hard time joining the ranks of the awake? Stay half-asleep with this snug-fitting Moothon Headwear Purchasing this item adds 1 LocoRoco to your Loco Island personal space. Up to 20 LocoRoco can be added to Loco Island. Once the maximum is reached, no further units can be added.|Female-Hat|L
04FEA378-50A44E97-8F2119CF-DD16F2E4|Bauxiteman Mask (F)|A celluloid mask modeled on Bauxite Man, the cult hero of Pachipuro Fuunroku.|Female-Hat|L
052922C3-95B4475E-B79F46CC-604D106A|Sacubus Hairstyles (Wingless Female)|Sacubus Hairstyles Without Feathers. Defense Magic Dreaminess Sexy |Female-Hat|L
055DE604-0D544171-8D7C3D76-599CD8F6|Cat Maid Ears - White|Cute as a button.|Female-Hat|L
057FB286-6BE14F3E-B4C310BA-D0EE6C3C|Chignon Hair Style (Single, Women)|A hair style with a chignon bun tied on the left side of the back of the head. Defensive Strength Cuteness |Female-Hat|L
05AC9023-8E39478C-8E234003-D4AA7AE7|Succubus Hairstyle (Wing-less, Women)|A succubus hairstyle without wings attached. Defensive Strength Magic Power Nightmare Level Sexiness |Female-Hat|L
05C9D99E-04534833-9DDA52FD-12FA8C54|Gorgeous Wig + Tiara (Women)|A fluffy gorgeous hairstyle with a tiara on top.|Female-Hat|S
05CA7A6F-990B4387-8ABF28BF-F1FC8944|Assassins Creed 2 Logo Hat- Symbol Version|Assassins Creed 2 Promo Hat|Female-Hat|L
