id|name|desc|category|thumbnail
00000000-00000000-00000000-01060004|Earclip Headphones|Show your love for music in these Earclip earphones.|Female-HeadPhones|S
00000000-00000000-00000000-01060005|Neckband Headphones||Female-HeadPhones|S
00EC76CB-9A4B49F6-A39C010E-785FA65E|Cute Beret, Small (Purple, Women)|Small-sized girly purple beret. Cuteness |Female-HeadPhones|L
014B31B1-ADEF44DB-BBF42C44-62CF13D1|Witch Hat (Black, Women)|Triangular witch hat perfect for a Halloween costume. Defensive Strength Magic Power |Female-HeadPhones|L
020879CC-BBAC438B-97AD1792-1F59467D|Glowing Catsuit (red) (Women)|The Catsuit Is Awarded To The Player Who Successfully Wins First Place In The Dolphy Race. The Same Design As This Catsuit Will Be Available As A Dolphy Customization For Those Who Are Currently Raising Dolphins In The Dolphy Room.|Female-HeadPhones|L
025384B5-EFD244A4-951A8108-521A59A7|Animated Revolving Emoticon - Love (for Female)|Express yourself with an animated emoticon buddy.|Female-HeadPhones|L
027C2477-A24F4323-AB1BE144-3A301788|Cute Beret, Medium (Purple, Women)|Regular-sized girly purple beret. Cuteness |Female-HeadPhones|S
02C95C46-FF614FA9-B7BA700B-2901D976|Large Pompom Hat Medium (Female)|This Is A Large Red Hat With Pompoms That Goes Completely On The Head.|Female-HeadPhones|S
02EED258-F77E4A39-83616C9E-00E4BAF6|Knit Cap Large (Cream Female)|Cream Knit Cap That Can Be Combined With Your Favorite Hairstyle. Size L Cuteness |Female-HeadPhones|L
031FCFCD-14CD48CA-A34F8F40-4091694D|Category Legendary Creatures Bronze Medal (Women)|A Medal Given To The Person Who Obtained Many Items, Which Is Categorized Legendary Creatures. For Female.|Female-HeadPhones|L
039D57EE-971B4957-BBFFF629-8E387E03|Cat Ears (Black, Women)|A hairband with black cat ears attached to it. Sexiness |Female-HeadPhones|L
03ADFFDE-CBCF4E8D-B97E9113-E6889CC8|Cat Ears (Red, Women)|A hairband with red cat ears attached to it. Sexiness |Female-HeadPhones|L
03BE1E19-0E0B4194-9016B332-1FDC6198|Mokko Flower Earmuffs Pink (for Women)|Pink Flower Shaped Earmuffs. The Fluffy Material Is Warm And The Large Flower Form Is Very Cute. Lets Take Your Winter Fashion Up A Notch.|Female-HeadPhones|S
03DD3654-7D9A4A8B-8745B2C7-E25CA804|Heart Toast in Mouth (Women)|A piece of toast with a heart-shaped grill mark hangs from the mouth. Happiness |Female-HeadPhones|L
03E1BF17-59CE4A40-951FBC05-ECF6B6F5|Witch Hat (Red, Women)|Triangular witch hat perfect for a Halloween costume. Defensive Strength Magic Power |Female-HeadPhones|L
03EDDA65-71FE4B5A-B33F0278-E264B70D|Witch Hat (Blue, Women)|Triangular witch hat perfect for a Halloween costume. Defensive Strength Magic Power |Female-HeadPhones|L
0440C3B8-264C4106-90DCF3BC-3217BCEB|KIF - Military Cap (Col. Kurahashi Model, Women)|Military cap worn by Col. Fumika N. Kurahashi in the Kanazawa Independence Front 4-panel comic series on the Granzella website. Defensive Strength |Female-HeadPhones|L
04C382D3-778E49E5-896338E2-804D4C3D|Giant Horn Of Rage Female|Female HeadPhones Largehorn|Female-HeadPhones|S
04EEF8F3-D1F84048-96A8908F-7DC205D5|Nekomimi (Red Female)|Catsuit With Red Cat Ears. Sexiness |Female-HeadPhones|L
0512A9F5-D19E4228-9D2F20AF-A8EB8875|Animal Head Accessories (Red Female)|Female HeadPhones Earmuffs05|Female-HeadPhones|L
05348BAD-53A24036-8EFF6C10-A20A3FA5|Cat Ears (Pink, Women)|A hairband with pink cat ears attached to it. Sexiness |Female-HeadPhones|L
056B348F-9BCA47F0-A5A0D7F3-BFADCA70|Single Status Symbol (Female)|Let everyone know youre single.|Female-HeadPhones|L
05887814-79454008-964ACD1C-FA313D70|Lace Headdress (Black, Women)|A head decoration in Gothic Lolita fashion. Cuteness |Female-HeadPhones|L
05988B95-77EC4F66-8C6089EA-7A10CB86|Big Pom-pom Hat, Small (Women)|A red hat with a pom-pom attached that fits snugly.|Female-HeadPhones|L
05A1F275-8BD3456F-AF6945E5-4429E39F|Lace Hair Band (White)|Female HeadPhones Hair Band|Female-HeadPhones|S
05ABAF9E-E6A4426C-BE3B9E2D-472834F6|Bunny Tiara|Join the sweetest revolution. Kawaii is the cutest collection inspired by Asian designs, it combines pastel tones with the Pop style, it s the most original mix around.|Female-HeadPhones|L
05BC30CB-1B45427C-A092780F-A3CBAE85|Rose Hair Ornament (For Female)|A subdued red rose hair ornament. The lace ribbon makes it easy to coordinate with other apparel.|Female-HeadPhones|L
05FA958C-9BA1439C-B21534DA-42B31D80|Circle On The Head (female)|Floating Above The Head, A Circle Of Light. Justice |Female-HeadPhones|L
06268C1E-0C0E49B1-B3A86CDB-7E87F5AF|Big Pom-pom Hat, Medium (Women)|A slightly large red hat with a pom-pom attached that fits snugly.|Female-HeadPhones|L
0635C54F-D4EF48D5-BE75325B-9CD26E2F|Neptune Forehead Horns|Neptune Forehead Horns|Female-HeadPhones|L
06658343-2A5A4ECE-809341E4-7F10FC3B|Big Pom-pom Hat, Large (Women)|An even larger red hat with a pom-pom attached that fits snugly.|Female-HeadPhones|L
069F6047-434D4636-82B7A0BE-1518E99E|Succubus Head Wings (Black, Women)|A succubuss head wings. Magic Power Nightmare Level Sexiness |Female-HeadPhones|L
06A5F5DD-9B134E99-A13F5DB6-097173AD|Knit pilot cap, medium (blue, female)|Knit hat with ear pads.Standard size type. Warmth |Female-HeadPhones|P
06C07194-A0F34337-A1FAEBE8-FAC66D2B|Lace Hair Band (Beige)|Female HeadPhones Hair Band|Female-HeadPhones|S
06F31272-C1FC4D1F-AE236B34-0382F328|Succubus Head Wings (Violet, Women)|A succubuss head wings. Magic Power Nightmare Level Sexiness |Female-HeadPhones|L
06FD620B-B23943E1-96747EDF-B86F8FA4|Cute Beret, Large (Purple, Women)|Large-sized girly purple beret. Cuteness |Female-HeadPhones|L
072C61E4-1CD84FE9-8369AF49-523392CD|Devil Horns (Female)|Youll be tearing it up Hot Rod Racing style on the dancefloor with these Devil Horns.|Female-HeadPhones|L
07385AF3-701844ED-B56FAE79-CE8C99E5|Head Horns|Head Horns|Female-HeadPhones|L
07E07962-E934453D-AE1C6AFA-4C4A4187|Midnight Star Necklace|Altamar delivers high quality, stylish clothes with this discreet but captivating line. It specializes in couture designs, suitable to dazzle at any occasion. Perfection, beauty and taste are combined in this superb collection. Dress with taste, dress with Altamar|Female-HeadPhones|L
07F94547-43184D94-89F45FD1-D78828C8|Witch Hat (White, Women)|Triangular witch hat perfect for a Halloween costume. Defensive Strength Magic Power |Female-HeadPhones|L
08298667-69D54E5C-A21C7EE0-B6AF9BB3|Heisel Alien Tentacles (Female)|Dokidoki Suikoden Heroine Yuko Heisel Is Also A Fan. The Sense Of Touch Is The Proof Of Heisel Aliens.|Female-HeadPhones|L
085BD475-1F5B4635-A98967A4-7278B08D|Star Catsuit With Red And Blue Stars (red And Blue Female)|Catsuit With Red And Blue Stars.|Female-HeadPhones|L
088C2FEC-F4634767-9EC1AD0A-3ACBE82D|Chrysanthemum Hairpiece, Near (Right, Scarlet, Women)|Hair decoration in the form of a chrysanthemum that looks good with ones best outfit. This type is attached near the head on the front-right. Luckiness |Female-HeadPhones|S
