id|name|desc|category|thumbnail
00000000-00000000-00000000-01070001|Left Silver Square Stud|Left Silver Square Stud|Female-Jewellery|S
00000000-00000000-00000000-01070002|Right Silver Square Stud|Right Silver Square Stud|Female-Jewellery|S
00000000-00000000-00000000-01070004|Left Large Hoop||Female-Jewellery|S
00000000-00000000-00000000-01070005|Right Large Loop||Female-Jewellery|S
00000000-00000000-00000000-01070006|Both Silver Large Hoops||Female-Jewellery|S
00766D26-FB1C4923-8DE5041B-F2BD44B8|Figment Medallion Earring - Silver (Left Ear)|Figment has the perfect pieces for a sophisticated date night, whether its a night out at the theatre or dinner on the deck of a yacht.|Female-Jewellery|L
00CC6EE8-1CAD457F-90037D66-10FE37E4|Glow Spiral Earring - White (for Female Left Ear)|Pick a color, pick a style, or be avant garde and mix em up. How glow will you go?.|Female-Jewellery|L
00F33C8C-65D64750-8B343D7D-2DEF0C1D|Earrings of the Seven Winds (Female) Red (Right Ear)|Exotic and sophisticated.|Female-Jewellery|L
018A9188-FB114E2C-B6FB44C9-1F56871F|DNA (Blue) Earring (Right Women)|DNA (Blue) earring for the right ear. For female.|Female-Jewellery|L
01EE18D7-A42747EB-A741E907-CA38B261|Glow Bunny Earring - White (for Female Right Ear)|If you have trouble spotting your friends in dark places gift them these dayglow earrings and youll spot them a mile off.|Female-Jewellery|L
026A0DD4-85574906-B658ACF8-1EE043BE|Glow Alien Earring - Blue (for Female Right Ear)|If you have trouble spotting your friends in dark places gift them these dayglow earrings and youll spot them a mile off.|Female-Jewellery|L
02D2E576-A4AD480C-AAC37BF3-236AF778|Feather Earrings (Pink Gold, Right Ear, Women)|Simple, elegant earrings in the shape of wings. Gorgeousness |Female-Jewellery|L
0323C89E-AB5E4960-A501BC80-BFCB0D62|Pansy Colored 3 Strand Earrings, Right Ear (for Women)|Three Strands Of Yellow And Purple Based Flowers (for Right Ear). The Delicate Design Is Lovely And Will Be Useful For Various Fashionable Occasions.|Female-Jewellery|L
03C56AED-B9A84742-9D23DD94-F464FC9B|Gold Left Earring|Bellver, the haute couture line for exclusive people. Outfits designed with class, combining fabrics of the finest quality with a casual and elegant style.|Female-Jewellery|L
03C90BCF-F6E34B80-A926154F-87B2FFB9|Fairytale Ms Muffets Bow Earring (Left Ear)|What you dont know is that after her scare, Ms Muffet went on to culinary fame as an artisan cheesemaker. Whos laughing now spider? Concept by PlayStation Home user Jennifer Whitbread.|Female-Jewellery|L
03CB5CB5-00A94E63-A3551473-5EA91BBD|Sapphire Droplet Earring (Right Ear)|Extravagant silver and diamond clusters with a briolette cut sapphire droplet.|Female-Jewellery|L
03CBE022-2B8B42AD-AC153DE5-59D8785D|Pink Pearl Earring (Right)|The Large, Pop Earrings Come In Three Color Variations. Cute Pink Color Gives A Girlish Impression.|Female-Jewellery|L
03DF6524-738A486B-93B72CDB-4E7C71FB|Pink Flower 3 Strand Earrings, Left Ear (for Women)|Three Strand Earrings Of Flowers In Pink Tone For Left Ear. The Delicate Design Is Lovely And Will Be Useful For Various Fashionable Occasions.|Female-Jewellery|L
0479C066-2428428B-8B9AD9DD-33F68E71|Drey Tassel Earring (Left Ear) - Black|Dreys beautifully crafted tassel earrings are an ideal accompaniment to any formal or casual outfit.|Female-Jewellery|L
0498FB3D-99B142D1-B1723FFB-F4A2824A|Casino Hostess Earring (Left)|Dress up your look with these earrings.|Female-Jewellery|L
04BA5729-75C04D99-A0CB595C-9C022D6F|Crab-A-Hold Right Earring|These crab danglies are the essential beach wear item this summer. Purchase includes pair of items.|Female-Jewellery|S
04D79FFC-2B5E4C96-95AABEF4-7DB6FE24|Skate Star Plug - Black (Female Left Ear)|Delirious Squid plain and simple.|Female-Jewellery|L
05F48E30-64DF435D-A6065B7C-77EC47C0|Silver Small Right Hoop Earring|Designed to be worn with anything, this classic silver earring will offset any outfit.|Female-Jewellery|S
07A3F886-577144D7-B03BACD5-E80D3846|They glow. Loco Earring R (Pekeron womens)|They glow. Loco Earring R (Pekeron womens)|Female-Jewellery|L
086142B0-6ECF4F24-87818EC7-F9540FD2|Pink Flower 3 Strand Earrings For Right Ear (for Women)|Three Strand Earrings With Flowers In Pink Tone For Right Ear. The Delicate Design Is Lovely And Will Be Useful For Various Fashionable Occasions.|Female-Jewellery|L
0867BCB2-C63F43F3-BA0F4D96-17CD7051|Treasure Earrings (opal, Right Ear, Female)|This Popular Gemstone Has A Milky White Background With Iridescent Sparkles. For Right Ear. (Mohs Hardness 6)|Female-Jewellery|L
08EA19B1-B4FA427C-A883E7CA-9E749B5E|Feather Earrings (Pink Gold, Left Ear, Women)|Simple, elegant earrings in the shape of wings. Gorgeousness |Female-Jewellery|L
08F5A5AB-427642B2-912E779B-8B8DDBCB|Red Pencil In Ear (Female)|Accessory With Red Pencil In Ear. Essential Equipment For Those Who Bet Their Lives On Gambling.|Female-Jewellery|L
08F939D1-E3D842A9-8CE11BE4-F55E66B7|Sheva Earrings|Shevas earrings from RESIDENT EVIL 5. Youll always make a splash with these.|Female-Jewellery|S
09369189-DF3B43DF-A2C6B267-1A608FA9|Glow Star Galaxy Earrings - Red and Black (Right)|Glow Star Galaxy Earrings - Stars that Glow in the Dark|Female-Jewellery|L
093F9505-BC984E4E-9BBAC5DA-32B8DE5A|Treasure Earring (Pink Coral, Right Ear, Women)|A precious stone created from burnishing pink coral until it shines with a soft luster. For the right ear. (Mohs hardness 4)|Female-Jewellery|L
094AA92E-D894428B-9AD7EA5F-9BFE5F45|Skate Star Plug - Red (Female Right Ear)|Delirious Squid plain and simple.|Female-Jewellery|L
095A9EFF-659F47D3-86435AA3-61E09F3E|Statement Earrings - Fairytale (Right Ear)|Statement jewellery can enhance a simple outfit, or make a more extravagant ensemble really pop.|Female-Jewellery|L
