id|name|desc|category|thumbnail
00119E6C-B8004772-B856174F-DFD519B0|Jyu Furisode (Scarlet Flower Dance, Female)|Female Formal Japanese Dress Worn At Festive Occasions. Defense |Female-Outfit|P
00482DFA-F7904558-8A0571A9-C0D3611C|Element - Beaumont Dress - Black (Women)|Jersey dress with all over printed pattern.|Female-Outfit|L
0074A316-5FFD461F-8B19AB05-538F53E3|Sorceress Defenders Dress (Black)|A Dress Of An Apprentice Sorceress Who Defends Her Kingdom.|Female-Outfit|L
007E0A61-EC604EEA-8E450E49-6446CB07|Magic Sparkles - Short Animated Dress (female, pink)|Add a touch of magic wherever you go. By Dani.|Female-Outfit|L
0096AD1C-D1404D6F-A577DD12-A503D172|Wardrobe Wars - Wide Lapel Jacket - Blue - Female|Female blue dress jacket with wide lapels.|Female-Outfit|L
00AB0056-6D2A4EE9-8BAD407D-1B6FFAD6|Holy Cloak (Black Women)|A Costume As The Symbol Of The Spirit To Love People Equally.|Female-Outfit|L
011BA4C5-88CE4D98-884F032F-5DE1E9D4|Scottish Clothing - Designer Tartan Dress - Skye (Women)|A stylish tartan dress for women.|Female-Outfit|L
014538E5-289A41AF-9AE0A039-30E3D4E5|Wardrobe Wars - Collegiate dress - Black - Female|Female Collegiate style dress in black with Wardrobe Wars logos|Female-Outfit|L
014BDC5D-D3364655-A529EAA9-6241E978|Park Hot Dog Suit - Female|Take a piece of Acorn Meadows everywhere you go with the hot dog suit (female) clothing item. Rewarded for completing a challenge in Acorn Meadows Park.|Female-Outfit|L
01504502-80624ACA-BC381DE1-6374D9D1|Party Dress (White, Women)|A dress with a strapless top and knee-length tight skirt. Defensive Strength Sexiness *A gift from GZ gift|Female-Outfit|L
015CBA39-101145DE-BAB084DC-FC7FDE6C|Ascendance - Equilibrium Dress - White (Women)|Suitable for all formal occasions, this one-piece dress will allow you to conform to The Bureaus clothing recommendations for a better society. Be the shining beacon that sets a good example.|Female-Outfit|L
0171A5DB-13AA4E76-9B3F4F3B-29E9471E|Cozy Onesie - Hearts|This onesie features full body coverage and comfort with pockets, buttons and back flap. So snuggle up for bedtime or just lounging. Sometimes you just want to hang out in your pajamas.|Female-Outfit|L
017206CB-6369418D-97460DC5-0409A72E|Stylish Suit (Black, Female)|A black suit with a tight fit. Defensive Strength Coolness |Female-Outfit|S
019B3D9B-2A744B10-9C1724AD-0A6DF3BD|Pinafore Dress - Heather|A simple, stylish Lockwood favorite in some versatile new colors.|Female-Outfit|L
01C96A0F-BAC54351-BAEC97A9-B4C147B3|Pink summer dress|You enjoy wearing the latest fashion and youre able to mix and match any item and turn it into an original and unique outfit combination. You know how to have fun, live in the moment and most importantly how to dress for any occasion. Dont miss the moment, make the most of it.|Female-Outfit|L
01D2A2B9-FE774417-A2882706-6DD08AFB|Epic Ark Hunter - Female|Most Humans and Votans run from arkfalls. This outfit makes it clear that you re not like most you have braved the new frontier of Defiance and now have the look to prove it. These rugged boots, trousers, and leather jacket are modeled on the outfit worn by the famous ark hunter Irisa in Defiance.|Female-Outfit|L
022360B0-588E4C88-807624CE-F8FFC824|Tenugui Set For Bathing (Female)|Tenugui Outfit Wrapped Around Body Perfect For Bathing.|Female-Outfit|L
023525A3-F337495D-B61D0E6B-85C9C0DA|Salam Dress - Black|A long gothic dress with lace trim.|Female-Outfit|L
023E5869-4DC242E0-AD6C58ED-33F84CE3|Cheerleader Chic (Female)|O-K, Lets Go. Cheerleader Chic is your stereotypical cheerleader with the moves to match. Note - This fantastic full body outfit comes complete with a custom dance animation.|Female-Outfit|L
02492C88-7BDF48D0-9C7BFD0E-6D19CC90|Belted Skirt and Top - Red|This stylish combination of a layered mini skirt, simple top and a wide belt is very popular in London.|Female-Outfit|L
02505321-D560415F-A76D90D6-B9FDE296|Shin Mikuni Warriors Online Frenzied Zhang Liao Clothing (for Women)|This Is An Outfit That Lets You Become The Hero Zhang Liao. Throw Yourself Into The Turbulent World And Run The Battlefield.|Female-Outfit|S
02687936-4CD04BA5-B10E90BF-CE626D40|Power-Mech Suit with Nebulon Magnet|This fully-automated mech features state-of-the-art movement and stabilization technology, allowing for custom maneuvers, self-balanced walking, and even flight. A Nebulon Magnet is included, which draws Nebulon towards your fighter ships during Novus Prime missions.|Female-Outfit|L
026E2EAA-508F4F4C-BFF1C81E-F222CCF4|Urban Camo - Massaging Reclining Chair|Hide in plain sight. Grab some friends and change the look of any place with this Urban Camo.|Female-Outfit|L
028AF58F-5DEF49A1-A1196CE7-14C5D336|P Coat (Engi Female)|Enji Color Wool Double Coat. Defense |Female-Outfit|S
029C137C-E3734A56-80C0F857-34DB5A49|Morphsuit - Mummy (Women)|The Mummy of all Morphsuits . Great for walking around like youve had a lobotomy, Halloween and telling children to go and tidy their rooms.|Female-Outfit|L
02AABC8B-C3D04B47-A73FAEC3-AEA212F4|Aphrodite Bodycon Dress - Zest|Look like a true goddess in our new range of Bodycon Dresses. Lace, strapless, asymmetric, panelled Lockwood has it all.|Female-Outfit|L
02BF87E5-9E1347B9-AFF1F9D2-CB501C60|Elegant Dress Red|Make sure you have this elegant dress in your wardrobe because it is right for every occasion.|Female-Outfit|S
02C49B08-EE5946F8-AF7F7B25-C4E38DA5|Desert Camo Bomber Girl - Short Hair|The Bomber Girl is here to show the Pinup brand how its done. This fullbody costume is full featured -Change your hair color -Blend the face between sad, nuetral and happy expressions -Custom idle animation -Sexy walk (slow walk) -Model strut (fast walk) -Two custom pinup poses This is the Desert Camo Bomber Girl color scheme brown camo, but shes gone rogue with short hair.|Female-Outfit|L
02E3EFD6-36914FA9-8D498F02-F8C4BE24|Dame Gladstones Lovely Winter Coat - Green|Abbey Hills finest quality clothing for the most elegant of country folk.|Female-Outfit|L
03075E88-28AE499E-92EE8E1B-300F52D7|Ayuris Gothic Lolita Dress - Black|Put together an anime cosplay costume, or maybe just an outrageous outfit. Lockwood has all the finishing touches.|Female-Outfit|L
034CD6AD-30ED4EF4-AFC557FB-44B0F471|Silent Hill 2 Bubble Head Nurse|Can be found walking the halls if you need to be taken care of .|Female-Outfit|L
036A3BA0-745B4C76-99AAB67E-AE1D6A8F|Panthabot - Teigra|Having studied the esoteric design of the Samurai and Geisha Bots, Iron Fusions scientists have created the next generation of transforming robots. Unlike their predecessors the Mechjets, Panthabots are able to alter their form at will.|Female-Outfit|L
036B4F65-E3E64EE5-B7DD5523-67286A92|Bath Towel (Light Blue For Sandy Beach PS Female)|Bath Towel (Light Blue For Sandy Beach PS Female)|Female-Outfit|L
037BF4E2-4DF04CBB-9E599FF9-C6D78599|PlayStation Home Trooper (Female)|Join the heroic ranks of the awesome Home Corps with this stylish body armour.|Female-Outfit|L
037E26E3-3D5D4EF8-BF4E4FA9-E6FD129C|Bunny Girl Costume (Pink Lame Female)|Pink Lame Bunny Girl Costume Worn By A Waitress In An Exclusive Club. Defense Sexy |Female-Outfit|L
039592D4-6D8845D9-B24CE7BB-ED863DFF|Bath Towel (for PS On Sandy Beach, Pink, Female)|Bath Towel (for PS On Sandy Beach, Pink, Female)|Female-Outfit|L
03984A80-95794D61-ACAB4A5C-742D5632|Moe school swimsuit, new type (Navy blue, Women)|A navy blue, one piece new type school swimsuit. Defensive Strength Youth Level |Female-Outfit|P
03A5C37A-28A64E89-A1FB98AB-57A794AA|Sparkle Ball Gown - Platinum|Be the belle of the ball with this hand-sequinned Figment gown.|Female-Outfit|L
03C7B062-61B0499E-9D032CDF-FE1C8826|Magical Valentines Day Dress|VD Dress 2013|Female-Outfit|L
03DF86EB-C3C040FC-B24C2F95-06AB2003|Bath Towel (Yellow Green For Sandy Beach PS Female)|Bath Towel (Yellow Green For Sandy Beach PS Female)|Female-Outfit|L
040CFE23-7A2E4474-86632317-C1B11422|Billabong - One Luv - Dandelion|Rompers in yellow and white.|Female-Outfit|L
047CF7A0-65F64A93-8C2EEC3F-A597B6EE|Pom-Pom Princess (Female)|Pom-Poms at the ready. Straight out of High School, Pom-Pom Princess is here to show PlayStation Home how to cheer with style. Note - This fantastic full body outfit comes complete with a custom dance animation.|Female-Outfit|L
049FCD84-4C994BBA-A38ED9E0-8D6A91DB|Luxuries - Camo (Women)|Melt away with one of these luxurious patterned onsies perfect for a cosy night in. Exclusive to the VEEMEE 3D Printer.|Female-Outfit|L
04AF4CA9-1C8E414E-A063BDCC-1FB57BD1|Knit Dress (Monochrome Argyle Female)|Knit Dress With Soft Silhouette. Defense Cuteness |Female-Outfit|L
04B68C9B-685E4453-99DA5E43-DA73FF96|Party Dress (Red, Outfit, Women)|A red dress with a tube top and tight skirt that is cut above the knee. Defensive Strength Sexiness |Female-Outfit|L
04C510F5-8B1041D1-ABDF8B22-03098E7E|BLoons Theme Outfit - Hula Dancer|You wont be able to keep yourself from hula dancing with this outfit.|Female-Outfit|L
0520D183-00A3411E-BFAC0E6F-30DDEEB4|F.U.B.A.R. Elite Sniper (Female)|Keep a low profile with this camouflaged Elite Sniper full body outfit from F.U.B.A.R. (Fight Until Blood And Ruin).|Female-Outfit|L
