id|name|desc|category|thumbnail
00000000-00000000-00000000-01030008|Home T-Shirt||Female-Torso|S
00000000-00000000-00000000-01030009|T-Shirt||Female-Torso|S
00000000-00000000-00000000-01030019|Layered T-Shirt|Casual long sleeve t-shirt layered under a short sleeve top.|Female-Torso|S
00000000-00000000-00000000-01030025|Sports Vest||Female-Torso|S
00000000-00000000-00000000-01030032|Capped Sleeved T-Shirt||Female-Torso|S
00000000-00000000-00000000-01030034|Leather Jacket|Modern, colourful biker jacket, stylish and tough.|Female-Torso|S
00000000-00000000-00000000-01030036|Denim Jacket|Stylish Denim Jacket with breast pockets and simple stitching detail on front.|Female-Torso|S
00000000-00000000-00000000-01030042|Black and White Padded Gilet over Fleece|A comfy black puffer vest jacket over a fleece long sleeved shirt.|Female-Torso|S
00000000-00000000-00000000-01030044|Brown and Cream Padded Gilet over Fleece|A comfy brown puffer vest jacket over a fleece long sleeved shirt.|Female-Torso|S
00000000-00000000-00000000-01030045|Grey and Black Padded Gilet over Fleece|A comfy puffer vest jacket over a fleece long sleeved shirt.|Female-Torso|S
00000000-00000000-00000000-01030046|Padded Gilet over Fleece|A comfy puffer vest jacket over a fleece, long sleeved shirt.|Female-Torso|S
00000000-00000000-00000000-01030060|Tanktop over Frilly Blouse|Tanktop over Frilly Blouse|Female-Torso|S
00000000-00000000-00000000-01030061|Charcoal Tank Top over Violet Blouse|Smart or casual? This violet blouse and charcoal tank top combination will ensure you look your best.|Female-Torso|S
00000000-00000000-00000000-01030062|Pink Tank Top over White Blouse|Dressing to impress or just to look good, this white blouse and pink tank top is the answer.|Female-Torso|S
00000000-00000000-00000000-01030063|Yellow Tank Top over Black Blouse|Great in the office or out and about. You cant go wrong with this black blouse and yellow tank top combination.|Female-Torso|S
00000000-00000000-00000000-01030065|Black Turtle Neck|Snug fitting black turtle neck top.|Female-Torso|S
00000000-00000000-00000000-01030066|Pink Turtle Neck|Snug fitting pink turtle neck top.|Female-Torso|S
00000000-00000000-00000000-01030068|Yellow Turtle Neck|Snug fitting yellow turtle neck top.|Female-Torso|S
00000000-00000000-00000000-01030075|Off The Shoulder Top||Female-Torso|S
00000000-00000000-00000000-01030078|Halterneck|Close fitting authentic halterneck.|Female-Torso|S
00000000-00000000-00000000-01030084|Brown and Grey Rugby Top|Classic, close fitting rugby top with broad brown and grey horizontal stripes.|Female-Torso|S
00000000-00000000-00000000-01030085|Black and Green Rugby Top|Classic, close fitting rugby top with broad black and green horizontal stripes.|Female-Torso|S
00000000-00000000-00000000-01030086|Pink and Grey Rugby Top|Classic, close fitting rugby top with broad pink and grey horizontal stripes.|Female-Torso|S
00000000-00000000-00000000-01030087|Red and Blue Rugby Top|Classic, close fitting rugby top with broad red and blue horizontal stripes.|Female-Torso|S
00000000-00000000-00000000-01030089|White and Blue Long sleeve T-shirt|Plain white, long sleeve T-shirt with blue raglan sleeves and neck.|Female-Torso|S
0014B926-D5684DF0-BD810B5B-627A6B4F|Sengoku Armor (Black, Women)|Armor fit to survive any battle Defensive Strength + Hero Point Bonus |Female-Torso|L
001EEFE9-FFE944FF-A9A13EF3-32F9E158|Honey T-Shirt|Little Honey may be one of the cutest cousins, but shes also the clumsiest. Make sure she doesnt tumble off as you walk.|Female-Torso|L
00431C4D-2D8B4050-9BB1F994-B81A308A|Delirious Squid Vest with Fingerless Gloves - Green (No Tattoos)|Punks, goths, skaters - all feel the warm embrace of the Squids tentacles.|Female-Torso|L
004987A7-9EC84186-9EECC31F-18A49E30|Billabong - Swayin In The Sea Top - Jungle Love (Women)|Woven halter-neck top with all over print and rope drawcord.|Female-Torso|L
0050C83B-590D4B88-BA7E8F7C-DC588CF7|Summer Solstice - Purple|A ruffled summer top with beaded necklaces.|Female-Torso|L
006204BB-47174BAA-BA7F30E4-DAE921C9|Rainbear Hoodie|She waits in the rain for her little squid friends to come out of the ocean.|Female-Torso|L
0062CA19-6BDC42C9-B301E860-7B2A3BF8|Frogger Animated T-shirt|Frogger Animated T-shirt. 1981 Konami Digital Entertainment.|Female-Torso|L
0076385B-57FF45D9-A57F9878-3B20B43E|Spring Female Naughty Bunny Top|Every season is rabbit season.|Female-Torso|L
00771423-4EDB41FF-AAEE3D03-3B2FC5BE|Sengoku Armor (Red, Women)|Armor fit to survive any battle Defensive Strength + Hero Point Bonus |Female-Torso|L
