id|name|desc|category|thumbnail
0010BAE0-F8BA4F61-81AF3FDF-643F44E9|ABC Blocks|An oversized version of the ABC blocks you played with as a kid.|Furniture-Bundle|L
00A18817-353B4E94-A8DC0C1A-150ECF2C|Captain s Collection|Discuss tactics and reminisce over past victories with the Captains Furniture Collection. This pack includes the following Captains Couch Captains Chair Captains Coffee Table|Furniture-Bundle|L
01E7608D-DD2A4E20-854D25EB-7D9B9C2C|Cherry Red Kitchenware Bundle|Outfit your kitchen in style with this bundle of 8 active items. Bundle includes the following items Chefs Oven BBQ Grill Stockpot Saucepot Cherry Red Hot Pot Cherry Red Stand Mixer Cherry Red Toaster Cherry Red Blender|Furniture-Bundle|L
0327958E-1BE24FAA-9F0C5113-F2286F66|Age of Swords - Throne - Bundle|This bundle contains (1) Age of Swords - Throne - King (2) Age of Swords - Throne - Queen (3) Age of Swords - Throne - Prince (4) Age of Swords - Throne - Princess (5) Age of Swords - Throne - Dais|Furniture-Bundle|L
034CBED9-BCFE45DA-845E54F5-92C1303E|Techno Peep - Bundle Pack - Robot Red|Move to the groove with Techno Peep. As the hottest gadget on the market, its three for one with extra Peep fun. Bring your Heavy Pet Peep into your apartment and let the fun begin. You can control your Peep with custom animations and moves. Take him outside of your apartment as a Companion or place him on display in your apartment in his Peep-a-Boo box. Collect them all and stack them for all to see. This set includes the following items. Techno Peep - Robot Red Techno Peep - Static Mini - Robot Red Techno Peep - Heavy Pet - Robot Red All of the above items will become available in their relevant categories on purchasing this bundle.|Furniture-Bundle|L
03BE0549-7D754A51-8E1398A9-0B2FA293|Luxury Interior Design Pack|Luxury Interior Design Pack This pack includes the following Luxury Leather Sofa Luxury King-Size Bed Luxury Dining Table Luxury Dining Chair Luxury Floor Lamp Decorate that luxurious beach hideaway with the quality furnishings it deserves.|Furniture-Bundle|L
03F30846-0F4A428C-8EF045B8-93275E53|Smug - Bundle - Red|All of the red Smug furniture. This Bundle Contains (1) Smug - Dining Chair - Red (2) Smug - Dining Table - Red (3) Smug - Refrigerator - Red (4) Smug - Toaster - Red (5) Smug - TV - Red (6) Smug - Washing Machine - Red|Furniture-Bundle|L
042D53FE-ABF24599-A7B8AD39-F14B0B6D|Fossil Collection Plate Set (for Starfish)|A 2-piece set of collection plates perfect for displaying starfish fossils. This set includes the following items Old-Fashioned Fossil Collection Plate (for Starfish) Brand New Fossil Collection Plate (for Starfish) *Upon purchase, each item will be added to the applicable category.|Furniture-Bundle|L
046B2B1D-C6444365-90959BCA-2BC8D6D1|MyBedroom - Bed Bundles - Men|New designer beds for guys. This bundle contains (1) MyBedroom Guys Bed - Red Black (2) MyBedroom Guys Bed - Black Grey This is an active item. Active items provide more functionality than normal items. You may only place limited numbers of the active items in your apartment or clubhouse at any time.|Furniture-Bundle|L
065FFE97-A071438C-8F66C095-1A5866BA|Cucumber Country Kitchen Set - Gingerbread|Cucumber Country Kitchen Set - Gingerbread This pack includes the following Corner Unit - Gingerbread Cupboard Unit - Gingerbread Country Oven - Gingerbread All the warmth and comfort of a country kitchen, with that added Cucumber zing.|Furniture-Bundle|L
068D342B-C06A4E2C-82289709-A4407808|Paris Modern Ornaments Set|Its the Modern Ornaments set. Includes three pieces of modern art, bundled together and offered at a discount.|Furniture-Bundle|L
075B6536-B94D48A3-8AA559DC-1128965F|Hina Dolls Five-Person Set|Set Of Five Dolls. This Set Includes The Following Items Hina Dolls 5 Musical Instruments (left Side Of Drum) (decoration) Hina Dolls 5 Musical Instruments (left Side Of Large Drum) (decoration) Hina Dolls 5 Musical Instruments (center Of Small Drum) (decoration) Hina Dolls 5 Musical Instruments (right Side Of Flute) (decoration) Hina Dolls 5 Musical Instruments (right Side Of Chant) (decoration) Each Item Will Be Added To The Corresponding Category When You Purchase It.|Furniture-Bundle|S
07927B7A-E7684B14-8FFE687F-7631EC15|Bayonne Furniture Pack - Brights|Bayonne Furniture Pack - Brights This pack includes the following Bayonne Armchair - Lime Bayonne Armchair - Madder Violet Bayonne Sofa - Blue Rose Classically curving furniture dragged kicking and screaming into the present with ultra-modern ulpholstery.|Furniture-Bundle|L
07DEAD37-4D0F4324-86B128B1-ECE08162|Up-Chuck Peep - Bundle Pack - Puke Green|Up-Chuck is one wild and crazy guy and the life of every party. Its three for one with extra Peep fun. Bring your Heavy Pet Peep into your apartment and let the fun begin. You can control your Peep with custom animations and moves. Take him outside of your apartment as a Companion or place him on display in your apartment in his Peep-a-Boo box. Collect them all and stack them for all to see. This set includes the following items. Up-Chuck Peep - Puke Green Up-Chuck Peep - Static Mini - Puke Green Up-Chuck Peep - Heavy Pet - Puke Green All of the above items will become available in their relevant categories on purchasing this bundle.|Furniture-Bundle|S
07F51AB5-CCE9478C-A1250971-CAFFB9C2|3-Piece Antique Sofa And Table Set|An Antique Sofa And Table Set. This Set Includes The Following Items Antique Single Sofa (ivory) Sofa Antique Long Sofa (ivory) Sofa Antique Glass Table (brown) Table When Purchased, Each Item Will Be Added To The Corresponding Category.|Furniture-Bundle|L
