id|name|desc|category|thumbnail
00000000-00000000-00000001-00000014|Neo Armchair|Neo, design Alban Gilles, Ligne Roset, 2003. Suitable for both contemporary and traditional interiors. Successful thanks to its simple and geometric design.|Furniture-Chair|S
00000000-00000000-00000001-00000015|Moel Armchair|Moel, design Inga Semp , Ligne Roset, 2007. Soft curves and unique appearance define this stylish and unusual piece of furniture. Bicolour interpretation recommended.|Furniture-Chair|S
00000000-00000000-00000001-0000001A|Pam Chair|Pam, design Archirivolto, Ligne Roset, 2003. Modern and chic bar stool adjustable via a gas piston.|Furniture-Chair|S
00000000-00000000-00000001-0000001B|Alster Chair|Alster Chair, design Emmanuel Dietrich, Ligne Roset, 2006. Elegant and comfortable, recommended in Microfiber (Alcantara or Loop) and in wool fabric.|Furniture-Chair|S
00000000-00000000-00000001-00000023|Tip Up Armchair|Tip Up, design C + B Lefebvre, Ligne Roset, 2006. Revolutionary and strikingly unusual relax chair from Ligne Roset Collection. Ideal for teenagers.|Furniture-Chair|S
00000000-00000000-00000001-0000002D|Sala Chair|Sala chair, design Pascal Mourgue, Ligne Roset, 2003. Elegant chair with flexible back section guaranteeing great comfort.|Furniture-Chair|S
00000000-00000000-00000001-00000035|Shaman Armchair|Shaman, design Eric Jourdan, Ligne Roset, 2006. Re-interpretation of the shapes of the fifties, contemporary and timeless armchair combining graceful design and comfort.|Furniture-Chair|S
00000000-00000000-00000001-00000038|Pop Armchair|Pop fireside chair, design Christian Werner, Ligne Roset, 2001. Superb design inspired by the 1960s school of design - combining style and fun.|Furniture-Chair|S
00000000-00000000-00000001-0000003A|Summer House Armchair|A grey fabric single seat armchair with wooden legs.|Furniture-Chair|S
00000000-00000000-00000002-00000001|Harbour Studio Armchair|A white fabric single seat armchair with chrome legs.|Furniture-Chair|S
00000000-00000000-00000002-00000002|Harbour Studio Chair|A shiny white plastic single seat chair with chrome legs.|Furniture-Chair|S
00000000-00000000-00000002-00000012|Hans Chair|Hans Chair, design Emmanuel Dietrich, Ligne Roset, 2007. Combination of innovative design, modernity and comfort. Cover in synderme.|Furniture-Chair|S
00000000-00000000-00000002-00000017|Summer House Chair|A classic style wooden chair.|Furniture-Chair|S
0007C0B4-9DF0406C-B197C0EF-74291833|Mushroom Chair|A super cute mushroom chair.|Furniture-Chair|L
008B89EE-BEEB421C-850F92A6-0B66E04F|Treasure Chest (Mysterious Creature)|A wooden treasure chest containing a mysterious creature.|Furniture-Chair|L
