id|name|desc|category|thumbnail
00944181-D4924EFE-B4843ABA-1E031C71|Space Cubes (4) - Closed - White|The Space Cubes (4), as in four compartments, are a great way to decorate your Space Apartment. Each Space Cubes (4) set comes with the open, closed and glass versions of your color choice. Check out the awesome Space Cubes (4) Bundle for more colorful stack em and mismatch em possibilities.|Furniture-Cube|L
074B415E-E74E4A40-A576A8A5-670EAF9F|Female||Furniture-Cube|L
0815CB6B-F12946C9-B009DFA2-AD730F98|Locobloc (Chavez)|Blocks Designed After LocoRoco. Show Your Creativity By Mixing And Stacking Blocks Of Varying Colours.|Furniture-Cube|L
0835BC4F-0EDA4EEF-AD12233E-3357A7EC|Patterned LittleBigPlanet Cloth Cube|A patterned LittleBigPlanet cube made of cloth.|Furniture-Cube|L
087ECD34-0F1C4176-900CD190-734FED2C|Scary Fairy Peep - Static Mini - Rotten Redhead|Scary Fairy is one twisted sister Peep. Put your Mini-Peep on display in your apartment in her own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|L
08B57C71-B13E4386-8341BD7D-97E50026|Locobloc (Kulche)|Blocks designed after LocoRoco. Show your creativity by mixing and stacking blocks of varying colours.|Furniture-Cube|L
0FF21636-E0F54CFF-B4FF9D40-DF84EF6D|Super Powered Peep - Static Mini - Bolting Blue|Super Powered Peep is fueled by Heavy Water for all of his mad skills. Put your Mini-Peep on display in your apartment in his own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|L
11B41282-F4D64AAB-86547A43-943A85AE|Up-Chuck Peep - Static Mini - Pasty White|Up-Chuck is one wild and crazy guy and the life of every party. Put your Mini-Peep on display in your apartment in his own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|L
122E5C7D-3A994C14-A25D2E1D-4216BEDE|Geo Block Aqua|A Statue Of A Block-shaped Object Called A Geo Block. These Objects Appear In Disgaea 3 And Are Sought After As Collectors Items.|Furniture-Cube|S
147ECCFC-87DF48B4-AA282ED6-BC57322C|Sodium Small Neon Cube - Orange|Industry chic with a splash of color, but whats inside?.|Furniture-Cube|L
150D30F2-3F734E9C-B7EE3EFC-B16EFC4A|Christmas Gift Box LocoRoco|This Gift Box Was Given As A Proof Of Completing The Game In The LocoRoco Times In 2010 Christmas Event. . If You Have This, You Might Get A Present At Christmas. SCE Inc.|Furniture-Cube|S
16A5A15D-308C48BC-87700131-7F6AA06C|Geo Block Purple|A Statue Of A Block-shaped Object Called A Geo Block. These Objects Appear In Disgaea 3 And Are Sought After As Collectors Items.|Furniture-Cube|S
17B182BF-A4784FBC-BC58BB30-B417BF96|Christmas Gift Box Castle Vania|Given As Proof Of Completing The Game In The Castle Vania Lord Of Shadows Times At The 2010 Christmas Event. This Is A Gift Box. If You Have This, You May Get A Present For Christmas. 2010 Konami Digital Entertainment Developed By Mercury Steam Entertainment|Furniture-Cube|L
18ABAB07-7B264F0B-884F57BD-31403770|Mao Block|This Item Is For Players Who Have Spent Quite A Lot Of Time In Playing DISGAEA 3 Blocks. Pile Up As Many Blocks As You Wish In Your Personal Space.|Furniture-Cube|L
191BB9A4-B9964861-9E64AA62-47AD5BD2|Up-Chuck Peep - Static Mini - Puke Green|Up-Chuck is one wild and crazy guy and the life of every party. Put your Mini-Peep on display in your apartment in his own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|S
1920D480-EE1F4D6F-9A88C6AF-8A076F6D|Slice Cube Table - Flapjack|Construct the perfect seating arrangement with Slice modular furniture from Cucumber.|Furniture-Cube|L
19DBB8A9-B6174B61-81BE3CEF-A75CD9F2|Stack Genius gold triangle|Use this triangle to solve the puzzle of the third Stack Genius chamber...|Furniture-Cube|L
19EF1711-21CA4D6A-9992FC1F-FF0AC875|Space Cube (1) - Closed - Orange|The Space Cube (1), as in one compartment, is a great way to decorate your Space Apartment. Each Space Cube (1) set comes with the open, closed and glass versions of your color choice. Check out the awesome Space Cube (1) Bundle for more colorful stack em and mismatch em possibilities.|Furniture-Cube|S
1AFCD717-80E743C5-98A6E90F-C4C86293|Male||Furniture-Cube|L
1D49B502-E6E84D54-A69BB373-F4F7E14B|Creepy Peep - Static Mini - Monster Green|Creepy Peep is a playful little monster who wants to be your friend. Put your Mini-Peep on display in your apartment in his own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|S
1DA63601-0DAC411B-B93D5265-79C81FAE|What the Bleep Peep - Static Mini - Blazing Blue|What the Bleep Peep is bad to the Bone. Put your Mini-Peep on display in your apartment in his own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|L
1E3E6F8B-2D704BDC-90C93BDF-8CF8C43E|Space Cubes (4) - Closed - Black|The Space Cubes (4), as in four compartments, are a great way to decorate your Space Apartment. Each Space Cubes (4) set comes with the open, closed and glass versions of your color choice. Check out the awesome Space Cubes (4) Bundle for more colorful stack em and mismatch em possibilities.|Furniture-Cube|L
1EF3DAB8-14524994-9D2C1493-7EC9A268|Sweetie Peep - Static Mini - Perfect Pink|Sweetie Pie will melt your heart as your favorite new Peep. Put your Mini-Peep on display in your apartment in her own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|L
20C9EC07-BF5346BA-8B9B1322-C2E6514D|Heavy Water E3 Peeps|Heavy Water reward from Playstation Homes 2011 E3 Booth|Furniture-Cube|L
