id|name|desc|category|thumbnail
00434B10-2CBC40D6-98456A5D-978E88E8|Football Centre Spot Carpet|A carpet made to look like the centre sport from a football pitch. Exclusive to the Football Mania Acorn Meadows Park.|Furniture-Flooring|L
00C3F8B5-772F4316-969564FD-4ED34AFF|70s Shag Carpet (Circular)|A groovy shag carpet to chill out on.|Furniture-Flooring|S
00E586F6-5E374937-8361463E-D87AB00D|Whack Off Prize 8|Whack Off Prize 8|Furniture-Flooring|L
0226B3AC-F98F41E5-BBC1535D-B396BA06|Sodium Small Tasseled Floor Pillow Purple|Want to deck out your apartment as center for lounging and relaxation? Now you can with this excellent floor pillow.|Furniture-Flooring|L
0297073E-48494D5F-BA085422-DF0B4B2C|Gograk s Light Up Floor|This dazzling light up piece comes from the best in Alien technology. It adds the perfect bit of flair to any Mad Scientist laboratory. Check out the Mad Scientist Starter Kit for an exclusive item.|Furniture-Flooring|L
0584A66B-908F4B35-B5D2476A-10D8B124|Cowboy Rug|The perfect rug for their apartment.|Furniture-Flooring|L
05A11CD3-59A14826-B5CE8A4E-CBC08F60|Pitch Rug|A Rug That Resembles A Football Pitch.|Furniture-Flooring|S
06433D60-70364195-939F2317-74F1DAE8|Imperial Persian Rug|Spice up your personal space with this alluring Persian Rug from Hellfire Games.|Furniture-Flooring|L
074100BF-973347D5-A166DC15-0683CCB1|gamescom 2010 Pink Neon Rug|A neon rug for your apartment.|Furniture-Flooring|S
07C57EC1-302F47A4-BE6A9088-EAF94990|Casino Card Rug|Casino Card Rug|Furniture-Flooring|L
093CFC94-13D74075-83660AC5-0EB64F60|Gold Dance Platform|Gotta dance? Then why not pick a spot that is as flashy as you are. Watch your step, youre about to elevate your skill as a performer. Place this animated dance platform in your personal space and transform your spot into THE SPOT.|Furniture-Flooring|L
095D0C75-E1DA44D0-A7AA4B96-ED8AAC26|LittleBigPlanet Sackboy Carpet|A blue LittleBigPlanet Sackboy Carpet.|Furniture-Flooring|L
09E26B39-B87742C0-A2F8D879-2C7380FA|Neon Display Plinth|The Jam Jar was established in the 1940 s as THE place to go. Discover the opulence and grandeur of this by gone era in a building rescued and restored to its rightful glory. Whether you decide to return it to its full boutique status, use its exquisite detail as a backdrop for a gallery or as the venue of the latest fashion event, The Jam Jar will still prove to be THE place to be seen.|Furniture-Flooring|L
09FB2036-56C04492-95CB63DF-9168D926|Arrow Dance Floor|A psychadelic arrow tile for your dance floor.|Furniture-Flooring|S
0B5313EF-50AB4894-9B83E3C9-F8D10B83|Frozen Peak Palace Rug|This rug is made of yeti, and is a great centerpiece for any room.|Furniture-Flooring|L
0B818FBE-0A32421A-A300991F-D35C67B2|Ryukyu Tatami|The Japanese Heart, Tatami. The Key Point Is That They Can Be Arranged In A Checkered Pattern.|Furniture-Flooring|S
0D6CD87A-6A6045F9-BEC1EF04-A5E7A492|Bomberman Rug - Bomb|A rug shaped like the bomb Bomberman uses.|Furniture-Flooring|L
0DAB06F4-250F4C8B-BE0300A8-9BF2E2EA|WT Rug 3|Safe for outdoor use.|Furniture-Flooring|L
0DBDD77E-43F141F4-BB26231F-04390A59|Wampa Skin Rug|The pelt of a carnivorous predatory reptomammal indigenous to the ice planet Hoth. Itll really tie the room together.|Furniture-Flooring|L
0E70BEDB-02774298-AB829A52-06EFA674|4Strip Dance Floor|Its a strip of four tiles for your dance floor.|Furniture-Flooring|S
0E8ECF27-B8E04ECD-890C4391-DD2F62F5|Rusted Flooring|The flooring has seen better days.|Furniture-Flooring|S
11D02EB3-77664578-8F0A53A6-7049D768|Bomberman Rug - Bomb|A Bomb-shaped Mat Used By Bomberman.|Furniture-Flooring|S
123E804E-B2AB421A-A72ED1D4-DCE9AB78|Animated MiniBots footpath (Red)|Lights the way home.|Furniture-Flooring|L
1360EE38-3E8344DF-873DC8DE-8C79D807|Inferno dance floor|Feel the heat with this red dance floor tile.|Furniture-Flooring|S
13E14CED-24624463-A2BE658F-85E19124|Blue Persian Rug - Round|This elegant carpet is the perfect accent piece for any environment.|Furniture-Flooring|L
13E3D67F-0C5B4FB3-9455DA11-1610F573|Birthday Party - Disco Floor|Disco dance floor. Exclusive to the 1st Birthday Acorn Meadows Park.|Furniture-Flooring|L
17382A56-BDCE4FF9-95062B07-280E3324|Revolver Rug In Blue|A large blue handgun floor mat.|Furniture-Flooring|L
17CA34FE-BA4C478E-AF8EEE61-8F2019CF|Carpet 07 (Kikai)|The Carpet Was Designed With A Kikai Soldier Motif. Event Limited Items|Furniture-Flooring|L
183527C5-552E420F-8C03CADC-1F852E31|Animated MiniBots footpath (Blue)|Lights the way home.|Furniture-Flooring|L
19319624-22F24590-A22EDDAF-A78828EC|70s Shag Carpet (Blue Square)|A groovy shag carpet to chill out on.|Furniture-Flooring|S
1999BCE8-41834FCA-B94A0EDF-353995F3|Dance-o-Tron 5000 (Personal Space Version)|This amazing party robot from Hellfire Games will get the party started in your personal space, complete with animated dance floor projection and bouncing spotlights. You can find this gift at the Giftinator 9000 from Hellfire Games.|Furniture-Flooring|L
1B207AF3-E06D48C7-B1CA11FC-09D6FAEF|Chameleo Glow - Carpet|This item is part of the Chameleo Glow range. This item will automatically change between 16 amazing glowing colours, keeping your apartment fresh and exciting.|Furniture-Flooring|L
1B552B76-992640CD-970B6123-3DC15272|Conspiracy Rug|Throw down the Eye of Providence in your apartment to show all your visitors that Reus approves of your undertaking in bringing about his new order of the ages. Or it may just be a cool looking throw rug.|Furniture-Flooring|L
1BC15958-1DE04A27-80DF9DAA-0A51F95A|Sodium Persian Rug - Blue|Add a touch of class and sophistication to any apartment with this luxurious (though not magic) carpet.|Furniture-Flooring|L
1C4BA919-436F4900-AE1BC920-ED058037|Spilt Milk Prize 3|Spilt Milk Prize 3|Furniture-Flooring|L
1CD2BB5D-094141F2-A5851CBD-89BC2D85|Cuddly Bear Rug|This little bear makes a good doormat.|Furniture-Flooring|L
1E6C8A4E-789B40F0-8B343542-C776D14E|Luxurious Carpet (Black)|Carpet decorated with plant patterns that has a high-class look.|Furniture-Flooring|L
1EBDF296-42A64D25-93FA0FAF-AB5F661C|peakvox long mat white|white long mat with peakvox mark.|Furniture-Flooring|P
1EFB26C6-49534E9B-A5CD16B5-49B69A3F|Luxurious Carpet (White)|Carpet decorated with plant patterns that has a high-class look.|Furniture-Flooring|L
1F3329A9-02614CAB-A5D63A76-834ECAA1|Luxurious Carpet (Red)|Carpet decorated with plant patterns that has a high-class look.|Furniture-Flooring|L
1FD9ECAC-710B4203-9DE3D6A1-D8B4FC94|Park Rail Crossing Reward|A railway crossing furniture item. Rewarded in Acorn Meadows Park for completing the challenge Long Train Rider.|Furniture-Flooring|L
21214480-3022410C-A5FB0A53-2646C32A|Luxurious Carpet (Blue)|Carpet decorated with plant patterns that has a high-class look.|Furniture-Flooring|S
21622DB5-2B354D73-A2E88873-6D7C07B6|SVER Wolf Skin Rug|This SVER Wolf Skin rug comes from the harsh winters of Grozny, and adding this rug to your apartment makes you one of the pack.|Furniture-Flooring|L
21DEF7CC-1F6647B6-B46A5BEA-FFC516B6|Luxurious Carpet (Green)|Carpet decorated with plant patterns that has a high-class look.|Furniture-Flooring|L
22883160-C9E04BCC-B8D770B9-3882D931|Luxurious Carpet (Brown)|Carpet decorated with plant patterns that has a high-class look.|Furniture-Flooring|L
23DA4BA6-28C340E2-9F77632F-AF63861B|Modern Lines Bath Mat - Monochrome|A soft, natural fibre bath mat - gentle on just-scrubbed feet.|Furniture-Flooring|L
23E5C3AE-D5364D2C-BA8C921D-344D3E09|Warhawk Rug|Welcome any visitors to your apartment in style with this exclusive floor covering.|Furniture-Flooring|L
246B3FC9-16D6400B-BD1F06F6-8A0ACD40|Bell Ringer Prize 3|Bell Ringer Prize 3|Furniture-Flooring|L
25394BE1-89C1457A-85D76BEA-ACF9C19A|Disco Rug|The return to the 1970s. Inspired by the hippy and disco movement, this line represents a whole life style.|Furniture-Flooring|L
26D5D4F8-1E3A48E0-AF9BE0FB-C64F0861|Radioactive dance floor|Go wild with this green tile for your dance floor.|Furniture-Flooring|S
2841F708-8DA64079-AE37B6E2-8EF67828|Jolly Roger Rug|Make any home a bit more welcoming with this twisted pirate rug.|Furniture-Flooring|L
288DFBE7-A83E4284-A409A186-21A5BC72| |Mmc Rug 05Black|Furniture-Flooring|S
291F3FF1-A1EE40C7-BF7409E4-80FCFE92|Obsidian Rug|You can find this item in the Giftinator 9000 from Hellfire Games.|Furniture-Flooring|L
29A9A7D7-66AD43E9-A4AF9FE5-6DB31915|Prehistoric Canyon Saber-tooth Rug|An item 65 million years in the making|Furniture-Flooring|L
2A8B1843-6BCF412A-90EE6115-410365E1|Smiley Yellow Face Rug|A round fluffy rug with a yellow smiley face print|Furniture-Flooring|L
2AA20030-3DF54C78-90BFB0A1-107F839B|Acid Spill|It burns. This terrain causes damage to crossing MiniBots.|Furniture-Flooring|L
