id|name|desc|category|thumbnail
00000000-00000000-00000002-00000006|Harbour Studio Picture Frame|A modern, slimline picture frame for your Personal Space. You may only use this item to display content that (i) you have the legal right to use and display (ii) is not illegal, offensive or inappropriate and (iii) complies with the Terms of Service and User Agreement.|Furniture-Frame|S
0019B1B0-884E4685-8151BF5F-B4A2CD69|Wonderland Poster 3|Poster 1 of 4 in the second set from the comic book series Wonderland and Grimm Fairy Tales. This series is produced by Zenescope Entertainment and brought to you from Evil Tree Studios.|Furniture-Frame|L
00455F91-55174086-B2B98B2A-B1F3644D|Stop Sign Wall Art|This is a reward from Home Tycoon.|Furniture-Frame|L
00BB5C32-95744D8C-A1AEF95F-252A1756|Mountain Ecstasy|A gorgeous landscape and perfect accent to any space.|Furniture-Frame|L
0108E86D-71284F0B-9D205C29-D8FD345E|Poster - Dead Reckoning|Poster featuring page from a Judge Dredd comic|Furniture-Frame|L
01831EEA-AB604AF8-B502A427-7794248A|Hot Pepper Neon Sign|Get yer Hot Pepper right here. Cozy up to the heat of the sign on the wall in all its shining glory. Hallelujah.|Furniture-Frame|L
01F023EC-48FB4A6D-9F282742-D5A03986|Teed Off Prize 7|Teed Off Prize 7|Furniture-Frame|L
029D34A7-C4BD49EE-921B45D5-4608D217|Stitchkins Fruit Salad Bunny Wall Art|Some knitted loveliness for your apartment wall in the form of this quirky Stitchkin Wall Art.|Furniture-Frame|L
02C8336E-68684FD7-846B7B61-9D6303DF|Fine Cuckoo Clock|This active item tells real time.|Furniture-Frame|L
02E480B0-528443CC-83744AF2-5EBAF5E0|Yuletide Ribbon Wreath|Gift giving is at the heart of Christmas, so give this merry gift to someone special.|Furniture-Frame|L
0310A209-F2AA4B58-A4BE9E1C-D0B708EF|Steampunk Picture Frame|Steampunk your space.|Furniture-Frame|L
035ED78F-93C64EB7-97398591-A8353912|Amaterasu Picture Frame|Finally, a picture frame you can hang on your boat without it falling off and into the great watery abyss below. This amazing new technology brought to you by science and the geniuses at Loot .|Furniture-Frame|L
036BCDEA-529E4EE2-A08BDFA6-56EE38BA|Wooden Picture Frame|This Chic Wooden Picture Frame Goes Splendidly With The Personal Space Loco Island, Or Indeed With Any Room. Use It To Showcase Your Favourite Snapshots. Purchasing This Item Adds 1 LocoRoco To Your Loco Island Personal Space. Up To 20 LocoRoco Can Be Added To Loco Island. Once The Maximum Is Reached, No Further Units Can Be Added.|Furniture-Frame|L
037A2BF0-209A4042-9E2CEF85-7B7C110A|Dead Island Blood Splatter 2|Blood splatter.|Furniture-Frame|L
039172F3-E7A6480E-8E3087F4-8A8C441F|UFC Photo (UFC100 Miller vs Danzig)|Download this UFC Photo Featuring UFC100 - Miller vs Danzig.|Furniture-Frame|S
03AEAE57-9E3E4F7D-B9D5AC48-EA26C19F|50 Moodlight LED TV|The latest model in LED TVs with moodlighting to create the best ambience in your apartment. It comes in various sizes.|Furniture-Frame|L
03C51802-920F40EE-A13A7A5E-6CC24246|Smiley Poster - Warhol 4 Faces|A Smiley poster done in an Andy Warhol style|Furniture-Frame|L
044AAF58-4B1D4DA7-AAB7E916-C93E462F|Paris Modern Wall Art Pop Art 2|The artist is obviously exploring issues with his childhood.|Furniture-Frame|S
0479B467-B5D6406E-B879CA5D-96682759|Fairground Lights|Take a piece of the fairground home with you literally. Exclusive to the Thanksgiving Acorn Meadows Park.|Furniture-Frame|L
048D6D16-ED414DA0-A4D0323D-A828C961|AVP Wall Art Marine vs. Alien|Incredible wall art taken from the game Aliens vs Predator|Furniture-Frame|L
