id|name|desc|category|thumbnail
00000000-00000000-00000001-0000003C|Summer House Light|A chrome stand with six flower shaped lights.|Furniture-Light|S
00000000-00000000-00000002-00000005|Harbour Studio Lamp|A small white lamp in the shape of the PlayStation Home logo.|Furniture-Light|S
003FB00C-87B24C92-B4E07859-790EF9E7|Kasuga lantern|A tall, pillar-like stone lantern.|Furniture-Light|L
00D14F96-51304899-8B199052-A0BBE720|Cubic Table Light|Simple cube-shaped tabletop lamp.|Furniture-Light|S
0142BD77-518D49C6-A8C640BE-8BD2A744|Victorian Street Light|Retro street light with a hexagonal lamp chimney.|Furniture-Light|L
01C07BE6-7D974689-A124CCEF-ED699789|Yukimi lantern|A low, four-legged stone lantern.|Furniture-Light|L
02956441-70E84929-8D594CC6-AC5C1D12|Los Penguini Brothers - Penguin Lamp|A cool reward won from beating a challenge in Los Penguini Brothers.|Furniture-Light|S
02CAD1E6-60414184-B4F62E1B-BAE6F90C|Kotoji lantern, with foot stand|A two-legged stone lantern with one broken leg.The lantern is balanced with a stone under the broken leg.|Furniture-Light|L
039F68BD-8A5244BA-817B5247-118DE260|Candleman|A Candle Monster Of The World Route.|Furniture-Light|L
060B9085-36914946-8860C95E-45B47A9D|Purple Teardrop Lamp|A purple teardrop mood lamp.|Furniture-Light|L
06C006AB-18794345-BFB0DD7C-2D544283|Animated Lava Lamp|Get mesmerized with this glowing lava lamp.|Furniture-Light|L
079EDDF6-6C31413C-B8478292-02D95F8E|Animated LED Lights|This tree shines some light from its branches and is small enough to fit on your desk.|Furniture-Light|L
07A11D39-1DF1408E-810EB41E-68EA4B83|MyBedroom - Black Marble - Table Lamp|A MyBedroom table lamp|Furniture-Light|L
07AFBC36-77C44241-B171C1CA-28203A71|Angry Jack o Lantern|Decorate your personal space for Halloween with this carved pumpkin.|Furniture-Light|L
07C86CAA-BB4C490E-84AE543A-62252B6F|Abstract Table Lamp|A miniature version of the webbed-cyclindrical lamp.|Furniture-Light|L
