id|name|desc|category|thumbnail
00000000-00000000-00000001-0000000F|Togo 1 Seater Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70s, first of Ligne Rosets all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|S
00000000-00000000-00000001-00000013|Facett 2 Seater Sofa|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Sofa|S
00000000-00000000-00000001-0000001D|Malhoun Chaise Right|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|S
00000000-00000000-00000001-0000001E|Togo 2 Seater Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70s, first of Ligne Rosets all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|S
00000000-00000000-00000001-0000001F|Facett 3 Seater Sofa|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Sofa|S
00000000-00000000-00000001-00000028|Malhoun Mini-Chaise Right|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|S
00000000-00000000-00000001-00000029|Pas Si Classique Left Sofa|Pas Si Classique, design Pascal Mourgue, Ligne Roset, 2007. Low, deep settee, elegant and clearly-drawn from every angle with adjustable back and multiple combinations of positions and fabrics.|Furniture-Sofa|S
00000000-00000000-00000001-0000002A|Moel 3 Seater Sofa|Moel, design Inga Semp , Ligne Roset, 2007. Soft curves and unique appearance define this stylish and unusual piece of furniture. Bicolour interpretation recommended.|Furniture-Sofa|S
00000000-00000000-00000001-0000002B|Togo Corner Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70s, first of Ligne Rosets all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|S
00000000-00000000-00000001-0000002C|Pas Si Classique Right Sofa|Pas Si Classique, design Pascal Mourgue, Ligne Roset, 2007. Low, deep settee, elegant and clearly-drawn from every angle with adjustable back and multiple combinations of positions and fabrics.|Furniture-Sofa|S
00000000-00000000-00000001-00000034|Malhoun Mini-Chaise Left|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|S
00000000-00000000-00000001-00000036|Malhoun Chaise Left|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|S
00000000-00000000-00000002-00000008|Harbour Studio Sofa|A white fabric two seat sofa with chrome legs.|Furniture-Sofa|S
00000000-00000000-00000002-00000015|Togo 3 Seater Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70s, first of Ligne Rosets all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|S
00000000-00000000-00000002-00000018|Summer House Sofa|A grey fabric three seat sofa with wooden legs.|Furniture-Sofa|S
00000000-00000000-00000002-00000019|Penthouse Sofa|Beautifully designed modern sofa.|Furniture-Sofa|S
00000000-00000000-00000002-00000020|Penthouse Corner Sofa|Beautifully designed modern corner sofa.|Furniture-Sofa|S
0041ED8D-7DD448BA-8CEA7F71-64F79151|Enterprise-D Captain s Ready Room Couch|Hey Trekkers, The Star Trek Enterprise-D has come to PlayStation Home. You can now get yourself the official Captain s Ready Room Couch. TM and 2013 CBS Studios Inc. STAR TREK and all related marks and logos are trademarks of CBS Studios Inc. All Rights Reserved.|Furniture-Sofa|L
00F9162A-79BB47D5-8B6C181B-DBD581FB|The Love Sofa|Share a seat with the love of your life with this sumptuous red velvet sofa.|Furniture-Sofa|L
