id|name|desc|category|thumbnail
00000000-00000000-00000001-00000009|Eaton Table|Eaton, design Ligne Roset. Contemporary solid wood table available in solid walnut, oak or cherry.|Furniture-Table|S
00000000-00000000-00000001-0000000C|Ponton Table|Ponton, design Deichmann and Osko, Ligne Roset, 2006. Sleek and modern double-surfaced low table.|Furniture-Table|S
00000000-00000000-00000001-0000000D|Strates Table|Strates Pivotante, design Pagnon and Pelha tre, Ligne Roset, 2005. Modernity and flexibility define this low table with 3 possible positions.|Furniture-Table|S
00000000-00000000-00000001-00000018|Cineline Table|Cineline table, design Pagnon and Pelha tre, Ligne Roset, 2006. Majestic table combining ingenuity, technology and aesthetics.|Furniture-Table|S
00000000-00000000-00000001-00000024|Bobine Table|Bobine, design Michael Koenig, Ligne Roset, 2004. Inspired by an inverted cable reel, stylish occasional table made in brilliant steel.|Furniture-Table|S
00000000-00000000-00000001-00000025|Contours Table|Dining table available with a fixed top or with an extension leaf. Top finished in dark brown, natural or ebony-stained oak veneer or oiled, varnished solid American walnut.|Furniture-Table|S
00000000-00000000-00000001-00000027|Bobine Glass Table|Bobine, design Michael Koenig, Ligne Roset, 2004. Inspired by an inverted cable reel, stylish occasional table made in brilliant steel.|Furniture-Table|S
00000000-00000000-00000001-0000002E|Diamant Table|Frame in brilliant chromed steel. Top in toughened clear glass.|Furniture-Table|S
00000000-00000000-00000001-0000003F|Summer House Table|A wooden table with a glass top.|Furniture-Table|S
00000000-00000000-00000001-00000064|YoYo Table|Yoyo table, design Pagnon and Pelha tre, Ligne Roset, 1999. Ingenious, clever and flexible dining coffee table from Ligne Roset collection.|Furniture-Table|S
00000000-00000000-00000002-00000003|Harbour Studio Coffee Table|A shiny white plastic coffee table with chrome legs.|Furniture-Table|S
00000000-00000000-00000002-00000010|Harbour Studio Table|A shiny white plastic table with chrome legs.|Furniture-Table|S
00000000-00000000-00000002-00000011|Crash Table|Crash Table, design Marie Christine Dorner, Ligne Roset, 2007. Smart and elegant low table, made of thick crash glass.|Furniture-Table|S
003779F0-94ED4CCA-9C1512C4-90DFE88D|Bamboo Table|A 1st Event Improvement Questionnaire reward. A table made of bamboo.|Furniture-Table|S
01097700-CE5B44A7-92B5293B-0345E9DF|Restaurant Table (Round)|A round-shaped table placed for customer seating at the burger shop.|Furniture-Table|L
0113FA11-12094BDD-A3AEC1FF-1741274A|Ham Cat Table|The Ham Cat Table appears in the Miu Miu Chamber. His name is Smiel.|Furniture-Table|P
01326C1C-780D4A7D-929D8481-D843E192|Arabian Table - Iridium|A traditional carved Iridium and Acacia wood table, perfect for serving guests tea.|Furniture-Table|L
0132C8AC-1CF34A44-AD4FB74E-FD75C307|Ancient Greece Outdoor Table|Perfect for hosting all your fraternity brothers and sisters.|Furniture-Table|L
015CD32D-EF434CB0-98D50B04-734BDCC8|Restaurant Table (Round + Parasol)|A round-shaped table placed for customer seating at the burger shop. For use in an open terrace, includes a parasol.|Furniture-Table|L
01614B68-DBEA485E-8C7C6259-0AC0C191|Coffee Table Wood Effect (pale)|The LIVING luxury furniture brand combines style with affordability. Covering a range of designs, this collection with answer all your decorating needs remember...Fashion passes, style remains, LIVING is the key.|Furniture-Table|L
016379A3-62FC4F50-9B898419-DC4A7AF5|Design Table Black|Table Rack Black|Furniture-Table|L
016F086D-5EFD4EC3-A3876351-7967D7C1|Racing Dining Table - Dark Wood|Wooden table-top with a glass cover.|Furniture-Table|S
01901000-164C4459-9A028605-A2F1B593|WT Exterior Patio Set  1 Square Table w Umbrella|This square table comes complete with an umbrella to keep you shaded from the sun. Also available as a round table.|Furniture-Table|L
01D2E854-73FD43E6-A062DCE7-F66DC421|Cafe Table, Round|A wooden table perfectly suited for a cafe.|Furniture-Table|L
01F543CF-1A4E4178-8D9B71E0-EA8E701A|Antique Glass Table (Brown)|Antique style glass countertop table.|Furniture-Table|L
02139C56-9CCC4475-9CA6FB26-F9708749|Restaurant Table (Square)|A rectangular table placed for customer seating at the burger shop.|Furniture-Table|L
02CEFE42-65434D48-AB1D0A46-5398624B|Landshark Coffee Table|A table from the Landshark Coffee Collection Bundle.|Furniture-Table|S
02EE75B1-221D4B84-8F3EE283-DFDAB8B0|Valor Table|This Valor table has been used by Squad Leaders, Platoon Leaders, and the Officer in Charge, so what will you do with it?|Furniture-Table|L
03BAC06C-2A2F4682-B065DBBF-560F67D4|Smug - Dining Table - Chrome|A Smug designed dining table, perfect for any kitchen.|Furniture-Table|L
03E7BBCA-A8BD4A6B-BFD40DA9-A99516D0|Wicker table|Create the perfect relaxing environment, the Zen Furniture is designed to improve the mood and the good feelings in any garden or greenhouse.|Furniture-Table|L
0422CD99-BB904D65-A3A785BB-873440DA|Whimsy Hollow Side Table|So thats why Whimsy Hollow looked so bare. That grateful Whimsy you found has returned this family heirloom he borrowed.|Furniture-Table|L
04ADCAB1-73E143A5-885ADD1D-297F98F7|Iron Table|Iron Table. You Can Put It In Your Personal Garden Of Your Chatting Farm And Enjoy Your Tea Time.|Furniture-Table|L
04E4ABAB-18694CA0-852D8250-B0E1289A|Amaterasu Side Table|If only I had somewhere to place my mid-sized objects in a tropical setting. What? The Loot Yacht side table.? I ll take two, strictly for symmetry purposes.|Furniture-Table|L
05946B00-41E94AC0-93FF259A-ED22C3F8|MyGarden - Glass Coffee Table|A coffee table. Decorate your garden spaces with this attractive garden furniture.|Furniture-Table|L
05EFAFF4-9F1E4A67-B3A49492-FA5F773A|Barrel Table|Barrels. What cant they do?|Furniture-Table|L
06046BB9-17C747D4-AE3C8DDD-9A410981|Enderdale - Dining Room Table|The LIVING dining Collection adds to this luxury furniture brand. Designed to add that touch of top class quality to any apartment. Each set comes with three varieties of chair. Whatever your preferred style, LIVING will provide the answer to your dining needs with these marvellous dining room sets remember...Fashion passes, style remains, LIVING is the key.|Furniture-Table|L
06BDDE49-11D34647-BDB45E66-9AD0E867|Kotatu B1 Syu|Furniture-Table|Furniture-Table|P
07050854-92434FC4-A8AAEEEA-7F0F9BF2|MyKitchen - Breakfast Bar - Premium Oak|A single unit with a breakfast bar.|Furniture-Table|L
073C1518-9EFD4011-A8B4C80E-2E51696E|Yacht Woven Side Table|With enough surface area for a drink, sunglasses, and a fancy hat.|Furniture-Table|L
076B7309-5BEE46A9-920309C4-2B978B3E|Luxurious Table|Rectangular table with high-class look.|Furniture-Table|L
077B83E2-CFED4614-B687A2BE-B6F392E1|Painted Bare - Table|Decorate your Painted Bare Studio and show your artistic flair So unpack your artist equipment and get settled in.|Furniture-Table|L
07C97F5A-04944DE3-912C17A3-CAFD9980|Santorini Marble Top Table|Wrought iron legs make it great for indoor or outdoor use.|Furniture-Table|L
0833D6DD-7FF744A0-B0C51156-0C526B5E|Rolling Tool Cabinet|This is a reward from HomeTycoon|Furniture-Table|L
0848DA54-E31D4DB8-AF6ABAF0-36343168|Oslo Table|Modern contemporary coffee table with two tone wood.|Furniture-Table|L
08852A67-ED784064-968C53E6-52C7A5B6|Log Cabin Coffee Table|Classic low coffee table with plenty of room to display your favourite things.|Furniture-Table|S
094B3FCD-EE3B4BF9-B6CAB871-8DC12623|Paris Modern Room Divider|In a modern loft, room dividers like this are essential in creating more personal, intimate spaces.|Furniture-Table|L
09912D71-DD374D5A-80D52C4F-CE80D400|Animated Diamond Table-End|This table is part of the diamond furniture series.|Furniture-Table|L
09B23509-FDB344B4-8D6F15E9-F80EC26D|Worn Down School Desk|A worn down school desk with fading colour.|Furniture-Table|L
0A06ECA3-CFF6400C-AD0C78BB-E9E88B66|Crazy Blue Small Table|Its colorful, its funny, but most of all its crazy.. Crazy furniture will add joy anywhere you place it. I know its mad, but it looks good.|Furniture-Table|L
