id|name|desc|category|thumbnail
00000000-00000000-00000000-0000000F|Ice Breaker|Keep the ball bouncing and smash all of the ice blocks.|Furniture-Appliance|S
00000000-00000000-00000001-00000007|Pas Si Classique Footstool|Pas Si Classique footstool, design Pascal Mourgue, Ligne Roset, 2007.|Furniture-Footstool|S
00000000-00000000-00000001-00000009|Eaton Table|Eaton, design Ligne Roset. Contemporary solid wood table available in solid walnut, oak or cherry.|Furniture-Table|S
00000000-00000000-00000001-0000000C|Ponton Table|Ponton, design Deichmann and Osko, Ligne Roset, 2006. Sleek and modern double-surfaced low table.|Furniture-Table|S
00000000-00000000-00000001-0000000D|Strates Table|Strates Pivotante, design Pagnon and Pelha tre, Ligne Roset, 2005. Modernity and flexibility define this low table with 3 possible positions.|Furniture-Table|S
00000000-00000000-00000001-0000000F|Togo 1 Seater Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70s, first of Ligne Rosets all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|S
00000000-00000000-00000001-00000012|Facett Footstool|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Footstool|S
00000000-00000000-00000001-00000013|Facett 2 Seater Sofa|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Sofa|S
00000000-00000000-00000001-00000014|Neo Armchair|Neo, design Alban Gilles, Ligne Roset, 2003. Suitable for both contemporary and traditional interiors. Successful thanks to its simple and geometric design.|Furniture-Chair|S
00000000-00000000-00000001-00000015|Moel Armchair|Moel, design Inga Semp , Ligne Roset, 2007. Soft curves and unique appearance define this stylish and unusual piece of furniture. Bicolour interpretation recommended.|Furniture-Chair|S
00000000-00000000-00000001-00000016|Neo Footstool|Neo, design Alban Gilles, Ligne Roset, 2003. Suitable for both contemporary and traditional interiors. Successful thanks to its simple and geometric design.|Furniture-Footstool|S
00000000-00000000-00000001-00000018|Cineline Table|Cineline table, design Pagnon and Pelha tre, Ligne Roset, 2006. Majestic table combining ingenuity, technology and aesthetics.|Furniture-Table|S
00000000-00000000-00000001-0000001A|Pam Chair|Pam, design Archirivolto, Ligne Roset, 2003. Modern and chic bar stool adjustable via a gas piston.|Furniture-Chair|S
00000000-00000000-00000001-0000001B|Alster Chair|Alster Chair, design Emmanuel Dietrich, Ligne Roset, 2006. Elegant and comfortable, recommended in Microfiber (Alcantara or Loop) and in wool fabric.|Furniture-Chair|S
00000000-00000000-00000001-0000001C|Togo Footstool|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70s, first of Ligne Rosets all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Footstool|S
00000000-00000000-00000001-0000001D|Malhoun Chaise Right|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|S
00000000-00000000-00000001-0000001E|Togo 2 Seater Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70s, first of Ligne Rosets all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|S
00000000-00000000-00000001-0000001F|Facett 3 Seater Sofa|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Sofa|S
00000000-00000000-00000001-00000021|Facett 2 Seater Footstool|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Footstool|S
00000000-00000000-00000001-00000023|Tip Up Armchair|Tip Up, design C + B Lefebvre, Ligne Roset, 2006. Revolutionary and strikingly unusual relax chair from Ligne Roset Collection. Ideal for teenagers.|Furniture-Chair|S
00000000-00000000-00000001-00000024|Bobine Table|Bobine, design Michael Koenig, Ligne Roset, 2004. Inspired by an inverted cable reel, stylish occasional table made in brilliant steel.|Furniture-Table|S
00000000-00000000-00000001-00000025|Contours Table|Dining table available with a fixed top or with an extension leaf. Top finished in dark brown, natural or ebony-stained oak veneer or oiled, varnished solid American walnut.|Furniture-Table|S
00000000-00000000-00000001-00000027|Bobine Glass Table|Bobine, design Michael Koenig, Ligne Roset, 2004. Inspired by an inverted cable reel, stylish occasional table made in brilliant steel.|Furniture-Table|S
00000000-00000000-00000001-00000028|Malhoun Mini-Chaise Right|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|S
00000000-00000000-00000001-00000029|Pas Si Classique Left Sofa|Pas Si Classique, design Pascal Mourgue, Ligne Roset, 2007. Low, deep settee, elegant and clearly-drawn from every angle with adjustable back and multiple combinations of positions and fabrics.|Furniture-Sofa|S
00000000-00000000-00000001-0000002A|Moel 3 Seater Sofa|Moel, design Inga Semp , Ligne Roset, 2007. Soft curves and unique appearance define this stylish and unusual piece of furniture. Bicolour interpretation recommended.|Furniture-Sofa|S
00000000-00000000-00000001-0000002B|Togo Corner Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70s, first of Ligne Rosets all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|S
00000000-00000000-00000001-0000002C|Pas Si Classique Right Sofa|Pas Si Classique, design Pascal Mourgue, Ligne Roset, 2007. Low, deep settee, elegant and clearly-drawn from every angle with adjustable back and multiple combinations of positions and fabrics.|Furniture-Sofa|S
00000000-00000000-00000001-0000002D|Sala Chair|Sala chair, design Pascal Mourgue, Ligne Roset, 2003. Elegant chair with flexible back section guaranteeing great comfort.|Furniture-Chair|S
00000000-00000000-00000001-0000002E|Diamant Table|Frame in brilliant chromed steel. Top in toughened clear glass.|Furniture-Table|S
00000000-00000000-00000001-00000031|Malhoun Footstool|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Footstool|S
00000000-00000000-00000001-00000034|Malhoun Mini-Chaise Left|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|S
00000000-00000000-00000001-00000035|Shaman Armchair|Shaman, design Eric Jourdan, Ligne Roset, 2006. Re-interpretation of the shapes of the fifties, contemporary and timeless armchair combining graceful design and comfort.|Furniture-Chair|S
00000000-00000000-00000001-00000036|Malhoun Chaise Left|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|S
00000000-00000000-00000001-00000037|Pop Footstool|Pop fireside chair, design Christian Werner, Ligne Roset, 2001. Superb design inspired by the 1960s school of design - combining style and fun.|Furniture-Footstool|S
00000000-00000000-00000001-00000038|Pop Armchair|Pop fireside chair, design Christian Werner, Ligne Roset, 2001. Superb design inspired by the 1960s school of design - combining style and fun.|Furniture-Chair|S
00000000-00000000-00000001-0000003A|Summer House Armchair|A grey fabric single seat armchair with wooden legs.|Furniture-Chair|S
00000000-00000000-00000001-0000003B|Summer House Foot Stool|A grey fabric foot stool with wooden legs.|Furniture-Footstool|S
00000000-00000000-00000001-0000003C|Summer House Light|A chrome stand with six flower shaped lights.|Furniture-Light|S
00000000-00000000-00000001-0000003D|Summer House Ornament|A shiny twisted chrome ornament on a white wire base.|Furniture-Ornament|S
00000000-00000000-00000001-0000003F|Summer House Table|A wooden table with a glass top.|Furniture-Table|S
00000000-00000000-00000001-00000064|YoYo Table|Yoyo table, design Pagnon and Pelha tre, Ligne Roset, 1999. Ingenious, clever and flexible dining coffee table from Ligne Roset collection.|Furniture-Table|S
00000000-00000000-00000002-00000001|Harbour Studio Armchair|A white fabric single seat armchair with chrome legs.|Furniture-Chair|S
00000000-00000000-00000002-00000002|Harbour Studio Chair|A shiny white plastic single seat chair with chrome legs.|Furniture-Chair|S
00000000-00000000-00000002-00000003|Harbour Studio Coffee Table|A shiny white plastic coffee table with chrome legs.|Furniture-Table|S
00000000-00000000-00000002-00000004|Harbour Studio Foot Stool|A white fabric foot stool with chrome legs.|Furniture-Footstool|S
00000000-00000000-00000002-00000005|Harbour Studio Lamp|A small white lamp in the shape of the PlayStation Home logo.|Furniture-Light|S
00000000-00000000-00000002-00000006|Harbour Studio Picture Frame|A modern, slimline picture frame for your Personal Space. You may only use this item to display content that (i) you have the legal right to use and display (ii) is not illegal, offensive or inappropriate and (iii) complies with the Terms of Service and User Agreement.|Furniture-Frame|S
