id|name|desc|category|thumbnail
00000000-00000000-00000000-00010001|Spiky|Description|Male-Hair|L
00000000-00000000-00000000-00010002|Mid Length Mop|Mid Length Mop|Male-Hair|L
00000000-00000000-00000000-00010003|Shaved|Description|Male-Hair|L
00000000-00000000-00000000-00010004|Side Parting|Side Parting|Male-Hair|L
00000000-00000000-00000000-00010005|Short afro|Short afro|Male-Hair|L
00000000-00000000-00000000-00010006|Afro|Afro|Male-Hair|L
00000000-00000000-00000000-00010007|Dreads Tied Back|Dreads Tied Back|Male-Hair|L
00000000-00000000-00000000-00010008|Ponytail|Ponytail|Male-Hair|L
00000000-00000000-00000000-00010009|Bald|Bald|Male-Hair|L
00000000-00000000-00000000-00010010|Punk Spikes|Punk Spikes|Male-Hair|L
00000000-00000000-00000000-00010011|Hoxton Fin|Hoxton Fin|Male-Hair|L
00000000-00000000-00000000-00010012|Shaved Receding|Shaved Receding|Male-Hair|L
00000000-00000000-00000000-00010013|Flat-Top|Flat-Top|Male-Hair|L
00000000-00000000-00000000-00010014|Centre Parting|Centre Parting|Male-Hair|L
00000000-00000000-00000000-00010015|Trendy Crop|Trendy Crop|Male-Hair|L
00000000-00000000-00000000-00010016|Spiky Crop|Description|Male-Hair|L
00000000-00000000-00000000-00010017|Layered Mid Length|Layered Mid Length|Male-Hair|L
00000000-00000000-00000000-00010018|Mohawk||Male-Hair|L
00000000-00000000-00000000-00010019|Cropped Mohawk|Cropped Mohawk|Male-Hair|L
00000000-00000000-00000000-00010020|Receding Spiky|Receding Spiky|Male-Hair|L
00000000-00000000-00000000-00010021|Long Spiky Crop|Long Spiky Crop|Male-Hair|L
00000000-00000000-00000000-00010022|Long Afro|Long Afro|Male-Hair|L
00000000-00000000-00000000-00010023|Cornrows|Cornrows|Male-Hair|L
00000000-00000000-00000000-00010025|Beanie Hat||Male-Hat|S
00000000-00000000-00000000-00010031|Black Bucket Hat|This simple black bucket hat looks great and keeps the sun off.|Male-Hat|S
00000000-00000000-00000000-00010032|Bucket Hat||Male-Hat|S
00000000-00000000-00000000-00010033|Brown Bucket Hat|The brown bucket hat combines practicality and a great retro look.|Male-Hat|S
00000000-00000000-00000000-00010034|Jungle-Camo Bucket Hat|Keep those harmful UV-rays off and look your best with this jungle camo bucket hat.|Male-Hat|S
00000000-00000000-00000000-00010035|Grey Bucket Hat|Make the most of summer with this grey bucket hat.|Male-Hat|S
00000000-00000000-00000000-00010037|White Bucket Hat|Its summer. Look no further than this simple white bucket hat.|Male-Hat|S
00000000-00000000-00000000-00010039|Baseball Cap||Male-Hat|S
00000000-00000000-00000000-00010040|Blue Baseball Cap|Authentic 1950s baseball cap in blue.|Male-Hat|S
00000000-00000000-00000000-00010041|Grey Baseball Cap|Classic baseball cap in grey.|Male-Hat|S
00000000-00000000-00000000-00010042|Red Baseball Cap|Classic baseball cap in red.|Male-Hat|S
00000000-00000000-00000000-00010047|Cowboy Hat|A rugged cowboy hat with simple leather band.|Male-Hat|S
00000000-00000000-00000000-00010049|Black and Grey Flatcap|A classic black and grey flat cap, great for all seasons.|Male-Hat|S
00000000-00000000-00000000-00010050|Black and Red Flatcap|A classic black and red flat cap, great for all seasons.|Male-Hat|S
00000000-00000000-00000000-00010051|Black and Brown Flatcap|A classic black and brown flat cap, great for all seasons.|Male-Hat|S
00000000-00000000-00000000-00010052|Do-rag|Keep your hair free from dust and grime in this no nonsense do-rag.|Male-Hat|S
00000000-00000000-00000000-00010053|Blue Do-rag|A plain blue multi-purpose do-rag.|Male-Hat|S
00000000-00000000-00000000-00010054|Jungle-Camo Do-rag|Keep your edge with this jungle-Camo do-rag.|Male-Hat|S
00000000-00000000-00000000-00010055|Urban-Camo Do-rag|Keep your edge with this urban-camo do-rag.|Male-Hat|S
00000000-00000000-00000000-00010056|Red Do-rag|Plain red do-rag.|Male-Hat|S
00000000-00000000-00000000-00010057|Black Skull Do-rag|Edgy black do-rag with skull pattern.|Male-Hat|S
00000000-00000000-00000000-00010058|Red Skull Do-rag|Edgy red do-rag with skull pattern.|Male-Hat|S
00000000-00000000-00000000-00010059|Stars and Stripes Do-rag|Support the stars and stripes with the Old Glory do-rag.|Male-Hat|S
00000000-00000000-00000000-00010063|Army Beret|Looking for that military style, then try on this army beret for size.|Male-Hat|S
00000000-00000000-00000000-00010067|Fedora|Look smart and stylish in this time honoured fedora.|Male-Hat|S
00000000-00000000-00000000-00010068|Porkpie Hat|Porkpie Hat|Male-Hat|S
00000000-00000000-00000000-00020000|Bare Hands||Male-Hands|S
00000000-00000000-00000000-00020001|Work Gloves|Work Gloves|Male-Hands|S
00000000-00000000-00000000-00030000|T-Shirt|Classic T-Shirt|Male-Torso|S
00000000-00000000-00000000-00030002|Home T-Shirt|Classic Home T-Shirt|Male-Torso|S
00000000-00000000-00000000-00030012|Sweatshirt||Male-Torso|S
00000000-00000000-00000000-00030017|Polo Shirt||Male-Torso|S
00000000-00000000-00000000-00030023|White Hooded Top|A casual white hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030025|Black Hooded Top|A casual black hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030026|Green Hooded Top|A casual green hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030027|Hooded Top|A casual hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030028|Jungle-Camo Hooded Top|A casual jungle camo hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030029|Urban-Camo Hooded Top|A casual urban camo hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030030|Navy Hooded Top|A casual navy hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030031|Pale Blue Hooded Top|A casual blue hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030032|Pale Pink Hooded Top|A casual pink hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030036|Layered T-Shirt||Male-Torso|S
00000000-00000000-00000000-00030040|Red Biker Jacket|Vintage red biker jacket.|Male-Torso|S
00000000-00000000-00000000-00030042|Striped Shades of Brown Dress Shirt|Dress to impress in this flamboyant striped dress shirt in shades of brown.|Male-Torso|S
00000000-00000000-00000000-00030049|Charcoal Waistcoat with Black Shirt|Look and feel great in this charcoal fitted waistcoat over a stylish black shirt.|Male-Torso|S
00000000-00000000-00000000-00030054|Military Jacket|Military jacket, four pockets and drawstring waist.|Male-Torso|S
00000000-00000000-00000000-00030057|Padded Gilet over Fleece|A comfy puffer vest jacket over a fleece long sleeved shirt.|Male-Torso|S
00000000-00000000-00000000-00030061|Blue Tank Top|Smart casual blue tank top over a fitted white shirt.|Male-Torso|S
00000000-00000000-00000000-00030065|Turtleneck|Going smart or casual this timeless turtleneck goes with anything.|Male-Torso|S
00000000-00000000-00000000-00030069|Denim Jacket|This timeless denim jacket never goes out of style.|Male-Torso|S
00000000-00000000-00000000-00030075|White Top with Blue Raglan Sleeves|White top with blue raglan sleeves.|Male-Torso|S
00000000-00000000-00000000-00030076|Cardigan|Cardigan|Male-Torso|S
00000000-00000000-00000000-00030082|Vest Top||Male-Torso|S
00000000-00000000-00000000-00040000|Jeans|Classic jeans|Male-Legs|S
