id|name|desc|category|thumbnail
00000000-00000000-00000000-0000000B|Bubble Machine|A fun bubbly toy.|Portable-Companion|L
00000000-00000000-000000F0-00000004|Camera|This camera allows you to save those precious PlayStation Home moments to your HDD.|Portable-Companion|L
00000000-00000000-000000F3-00000001|Dice|A huge dice for all to see. Play your own game with this massive dice.|Portable-Companion|L
00165FE8-48794596-BB092E26-25B2ED1C|Sheep Companion|Show off your farming prowess with this fuzzy sheep companion.|Portable-Companion|L
005E5FB2-4A4447FB-B95E862E-C478E583|Classic Scooter - Cream|Become a style icon with this fashionable Classic Scooter. Hold the square button to gain a speed boost. Speed  Standard = 4meters per second Square Boost = 5.25meters per second|Portable-Locomotion|L
0072B2BF-89974A9F-8FAA019D-4CF69A27|Auras - Energywave Locomotion Item|An aura emanates from your core. Unleash the power within. Combines with all clothing items.|Portable-Locomotion|L
0075FA0B-5970445C-90EED6AF-7BDCE126|nDreams Gestures - Insults (Female)|Time to show how you really feel in PlayStation Home with this pack of five unique gestures. This includes Taunt, Yo Trippin, Whack Attack, Shamone and Whats Up.|Portable-Animation|L
0082BA41-21354140-A674D4A9-8B129D11|LMO - Xi Hover Bike  The Scarab|The Scarab is a sleek, futuristic hover bike. Rocket around on the latest technology and hold the square button to receive a speed boost. Speed  LMO (Locomotion) is a portable item.|Portable-Locomotion|L
0084E6AB-0D644652-893F607F-B8536428|Shadow Mysterious UFO|Blast off into the past and boost your speed to 150% with Retro Flyers. Your speed boost will automatically engage when moving at full running speed. Retro Flyers can be accessed from your personal inventory.|Portable-Locomotion|L
0084F0DE-0BA9411B-989C18E9-DA70C004|EMT Panic Run|Flee from whatever strikes fear in your heart with this EMT. Includes a custom walk, run and idle animations for both male and female avatars.|Portable-Animation|L
00876BDB-66BE424D-9E0AFB28-B143BF18|Dr Pepper TEN   Vending Machine Costume|Representing the very latest in stealth technology, this vending machine disguise allows the wearer to blend seamlessly into the background whenever danger presents itself. Pressing SQUARE increases the avatars speed.|Portable-Locomotion|L
00A4BA4E-77A84F4E-878B24D0-6C3F88DE|Element - Evan Moonshine Cigar Box Deck - Kickflip|An authentic Element skateboard. Hold the square button to perform a trick and gain a speed boost. Speed  Standard = 4meters per second Square Boost = 5.25meters per second This item is a portable item.|Portable-Locomotion|L
00A6A1B4-64404251-913CCE5D-4141B2C2|GST - nDreams Gestures - Rude (Female)|The perfect Gesture pack for when words just cant convey your thoughts. Includes Loser, Vomit, Devil Horns, Watching You and Weirdo.|Portable-Animation|L
00BBC23E-C1234A5D-A4565DE2-3FCF8774|Mythical Creature Avatars - Golden Phoenix|Transform your avatar into a Golden Phoenix with this mythical creature locomotion item. This item is part of the Limited Edition 3D Printer Anniversary Collection. Speed  -Standard = 5.25 meters per second This item is a portable item.|Portable-Locomotion|L
00D1996F-7F734C0F-A7B7F798-7CA393DE|Mythical Creature Avatars - Bundle 02|Transform your avatar into a Mythical Creature with these Mythical Creature locomotion items. Speed  -Standard = 5.25 meters per second This bundle contains  (1) LMO - Mythical Creature Avatars - Chimera (2) LMO - Mythical Creature Avatars - Manticore (3) LMO - Mythical Creature Avatars - Phoenix|Portable-Bundle|L
00E718B9-291F4FBF-B80D8DE7-3B7481DF|Pig Bomb (Gold)|Congratulations on your victory in YECK Tower Defense. The next stage is unlocked. You will receive a Pig Bomb (Gold). *This item is a portable item.|Portable-Companion|L
010049B6-EB7E41B8-A4BC8B3E-6B43200D|Juggernaut Hoverdisc - Cloudrunner|This inventory item boosts your avatars speed by 50%. BONUS  Unlocks the Hoverdisc gadget for use in MiniBots multiplayer.|Portable-Locomotion|L
0105D304-F74B4A29-A16BE43C-FA73A55E|LMO - Bat Swarm|Transform yourself into a terrifying swarm of blood sucking bats and prowl the streets for tasty victims. LMO (Locomotion) is a Portable Item. By equipping this item, your movement speed will be increased.|Portable-Locomotion|L
01077FB1-8C74473D-A600EF46-C858A8A2|Robo-Punk  Dance Pack 1 (Female)|Show off your dancing talents with da funkiest electronic moves in PlayStation Home.|Portable-Animation|S
010F0CC5-17D94A64-85210AE3-6A2E38CE|Locomotion - Snacks and Picnic Sheet (Camellia)|A sheet spread out on the ground that is indispensable for outings. When using it, your avatar will sit atop the sheet when you stop moving. Open the menu with the R1 button to choose from 4 different sitting styles. Locomotion Speed  *Locomotion is a portable item.|Portable-Locomotion|L
0111DB17-80FE41F9-B0D12AF3-51D4375D|Oxide Exomech|Run through PlayStation Home in style in this futuristic red giant robot. Press square to reach top speed.|Portable-Locomotion|L
014495ED-60A34AD6-B022246D-6F528F29|Warframe Shade (companion)|With Revenge and Ghost as default precepts, Shade is well suited for stealth gameplay. Includes a Burst Laser Pistol.|Portable-Companion|L
014CC021-85C54D53-843A6037-698BECF9|Giant Vampire Bat Morph - White|Escaped from a local laboratory, this supersized bloodsucking beast invokes terror wherever it goes. LMO (Locomotion) is a Portable Item. Press Square for a speed boost.|Portable-Locomotion|L
01678769-6BB24357-8A270A4A-4FA8D7D8|Mythical Creature Avatars - Cherufe|Transform your avatar into a Cherufe with this Mythical Creature locomotion item. This locomotion object will boost your speed  Standard = 5.25 meters per second This item is a portable item.|Portable-Locomotion|L
0170ED3E-809F4C2B-BC39627C-F907570F|LMO - nDreams Choppers - High Rise (Flame)|An nDreams Chopper is the ultimate status symbol. You will be the envy of all your friends with this custom chopper. Speed  LMO (Locomotion) is a portable item.|Portable-Locomotion|L
0172F187-BAF94EA2-A13AB7E9-C2A6F917|Locomotion - Pumpkin Lantern|Pumpkin Lantern|Portable-Locomotion|L
