id|name|desc|category|thumbnail
0064D950-904746D6-AD518837-9D816E74|Heavy Metal Bundle (Male)|Bundle includes the Heavy Chain Shirt and Pants and the Heavy Trench Coat.|Male-Bundle|L
00CC45FC-2A774556-8666523D-286A2791|Bunny Bundle (male)|Reinvent the Pyjama Party. Change your boring outfits and add a touch of colour to your nights. Fun and different the Kigurumis suits your personality. Are you daring, curious, agile or strong? No matter who you are. There is always a Kigurumis for you. Become the focus of attention in the most original way, engage your instincts and start your wildest parties. This bundle contains - Kigu Bunny Hat (male) - Kigu Bunny Suit (male) - Kigu Bunny Shoes (male) - Kigu Bunny Gloves (male)|Male-Bundle|L
00DED48D-6BE04F3D-A9C7309A-1420A957|MuiMui King Swimwear Set (mens)|Be the king of the beach with the MuiMui Kings memorable striped shorts and a towel featuring His Majesty. Includes MuiMui King body paint. This set includes the following items -MuiMui King Swimwear Set (top mens) (tops) -MuiMui King Swimwear Set (bottom mens) (bottoms) Purchasing this item adds 1 LocoRoco to your Loco Island personal space. Up to 20 LocoRoco can be added to Loco Island. Once the maximum is reached, no further units can be added.|Male-Bundle|L
01210ED4-570B406C-89E66F94-08DAFE14|Shocker Costume Bundle (male)|Includes all the pieces to the Shocker costume, bundled together and offered at a discount.|Male-Bundle|L
01321587-6FFD46A8-BFE950CE-49F886F6|Animated Tattoo Bundle (Male)|Four animated arm tattoos.|Male-Bundle|L
013414CB-D2B941DE-807FA076-3E8AFB14|HoT Dog Bundle(Male)|Download this hotdog suit outfit from Saints Row.|Male-Bundle|L
0170F470-0EAB4E6B-83DEE3D1-ECA79739|Planta Kingdom Ethnic Pants And Boots Set Yellow (for Men)|The Bright Yellow Loin Cloth And Ethnic Pants Are Produced By Dyeing Techniques Cultivated Through Tradition. The Short Boots Are Perfect For Pants Styles And Are Very Useful For A Variety Of Outfits. Both Are Made By Skilled Craftsmen With The Utmost Care And Attention To Detail. When Worn, They Are A Talking Farm And Have The Following Effects. Planta Kingdom Ethnic Pants Yellow (for Men) The Effect Slightly Increases The Probability Of Fever Time. Planta Kingdom Ethnic Boots Yellow (for Men) The Effect Is To Slightly Increase The Amount Of Minori. This Set Includes The Following Items For Customizing Avatars. Planta Kingdom Ethnic Pants Yellow (for Men) (Bottoms) Planta Kingdom Ethnic Boots Yellow (for Men) (Shoes) When Purchased, Each Item Will Be Added To The Appropriate Category In Customize Avatar.|Male-Bundle|L
01B46552-907043FB-A726D6C0-A0ED2BDD|The Worlds Most Colorful Suit Bundle (Male)|The first suit visible from space. Bundle includes shades, hair, jacket, pants, shoes, and gloves.|Male-Bundle|L
01EAEE29-E37841F7-A785CBED-CCF6F773|Stripes Bundle (male)|This bundle contains -T-Shirt Stripes -Shorts Blue -Casual Boots Stripes (male)|Male-Bundle|L
02006159-27174675-AC5E6B99-807398F1|Go-Kart - Clothing Bundle|Race safe with this Go-Kart racing gear. This bundle contains (1) Go-Kart - Racing Suit - Male (2) Go-Kart - Racing Suit - Female (3) Go-Kart - Racing Helmet - Male (4) Go-Kart - Racing Helmet - Female (5) Go-Kart - Racing Gloves - Male (6) Go-Kart - Racing Gloves - Female (7) Go-Kart - Racing Boots - Male (8) Go-Kart - Racing Boots - Female|Male-Bundle|L
