id|name|desc|category|thumbnail
00000000-00000000-00000000-00080001|Thin Moustache|Thin Moustache|Male-FacialHair|L
00000000-00000000-00000000-00080003|Extra Thick Moustache|Extra Thick Moustache|Male-FacialHair|L
00000000-00000000-00000000-00080004|Medium Moustache|Medium Moustache|Male-FacialHair|L
00000000-00000000-00000000-00080005|Gentlemans Moustache|Gentlemans Moustache|Male-FacialHair|L
00000000-00000000-00000000-00080006|Turned Up Moustache|Turned Up Moustache|Male-FacialHair|L
00000000-00000000-00000000-00080007|Extra Long Moustache|Extra Long Moustache|Male-FacialHair|L
00000000-00000000-00000000-00080008|Full Braided Beard|Full Braided Beard|Male-FacialHair|L
00000000-00000000-00000000-00080009|Ponderer Beard|Ponderer Beard|Male-FacialHair|L
00000000-00000000-00000000-00080014|Long Sideburns|Long Sideburns|Male-FacialHair|L
00000000-00000000-00000000-00080015|Thick Sideburns|Thick Sideburns|Male-FacialHair|L
05A7B97E-3C24478D-9D9849E0-EC18134A|Chin Beard|Chin Beard|Male-FacialHair|L
06229800-9DB748AC-BCC5BC2E-E8C15FF3|Age of Swords - Man At Arms - Beard|The beard of a man at arms.|Male-FacialHair|L
09557ED2-052E46A8-9C02009D-C73969F0|Leprechaun Beard - Male|Celebrate St. Patricks Day in style with a leprechaun beard. A perfect partner to the green top hat.|Male-FacialHair|L
097B871E-6FCB4D32-857961CB-E9DC3233|Storm of the North - Mercenary Veteran - The Musketeer (Men)|This rather dapper moustache will strike fear into the hearts of men and flutters into the hearts of ladies.|Male-FacialHair|L
09991122-2D4341B2-81C58E96-EF6398B2|Gnome Curling - Beard|Gnome Curling - Beard|Male-FacialHair|S
0BCEB8D6-56084CD4-A92AF112-9C704013|English Moustache Week 3|FacialHair_Movember_English_Week_03|Male-FacialHair|S
1349B417-820F43CE-A1043A21-A73F982F|Fu Manchu Moustache Week 2|FacialHair_Movember_FuManchu_Week_02|Male-FacialHair|S
13F31067-A3DE4C44-A065C734-2910F9F8|Stylish Pirate Beard|Chin whiskers for the discerning buccaneer.|Male-FacialHair|L
145CD434-334B47BD-878583CF-035672BC|Fu Manchu Moustache Week 3|FacialHair_Movember_FuManchu_Week_03|Male-FacialHair|S
15718AEE-070043F7-A71D1543-8A0BBE27|Philips Groomable Moustache|Groom this moustache into an array of fine facial adornments|Male-FacialHair|S
18661DC0-1FA64438-AAD838EB-86A290DB|Handlebar Mustache (Far, Men)|A mustache that springs up on both sides.|Male-FacialHair|L
1A93131A-305142A4-A0BA8C4F-45BB507C|Drooping Mustache (Near, Men)|A long and narrow dangling mustache.|Male-FacialHair|L
1CFE4FE1-C09A4328-ABA2FE97-F97EB861|Santa Claus Beard|Santa Claus Beard|Male-FacialHair|L
1D3AB1B0-B61A41AB-95AC568B-28432AC9|Drooping Mustache (Far, Men)|A long and narrow dangling mustache.|Male-FacialHair|L
1D7E8B34-C9BB4F28-B65B88B3-46973FDC|Goatee (Near, Men)|A handsome goatee.|Male-FacialHair|L
1DE7E00C-A4AE448B-81F59BE5-B1398DE4|Goatee (Far, Men)|A handsome goatee.|Male-FacialHair|L
1E7D3639-3400481F-9E98FC1C-7F3C52C7|Gnome Curling - Beard|Gnome Curling - Beard|Male-FacialHair|S
26402326-AB92449C-A7B1543D-615FC53D|Antennae moustache|Wear those stylish pointy moustaches for a sophisticated look.|Male-FacialHair|L
36130417-730E40FF-8D301524-3DC11C97|The Doctor Beard|Dont worry with this facial hair, everything will be under control.|Male-FacialHair|L
3BC488E1-535B497A-8A8B2F3B-01C3E2B4|Frozen Mustache (Male)|Facial hair is a must in the cold and nothing says Im rugged like a frozen mustache.|Male-FacialHair|L
3C9A868A-28B64F95-B9BCF77C-11A40B31|Bartender Mustache|Wearing a mustache can be a great adventure. This ones got great body to it and is sure to catch the attention of just about everyone you meet.|Male-FacialHair|L
3FA9366C-CCE74A87-9A47512F-20DCD8B4|Fu Manchu Moustache|A droopy, Fu Manchu moustache|Male-FacialHair|S
43094A11-3E6841BA-BAF1D839-9AE03B53|Pilot Moustache|A prim and proper Pilot moustache|Male-FacialHair|S
50498E76-6DDA4F9F-A111CFDA-3EC23895|Handlebar Mustache (Near, Men)|A mustache that springs up on both sides.|Male-FacialHair|L
50AEF63C-37D0488B-A28977D1-E1E74E69|Full Beard|Full Beard|Male-FacialHair|L
520F0BB9-88734545-9FB9D880-60795494|Drooping Mustache (Near, Men)|A long and narrow dangling mustache.|Male-FacialHair|P
523561AA-8A58409F-8ABD2BCC-19AD3CED|Pilot Moustache Week 1|FacialHair_Movember_Pilot_Week_01|Male-FacialHair|S
5434EF78-E85A4F7D-8823EAF4-4C7EBE9A|Magnificent Facial Hair - Style 1 (Male)|Impress the world with your Magnificent Facial Hair.|Male-FacialHair|L
