id|name|desc|category|thumbnail
00000000-00000000-00000000-00050000|Smart Shoes||Male-Feet|S
00000000-00000000-00000000-00050002|Classic Trainers||Male-Feet|S
00000000-00000000-00000000-00050012|Basketball Boots|Athletic eight-hole basketball boots with toe cap detail.|Male-Feet|S
00000000-00000000-00000000-00050014|Suede Trainers|Suede Trainers|Male-Feet|S
00000000-00000000-00000000-00050019|Slip-on Trainers|Smart, comfortable and practical slip on trainers with line detailing on the sides.|Male-Feet|S
00000000-00000000-00000000-00050021|Biker Boots|No nonsense, tough leather boots for everyday and everywhere.|Male-Feet|S
00000000-00000000-00000000-00050024|Chelsea Boots|Chelsea Boots.|Male-Feet|S
00000000-00000000-00000000-00050028|Work Boots||Male-Feet|S
00000000-00000000-00000000-00050031|Winklepicker Shoes|The classic and always elegant wincklepicker, for that suave touch to any outfit.|Male-Feet|S
00000000-00000000-00000000-00050035|Skate Shoes||Male-Feet|S
00000000-00000000-00000000-00050038|Bare feet||Male-Feet|S
00000000-00000000-00000000-00050040|Blue and Orange Beach Shoes|Summer is here. Look no further than these blue and orange beach shoes.|Male-Feet|S
00000000-00000000-00000000-00050041|Pink Slip-On Skate Shoes|Simple but classic pink skate shoes for comfort in style.|Male-Feet|S
000B8BC1-C2B14591-B1D21B05-5F606540|Clown Shoes with Spats|For important clown business.|Male-Feet|S
0019E450-70174818-A3DBC117-D89B7034|Streak Sneakers|These shoes have a red stripe, to match your eyes.|Male-Feet|S
001D148F-6E1F49B7-82774FF5-60F24C9D|Leather sneakers (Black, Men)|Black leather sneakers.|Male-Feet|S
00387ED8-7BB84FC1-8DC2CB1B-AF3D6284|Brown Tabby Cat footware (Men)|A Footware That Has A Cat Motif.|Male-Feet|L
00964F89-705543BD-8B173399-E9D244FD|Heart Shaped Slippers (Male)|Who says guys cant be romantic?|Male-Feet|L
00AA74C3-9E954F3A-AE651521-299CBFFA|Khaki sneakers (Men)|Those timeless casual sneakers will look good on any occasion.|Male-Feet|L
0112EC3A-0EAE4FFF-BFB6F2DD-6C12F78A|Evil Shadows - Feet (Men)|Let out your dark side with this Evil Shadows costume. Exclusive to the VEEMEE 3D Printer.|Male-Feet|L
01704D66-15444B45-941CB36E-3F640FA0|The Shadows Collection - Shoes (RED)|PSTALENT Wardrobe Department The Chronicles of Shadows Leather non-skid sole (won t slip on blood) Wrap-around neck length shoelaces Spit shine only Steel toe|Male-Feet|L
017664ED-F4A546C4-A00DF9AE-5A969A7D|Disco Black Shoes|The return to the 1970s. Inspired by the hippy and disco movement, this collection gives you the freedom to combine your favourite colours, fabrics and prints. This line represents a whole life style.|Male-Feet|L
018ACDD6-AF274095-A1C291C0-A0325F69|Solleret (Silver, Men)|Western-style iron footwear made with metal plates. Defensive Strength + Gorgeousness |Male-Feet|L
01C75FB0-7B2C4105-B90FAA85-87E10E18|Black Buttoned Trail Boots|The Razor Collection brings you casual style with a cutting edge. We bring you trousers, boots, tops and gloves. Mix it or match it, the choice is yours, cohesion or clash, cut a dash in the Razor Collection.|Male-Feet|L
01E7C45D-F49544E9-A827B4DE-E9E7F0FD|Cybergoth Studded Platform Boots - Rancid Rainbow|Skaters, Goths, Punks, Emo Kids, and now Cybergoths. No one brings you street fashions quite like Delirious Squid.|Male-Feet|L
01EC11ED-96FB4723-B5450034-55080DDD|Stilettos with Leg Warmers - Red Glitter (for Male)|Who says heels are just for girls?|Male-Feet|L
02036656-0CF84674-95860F03-9FF2EE38|Gunfighter Boots (Brown, Men)|Boots fitted at the ankle for an active lifestyle. Defensive Strength Sniping Ability - Stylishness |Male-Feet|L
0224F7AA-6E724289-A250202A-000160E0|Pirate Boots Black (for Men)|Male Feet Pirate 1|Male-Feet|L
022F7936-A05B4EB9-BB393856-42E9E16D|Flippers (Black, Men)|A pair of black flippers for you to swim freely underwater. It raises your swimming speed in the Undersea Swimming minigame.|Male-Feet|S
023426C4-0D034F94-90F43317-57DD5464|Animated Hi-Tops - Jade|A Lockwood classic reimagined for a new era of footwear.|Male-Feet|L
0267890F-68104B93-8D9254F8-9E2D5086|JTTW Sun Wukong - Shoes (Male)|Become the Monkey King. This clothing item is taken from the Sun Wukong character set.|Male-Feet|L
02A4C688-75CD4543-A554FCA6-F8F20CB6|Nobleman Ren Shoes - Blue|Classic mens ren shoes.|Male-Feet|L
02C86805-72B74F94-85DBE552-1621EB4F|Shooter Survivor Suit (Boots)|Boots from the PixelJunk Shooter Survivor Suit.|Male-Feet|L
02D04465-9CBC40E7-85AA60F3-BCD9E0AC|Mischievous Imp Boots (Black, Men)|Some mischievous imp boots. Defensive Strength Magic Power Cuteness |Male-Feet|L
02EC993B-E2FA4720-AC62494D-8AB50689|Beach Sandals (Aqua Blue, Men)|Stay cool with these aqua blue beach sandals. Defensive Strength Tropicalness |Male-Feet|L
0314902E-8AE246EF-B0DF9523-8A7263BA|School Uniform Shoes and Socks (Black, Men)|Black school uniform shoes that bespeak an excellent student. Happiness Defensive Strength |Male-Feet|S
032C1EF5-07264A65-B09CE6F2-A143F8B7|Animated Hi-Tops - Lockwood Orange (for Male)|A Lockwood classic reimagined for a new era of footwear.|Male-Feet|L
032EE329-DCD7434C-93F997F4-E0B16965|Safari Boots (Green, Men)|Comfortable and functional green boots perfect for the outdoors. Defensive Strength Outdoor Usability |Male-Feet|L
03459B93-A065489F-BE12BEB5-425E3466|Bat sneakers (Men)|Those goth sneakers will look good on any occasion.|Male-Feet|L
03539766-04094E6F-A8861246-94290830|Tennis Shoes (White, Men)|Shoes worn by tennis athletes. Defensive Strength Coolness |Male-Feet|L
037366FC-BB71411B-9327899E-55300738|Red Tabby Cat footware (Men)|A Footware That Has A Cat Motif.|Male-Feet|L
03B5A471-70854CEF-A30D43D2-A83EFFC0|Cross-belt Sandals (Brown, Men)|Sandals perfect for summer, fitted with a belt. Defensive Strength Coolness |Male-Feet|L
03DF9120-8D2F4F9B-A8C19835-CA800A5D|Wolf-style Boots (Black, Men)|Costume boots with a wolf motif. Defensive Strength Coolness |Male-Feet|L
044DE49C-9BF74924-BAE7D220-C918D0E7|Emergency Services - Police Force - Shoes (Men)|Speed to the rescue in this police uniform.|Male-Feet|L
045D9930-3E9D4AC8-B5F5BFB8-5844B6A6|Warrior Sandals|Get ready for an exciting adventure. Its time to stop dreaming and write your own story. Create a fantasy world where you are the protagonist. Designed exclusively for you, we give you the opportunity to become your favorite character. Get ready for an exciting adventure ...And have a happy ending.|Male-Feet|L
048C22B1-A7304754-B4251D64-6F4E802F|Cowboy Boots (Orange, M)|A pair of orange leather boots with an intricate motif. A belt-like accessory has been strapped around the ankles.|Male-Feet|L
049BFB0E-4858499F-B684012B-D2B7BE94|Human Cyborg Feet (Male)|The foot 2.0.|Male-Feet|L
04CBE5C1-58A04521-97177EA7-9336ACB1|Special rescue team boots (Men)|Boots worn by members of the special rescue team.|Male-Feet|S
04CF1FAF-1E79420D-A2B33AF8-E3BD407F|Glow Star Galaxy High Tops - Pink, Yellow and White|Glow Star Galaxy High Tops - With Stars and Soles that Glow in the Dark|Male-Feet|L
04FA3D74-2AB8409B-879B3B18-0215C569|Roller Skate Shoes, Rocket Type (White, Men)|Shoes outfitted with Rocket Type Roller Skates. Defensive Strength |Male-Feet|L
04FD9A78-6E844549-A9D41A2F-18D84C7F|Sailor Saintly Deckhand Deck Shoes|Be an officer and a gentleman like this smart seafarer.|Male-Feet|L
051F7FED-E59C4480-84293A47-2384D6E7|Motorcross Boots|Motorcross Boots with straps to keep loose material from getting burned by your motorcycles exhaust pipe.|Male-Feet|S
053C6309-130C4E9F-85A2E9D9-0D76515C|Cowboy Boots (White, M)|A pair of white leather boots with an intricate motif. A belt-like accessory has been strapped around the ankles.|Male-Feet|L
05784672-E7DB4710-9E911ECE-9BA79E42|Solleret (Red, Men)|Western-style iron footwear made with metal plates. Defensive Strength + Gorgeousness |Male-Feet|L
057E414C-63C64D9C-8EE59E05-4F311C0E|Nurse Indoor Shoes (White, Men)|Indoor shoes that nurses wear at work. Defensive Strength Healing Rating |Male-Feet|S
0598D8A1-B90D4AA3-97072D1C-2574FD12|Astronaut Shoes|Moon walking couldnt be easier in these Astronaut Shoes.|Male-Feet|L
05C4DC53-4E4D4B51-9FF200B8-F8F3D361|Leather Sneakers (Brown, Men)|Trainers making use of a leather texture. Coolness Defensive Strength |Male-Feet|L
05C8B8C9-8FE14FC2-A4292BD9-984924E3|Seductive Wizards Shoes (Black, Men)|Shoes with pointy toes. Defensive Strength Magic Power Sexiness |Male-Feet|L
05E9E50E-6BB542DE-BFBE1E8A-5EC21495|Delinquent Boots with Belts (Black, Men)|Delinquent boots decorated with belts. Defensive Strength Coolness |Male-Feet|L
05EE0572-35CB409B-92C4C60F-1019386A|Mandarin Shoes (Black, Men)|Matching shoes for a Mandarin suit. Defensive Strength Coolness |Male-Feet|L
0613AA57-CDB74410-8242B281-8790B283|School Slippers (Red, Men)|Slippers for students. Defensive Strength Youth Level |Male-Feet|P
0633CAB8-A25D4CA3-94857C63-4866BD0E|Team LKWD Animated Hi-Tops - Black (for Male)|Youve tried the rest, now support the best with the official Team LKWD merchandise.|Male-Feet|L
0695B2F6-694841D6-9B831BE3-379F91D8|Kikai Slippers (Men)|Slippers designed with a Kikai soldier pattern. Defensive Strength *Only available for event|Male-Feet|L
06B0F76A-0D9E4B2A-A9B05E23-832D2A05|Ramis Slippers - Purple (for Male)|The Rami always dresses to impress - even by the poolside.|Male-Feet|L
06C75471-60574AFA-9C39F636-01497DBC|Double Time Hi-Tops - Black (for Male)|Double Time is back on track with a new range of sporty tracksuits. Ready, Set, Go.|Male-Feet|L
071D44D5-72324D6E-BF303932-5029FE1D|Fairytale Mr Muffets Leather Boots|The brave Mr Muffet chased away the scary spider and won Ms Muffets heart, not that you ever hear about that in the famous rhyme... Concept by PlayStation Home user Jennifer Whitbread.|Male-Feet|L
072380E7-9D564EA8-867513C1-1A75F1EA|Firefighter Boots|These boots will carry you through the most dire situations, except maybe dancing.|Male-Feet|S
072C9FB8-BAD94F34-AD63D072-6CF89571|White HiTops|These are plain white high tops.|Male-Feet|S
0764F56C-51824871-879CFE66-3638D0EF|The Boutique Apartment Shoes (Male)|These shoes from nDreams are the perfect item for the suave and sexy socialites of PlayStation Home.|Male-Feet|L
07A08C07-FB1F4D45-A84C6884-72CB2723|Casual Boots UK (male)|You enjoy wearing the latest fashion and youre able to mix and match any item and turn it into an original and unique outfit combination. You know how to have fun, live in the moment and most importantly how to dress for any occasion. Dont miss the moment, make the most of it.|Male-Feet|L
07EF9E48-E8F04EAC-8B831F99-7554EAF2|Arabesque Patterned Leather Shoes (Black, Men)|Shoes with Arabesque patterns on the toes. Defensive Strength Coolness |Male-Feet|L
080C7999-AFD54816-9BDAB075-EA993731|Drop Science Sneakers - Deuce|Hi-top sneakers with lace fastenings.|Male-Feet|L
0820B931-6B124ADD-B57BF6C9-01B82E3B|The Stars and Stripes Buttoned Trail Boots|The Razor Collection brings you casual style with a cutting edge. We bring you trousers, boots, tops and gloves. Mix it or match it, the choice is yours, cohesion or clash, cut a dash in the Razor Collection.|Male-Feet|L
083427CF-415B46B3-B4959E2C-5C4AC66F|Solleret (Black, Men)|Western-style iron footwear made with metal plates. Defensive Strength + Gorgeousness |Male-Feet|L
0835BD17-70E3499B-85167863-04BC5405|Post Apocalyptic Guerrilla Boots|Civilization as you know it has come to end, welcome to the new world. Youll need to suit up if you want to survive. Get ready brother.|Male-Feet|L
085F2940-7C674741-BA1920F1-CE414B93|Mischievous Imp Boots (Dark Red, Men)|Some mischievous imp boots. Defensive Strength Magic Power Cuteness |Male-Feet|L
08792AB1-8603468D-91453630-0B22F83A|El Fuerte Boots|Feel like El Fuerte from Street Fighter IV with this pair of wrestling boots imported from Mexico. Street Fighter IV CAPCOM U.S.A., Inc.|Male-Feet|S
