id|name|desc|category|thumbnail
00000000-00000000-00000000-00060001|Heavy Frame Glasses||Male-Glasses|S
00000000-00000000-00000000-00060002|Thin Framed Glasses|Thin Framed Glasses|Male-Glasses|S
00000000-00000000-00000000-00060006|Aviator Sunglasses|Always look great in these timeless sunglasses.|Male-Glasses|S
00000000-00000000-00000000-00060007|Heart Shaped Sunglasses|Add a little pizzazz to your summer look, with these heart shaped sunglasses.|Male-Glasses|S
00000000-00000000-00000000-00060008|Sport Sunglasses||Male-Glasses|S
00000000-00000000-00000000-00060010|Star Shaped Sunglasses|Shine brightly in these fun star shaped sunglasses.|Male-Glasses|S
00000000-00000000-00000000-00060011|Black Glasses|Classic, black framed glasses.|Male-Glasses|S
00000000-00000000-00000000-00060012|Small Square Framed Sunglasses|Looking for a more unique pair of sunglasses? Try these on for size.|Male-Glasses|S
00000000-00000000-00000000-00060013|Oval Sunglasses|Frame your face in style with these sleek oval sunglasses.|Male-Glasses|S
0007DB00-72A241F3-93C04695-E4428C6E|KIF - Headset (Men)|Headset that appears in the Kanazawa Independence Front 4-panel comic series on the Granzella website. Defensive Strength |Male-Glasses|L
00296570-8EBA4A3A-B44CBD81-AC88E92F|DNA (White) Mask (Men)|Mask shaped like the DNA (White) appearing in Escape Virus. For male.|Male-Glasses|S
005AAF7E-4626464B-83B20D4B-CF24878E|Beautiful Eyes Normal (Red, Male)|Coloured contact lenses that change the look of your eyes. Type Normal Colour Red|Male-Glasses|L
016CDB61-63B045DC-97D58336-36213FD9|Kitsune Side Mask - Yuri (for Male)|Get your game face on.|Male-Glasses|L
01CA5770-0633465A-837B8E7E-79D77F30|Lying Fake Nose 2nd Level (Warhorse Male)|Lying Fake Nose 2nd Level (Warhorse Male)|Male-Glasses|S
02503AC5-904B4068-BEDE63A7-61E8780D|Beautiful Eyes, Odd Eyes (Red and Sapphire Blue, Men)|Color contact lens to change the impression of your pupils. Type Odd eyes Color Red and Sapphire Blue|Male-Glasses|S
026E3075-E4774F9E-A304011B-2769F60C|Odlaws glasses|Odlaws round glasses.|Male-Glasses|L
027B02AC-100D4819-BC616E7D-BA35C3AB|Electro Pulse Mask - Blue (for Male)|Express yourself with the ultimate accessory.|Male-Glasses|L
02841B10-3BF34801-B462EFFD-931F7336|Beautiful Eyes Normal (Sapphire Blue, Male)|Coloured contact lenses that change the look of your eyes. Type Normal Colour Sapphire Blue|Male-Glasses|L
02C0CF4F-85C44152-93589F7A-3BCBB7D0|Mardi Gras Sunglasses (Colors)|Youll need these to keep the confetti out of your eyes.|Male-Glasses|S
