id|name|desc|category|thumbnail
00000000-00000000-00000000-00010001|Spiky|Description|Male-Hair|L
00000000-00000000-00000000-00010002|Mid Length Mop|Mid Length Mop|Male-Hair|L
00000000-00000000-00000000-00010003|Shaved|Description|Male-Hair|L
00000000-00000000-00000000-00010004|Side Parting|Side Parting|Male-Hair|L
00000000-00000000-00000000-00010005|Short afro|Short afro|Male-Hair|L
00000000-00000000-00000000-00010006|Afro|Afro|Male-Hair|L
00000000-00000000-00000000-00010007|Dreads Tied Back|Dreads Tied Back|Male-Hair|L
00000000-00000000-00000000-00010008|Ponytail|Ponytail|Male-Hair|L
00000000-00000000-00000000-00010009|Bald|Bald|Male-Hair|L
00000000-00000000-00000000-00010010|Punk Spikes|Punk Spikes|Male-Hair|L
00000000-00000000-00000000-00010011|Hoxton Fin|Hoxton Fin|Male-Hair|L
00000000-00000000-00000000-00010012|Shaved Receding|Shaved Receding|Male-Hair|L
00000000-00000000-00000000-00010013|Flat-Top|Flat-Top|Male-Hair|L
00000000-00000000-00000000-00010014|Centre Parting|Centre Parting|Male-Hair|L
00000000-00000000-00000000-00010015|Trendy Crop|Trendy Crop|Male-Hair|L
00000000-00000000-00000000-00010016|Spiky Crop|Description|Male-Hair|L
00000000-00000000-00000000-00010017|Layered Mid Length|Layered Mid Length|Male-Hair|L
00000000-00000000-00000000-00010018|Mohawk||Male-Hair|L
00000000-00000000-00000000-00010019|Cropped Mohawk|Cropped Mohawk|Male-Hair|L
00000000-00000000-00000000-00010020|Receding Spiky|Receding Spiky|Male-Hair|L
00000000-00000000-00000000-00010021|Long Spiky Crop|Long Spiky Crop|Male-Hair|L
00000000-00000000-00000000-00010022|Long Afro|Long Afro|Male-Hair|L
00000000-00000000-00000000-00010023|Cornrows|Cornrows|Male-Hair|L
04AC1991-A29543E5-AF682B7D-9F0B40DF|Star Trek Vulcan Hair (Male)|Hey Star Trek Fans, Star Trek has come to PlayStation Home. You can now look like a real Vulcan. TM and 2014 CBS Studios Inc. Star Trek and all related marks and logos are trademarks of CBS Studios Inc. All Rights Reserved.|Male-Hair|L
0631A370-212941B2-80FDBA76-645F87FE|The Hachiku|Thick luscious locks with a centre parting. Hair by Medusa.|Male-Hair|L
06AC712D-893A4C22-948CC279-7A505FC4|Male Pirate Hat|A bandana helps keep the hair out of your eyes when sword fighting.|Male-Hair|L
0BD6EC33-C35B4844-A63B88EA-35EAB1ED|Messy Short Hair (Male)|Who needs a comb when you can just style your hair with your hands.|Male-Hair|L
0C26A62D-5C6840F4-9079B404-FC6FA03C|The Evan - Purple|Delirious Squid and Medusa have collaborated to bring you these wild styles straight from the scene. Hair by Medusa.|Male-Hair|L
0C9C7A00-4C7D4751-B5696618-A5B0CDCD|Fantasy Adventurer Hair (Male)|A hero is only as epic as his hair.|Male-Hair|L
0CD4A632-BCCE456D-9B2C27E4-8B84CDD2|The Groom|Not a hair out of place for your perfect day. Hair by Medusa|Male-Hair|L
0D66263F-742C46B4-BB588554-2D09E6FD|Attitude Hairstyle - Magenta (for Male)|By popular demand, now guys can strut their stuff with Attitude too.|Male-Hair|L
10A710DE-4EB049D3-848ADD86-F91D5605|Shibuya|Shibuya|Male-Hair|L
10B47E1E-AED34428-BFED940F-67DEF2E4|Attitude Hairstyle - Flame (for Male)|By popular demand, now guys can strut their stuff with Attitude too.|Male-Hair|L
1166B8A9-B6CA40B4-B46A3CC2-4FE5A55E|William Hairstyle|Hair fit for an heir. Short side-parted hairstyle.|Male-Hair|L
1181D190-B7F845FD-A4E2FBE5-BF76D0C6|Shock Hair|The Razor Collection brings you casual style with a cutting edge. We bring you trousers, boots, tops and gloves. Mix it or match it, the choice is yours, cohesion or clash, cut a dash in the Razor Collection.|Male-Hair|L
1339F617-22654CC8-94668E0F-DD6F4B76|Padraig Hair|Jive is our new virtual fashion label that is fun, flirty and colourful. Mix it or match it the choice is yours.|Male-Hair|L
135055E5-07F74F21-B2053C4D-ECAD2E63|Japanese Hair|Traditional Japanese hairstyle - the chonmage.|Male-Hair|S
1391A603-AF864C42-84AA1DE1-6FFCCBD0|Attitude Hairstyle (for Male)|By popular demand, now guys can strut their stuff with Attitude too.|Male-Hair|L
13BE8CB1-5A8A4811-9E8D02D9-7060CE01|The Dream Islander|Salt water and sun-drying neednt be a disaster. Turn the touselled look to your advantage with this stylishly distressed look. Hair by Medusa|Male-Hair|L
14499756-BDEB4191-8DAA051C-27FDCA02|Hairstyle Checker RaceOn.|A cool hairstyle with the shaved in checkered flag.|Male-Hair|L
1517B50C-A8D44440-AF33D051-12F3FDA9|Justin Hairstyle|Complete your look this season with an exciting new hairstyle.|Male-Hair|L
15C8917C-705D4385-B9F2A76E-9B05FB3F|The Maddox|The non-conformist hairstyle for those who want to stand out from the crowd. Alternative friends will appreciate this.|Male-Hair|L
16D77546-A67542FA-98FA59EF-E8D79D78|Bad Boy Rocker Greaser Flick|Bad Boy Rocker Greaser Flick .|Male-Hair|L
182D538B-44F845E7-A6B2BCEB-9FFD0C79|Mid Length|Mid Length|Male-Hair|L
198D6BF9-579542CA-A9B3F8D9-7F62CB1A|Punk Rocker Hairstyle (Male)|For what it takes up in maintenance, this hairstyle makes up for it attitude.|Male-Hair|L
1A97B531-FC0E4B9C-9943B296-5725CD60|Villainous Anime Hairstyle|Want to destroy the world? You need this hairstyle to let people know of your dark, brooding nature.|Male-Hair|L
1B9A1B2D-A1654BC6-91B6243F-7A0E5C7B|Split Ends - Highlighted Slick Buzz - Teal (Men)|Slicked back hair with teal highlights. Grab yourself a new look with these fashionable hair styles.|Male-Hair|L
1C809E96-01A24BF3-A2125FA5-2D0A7CA0|Wardrobe Wars - Hairstyle - Justin - Male|Male hair style|Male-Hair|L
1C9739ED-68EA4CDF-AA950903-525B3B0C|The Stick Up Kid Hairdo|It all starts with the hair. Impress your friends and intimidate your enemies with the amazing Stick Up Kid Hairdo.|Male-Hair|L
1E2C5392-4F5A4D62-85BA88AA-20152BDD|Playground Male Hedgehog Hairstyle|Its hair with an electric current running through it.|Male-Hair|L
1EA60EFB-473E4776-80EE4E04-6D084B8A|Long Shaggy Hairstyle (Male)|Long locks of hair are just one of the many characteristics of teen heartthrobs.|Male-Hair|L
20C8FEFF-B62649A3-B242D356-E1D89817|Spikey Short Hair (Male)|Don a rebellious yet trendy spiked hairstyle.|Male-Hair|L
2145E0B9-E0594943-9B9E242B-63029317|The Fly Guy|A fresh and neat cut, short all over. Hair by Medusa.|Male-Hair|L
2267879C-E2D64D3E-BC6F7D12-44D7F550|The Guy|Quintessentially modern short on the sides and long on top, and gently teased back. Hair by Medusa.|Male-Hair|L
2277E19A-0E774910-9180EEA2-E5640237|Twingate Hair (for him) - White|Every story has two sides, every day has its night and every soul has its dark side. What would happen if these two sides were ever parted, if magic entered the roots of your soul and divided it into two? The curse hung in the air filling every corner of the castle. The splitting of a soul in two, one side to hold all that was good, great and beautiful, the other half to be filled with the darkness of evil, bitterness and hatred. Here everything is light, the feeling of hope and happiness is palpable. But this is Twingate Castle...|Male-Hair|L
228A977A-BE4A481F-A8FC971E-564F942D|Sodium Pummel Hairstyle (for Male)|Business up top, party to the sides.|Male-Hair|L
25019931-CE634A9C-95EEBCB4-236E7992|Uproar - Outlaws X-Hawk (for Male)|Represent your chosen Uproar gang by wearing this clothing item in-game and around PlayStation Home.|Male-Hair|L
