id|name|desc|category|thumbnail
00000000-00000000-00000000-00020000|Bare Hands||Male-Hands|S
00000000-00000000-00000000-00020001|Work Gloves|Work Gloves|Male-Hands|S
00148ABA-B22D40C8-80AEBD46-CE16EA21|Magic Dauber (Male)|Ensure you never call a wrong Bingo again with this Magic Dauber. The Magic Dauber lets you know if youve marked a number that had yet to be called accidentally. Perfect for all Bingo players.|Male-Hands|L
0014B874-CD5741E7-A42A5FDD-044471E3|Crystal Staff M |You hold the power of the crystal in your staff. Now if you only remembered how to use it...|Male-Hands|L
001BE24A-425947F1-9FA0AB00-0FDE5084|Staff Of The Thunder God (Male In Combat)|Staff Of The Thunder God (Male In Combat)|Male-Hands|S
002166DE-D7CC4F39-8BA34E6E-8EB412D7|Wedding Band (Male)|The ultimate gift for the perfect couple. You can find this gift at the Giftinator 9000 from Hellfire Games.|Male-Hands|L
00296F13-66944190-B5790871-8396FDD4|Zangief Wristband - alternate|Feel like Zangief from Street Fighter IV with this alternate set of wristbands. Street Fighter IV CAPCOM U.S.A., Inc.|Male-Hands|S
00298FFE-86484F4E-80CBB0DB-96B6D994|B Movie Madness - Zombie - Hands - Men|Join the B Movie Madness with this Zombie costume.|Male-Hands|L
00499082-60E94818-87AD02E7-14241E65|Gold Analogue Watch (for Male)|Exemplary style.|Male-Hands|L
0056831A-055948A7-A0F5458C-D5F74798|Hands_2012Apl_sword_01_1 (0)|Hands_2012Apl_sword_01_1|Male-Hands|L
007FE512-F7054259-85D15542-6568077D|Eye Ring (male)|You know you aren t like them, you follow another set of rules, your rules aren t from this world. Your world is a secret, a mystery for them. They can t see you, you embrace the night, you follow the Raven Culture.|Male-Hands|L
008B9B6E-65AC42F4-A47B5F3F-7E8A4501|Beam Katana, Lv1 (Grey Beam, Men)|The main weapon of a beam samurai. Mononoke Hunt Attacking Strength - Against Kikai Machine Attacking Strength + Attribute Electricity Kikai Machine Resistance Power-up Level Lv1 *Charge attack available|Male-Hands|L
00A420FB-A7414C95-BBB928F8-BDA55344|Long Tube Gun And Gloves (white Gloves Male)|Backed Gun And Fingerless Gloves. Offense Sniping Power |Male-Hands|P
00A867D3-7AC5439C-8BE78F39-D97F1E8F|Atari Cartridge Backpack (Male)| Copyright Atari Interactive Inc. All Rights Reserved |Male-Hands|L
00D7045D-BCA14FBA-AE79C651-AF6AE531|Power Fists - Frost|The perfect way to intimidate your enemies and look cool doing it.|Male-Hands|L
00EA17DA-8F1D4539-B35A0726-3E265926|Medical Battle Arm, Lv1 (Grey, Men)|The main weapon of a battle healer. Mononoke Hunt Attacking Strength - Against Kikai Machine Attacking Strength + Recovery Strength and Range + Attribute Electricity Kikai Machine Resistance Power-up Level Lv1|Male-Hands|L
00F8A16F-84F54E57-B049F7E4-4E780B69|Gauntlets (Silver, Men)|Western-style gauntlets made with metal plates. Gorgeousness |Male-Hands|L
012AEBC2-ADE94B66-93B9A5C1-15B3E625|Grimoire Of The Forest (for Men)|Male Hands Grimoire Plant|Male-Hands|L
01439557-9238401A-B6E1556E-811573C0|Skimmer and Lid (M)|A metal skimmer paired with a pot lid with a large handle for ease of grip. (From Semifinalist Fantasia) Attack Defence Combo 4 Attribute Food *Weapon is held in the hands during combat and slung over the back at all other times.|Male-Hands|S
019C1297-078A481B-8220EC47-7CA239BA|Pilot Suit Gloves (Granzella Revolutionary Guard Male)|Granzella Revolutionary Guard Pilot Suit Gloves. (From R-TYPE TACTICS II -Operation BITTER CHOCOLATE-)|Male-Hands|S
01A98062-CA314F7D-985530E4-8AEBC78A|Metal Lance and Shield (Male)|Knight Spear Shield|Male-Hands|L
01BEC80B-72064986-852C60AA-503F171B|Pencil Lance And Protractor Shield (Male In Combat)|Pencil Lance And Protractor Shield (Male In Combat)|Male-Hands|S
01C76CDA-74474DFA-A8A94E5A-A3759D76|Twilight Reviver (for Men)|Male Hands Sword Reviver White|Male-Hands|L
01DC1AFF-6E374B47-A8A6CD9E-C36CFEE8|Long Rifle and Gloves (Brown Gloves, Men)|A rifle carried over the shoulder and finger-less gloves. Attacking Strength Sniping Ability |Male-Hands|L
01F76B56-EFDF487F-91E7E851-A4E3EB2E|Retronaut Gloves - Z1726 (for Male)|Fool Throttle now caters for Space Travellers too. Grab the latest in Galactic Leisurewear.|Male-Hands|L
0201C332-89C0446A-967CB95A-512245F5|Dark Grey Gloves|The Occasions Collection brings you style, elegance and class, all wrapped up in the perfect outfit to wear to any of lifes big occasions. Go for the full, colour block look or mix and match for a touch of individuality.Make an impression, whatever the occasion.|Male-Hands|L
021B0E99-AAF64A1F-901871F9-62490E56|HGL Foam Hand - Right - Undead (Male)|A foam hand for Undead supporters.|Male-Hands|P
02280DDD-A343437C-AE5AE568-F2A3DFEA|Beam Katana, Lv1 (Red Beam, Men)|The main weapon of a beam samurai. Mononoke Hunt Attacking Strength - Against Kikai Machine Attacking Strength + Attribute Electricity Kikai Machine Resistance Power-up Level Lv1 *Charge attack available|Male-Hands|L
022B0670-E1344A11-8242398B-8E90BCDC|Glowy Wings (Male)|A fun set of animated glowing wings to make your outfit over the top.|Male-Hands|L
0238677E-C4D148C1-9F3F1CC6-C2D5F858|Tattooed Hands|The Rockabilly line is inspired by the 1950s and is characterised by its vintage, casual and striking style. The leather, jeans and prints are the stars of this collection. It will be impossible not to triumph on the dance floor.|Male-Hands|L
0248EDA5-277E42AF-87F829EA-B169D680|Shiny Glove (Male)|There was only one left in stock.|Male-Hands|L
024C4AFB-881F4A2B-BB274A19-17208DB7|Abel Gloves - alternate|Feel like Abel from Street Fighter IV with this alternate pair of gloves. The future is in your hands. Street Fighter IV CAPCOM U.S.A., Inc.|Male-Hands|S
0260E600-6D5D4ED8-90ACA666-B6635808|Animated - Diamond Watch (Male)|A large blinged-out diamond watch.|Male-Hands|L
027FA38E-3E4143C0-9C80E4ED-C1ABE8F8|Winter Gloves - Blue (Male)|A pair of gloves to keep you warm.|Male-Hands|L
0286FB32-B6BC40D4-9D2549D5-FA42497C|Tanabata Star Bracelet (Green, Men)|A bracelet with a Tanabata star design. Magic Power |Male-Hands|L
028C52B3-ACEA42F5-BADB9C6C-7403D52B|Closed Folding Fan (White, Men)|Closed folding fan that goes well with a haori hakama. Luckiness |Male-Hands|L
028E9A5E-B4FF43A0-BD2C73B3-2A6AC44A|Beam Katana, Lv2 (Blue Beam, Men)|The main weapon of a beam samurai. Mononoke Hunt Attacking Strength Against Kikai Machine Attacking Strength Attribute Electricity Kikai Machine Resistance + Power-up Level Lv2 *Charge attack available.|Male-Hands|L
029D76BB-F8B241A2-89C11353-09F3B069|Beam Katana, Lv2 (Red Beam, Men)|The main weapon of a beam samurai. Mononoke Hunt Attacking Strength Against Kikai Machine Attacking Strength Attribute Electricity Kikai Machine Resistance + Power-up Level Lv2 *Charge attack available.|Male-Hands|L
029E5C3E-BFA94E0A-9EB9946F-20B9AA55|MyGym - Waterbottle - Male - Red|Keep hydrated during your MyGym training sessions.|Male-Hands|L
02E3D57F-78084CA5-BA0078E3-8FE55FA5|Beam Katana, Lv2 (Green Beam, Men)|The main weapon of a beam samurai. Mononoke Hunt Attacking Strength Against Kikai Machine Attacking Strength Attribute Electricity Kikai Machine Resistance + Power-up Level Lv2 *Charge attack available.|Male-Hands|L
03042239-11CF4527-AD5F593D-7C4E11A1|Cheer Squad Uniform Gloves (White, Male)|Your cheers can be seen clearly even from far away with these white gloves. Youth Level |Male-Hands|L
0347F779-7D7F4F45-8F40C9A6-154ADB13|Demonic Symbiosis - Gloves|Demonic symbiosis might take away your good looks, but scaring the pants off of people makes up for that.|Male-Hands|L
03576557-64A84AD2-9E045B4B-BCFE7FC0|Fingerless Gloves (Black, Men)|A pair of fingerless delinquent gloves. Coolness |Male-Hands|L
0360806A-6C8C4872-84D5C22A-F327D1BD|Glow Sticks - Pink (for Male)|Glow Sticks - Pink.|Male-Hands|L
0372DCB6-89704358-A349E07D-351C84F6|T2 Judgment Day The Terminator Bullet Holster (Male)|You never know when you will need more ammo. The Terminator Bullet Holster forms part of The Terminator character clothing set. Terminator 2 Judgment Day, T2, THE TERMINATOR, ENDOSKELETON, and any depiction of Endoskeleton are trademarks of StudioCanal S.A. All Rights Reserved. 2012 StudioCanal S.A. All Rights Reserved.|Male-Hands|L
038C8301-44474770-B729A6E5-FF6BBFD4|Wolf-style Hand Warmers (Black, Men)|Costume hand warmers with a wolf motif. Coolness |Male-Hands|L
03D85879-4C9D4556-950289C4-56D819AE|Hand-held Fan (Tokugawa Ieyasu, Male)|This Hand-held Fan Depicts The Dignified Figure Of Tokugawa Ieyasu, A Warlord Who Unified The Country Under One Roof. (From Sengoku Efuda Yugi Unyuki Daeran|Male-Hands|S
03EE54C5-BCBC454C-A2B141FB-CE4E3551|Desert Island Designer Watch|Dream Island dapper.|Male-Hands|L
03EEB062-09204F9C-A63F34D3-61C324C5|Closed Folding Fan (Scarlet, Men)|Closed folding fan that goes well with a haori hakama. Luckiness |Male-Hands|L
04225489-433A465B-BA9B56C0-1052A055|Raver Bracelet - Beads|Wear these bright and flashy clothes while supporting Peace, Love, Unity and Respect.|Male-Hands|L
