id|name|desc|category|thumbnail
00000000-00000000-00000000-00010025|Beanie Hat||Male-Hat|S
00000000-00000000-00000000-00010031|Black Bucket Hat|This simple black bucket hat looks great and keeps the sun off.|Male-Hat|S
00000000-00000000-00000000-00010032|Bucket Hat||Male-Hat|S
00000000-00000000-00000000-00010033|Brown Bucket Hat|The brown bucket hat combines practicality and a great retro look.|Male-Hat|S
00000000-00000000-00000000-00010034|Jungle-Camo Bucket Hat|Keep those harmful UV-rays off and look your best with this jungle camo bucket hat.|Male-Hat|S
00000000-00000000-00000000-00010035|Grey Bucket Hat|Make the most of summer with this grey bucket hat.|Male-Hat|S
00000000-00000000-00000000-00010037|White Bucket Hat|Its summer. Look no further than this simple white bucket hat.|Male-Hat|S
00000000-00000000-00000000-00010039|Baseball Cap||Male-Hat|S
00000000-00000000-00000000-00010040|Blue Baseball Cap|Authentic 1950s baseball cap in blue.|Male-Hat|S
00000000-00000000-00000000-00010041|Grey Baseball Cap|Classic baseball cap in grey.|Male-Hat|S
00000000-00000000-00000000-00010042|Red Baseball Cap|Classic baseball cap in red.|Male-Hat|S
00000000-00000000-00000000-00010047|Cowboy Hat|A rugged cowboy hat with simple leather band.|Male-Hat|S
00000000-00000000-00000000-00010049|Black and Grey Flatcap|A classic black and grey flat cap, great for all seasons.|Male-Hat|S
00000000-00000000-00000000-00010050|Black and Red Flatcap|A classic black and red flat cap, great for all seasons.|Male-Hat|S
00000000-00000000-00000000-00010051|Black and Brown Flatcap|A classic black and brown flat cap, great for all seasons.|Male-Hat|S
00000000-00000000-00000000-00010052|Do-rag|Keep your hair free from dust and grime in this no nonsense do-rag.|Male-Hat|S
00000000-00000000-00000000-00010053|Blue Do-rag|A plain blue multi-purpose do-rag.|Male-Hat|S
00000000-00000000-00000000-00010054|Jungle-Camo Do-rag|Keep your edge with this jungle-Camo do-rag.|Male-Hat|S
00000000-00000000-00000000-00010055|Urban-Camo Do-rag|Keep your edge with this urban-camo do-rag.|Male-Hat|S
00000000-00000000-00000000-00010056|Red Do-rag|Plain red do-rag.|Male-Hat|S
00000000-00000000-00000000-00010057|Black Skull Do-rag|Edgy black do-rag with skull pattern.|Male-Hat|S
00000000-00000000-00000000-00010058|Red Skull Do-rag|Edgy red do-rag with skull pattern.|Male-Hat|S
00000000-00000000-00000000-00010059|Stars and Stripes Do-rag|Support the stars and stripes with the Old Glory do-rag.|Male-Hat|S
00000000-00000000-00000000-00010063|Army Beret|Looking for that military style, then try on this army beret for size.|Male-Hat|S
00000000-00000000-00000000-00010067|Fedora|Look smart and stylish in this time honoured fedora.|Male-Hat|S
00000000-00000000-00000000-00010068|Porkpie Hat|Porkpie Hat|Male-Hat|S
00008940-5A4B46A5-99D36CB4-5AC3EB7E|Worn-out Samurais Helmet (Silver, Men)|A silver, worn-out helmet said to be worn by a nameless samurai. Defensive Strength -|Male-Hat|L
00147C3B-93EA45E4-92FB1A60-2C9AF888|Iron Mask Helmet (red For Men)|Male Hat Helmet|Male-Hat|L
