id|name|desc|category|thumbnail
00000000-00000000-00000000-00060003|Headband Headphones|Show your passion for music in these classic styled headphones.|Male-HeadPhones|S
00000000-00000000-00000000-00060004|Over ear headphones||Male-HeadPhones|S
00000000-00000000-00000000-00060005|Neckband Headphones|Show your love for music in these neckband earphones.|Male-HeadPhones|S
000153CC-E3EB43F7-ACF3860D-B5A24A58|Knit Cat Ear Cap (Black, Men)|A knit cap with two cat ear-like bumps attached. Cuteness |Male-HeadPhones|L
00071129-48E84135-AE185130-4094D8E0|Knit Beanie, Small (Brown, Men)|A knit cap with ear flaps. This type matches easily with thinner hairstyles. Warmth |Male-HeadPhones|L
001F8799-56E44299-A603AF92-BCA11F3B|Prehistoric Valley T-Rex Skull Hat (for Male)|Prehistoric Valley from Lockwood a time AND a place.|Male-HeadPhones|L
00318A0F-8E994AF7-BEC15A11-830AE158|Wizard Hat (Black, Men)|A wizards pointed hat. Defensive Strength Magic Power |Male-HeadPhones|L
00394712-A8014954-A372E264-0D054118|Hannya Mask (Men)|Mask resembling Hannya. Defensive Strength |Male-HeadPhones|L
004056A1-3F0D4D7D-B9D7B038-2186616D|Mischievous Imp Horns (Black, Men)|Some mischievous imp horns. Magic Power Cuteness |Male-HeadPhones|L
00586F95-D1244E12-8FEDD73A-4CF8BC19|Red Oni Mask (Men)|Mask of red demon worn by demon actor on Setsubun holiday.|Male-HeadPhones|L
00776339-119B4DD8-B3E60258-6336F63F|Noble Tricorne (Dark Red, Men)|Tricorne with a decorative feather for a man of nobility. Gorgeousness |Male-HeadPhones|L
007836A5-8D784C54-93D4198E-18C1A85F|Face Guard (Men)|Movable armoured mask that protects mouth area. Defensive Strength |Male-HeadPhones|L
00B2696F-845A48B4-88095C26-0433C6D5|Nightcap (Light Blue, Men)|A cap worn while sleeping. Sleepiness |Male-HeadPhones|L
00C6D288-89364710-AA46F0FA-7A9AD2C1|Tennis Sun Visor (Small, White, Men)|A slightly small sun visor worn by tennis athletes. Coolness |Male-HeadPhones|L
01562EFF-1DA0415C-AF01FA93-9C2B38C1|Knit Cat Ear Cap, Large (Black, Men)|A knit cap with two cat ear-like bumps attached. Cuteness |Male-HeadPhones|L
015B63CC-D952460F-B1768755-E33CE535|Poker Tournament Winners Chip (Male)|Congratulations on being the last player standing. This ultimate head piece is yours. Show it off with pride.|Male-HeadPhones|L
0166F3CB-568A4379-9DCEFDF6-6D88E144|Nightcap (Blue Checked, Men)|A cap worn while sleeping. Sleepiness |Male-HeadPhones|P
016A2405-F6B649D6-AAEEFB81-A0E17C34|Knit Cap, Medium (White, Men)|White knit cap that you can combine with your hairstyle of choice. Size M Coolness |Male-HeadPhones|L
0195FB5E-A5A842F0-81E54DFE-CCD7CDCA|Wizard Hat (Red, Men)|A wizards pointed hat. Defensive Strength Magic Power |Male-HeadPhones|P
01A39FE1-3A614CD8-8C4F8561-743196E7|Anime Animal Attire Cat Ears - Red (for Male)|If youre feline foxy (get it?) then dress up in these animal inspired items. Very Kawaii.|Male-HeadPhones|L
01BCF330-26024555-8A887266-7B349F88|Seductive Wizards Hat (Black, Men)|A wide-brimmed pointed hat. Defensive Strength Magic Power Sexiness |Male-HeadPhones|L
01C05EBE-EBA44610-9983B0CC-0831E2F2|Kitty Cannon Prize 8|Kitty Cannon Prize 8|Male-HeadPhones|L
01F1D7A7-06514DBA-827ED459-A34FEB9E|Wolf-style Ears (Black, Men)|A hairband modeled after wolf ears. Defensive Strength Coolness |Male-HeadPhones|L
0202C057-86D1410B-8BF41589-F0926F4C|Nightcap (Black, Men)|A cap worn while sleeping. Sleepiness |Male-HeadPhones|L
021971B0-F19C4408-B46D5993-0927E6FD|Wind and Earth Headdress (Small, White Feather and Yellow Feather)|Hair decoration worn by the people of the Wind and Earth. Wind and Earth Level |Male-HeadPhones|L
021E4C19-30BE473C-B8BE78B5-FBE7718D|Mini Dragon Headphone Red(male)|Hazamas Spiritual Power And The Technology Of This World Are Combined To Create These Headphones. When Equipped, The Frequency Of Appearance Of The Dragon King Nushi Increases After The Nushi Gauge Is Filled To 5. If More Than One Nushi-compatible Equipment Is Equipped, The Appearance Frequency Of One Of The Nushi Will Increase.|Male-HeadPhones|L
021FC4C7-A0B64FCB-BA3EEDCB-4A68100C|Reindeer Costume (Accessory, Men)|A party hat accessory included in the Reindeer Costume Set.|Male-HeadPhones|S
024F88BE-B8FB4E6F-AB6E0AE5-993B5081|Perilward Security Communication Headset|Perilward Security Corps - keeping PlayStation Home safe since . . . well, now.|Male-HeadPhones|L
0296CAF8-EE944391-88F42518-F58CFA87|Fallen Angel Halo (for Male)|So maybe your halos slipped a little. Nobodys perfect.|Male-HeadPhones|L
02AE7296-9AA1499B-9EF791FC-E2F98F3A|Large Ribbon (Red, Men)|A large ribbon attached to the back of the head. * A present from GZ Gift|Male-HeadPhones|L
02CC91AE-07AB4C36-952CFFAE-6ADC7C05|Loco Badge (Priffy mens)|These badges feature characters from the LocoRoco series. Clip them on your hair or hat to accessorize.|Male-HeadPhones|L
02CD9783-2242433E-96D3AEAF-3FCF07CC|Nightcap (Red Checked, Men)|A cap worn while sleeping. Sleepiness |Male-HeadPhones|L
02E02C73-13194D57-8FE82FA2-D4998FA5|Shooting Star Hairpiece (Men)|A hairpiece in the shape of a star and its tail. Magic Power |Male-HeadPhones|L
02E82A35-365444EC-B7FBA206-382843FB|Capeline Hat with Ribbon, Small (Beige, Men)|A wide-brimmed hat with a ribbon wrapped around the crown. Defensive Strength Coolness |Male-HeadPhones|L
031BD129-A4E64148-AA663276-A8E843B5|ICO Horns (Men)|The horns of ICO s young protagonist. Like him, theyll make you just a bit tougher than other people.|Male-HeadPhones|L
034A9AD1-191542F5-8A21A248-BD252C11|Capeline Hat with Ribbon, Large (Beige, Men)|A wide-brimmed hat with a ribbon wrapped around the crown. Defensive Strength Coolness |Male-HeadPhones|S
036BAA5C-378B440E-8BC365AF-B1FAB2F3|Head-clinging Yellow Monkey (Men)|A yellow monkey clinging firmly to your head. Theres no budging it from its perch - not even for a second.|Male-HeadPhones|L
0386048E-B8524F56-97989428-AE2C13B1|Nightcap (Yellow, Men)|A cap worn while sleeping. Sleepiness |Male-HeadPhones|L
0387B960-865E4D59-967182E4-0B042075|Extra Life Charity Logo (male)|Receive this free Extra Life Charity item by simply registering on their website.|Male-HeadPhones|L
03899559-F88D4D8D-A87E365B-596DC8C3|Nightcap, Slightly Large (Light Blue, Men)|A slightly large cap worn while sleeping. Sleepiness |Male-HeadPhones|L
03A129EF-C7ED4523-B3D8BB65-830560EE|Loco Badge (Budzi mens)|These badges feature characters from the LocoRoco series. Clip them on your hair or hat to accessorize.|Male-HeadPhones|L
03AA6F84-70C2425C-92E8FCEE-BB182433|Noble Tricorne (Black, Men)|Tricorne with a decorative feather for a man of nobility. Gorgeousness |Male-HeadPhones|L
03F6AE22-2F14449D-8DA0B89C-3716A256|Halo (Men)|A ring of light floating above the head. Sense of Justice |Male-HeadPhones|L
03FB2054-82E84617-B0316F65-F50E2CD9|Knit Cap, Medium (Black, Men)|Black knit cap that you can combine with your hairstyle of choice. Size M Coolness |Male-HeadPhones|L
040D4664-6D1F47F0-AF30D68A-02E76360|Gold Chain|One of the fabulous treasures found on the shore of the Diamond Beach Yacht Club and Marina.|Male-HeadPhones|L
04156DB0-42584E28-A48DFA19-5D0998A5|Knit Cap, Medium (Green, Men)|Green knit cap that you can combine with your hairstyle of choice. Size M Coolness |Male-HeadPhones|L
042E67B2-FD154933-BC4EE142-58A01FE5|Spun Cloud Head|When worn in Spunland enables the wearer to create clouds at twice the normal speed.|Male-HeadPhones|L
0469BCAC-980F4479-AF25964A-199D1675|Heart Headband (Men)|A headband with two glowing hearts attached to it. Happiness |Male-HeadPhones|L
050468CA-CCD54925-8308408E-F301048B|Nekomata Ears (White, Men)|The ears of the Nekomata yokai, said to be transformed from a house cat. Mononoke Level |Male-HeadPhones|L
051AE15E-5ED84322-934695D6-A3E8AE16|World Flag Icon - New Zealand (Male)|Show your love for this country by wearing this world flag icon.|Male-HeadPhones|L
05492EC4-0E2C4E3A-813E2FDF-1221F6C8|Shining Single Oni Horn (Short, Red, Men)|Single horn of demon with shining stripe pattern.|Male-HeadPhones|L
055FEB4E-B8744359-9E761ACE-AE8A712B|Tennis Sun Visor (Small, Red, Men)|A slightly small sun visor worn by tennis athletes. Coolness |Male-HeadPhones|P
056514BE-48144DC9-B1485037-7A6DC38E|Pointed Horns (Men)|A set of spiked horns growing from the head. Magic Power |Male-HeadPhones|L
0597EC26-BA77449B-9119A86E-AECE6B89|The Kings Crown (Male)|A Gorgeous Crown, Studded With Precious Gems. (From Semi-Finalist Fantasia) Defense , Attributes - It Is Worn On Headphones.|Male-HeadPhones|S
05C20E55-553942C9-94A8FD8A-6302AB5F|Ranka Lee SS Hachimaki (for Men)|This Is A Hachimaki Of Ranka SS, A Proof Of Completion Of Macross Super Live SS Curriculum. This Item Will Be Placed In Accessories > Head Accessories . 2007 VicWest Macross F Production Committee MBS|Male-HeadPhones|L
05D8E0D3-C9074F3A-B6D73FE6-95B0592A|Mini Dragon Headphone Gold(male)|These Headphones Were Created By Combining The Spiritual Power Of Hazama With Technology From This World. When Equipped, The Frequency Of Appearance Of The Dragon King Nushi Increases After The Nushi Gauge Is Filled To 5. If More Than One Nushi-compatible Equipment Is Equipped, The Appearance Frequency Of One Of The Nushi Will Increase.|Male-HeadPhones|L
05F211D3-5D7347B1-89186839-2AB67FDE|Seductive Wizards Hat (Red, Men)|A wide-brimmed pointed hat. Defensive Strength Magic Power Sexiness |Male-HeadPhones|L
0619FB1F-DBF845CF-A4CA6A05-CF59FDA4|Mischievous Imp Horns (Dark Red, Men)|Some mischievous imp horns. Magic Power Cuteness |Male-HeadPhones|L
062063DC-56154A0D-9774E4A4-A007D670|Wolf-style Ears (Red, Men)|A hairband modeled after wolf ears. Defensive Strength Coolness |Male-HeadPhones|L
063761AD-34034B55-A1F97849-7A5FFB04|Face-hugging Coconut Crab (Men)|All of a sudden, theres this huge coconut crab on your face. It looks like its absorbing something too...|Male-HeadPhones|L
066BACA7-E8484CFE-AC7109E6-597844CB|Wizard Hat (White, Men)|A wizards pointed hat. Defensive Strength Magic Power |Male-HeadPhones|S
0684D7CF-128A4A9E-92366EAF-3EF4E3C8|Animated Revolving Emoticon - Love (for Male)|Express yourself with an animated emoticon buddy.|Male-HeadPhones|L
06A359FB-EA9048C3-A198985C-DDD470E6|Knit Beanie, Small (Black, Men)|A knit cap with ear flaps. This type matches easily with thinner hairstyles. Warmth |Male-HeadPhones|L
06D10855-C3BD472D-A1211FB7-F9806C1B|Helmet Of Nightmares (Male)|An Evil Helmet That Is Said To Haunt You And Make It Impossible To Sleep When Worn. (From Semi-Finalist Fantasia) Defense +, Attribute Curse It Is Worn On Headphones.|Male-HeadPhones|S
06F739BF-2E8841B3-A1E50541-94D0D0F7|Knit Cap, Small (White, Men)|White knit cap that you can combine with your hairstyle of choice. Size S Coolness |Male-HeadPhones|L
07B46117-8F8D4E54-9474107D-3296CF44|Knit Cat Ear Cap (Beige, Men)|A knit cap with two cat ear-like bumps attached. Cuteness |Male-HeadPhones|L
07B73DF4-D6704928-988F7DB6-683CFB92|Knit Cap, Small (Black, Men)|Black knit cap that you can combine with your hairstyle of choice. Size S Coolness |Male-HeadPhones|L
07C21381-0B7F44B6-81AB9801-C35AF7C2|Lucky Mount Fuji Hat (Men)|A hat in the shape of Mount Fuji. Luckiness |Male-HeadPhones|L
07E893ED-2CCA4279-BFBB9E1F-3DD4C098|Shining Single Oni Horn (Long, Red, Men)|Single horn of demon with shining stripe pattern.|Male-HeadPhones|L
07F4E880-6CFA42FA-AB204839-F1D3DF47|Kikai Mask (Men)|Mask designed with a Kikai soldier pattern. *Only available for event|Male-HeadPhones|L
07F5D64E-EB06468C-BC563D8B-BDAFF00D|Knit Cat Ear Cap, Large (Beige, Men)|A knit cap with two cat ear-like bumps attached. Cuteness |Male-HeadPhones|L
080AE965-DB864ADF-B32E3D51-703E54EC|Wind and Earth Headdress (Large, White Feather and Yellow Feather)|Hair decoration worn by the people of the Wind and Earth. Wind and Earth Level |Male-HeadPhones|L
081C4A2E-2B6A47BF-9122C8F6-A2FEAE3F|Nightcap, Slightly Large (Blue Checked, Men)|A slightly large cap worn while sleeping. Sleepiness |Male-HeadPhones|L
08237742-A6E7448E-B7DD34F2-3ABC1994|Nightcap, Slightly Large (Black, Men)|A slightly large cap worn while sleeping. Sleepiness |Male-HeadPhones|L
08777BFB-16BB44D3-AE09C372-081D45B6|Helmet Of The Raging Bull (male)|A Helmet Adorned With The Horns Of A Fierce Bull. (From Semi-Finalist Fantasia) Defense , Attributes - It Is Attached To Headphones.|Male-HeadPhones|S
088224B0-489041B2-BE68585E-8CFBB777|Nightcap, Slightly Large (Red Checked, Men)|A slightly large cap worn while sleeping. Sleepiness |Male-HeadPhones|L
08850A3C-709548B2-92E50B39-33E0EC32|Nightcap, Slightly Large (Pink, Men)|A slightly large cap worn while sleeping. Sleepiness |Male-HeadPhones|P
089996F6-4E904E9E-B8257F41-37AE4057|Circle On The Head (male)|A Circle Of Light, Floating Above The Head. Sense Of Justice |Male-HeadPhones|L
089E6433-B25E4A08-947FDFE0-D70473DF|Tiger Ears (Men)|Tiger ears attached to head.|Male-HeadPhones|L
08CC109E-26164EBC-B7DDD8CD-A07EADAF|Helmet Of Runaway (Male)|An Evil Helmet Whose Runaway Face Appears To Bite The Head Of The Wearer. (From Semi-Finalist Fantasia) Defense , Attribute Curse It Is Attached To Headphones.|Male-HeadPhones|S
08E5A7D8-9E724F73-B2FA4167-3EB256C1|Knit Cap, Small (Green, Men)|Green knit cap that you can combine with your hairstyle of choice. Size S Coolness |Male-HeadPhones|L
08F154F5-4BCA47C9-BE9CFD84-BF9252BA|Silent Night Silk Hat (Red, Men)|A silk hat perfect for Silent Night. Defensive Strength |Male-HeadPhones|L
09131BCF-9B834F8C-8EE0ED89-9983BB3B|Golden Helmet (Male)|Golden Helmet Made Of Pure Gold. (From Semi-Finalist Fantasia) Defense , Attributes - It Is Attached To Headphones.|Male-HeadPhones|S
0965CF4F-1FED4295-92B86CBE-B9C07DE7|Mischievous Imp Horns (Navy Blue, Men)|Some mischievous imp horns. Magic Power Cuteness |Male-HeadPhones|L
099FC95A-2EC74106-85F961DE-C146AA77|Straw Hat Hanging Behind Neck- Close to Neck Type (Black Ribbon, Men)|A straw hat wrapped with a black ribbon hung behind the neck. This type worn close to neck. Youth Level |Male-HeadPhones|L
09BB7609-322540BA-AA00E978-D02DA5FF|Snow Rabbit (black For Men)|Snow Rabbit (black) Loves High Places. Put Him On Your Head And Hell Flap His Ears For Joy.|Male-HeadPhones|S
0A05E108-4F754890-A2566CFF-D7714FD8|Shining Double Oni Horn (Short, Purple, Men)|Double horn of demon with shining stripe pattern.|Male-HeadPhones|L
0A1A2D4C-CBD245EF-81A98289-5C1D8FE6|Shining Double Oni Horn (Long, Purple, Men)|Double horn of demon with shining stripe pattern.|Male-HeadPhones|L
0A615D8D-5CA74F36-AC5A1606-0B4AC64B|Ghosts Triangle Kerchief (Men)|A white triangle kerchief that goes around the forehead.|Male-HeadPhones|L
0A6B2C06-FB6C4D15-96855004-6CC41D80|Heart Catsuit (Male)|Catsuit With Two Shiny Hearts. Happiness |Male-HeadPhones|L
0A6EEDDA-19234DF0-BCBCD87B-78E7175E|Leather Mask (male)|Leather Mask With Holes Only For The Mouth. Intimidating To The Viewer. (From Semi-Finalist Fantasia) Defense , Attribute Curse It Is Worn On Headphones.|Male-HeadPhones|S
0A980C96-05294533-BCD836A4-8BC7FFE2|Rave Red Horns|Long live the party. Rave Party is the ideal collection for all those who love to go out to have fun and dance. Dare to combine different designs and create your own style.|Male-HeadPhones|L
0B2EB776-E54340C0-A8B1CC00-60C05034|Knit Cap, Large (White, Men)|White knit cap that you can combine with your hairstyle of choice. Size L Coolness |Male-HeadPhones|L
0B377812-9F804AD0-A4A24F24-E423EE0B|Knit Beanie, Small (Red, Men)|A knit cap with ear flaps. This type matches easily with thinner hairstyles. Warmth |Male-HeadPhones|L
0B6DD994-1D76492B-8A2DEB73-AED82C75|Seductive Wizards Hat (Blue, Men)|A wide-brimmed pointed hat. Defensive Strength Magic Power Sexiness |Male-HeadPhones|L
0B6E1BC5-E1BE4006-922614FB-66AD4239|Knit Beanie, Small (Blue, Men)|A knit cap with ear flaps. This type matches easily with thinner hairstyles. Warmth |Male-HeadPhones|L
0B74D10A-0635478B-9440E437-8DD8CBF0|Wolf-style Ears (Blue, Men)|A hairband modeled after wolf ears. Defensive Strength Coolness |Male-HeadPhones|L
0BD6F152-BF26406B-85AB9A2A-B3BE32A5|Straw Boater Hat (Low, Brown, Men)|A very sturdy hat made of wheat straw. Low placement type makes it easy to coordinate with low-volume hairstyles. Defensive Strength Tropicalness |Male-HeadPhones|S
0BEB0C1E-E806483A-A8838D8B-F604871F|Jet Black Curved Horns For Men|Male HeadPhones BuffaloHorn|Male-HeadPhones|S
0C3621D9-8DC94894-9444DC5D-ADE4B886|Mini Fez (Male)|You can find this gift at the Giftinator 9000 from Hellfire Games.|Male-HeadPhones|L
0C4F688B-71304366-A2C7D273-1847B88C|Station Masters Cap (Small, Men)|A cap worn by a station master. Defensive Strength Coolness |Male-HeadPhones|L
0C5B07CF-1E084359-92032212-7DCECA13|Knit Hat Medium (Black Male)|Black Knit Hat That Can Be Combined With Your Favorite Hairstyle. Size M Coolness |Male-HeadPhones|L
0C7AC542-8BC94C36-87744346-31765AC2|Half Cocked Prize 6|Half Cocked Prize 6|Male-HeadPhones|L
0C9021CD-1EAC4624-B0306F89-B4448B47|Straw Hat Hanging Behind Neck- Slightly Loosened Type (Black Ribbon, Men)|A straw hat wrapped with a black ribbon hung behind the neck. This type worn loosened from neck. Youth Level |Male-HeadPhones|L
0CBE0D2F-76164483-8CB64094-8F09FF4C|Knit Cap, Large (Black, Men)|Black knit cap that you can combine with your hairstyle of choice. Size L Coolness |Male-HeadPhones|L
0CDE0ADD-DB554C83-929ABAB5-3077C4F0|Straw Boater Hat (High, Brown, Men)|A very sturdy hat made of wheat straw. High placement type makes it easy to coordinate with high-volume hairstyles. Defensive Strength Tropicalness |Male-HeadPhones|S
0D0AA624-F78C43A3-81358DC4-A6F3E6CE|Nekomata Ears (Black, Men)|The ears of the Nekomata yokai, said to be transformed from a house cat. Mononoke Level |Male-HeadPhones|L
0D24BD86-ECBE49A3-8632884A-325E9BA2|Love Struck Hearts (for Male)|Express yourself with an animated emoticon.|Male-HeadPhones|L
0DED7BD3-1273496E-87AC455F-90E0B258|Knit Cat Ear Cap (White, Men)|A knit cap with two cat ear-like bumps attached. Cuteness |Male-HeadPhones|L
0E0433EA-C9E14950-9F6D281C-ECC55ACF|Straw Hat Hanging Behind Neck- More Loosened Type (Black Ribbon, Men)|A straw hat wrapped with a black ribbon hung behind the neck. This type worn more loosened from neck. Youth Level |Male-HeadPhones|L
0E37BC43-90B1456F-ACACDD65-3ACE7B9A|Knit Cat Ear Cap, Large (White, Men)|A knit cap with two cat ear-like bumps attached. Cuteness |Male-HeadPhones|L
0E6A75F7-3FAC4780-BE7FE41B-47F9DD3F|Knit Cap, Large (Green, Men)|Green knit cap that you can combine with your hairstyle of choice. Size L Coolness |Male-HeadPhones|L
0E9C522E-26FE42F1-B8C6339F-9AC8A46D|Knit Cap, Extra-large (White, Men)|White knit cap that you can combine with a hairstyle with volume. Size XL Coolness |Male-HeadPhones|L
0EE8CE0B-3F664A5E-B3B9897B-01574C1F|Silent Night Silk Hat (Green, Men)|A silk hat perfect for Silent Night. Defensive Strength |Male-HeadPhones|L
0F0ABA0F-797246B1-ADFF3761-574B4630|Knit Beanie, Medium (Brown, Men)|A knit cap with ear flaps. This type is a standard size. Warmth |Male-HeadPhones|L
0F57CC32-ACFF4B5D-A30C4AF0-6DA78FA8|Hibiscus Hair Accessory (Red, Men)|A large, red tropical hibiscus and plumeria hair accessory.|Male-HeadPhones|L
0FD936BC-04FA4EA6-A7EFD4D8-A42954C7|Knit Beanie, Medium (Black, Men)|A knit cap with ear flaps. This type is a standard size. Warmth |Male-HeadPhones|L
100DB091-C2634477-B14F4271-9F7C98D5|Wind and Earth Headdress (Small, White Feather and Green Feather)|Hair decoration worn by the people of the Wind and Earth. Wind and Earth Level |Male-HeadPhones|L
111BDAE3-FD0C41AF-AEA909CF-D8867984|Chicken Bucket Hat (Men)|Paper bucket for fried chicken worn as a hat.|Male-HeadPhones|S
111ED660-10334FD7-8082BD9E-63A42265|Unidentified Squadron U-Man Mask, Straight (U-Man Red, Men)|An Unidentified Squadron U-Man mask worn properly. Heroism |Male-HeadPhones|P
113596C0-23764EC3-B1FE2F96-65760A37|An Amazing Treasure Hat (male)|A Hat With A Simple Band Attached To A Treasure Chest Full Of Gold And Silver Treasure. (From Semi-finalist Fantasia) Attached To Headphones.|Male-HeadPhones|L
11430B73-426B460F-9F1D47D9-98B26118|Wind and Earth Headdress (Large, White Feather and Green Feather)|Hair decoration worn by the people of the Wind and Earth. Wind and Earth Level |Male-HeadPhones|L
114FC61D-709242B4-A1A3BFD6-88A16F2B|Seductive Wizards Hat (Purple, Men)|A wide-brimmed pointed hat. Defensive Strength Magic Power Sexiness |Male-HeadPhones|L
1154CC83-C32C482D-AE0410B1-97F4FA7A|Mini Dragon Headphone Black(male)|These Headphones Were Created By Combining The Spiritual Power Of Hazama With Technology From This World. When Equipped, The Frequency Of Appearance Of The Dragon King Nushi Increases After The Nushi Gauge Is Filled To 5. If More Than One Nushi-compatible Equipment Is Equipped, The Appearance Frequency Of One Of The Nushi Will Increase.|Male-HeadPhones|L
11609D7C-8A3F4244-A92A9083-6BE0F8E8|Straw Hat (for Men)|Male HeadPhones Mugiwara|Male-HeadPhones|L
11C09535-0652490E-B8A12450-AA9DE361|Golden Twisthorn For Men|Male HeadPhones Twisthorn|Male-HeadPhones|S
12213131-4DD2470E-AEB83C00-6CEF814E|Unidentified Squadron U-Man Mask, Crooked (U-Man Red, Men)|An Unidentified Squadron U-Man mask worn in a crooked position. Heroism |Male-HeadPhones|L
12241821-75B44CAC-937D4500-A012F8A8|Sideburns, thin (Men)|Sideburns growing down to below the ears. Coolness |Male-HeadPhones|L
122D6F7A-3ACD48F5-951BFBD8-CD1B35E5|Loco Badge (Tupley mens)|These badges feature characters from the LocoRoco series. Clip them on your hair or hat to accessorize.|Male-HeadPhones|L
1265CA6F-87024BA6-BB01AD44-A5279CC0|Straw Boater Hat (Low, White, Men)|A very sturdy hat made of wheat straw. Low placement type makes it easy to coordinate with low-volume hairstyles. Defensive Strength Tropicalness |Male-HeadPhones|S
1269140B-27004779-AC0BAEED-E56D19EC|Sideburns, medium (Men)|Sideburns growing down to the cheek. Coolness |Male-HeadPhones|L
1293FC15-49864C23-A228162A-652DB831|Anime Animal Attire Cat Ears - Tan (for Male)|If youre feline foxy (get it?) then dress up in these animal inspired items. Very Kawaii.|Male-HeadPhones|L
