id|name|desc|category|thumbnail
00000000-00000000-00000000-00070003|Both Silver Square Stud|Both Silver Square Stud|Male-Jewellery|S
00000000-00000000-00000000-00070007|Left Square Stud||Male-Jewellery|S
00000000-00000000-00000000-00070008|Right Square Stud||Male-Jewellery|S
00000000-00000000-00000000-00070009|Both Gold Square Studs||Male-Jewellery|S
001F8242-E250459F-8A651AC4-D65A8680|Treasure Earring (Emerald, Right Ear, Men)|This gem is a type of beryl that is tinged with a striking green colour. For the right ear. (Mohs hardness 8)|Male-Jewellery|L
009590FA-8DEB465D-A6EB4130-529E0E4D|DNA (White) Earring (Right Men)|DNA (White) earring for the right ear. For male.|Male-Jewellery|L
00EA281F-54114028-91647AD6-6C67E425|Birdmans Earmuffs (Left Male)|Birdmans Earmuffs (Left Male)|Male-Jewellery|L
01A68202-8A724FF4-91CDD9F7-CEA11623|DNA (Red) Earring (Right Men)|DNA (Red) earring for the right ear. For male.|Male-Jewellery|L
02A76FFF-5BC34A51-AF384EB8-9B4C886D|DNA (Legendary) Earring (Left Men)|Mutated DNA earring for the left ear. For male.|Male-Jewellery|L
02B27F54-14FE4BE8-A8B9668B-54D2396D|Glow Eyebrow Spike - Pink (for Male)|Bright eyes, bright eyebrows.|Male-Jewellery|L
02E5847A-A3944457-A516BB70-7A3A9E63|Glow Hoop Earring - Pink (for Male Left Ear)|Pick a color, pick a style, or be avant garde and mix em up. How glow will you go?.|Male-Jewellery|L
0317AC86-D83F4084-9A93D5B1-9C42DA3D|Treasure Earring (Emerald, Left Ear, Men)|This gem is a type of beryl that is tinged with a striking green colour. For the left ear. (Mohs hardness 8)|Male-Jewellery|L
0317D677-2F424ABC-B11F9943-34E300D1|Rich Harvest Earring (Left Men)|Earring For The Left Ear Which Produces A Rich Harvest. For Male. By Equipping, The Number Of Items Which You Can Obtain At L-Project Of Peakvox Labs Increases.|Male-Jewellery|L
031D63B3-23184844-AD7DE5FB-40185C67|Gold Animated Nebulon Earring - Right Ear (Male)|This glowing Nebulon Earring is the ultimate accessory to complete any true Novus Prime fans outfit.|Male-Jewellery|L
04214BAE-8FC54F12-AD945BA1-EF57D46A|Glow Alien Earring - Green (for Male Left Ear)|Pick a color, pick a style, or be avant garde and mix em up. How glow will you go?.|Male-Jewellery|L
04A035A2-C33A43F7-8C5E4A4F-DAE3599C|Snorkel (Red, Men)|A red snorkel. This accessory allows you to spend long periods of time underwater. Swim with the tropical fish.|Male-Jewellery|L
04BE755A-A9B74F52-85FC696F-253C8329|Rave Left Piercings (male)|Long live the party. Rave Party is the ideal collection for all those who love to go out to have fun and dance. Dare to combine different designs and create your own style.|Male-Jewellery|L
0568AB9C-90D94F5E-98992D54-F4FFB39C|White Animated Nebulon Earring - Left Ear (Male)|This glowing Nebulon Earring is the ultimate accessory to complete any true Novus Prime fans outfit.|Male-Jewellery|L
056EE3F1-D0154A77-827B0618-34D5CFA0|They glow. Loco Earring L (Kulche mens)|They glow. Loco Earring L (Kulche mens)|Male-Jewellery|L
05BF361F-178449C7-97D8E87D-1A583712|Square Diamond Stud Left|Add a touch of style to your outfit with these great earrings, perfectly crafted from square cut diamonds and platinum.|Male-Jewellery|S
06602A1E-77AF41F0-8C418E4B-9E0C5D23|Pig Nose Earrings For Right Ear (male) For Right Ear.|Male-Jewellery|Male-Jewellery|S
067EA4E9-4DE64CDB-B481656F-F173A7D1|Chocolate Earrings (left Ear For Men)|Male JewelLeftEar Valentine|Male-Jewellery|L
07886294-54E4460A-95418425-C403745E|Male - Dummy Object - Jewel Left Ear|JewelLeftEar_DummyObject|Male-Jewellery|L
083AD76A-BCF44C42-B5F1BECA-9DECFC1D|Giant Ruby Left Earring|A tribute to the pure gold Coconut Dodge soundtrack, these massive bling blocks are for those who like to treat their ears. Purchase includes pair of items.|Male-Jewellery|L
08DB9371-45A94706-BD0A9DFF-582B22D1|Treasure Earring (Sapphire, Right Ear, Men)|This gem is a sapphire a variety of corundum that is blue in colour. For the right ear. (Mohs hardness 9)|Male-Jewellery|L
08F388A1-41C543D8-BCC56077-BA63D0B5|Treasure Earring (Sapphire, Left Ear, Men)|This gem is a sapphire a variety of corundum that is blue in colour. For the left ear. (Mohs hardness 9)|Male-Jewellery|L
08F81910-617048DB-8E804EDD-7A1775C2|Glow Spiral Earring - Blue (for Male Left Ear)|If you have trouble spotting your friends in dark places gift them these dayglow earrings and youll spot them a mile off.|Male-Jewellery|L
09B17AAD-5A834462-BBFCF63E-7E796FF0|Delinquent Earring (Right Ear, White and Gold, Men)|A spiked delinquent earring. Coolness |Male-Jewellery|L
0A81D2A5-E6194AC7-BC852238-349B0FC4|Treasure Earring (Opal, Right Ear, Men)|This highly popular gem features a rainbow-coloured sparkle against a milk-white background. For the right ear. (Mohs hardness 6)|Male-Jewellery|L
0A869C97-CD0B4FAA-991EB6CF-3910B381|Delinquent Earring (Left Ear, White and Gold, Men)|A spiked delinquent earring. Coolness |Male-Jewellery|L
0AD7DD1E-017C43A6-835E3996-B788484B|Dolphin Earring (Left Ear, Male)|A tiered earring featuring a dolphin hanging from a heart Coolness |Male-Jewellery|L
0B98ED1A-30F441CF-ACBD1C80-9B5C120E|Glow Eyebrow Spike - Blue (for Male)|Bright eyes, bright eyebrows.|Male-Jewellery|L
0BE1DC1F-8EB348BD-85F5C117-B74625CD|Dolphin Earring (Right Ear, Male)|A tiered earring featuring a dolphin hanging from a heart Coolness |Male-Jewellery|L
0C4EAF77-FCC64CEF-8A3F6ECE-D65FE4EE|Spade Earrings (Male)|Spade shaped earrings.|Male-Jewellery|L
0C7F8139-680541C6-8CA8DE5A-D7D05C5E|Glow Eyebrow Spike - Yellow (for Male)|Bright eyes, bright eyebrows.|Male-Jewellery|L
0DE0109E-274D4826-8B882748-94BE42FE|Perns Earpiece (Left Male)|The Long Ear-shaped Earpiece Of Pern, A Beastman With The Lower Body Of A Goat. (from Semifinalist Fantasia|Male-Jewellery|L
0DE9BF88-6DCF452D-A3576DB8-2CDF7D9A|Glow Spike Earring - Pink (for Male Left Ear)|Pick a color, pick a style, or be avant garde and mix em up. How glow will you go?.|Male-Jewellery|L
0E6EE93B-C2A840A6-9F4D78D3-27A83444|Glow Double Eyebrow Bar - Purple (for Male)|Bright eyes, bright eyebrows.|Male-Jewellery|L
0E813487-1F884854-91B64DDB-515B0B2B|Treasure Earring (Pink Coral, Left Ear, Men)|A precious stone created from burnishing pink coral until it shines with a soft luster. For the left ear. (Mohs hardness 4)|Male-Jewellery|L
0F615C11-BAEC4FA4-B9B4908D-493037F5|Glow Spike Earring - Green (for Male Right Ear)|If you have trouble spotting your friends in dark places gift them these dayglow earrings and youll spot them a mile off.|Male-Jewellery|L
0F86B51F-FB40498F-9C672866-C8BF9F7B|Strongest Medal (for Men)|Male JewelRightEar Medal LBComp|Male-Jewellery|P
111F664F-9A1C4BD1-8D6875D2-201A3361|Mermans Earpiece (right Male)|Mermans Earpiece In The Shape Of A Fin, With Fins And Water Pincers On Its Arms And Legs. (From Semifinalist Fantasia|Male-Jewellery|S
1246E4AA-98F5450D-8D4B676E-EF3791C7|They glow. Loco Earring L (Priffy mens)|They glow. Loco Earring L (Priffy mens)|Male-Jewellery|L
124B5ED6-BA0B42E7-ABDFC988-B19318A0|Treasure Earring (Opal, Left Ear, Men)|This highly popular gem features a rainbow-coloured sparkle against a milk-white background. For the left ear. (Mohs hardness 6)|Male-Jewellery|L
12CF9C33-62334E26-8A5D1F8F-4A0D2860|Delinquent Earring (Right Ear, Black and Gold, Men)|A spiked delinquent earring. Coolness |Male-Jewellery|L
13325E12-82B040C9-880BD0DD-F8F891E8|Star Earrings, Left Ear (male)|Male-Jewellery|Male-Jewellery|L
13EC7AF7-A0C14361-B114B8F8-789A40E0|Glow Eyebrow Ring - Blue (for Male)|Bright eyes, bright eyebrows.|Male-Jewellery|L
