id|name|desc|category|thumbnail
00000000-00000000-00000000-00040000|Jeans|Classic jeans|Male-Legs|S
00000000-00000000-00000000-00040004|Green Cargo Pants|Whether you are looking to explore the outdoors or just want a great-looking pair of casual trousers, these green cargo-pants are the ones for you.|Male-Legs|S
00000000-00000000-00000000-00040005|Beige Cargo Pants|Functional and stylish beige cargo-pants.|Male-Legs|S
00000000-00000000-00000000-00040006|Black Cargo Pants|For night manoeuvres or for relaxing in your personal space these black cargo pants are perfect.|Male-Legs|S
00000000-00000000-00000000-00040007|Cargo Pants||Male-Legs|S
00000000-00000000-00000000-00040008|Urban-Camo Cargo Pants|Whether exploring the great outdoors or lounging about, these camouflage cargo pants are perfect.|Male-Legs|S
00000000-00000000-00000000-00040013|Sweat Pants||Male-Legs|S
00000000-00000000-00000000-00040017|Drainpipe Jeans|Skintight, drainpipe jeans.|Male-Legs|S
00000000-00000000-00000000-00040022|Regular Trousers|Regular Trousers|Male-Legs|S
00000000-00000000-00000000-00040026|Smart Trousers|Smart Trousers|Male-Legs|S
00000000-00000000-00000000-00040027|Tartan Corduroy Jeans|The free-spirited amongst us need look no further than these red tartan corduroy jeans.|Male-Legs|S
00000000-00000000-00000000-00040028|Red Corduroy Jeans|Stand out from the crowd with these attention-grabbing red corduroy jeans.|Male-Legs|S
00000000-00000000-00000000-00040030|White Corduroy Jeans|Classic wear-anywhere white corduroy jeans.|Male-Legs|S
00000000-00000000-00000000-00040031|Leather Pants|Heavy duty leather pants. Essential for that biker look.|Male-Legs|S
00000000-00000000-00000000-00040033|Black Cargo Shorts|Versatile black cargo shorts. Dress up with a short-sleeved shirt or down with a distressed T-shirt.|Male-Legs|S
00000000-00000000-00000000-00040034|Jungle-Camo Cargo Shorts|You dont need to be exploring the jungle to enjoy these great-looking cargo shorts.|Male-Legs|S
00000000-00000000-00000000-00040035|Cargo Shorts|Casual cargo shorts, with large side pockets, perfect for a summer s day.|Male-Legs|S
00000000-00000000-00000000-00040036|Green Cargo Shorts|Green cargo shorts. Ideal for the active layabout.|Male-Legs|S
00000000-00000000-00000000-00040037|Grey Cargo Shorts|Versatile grey cargo shorts. Whether youre on the go or just kicking-back.|Male-Legs|S
00000000-00000000-00000000-00040039|Baggy Jeans||Male-Legs|S
00000000-00000000-00000000-00040040|Baggy Jeans|Low slung, baggy, faded blue denim jeans for that relaxed urban style.|Male-Legs|S
00000000-00000000-00000000-00040051|Jeans with Turnups|Simple, comfortable turn-up jeans.|Male-Legs|S
00021D6E-0B504C3E-92CF4B7A-6E8DB6B1|Baseball Shorts - Cemetery Shadows (for Male)|Batter up. Whose side are you on? Sponsored by Double Time - Hitting sportswear out of the park.|Male-Legs|L
000799AF-B921423B-BEEDF8AA-6E064E55|Chain Leather Pants|Features a literally heavy metal belt.|Male-Legs|S
