id|name|desc|category|thumbnail
000578F8-7DF84895-A1CA00A8-D41F64CA|Mutt Williams Costume|(Torso pants shoes) Once again the diner was in turmoil - a few greasers felt they had a right to the table they were at - one of the college guys felt otherwise, and here I was stuck in the middle of it all. I knew the cops would be here soon, and even though I hadnt gotten involved in the small-scale war that was taking place, I knew theyd bust me regardless. After all, I picked my side when I purchased the Mutt Williams avatar outfit. At least it looks like itll be a good brawl.|Male-Outfit|L
00907898-E2374EF0-82154983-8935CE67|Urban Camo - Rock 1|Hide in plain sight. Grab some friends and change the look of any place with this Urban Camo.|Male-Outfit|L
009310DE-67CA4C26-A6920053-D033CF24|Bath Towel (light Blue For Sandy Beach PS Male)|Bath Towel (light Blue For Sandy Beach PS Male)|Male-Outfit|L
00943231-C62E4042-90E3992B-EC250BFF|Bath Towel (Pink For Beach PS Male)|Bath Towel (Pink For Beach PS Male)|Male-Outfit|S
009A523B-9B344752-80C1E7B7-D29E1C66|Spunland Spun Suit Purple (male)|Dress yourself in true Spun style with the Spunland Spun Suit.|Male-Outfit|L
00A216AD-184548CD-AA6A70F2-7E96F7CB|Plate Armour (Silver, Men)|Western-style armour made with metal plates. Defensive Strength + Gorgeousness |Male-Outfit|L
0101253B-8D9F4E80-8D0FDD26-F9671549|Haori Hakama with Crest (Ink Black, Men)|Customary outfit for men worn on formal occasions. Defensive Strength Luckiness |Male-Outfit|L
0101408C-92004109-99951C90-C4769260|Bath Towel (Red For Beach PS Male)|Bath Towel (Red For Beach PS Male)|Male-Outfit|L
01041645-F64E4A1E-906E131B-C31C17E7|Bath Towel (for Beach PS Yellow Green Male)|Bath Towel (for Beach PS Yellow Green Male)|Male-Outfit|S
01074088-7C1F45DF-97784FF9-21B7F30D|Secret Agent Male - Stealth Suit|No matter what nefarious plots are waiting around the corner, you know you ll save the world in style. You have all the tools an agent needs to infiltrate any location. Gun, knife, harpoon gun, you ve got a license to thrill as an International Man of Mystery.|Male-Outfit|L
012D306B-1E1040AF-B45E8414-BE809E24|Samurai Bot - Musashi|The latest addition to Iron Fusions Mech Family, Musashi is extra special - he was built by a robot built by the mechs. Musashi comes pre-programmed with incredible samurai skills.|Male-Outfit|L
0169258B-E1394244-88D478A5-A3426E5D|Bossk the Bounty Hunter outfit|A legendary Trandoshan bounty hunter, and one of six hired by the Empire to track down and capture the Millennium Falcon. This costume will make you feel like you could take on a Wookiee.|Male-Outfit|L
017E7FC0-85E34E85-AAEFEE56-FAE1E5E3|Gunfighter Haori and Hakama (Blue, Men)|Haori and Hakama with a shoulder strap. Defensive Strength Sniping Ability - Stylishness |Male-Outfit|L
01817BB2-95E341F8-B5EEE87A-84A9D4AF|Bath Towel (white For Sandy Beach PS Male)|Bath Towel (white For Sandy Beach PS Male)|Male-Outfit|L
01958174-AA65498D-9CC299CA-61F690FE|Tanabata Starry Sky Swimming Trunks (Black, Men)|Swimming trunks with a Tanabata starry sky design. Defensive Strength Magic Power Sexiness |Male-Outfit|L
01FA9B4C-4C824B01-A94375B0-58EA8A84|Haori Hakama with Crest (Scarlet, Men)|Customary outfit for men worn on formal occasions. Defensive Strength Luckiness |Male-Outfit|L
02194546-958B4732-83F87A71-E54E38F9|Stylish Suit (Black, Male)|A black suit with a tight fit. Defensive Strength Coolness |Male-Outfit|S
0248E027-169F445A-A1B542BE-1BC61304|Charlie Cardsharp Roswell (Full Body Suit)|See what its like be an extra-terrestrial casino pro. Youve got the skills, after all.|Male-Outfit|L
024B7DA9-CC2B45CA-A0DCD8B1-ECE3B71A|Kick Ass costume|Full body Kick Ass costume.|Male-Outfit|S
0253D0DC-F7954EE4-8C3A1952-8520420E|Green and Purple Suit with Black Robes|Suit complete with shirt, checked purple trousers, green button waistcoat and elegant robes in fashionable black.  PMExtraCommerce |Male-Outfit|L
025A7F2A-989B48E3-8B93CC00-6F58323E|Jinbei (Beige)|Jinbei Included In Jinbei Set (Beige).|Male-Outfit|S
026C9BA7-BB754AF9-B3B2E60E-0BD151A4|Haori Hakama with Crest (Bluish-purple, Men)|Customary outfit for men worn on formal occasions. Defensive Strength Luckiness |Male-Outfit|L
0278A575-7A654B43-A1F4E158-D2E22F01|Gran Turismo 5 Schick Racing Suit|Exclusive Gran Turismo 5 Schick Racing Suit. Covers the torso, legs, and feet.|Male-Outfit|L
