id|name|desc|category|thumbnail
00000000-00000000-00000000-00030000|T-Shirt|Classic T-Shirt|Male-Torso|S
00000000-00000000-00000000-00030002|Home T-Shirt|Classic Home T-Shirt|Male-Torso|S
00000000-00000000-00000000-00030012|Sweatshirt||Male-Torso|S
00000000-00000000-00000000-00030017|Polo Shirt||Male-Torso|S
00000000-00000000-00000000-00030023|White Hooded Top|A casual white hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030025|Black Hooded Top|A casual black hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030026|Green Hooded Top|A casual green hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030027|Hooded Top|A casual hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030028|Jungle-Camo Hooded Top|A casual jungle camo hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030029|Urban-Camo Hooded Top|A casual urban camo hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030030|Navy Hooded Top|A casual navy hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030031|Pale Blue Hooded Top|A casual blue hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030032|Pale Pink Hooded Top|A casual pink hooded top with front pocket. Perfect for those colder days.|Male-Torso|S
00000000-00000000-00000000-00030036|Layered T-Shirt||Male-Torso|S
00000000-00000000-00000000-00030040|Red Biker Jacket|Vintage red biker jacket.|Male-Torso|S
00000000-00000000-00000000-00030042|Striped Shades of Brown Dress Shirt|Dress to impress in this flamboyant striped dress shirt in shades of brown.|Male-Torso|S
00000000-00000000-00000000-00030049|Charcoal Waistcoat with Black Shirt|Look and feel great in this charcoal fitted waistcoat over a stylish black shirt.|Male-Torso|S
00000000-00000000-00000000-00030054|Military Jacket|Military jacket, four pockets and drawstring waist.|Male-Torso|S
00000000-00000000-00000000-00030057|Padded Gilet over Fleece|A comfy puffer vest jacket over a fleece long sleeved shirt.|Male-Torso|S
00000000-00000000-00000000-00030061|Blue Tank Top|Smart casual blue tank top over a fitted white shirt.|Male-Torso|S
00000000-00000000-00000000-00030065|Turtleneck|Going smart or casual this timeless turtleneck goes with anything.|Male-Torso|S
00000000-00000000-00000000-00030069|Denim Jacket|This timeless denim jacket never goes out of style.|Male-Torso|S
00000000-00000000-00000000-00030075|White Top with Blue Raglan Sleeves|White top with blue raglan sleeves.|Male-Torso|S
00000000-00000000-00000000-00030076|Cardigan|Cardigan|Male-Torso|S
00000000-00000000-00000000-00030082|Vest Top||Male-Torso|S
00360538-E11F4917-BAFE1FD9-0D3CB7E6|Slap Happy Sams Stage Show T-Shirt|Remember that time you Slapped the Bejezus out of that guy in Home with the annoying furry costume Commemorate it with this shirt.|Male-Torso|L
003A6F13-9DD24171-B161403D-9F15D53E|Patriotic T-Shirt|Give them that patriotic feeling with some iconic apparel.|Male-Torso|L
003AB130-74784B6F-9D1E535D-111B84FE|meh|Netspeak - meh. |Male-Torso|L
003EED81-2D5E4932-A441327E-D1EA2B9E|RESIDENT EVIL 5 T-shirt 8 M|A RESIDENT EVIL 5 T-shirt.|Male-Torso|L
00601B6F-ECC14CDB-89C95335-76241F69|Victoriana Gothic Suede Waistcoat - Tan|Something dark is afoot with this new gothic collection from Delirious Squid.|Male-Torso|L
006328F5-90BF4093-966222F3-F93B8AB9|Worn-out Samurais Armor (Black, Men)|A black, worn-out armor said to be worn by a nameless samurai. Defensive Strength -|Male-Torso|L
00656784-2EBD468B-87728AAB-B5239E2B|Masquerade Ball - Elegant Coat (Male)|Be the beau of the ball with this elegant clothing item. This is part of the Masquerade Ball clothing range.|Male-Torso|L
006A1E81-D39B470A-BFCDE56F-3A1FD317|Summer School Shirt (White, Men)|White short-sleeved dress shirt that gives a hard-working vibe. Youth Level Defensive Strength |Male-Torso|L
006A203B-14514293-A927AD3B-A9CB51DB|Biker Jacket - Lockwood Orange|All the classic biker details with a splash of color to spruce up that leather.|Male-Torso|L
006ECB94-97714DB2-83855D93-648D6D31|Seasoned Wizard Jacket (Red, Men)|The jacket of a seasoned wizard Anti-Ghost Attack Duration Defensive Strength |Male-Torso|L
0077136E-4FD54C7C-86E75CC9-CB1A8D2A|Alpha Protocol Tactical Vest with Pistol and Rifle on Back|Not sure what kind of gun youll need to get the job done? Grab this fitted tactical vest that comes equipped with both pistol and rifle.|Male-Torso|L
007CD5A4-83644871-B1C0B2D7-D8DCE85B|Delinquent Fashion Shirt (White and Black, Men)|A delinquent-style dress shirt. Defensive Strength Coolness |Male-Torso|L
0085377C-1C124907-B42E3BAB-97B5DE05|Street Style - Bling Shirt - White (Men)|A mens tight fitted Shirt with golden jewellery around the neck and wrists.|Male-Torso|L
0089992F-BEDD43DC-9B150617-F078D3E6|STAR TREK t-shirt|Not ready to enlist in Starfleet? Wear this casual black t-shirt.|Male-Torso|S
0092BFC4-F4844CBB-9D1198A8-00A1A460|White 70 s Suit Jacket|Look glamorous on a special night with this fine white suit jacket. Comes with a vest, a golden accessory on the chest, and a retro pattern|Male-Torso|L
00A22E71-85BE40B2-B12F00E4-6C84559B|Leather Jacket (black For Men)|Casual Leather Jacket.|Male-Torso|S
00A9D937-E53A47EB-8D22E3B2-244AF52E|Dethklok Nathans Face Mens T Shirt on Back|Dethklok Nathans Face Mens T Shirt on Back|Male-Torso|L
00B29FE6-78064804-BDB8FC7C-22AC9B5A|Borf You will lose. T-Shirt|Borf You will lose. tee from arcade classic Space Ace.|Male-Torso|L
00C21708-39EC4DE9-BCB8B494-DCFBD6F2|Nurse Uniform Top (White, Men)|Plain and pure white nurse uniforms top. Defensive Strength Healing Rating |Male-Torso|S
00C3BF87-AEF2463B-9030EBC7-3DE63E06|Damaged Fashion Shirt (White and Black, Men)|A wild, damaged shirt. Defensive Strength Coolness |Male-Torso|L
00C4A966-2B1F4FAB-8E3A7F0D-221EAA0D|School Shirt and Vest (Black and White, Men)|School uniform made up of a black vest over a white shirt. Defensive Strength Youth Level |Male-Torso|L
00CC9D05-786C46FA-805D0475-A161FF9F|Gnome Curling - Tunic Male|Gnome Curling - Tunic Male|Male-Torso|L
00D0AC6D-8AB54BB8-BBFF115E-97B14F24|Money God Papas Tuxedo (Gold, Men)|A long tuxedo. Defensive Strength |Male-Torso|S
00E4AABB-4B70438A-B8E8A94D-90A665FD|Slaine T-shirt|T-shirt with a portrait of Slaine|Male-Torso|L
00EFF995-5B1B43CB-83C2CCA2-FEFA1DF9|Flaming Biker Jacket In Blue|A black leather biker jacket with blue animated flames on the arms and back.|Male-Torso|L
00F22B82-84214B89-9C2680BF-AEF72F7F|Dirtee T-shirt|Dirtee T Official Dirtee Stank Label Stamp and Fly motif|Male-Torso|S
00F6221D-9751407A-8102BC12-0E2044BE|Fireman|Firemans outfit|Male-Torso|L
010D6243-1A0244E4-8D1DB39F-075C198E|The Game Team B T-Shirt (Male)|Limited edition PlayStation Home Reward|Male-Torso|L
0118B746-D8E9479B-A19CFBC4-22DB3BB8|Worn-out Samurais Armor (Red, Men)|A red, worn-out armor said to be worn by a nameless samurai. Defensive Strength -|Male-Torso|L
012156BD-08B04A4A-B87DD7A5-B3B11999|Light Me Up Prize 10 (male)|Light Me Up Prize 10|Male-Torso|L
012A9230-FE8444A1-9C3534C2-8E9BD63A|Chainmail (Male)|This Armor Is Made Of Metal Rings Joined Together To Form Clothing, And Is Flexible And Easy To Move In. (From Semi-finalist Fantasia) Defense +, Attributes - |Male-Torso|S
013457BA-EB6F47D5-95AE2C82-27802736|Mischievous Imp Coattail (Black, Men)|A mischievous winged imp coattail. Defensive Strength Magic Power Cuteness |Male-Torso|L
0148A939-D5994AAA-8AFA5FCB-AC218FE9|PixelJunk Asia Event Shirt (Monsters, Men)|A prize from a recent event in Asia. Show how much you love Monsters with these T-Shirts.|Male-Torso|S
015C90F7-DB164F50-97D49950-7608DEA5|B Movie Madness - Werewolf - Torso - Men|Join the B Movie Madness with this Werewolf costume.|Male-Torso|L
015CB441-E6F1448C-B1478380-7BFC727B|Valentines Cupid Torso|Wings Because you dont have time to waste at the baggage claim.|Male-Torso|S
015DDDC1-51E24663-8DECA439-AC7A5D37|AlphabeTees A (Male)|Not so much a range of Ts as a people-powered gaming movement. This full 26 letter Alphabet T-shirt set (with punctuation marks included) is all about getting together and making a statement (literally). Make the longest word or the weirdest words with your friends. Host your own Alphabet Party. Challenge others to a body based quiz game. All brought to you by individual letters, the hard-working characters behind words.|Male-Torso|L
