id|name|desc|category|thumbnail
00000000-00000000-00000000-000000A0|Ice Breaker|Keep the ball bouncing and smash all of the ice blocks.|Minigames-ArcadeMachine|L
01583AA4-891C468C-81B5C7CF-61FF977B|XEVIOUS RESURRECTION|XEVIOUS RESURRECTION Boot Script|Minigames-ArcadeMachine|P
04019D4C-7B714661-9BA45850-85B31EEA|Mad Blocker PlayStation Home|Mad Blocker PlayStation Home is a puzzle game where players attempt to combine blocks of the same colour.|Minigames-ArcadeMachine|L
0C2BB9A0-B0B242E2-A92F2577-55E391C8|FrontierRelocate|Relocation Object for Scene Transition|Minigames-ArcadeMachine|L
0D0AC262-9B7B4D9B-BDA05E37-8FFD3624|Intellivision Astrosmash Gen2|Giant Asteroids fall from the sky. It s an attack. The Alien bombardment has begun. In command of a giant laser cannon, it s up to you to blast the extraterrestrial menace from the skies. The fate of the world is in your hands in this updated all-time classic, brought to you by Realtime Associates.|Minigames-ArcadeMachine|L
102FD152-62C64CE0-99B2955F-5E259730|Scribble Shooter Game|Action-filled Shoot em up fun|Minigames-ArcadeMachine|P
152143D5-AC2A4C5E-B25D58F2-B6AC39A2|Sega Renegade Ops Preboot - Arcade Game|Sega Renegade Ops Preboot - Arcade Game|Minigames-ArcadeMachine|L
1ACBC4B3-EF1C4BFD-B40874FB-FE2ACD50|Electric Mole Hunter GAME Inbox|Electric Mole Hunter|Minigames-ArcadeMachine|S
1DB41F4F-E6744488-B542EA77-E6D49C0F|Trigger Happy In-A-Box|Shoot your way to the top.|Minigames-ArcadeMachine|L
1EE60D88-96C641A3-BB9785B0-34D0C16F|Lunar Lander Arcade Game|Ataris Lunar Lander arcade game. Lunar Lander 2012 Atari Interactive Inc. All Rights Reserved. Lunar Lander is a trademark owned by Atari Interactive Inc. FOCAL Emulation Technology 2009-2012 Code Mystics Inc.|Minigames-ArcadeMachine|L
284530BC-0E734061-9DF33FF2-68594C53|Electrokid|Hes electric. Hes a boy. Hes Electrokid.|Minigames-ArcadeMachine|L
2A2126A0-133646D6-9EB3FC43-9FEDE269|puzzle||Minigames-ArcadeMachine|P
2F643E31-925B4AFA-88F88F39-1C9D7EBA|Rewards Distribution Program J|Rewards Distribution Program|Minigames-ArcadeMachine|P
30E2E073-9BB349DB-8A281310-499DDAEF|WipEout 2D|WipEout 2D|Minigames-ArcadeMachine|L
