id|name|desc|category|thumbnail
02981672-D4A64888-8AE7CCF6-B68EE572|Ranch Animals|Object Description|Minigames-Embedded|L
064137D7-52744447-8BE9A6B4-2327500F|NPC|NPC Manager|Minigames-Embedded|L
089ACE2B-DA574E4F-BC164CC7-15CBD934|Club Gate|Guards the stairs.|Minigames-Embedded|L
09E091B0-DE7F44B5-81A10CEA-1385CA2E|Cherry Blossom Front 2013|Cherry Blossom Front 2013|Minigames-Embedded|L
0C826C78-9F514A34-B9C2775B-50C0D834|Blackbeards Challenge Music Player|Music player for the Blackbeards Challenge game.|Minigames-Embedded|L
106099D5-8E4440F9-A0188DC6-6487D399|EventServer|Object Description|Minigames-Embedded|S
13A81906-747F408B-87C60A5C-154D3DCA|StreetView|StreetView|Minigames-Embedded|L
14755076-018E4F8B-9A3E71E0-9D293E72|Scene Audio Management Object SAMO |Scene Audio Management Object SAMO |Minigames-Embedded|P
1DE605AF-09484395-9B2D5302-A4F4BE20|Personal Water Craft Race|WaterBike_Race|Minigames-Embedded|P
1F461F5D-B94D4854-9B70D873-D4D9B22D|Landscaping_BM|Beach Mansion Landscaping Tool|Minigames-Embedded|L
20D5F1AC-AB7C4BD4-9D18DCAE-EEA2DC11|Scene Audio Management Object SAMO |Scene Audio Management Object SAMO |Minigames-Embedded|S
2217F1E3-43184B15-A4B04084-06651EA6|General Menu System|General Menu System|Minigames-Embedded|S
222350D1-ED224FCD-AB7429CF-67CD00A8| Sodium2 Multiplayer| Sodium2 Multiplayer|Minigames-Embedded|L
2B0354EE-B3E14594-9F9A30F2-032099EF|Sound System (Vegetable Garden Ruins)|Sound Processing Object For Vegetable Garden Ruins.|Minigames-Embedded|S
2BA5AACD-F7B14A2D-9CD8024E-73F4C850|Campaign Management Object|Get Campaign Information From The Server Periodically And Reflect To The Game.|Minigames-Embedded|L
33E714FC-AC994462-82AA5817-86DAEAB0|CORE Action Decor|CORE Action Decor|Minigames-Embedded|S
3A4E6099-C9A74614-A809D6B5-F148E075|D2OUniverse_DataObject|Contains data for an individual user|Minigames-Embedded|L
3BE3366D-C8BC4E9B-8EB33181-2C4AC946|Landscaping_YC|Yacht Club Landscaping Tool|Minigames-Embedded|L
3BEE9940-8849432C-B5BE199F-ECF0202A|KartRacer|Light|Minigames-Embedded|L
3F5F1A03-F1904AD8-81CE3E0D-AA0228F7|Personal Water Craft Race|WaterBike_Race|Minigames-Embedded|P
45518019-DD3E4B20-9B112C9C-7B7D6B58|Hammer Throw|The games are here. Throw your hammer as far as you can.|Minigames-Embedded|S
48A94294-DF8F4CCC-B17538B3-229D9617|teleport object v2|teleport object|Minigames-Embedded|L
4CBFC910-2DF345AD-95284B83-9CFFAB4A|100m Sprint|The games are here. Cross the line in the fastest time.|Minigames-Embedded|L
4CD02248-F02F4BBE-A42B9A1C-8FD249B2|External Server Communication Sending Game Lounge Information|Set Up In Relocated Game Lounge For External Server To Understand Current Status|Minigames-Embedded|L
4CD52167-CBE4470D-97B72911-CBCEA70A|StudoLogoFollow|PlayStation Network Sphere|Minigames-Embedded|P
4DFB124A-E6814294-8D157C5A-F9AF5258|External Server Communication Scene Instance ID Acquisition Listener Object|Relocation Distribution Using External Server|Minigames-Embedded|L
5798E3CF-16974982-BF9A0A2C-9935F8C8|Music Unlimited|Sign up for Music Unlimited 30 Day trial and enjoy all of David Guettas hits today. Just go to PlayStation Store and search for Music Unlimited|Minigames-Embedded|L
58C8E44F-AE484CC9-852AD853-CB863AA9|Welcome to the Dead Nation Safe House|Spend some time here to prepare yourself to tackle the infestation.|Minigames-Embedded|P
5B7C107F-D5694838-A394EB50-B687C81F|Public_CentralManager|Central Manager for Heavy Water Public Space|Minigames-Embedded|L
5D04DD62-77D94D11-8CA33566-F647597F|Notices(OSD)|Notices|Minigames-Embedded|L
629DB8D6-F29545F6-A0573CC6-CC4F788A|NML Loadout Manager|NML Loadout Manager|Minigames-Embedded|P
67359DCE-F3554DE6-9FA14DCD-6FF92F4D|Jet Ski Race|WaterBike_Race|Minigames-Embedded|P
6C387E5A-B8344AF3-8D47D87E-4657D886|RC Rally Multiplayer|Multiplayer Real Time Game|Minigames-Embedded|L
6CA2458D-3BEE4B68-85CDAFFC-29FA9CA4|Cherry Blossom Front 2011|Cherry Blossom Front 2011|Minigames-Embedded|L
703BADF0-9FD14979-A44C23F3-FAC8D767|Cherry Blossom Front 2012|Cherry Blossom Front 2012|Minigames-Embedded|L
70D2E145-4D9E4217-A8D1C395-89374434|Ice Palace Snow|Object Description|Minigames-Embedded|L
719E15F2-D98642CE-939F23CA-17C454BC|Welcome Message|Welcome Message|Minigames-Embedded|P
71CB060D-2A7E4CB3-B109341A-65E7547D|Public_Hexx_CentralManager|Central Manager for the Hexx Public Space|Minigames-Embedded|L
73DE8861-67F24BC1-837ECCCD-B8A83004|Clubhouse Central Manager||Minigames-Embedded|P
77EB3864-D2EE40CA-AD30CEDE-3C8537A9|FlockingFishParams|paramater list for use by the flocking fish object|Minigames-Embedded|L
