id|name|desc|category|thumbnail
0033A3B3-8FBE4F40-9C0A1197-27CDE015|Phantom|Phantom|Minigames-Minigame|P
004E6146-4CAF4DD3-AAD0BF28-B90B335A|Media Tutorial|An Introduction to the Hollywood Hills House.|Minigames-Minigame|L
006D5E10-9C594A99-B61F40FF-343706DF|DataStation(School PS)|DataStation(School PS)|Minigames-Minigame|P
0081B161-AD21424B-AF16E0FD-DE36A222|Avatar Effects (Spring)|Minigame That Detects Certain Outfits And Generates Effects|Minigames-Minigame|S
008953C5-AB30498F-88A86BA1-A9F8E05F|Inside PlayStation Vita Sign Up|Inside PlayStation Vita Sign Up|Minigames-Minigame|P
00926FEC-647E40DE-B3DA4950-D9214475|Theater Viewing Detection|Theater Viewing Detection|Minigames-Minigame|S
01356182-575B4042-B5A4442B-6736CA90|Ammo Meteor Gun|Fires a flaming hunk of rock that explodes when it lands. Available in two diagonal shot patterns.|Minigames-Minigame|L
017AA686-641C4DEA-9779F241-77AD7AC2|ChristmasTree|Singstar xmas minigame|Minigames-Minigame|P
0191D574-291343A9-8A88AAAC-B2A98C14|How to play Prinny Race|How to play Prinny Race|Minigames-Minigame|S
01E4B162-EC1E4A83-A0A560EB-A392BDDD|Audi TV|Audi TV|Minigames-Minigame|L
01E9B889-606F4F3C-A936DF75-91037017|WeaponDataStation||Minigames-Minigame|P
01F0936A-AB964E68-848F0FB7-04EE228F|Tour|all spaces|Minigames-Minigame|L
021DF19F-0FCB42F4-984BBDD6-ADCCFFCA|Game Shop|Game Shop|Minigames-Minigame|L
024F5D09-24414301-B5AE0148-5D9173A8|The Batsuit|The Batsuit|Minigames-Minigame|P
0269C7B9-9BE04661-9BBD528C-F27179BC|Item Shop|Item Shop|Minigames-Minigame|S
027DAA86-58FB4570-B95F2597-408119B6|Pet Game|Pet Game|Minigames-Minigame|S
02C9726D-89D8435D-83F341B1-9F210771|Move To Monster Japon, One Piece (GAW)|Move To Monster Japon, One Piece (GAW)|Minigames-Minigame|P
02FC7492-83E64CE2-9A2FF8AE-2D2883D2|Racing||Minigames-Minigame|S
03281EED-92254405-B1C83BCA-A1793DC8|Hexopolis|Hexopolis|Minigames-Minigame|L
03321F35-E6F044FF-B88809A1-2D1CE7CF|FrontierKeeper||Minigames-Minigame|L
0356F1AC-D765462C-BC95A104-D42664FB|Jump on the Bed.|A jumping collection game.|Minigames-Minigame|L
038C51AF-DF0A4740-B7F777C3-13BBDF50|Relocate to Diesel Museum|Relocate to Diesel Museum|Minigames-Minigame|S
03CDEB39-2326463F-8DDF8BFD-9ED9F1B0|PODI|Lockwoods Pyrotechnic Overhead Display Interface, or PODI, is a friendly little machine that loves it when you interact with it. Create incredible displays, or let PODI take care of it for you. Keep PODI happy for a special reward.|Minigames-Minigame|L
03DA11BF-97B245D5-9989B888-E3A5ABDA|Mononoke Extermination Mission, Personal Battle |Monononoke Extermination Mission, Personal Battle |Minigames-Minigame|P
043550D2-F62C4589-96046CE2-628C274B|Satisfied Woman|More than dates or fashion, pachinko is the best.|Minigames-Minigame|P
045494AA-2D9B46C5-A17DF1C6-81A23BAC|Enjoying the Sunshine|Object Description|Minigames-Minigame|P
04A957B3-EFFF4101-867CF153-1C0BFACF|Golden AK Assembly|Assemble a golden AK-47|Minigames-Minigame|S
053191EC-85F944AB-B275AC46-C8AA8061|ShopMessage|ShopMessage|Minigames-Minigame|S
056CF176-E0474303-AD89FC79-5FB6CF96|GAME V|GAME V|Minigames-Minigame|L
056D43E8-0A064E66-9CEC3731-E2ED4829|GAME Moonbase shop|GAME Moonbase shop|Minigames-Minigame|P
05825B22-507347C9-882D03F9-82FE9BBE|Door|Door in the Anime space|Minigames-Minigame|L
0585D153-D872460B-976B6966-DA50283B|EnterStore|EnterStore|Minigames-Minigame|P
058DE4A1-D1AB4C1D-A4DF4B8B-E5806F2A|Dolphy Ring Game|Race through rings with your Dolphy|Minigames-Minigame|L
05932F82-B12F4ACA-B00CCAFE-CF4EE929|VEEMEE Store Tickers|VEEMEE Store Tickers|Minigames-Minigame|L
05C45892-67114DCB-9C433586-2D0C6B10|Time Turner Old Woman|Time Turner Old Woman|Minigames-Minigame|P
05DA9C34-754F436D-92AFFFCC-F6C8B1A2|Simple Screen Poster|Base Template For Creating Various Events|Minigames-Minigame|L
0617F4E7-C8434FC7-AB7D4F33-9211E35F|The door to the 2nd level underground?|The door to the 2nd level underground?|Minigames-Minigame|P
06757B77-CABF4D76-A0B3A2D5-3FBCB870|Minecarts|Minecarts (conveyor)|Minigames-Minigame|P
06A05618-33CA4A3F-85508DF4-1E1AEB21|Stage Door Exit|Stage Door Exit|Minigames-Minigame|P
06A7FEDF-F7D94320-8FD9A556-0D0BDCB6|DoorToHouse|To A Secret Private Garden|Minigames-Minigame|P
06AAE2F4-9DA842EA-ACFBD0E4-40655E86|DataStation(School PS)|DataStation(School PS)|Minigames-Minigame|P
06D92E07-C2DA4D1E-A2B48E56-459A678E|Read Memo Left at the RosenQueen Co. General Store|Read Memo Left at the RosenQueen Co. General Store|Minigames-Minigame|S
06E18F25-B2EC4A57-999B0340-345144C8|RAINBOW GRAND PRIX VOTING POINT Male Division|RAINBOW GRAND PRIX VOTING POINT|Minigames-Minigame|S
07356657-49FE4A42-97BDC6AB-1C241CEC|Tug Of War|Compete in this classic game of fun. Take on the opposition as a team or on your own.|Minigames-Minigame|S
077496FA-39DB4A15-9D642A8F-4DEACDDA|Home Square Extras|Home Square Extras|Minigames-Minigame|L
077A4F68-E7584114-95B932A5-1DCD6356|Chicken|Cock-a-doodle-doo.|Minigames-Minigame|L
07A30296-C2A64854-B85EEF29-69B3521B|MuiMui King|Loco House Jukebox|Minigames-Minigame|L
07B5BFFF-6B5D4E3B-978FFD4D-AB156F7C|Down Elevator 2|Down Elevator 2|Minigames-Minigame|S
07BC05E0-8FA445A7-AC28641A-D2895F17|Mortar Tower|Shells Fired From This Old-fashioned Cannon Shake The Ground And Deal Major Damage To Enemies.|Minigames-Minigame|S
07BC1E1C-BDDA4784-B16863A6-1574329A|Dumbbell Rack|TEKKEN6 Presenter|Minigames-Minigame|P
07C7D626-0EBA4BAC-83CF45C2-FEBE7344|UnionSaveObject|System Management Organization|Minigames-Minigame|L
082F0E99-FECC4761-B5E5472C-263EC4A2|Events Landing|Events Landing|Minigames-Minigame|S
0836DEB7-772440A1-92239927-21CB0C7A|Boarding Ramp Inside Hangar|Boarding Ramp Inside Hangar|Minigames-Minigame|P
086D2B0A-460D493B-BCD64F35-CB3DC7B6|About Dolphies (3)|About Dolphies (3)|Minigames-Minigame|L
08850964-ADD94776-BFA7F670-F96E6EE1|Camera - Green Screen|Camera - Green Screen|Minigames-Minigame|P
08856E83-13754A67-B59DAAC7-F80CE4D4|Oscars Lobster Mania Shop|Oscars Lobster Mania Shop|Minigames-Minigame|L
088A0BA6-DC99423E-9B5DD3E9-843490F6|Gate|Gate|Minigames-Minigame|P
0897F140-A536402E-A08E8726-02B6C357|SA_SceneManager|Docking at Space Apartment (S.A.R.A)|Minigames-Minigame|L
08B17432-60644972-93CE314F-EBE69D30|Survival Bomber|Survival Bomber|Minigames-Minigame|S
08BB44A3-EEDD4321-91E95DBF-BB21CB8D|Chess|Play a game of chess with another player or learn the rules by playing solo in practice mode. Spectators can queue to play after the current game is over.|Minigames-Minigame|P
093B2501-B37941F9-8541483C-2ECC2433|Cave Bat Guano|Guano Dropped By Bats Living In The Caves. People Sometimes Die From Touching It, Thinking Its Only Bat Poop.|Minigames-Minigame|P
095F3F0E-775D4B5A-B89E101C-78AB1FEA|Bus Depot|Bus Depot|Minigames-Minigame|P
0983C615-13C940C7-8378E459-EFDF3FC3|Droll Mask Vendor|You want masks, Ive got masks, buddy.|Minigames-Minigame|P
0989DB8F-66474981-A8B25C0E-54032AA6|Jump to Cinema|Jump to Cinema|Minigames-Minigame|S
09E4A6FE-8B034B92-AB6A4AC5-BBF521F3|Cinema Reward Mini-game|Cinema Reward Mini-game|Minigames-Minigame|S
0A00312B-ED5141C7-86A9870E-4913203C|Gold Scrolls X20|Scrolls That Raise Amount Of Gold Coins (game Currency) Gained In Peakvox Ninja. Set Of 20 Scrolls. 1 Use Lasts Five Rounds, Provides +50% Gold Coin Earnings. Gives The Same Effect To Other Players In Ready Screen For One Round.|Minigames-Minigame|S
0A6C5D8B-5C1C4529-B844CCFA-A6F49BB9|Women|Kind Women|Minigames-Minigame|P
0A72DDC2-453F48AC-A69AAACF-50A7A855|Second Floor Control Panel|SeaClyff Night Retreat|Minigames-Minigame|P
0AA4C5A4-EA214CAA-B703F7F7-7FCA207D|Penny Pincher|Minigame 10|Minigames-Minigame|L
0AB697BC-7E1D4B96-B3CF1678-0354F7A8|Stone statue at the site of a mining site|May you devote yourself to cave exploration|Minigames-Minigame|P
0AC0150A-B6A44F17-B2D2037F-F46760E8|Rainbow Event|Timed Rainbow Event|Minigames-Minigame|S
0ADAF830-656D4DDA-B33416D9-4495E734|Teleporter|Teleporter|Minigames-Minigame|S
0AE8D13D-2F3F4B70-97AC4EFC-B29D596A|Mononoke Hunting Mission - Group Battle One|Mononoke Hunting Mission - Group Battle One|Minigames-Minigame|P
0B1D9179-4C8246AA-855E3BE7-264BF9C9|Armor?|Armor?|Minigames-Minigame|L
0B35D293-24DA4B2B-BA53817F-A8A57F23|Survival Bomber|Survival Bomber|Minigames-Minigame|S
0B63CD15-4A48415C-80AFE7D2-79F9BB22|Survival Bomber Description|Survival Bomber Description|Minigames-Minigame|S
0B9D3B97-FC014D6B-BE8FA9D2-5C31CF31|Tickers|Tickers|Minigames-Minigame|L
0BA28922-2901431B-AA810055-4DC7B7CE|Big Box?|Passing Race Reward According To Psychological Testing|Minigames-Minigame|P
0C160FA4-9E8543E2-9456A737-F75ABD14|VersionStation(South Island PS)|VersionStation(South Island PS)|Minigames-Minigame|P
0C3784E3-4EDE4767-8456FEE1-6C4470B5|MaGe Kito Grassland Clear|True Ge Kito meadow clear.|Minigames-Minigame|P
0C5C1C03-9D1F4E36-A5853D4F-33B87800|Escape The Virus|-|Minigames-Minigame|L
0C760747-A9764A3D-88C02990-4933BA39|Label|Player Label|Minigames-Minigame|L
0C97D2F9-A4BC43FA-8375A35B-21E888DC|Item Shop|Item Shop|Minigames-Minigame|S
0D0CBDB7-AE854917-B13B9E35-ED1625DE|Halloween Demo Production (ToT Version)|Rolly Cafe 1f(sound, Screen, Light, Motion)|Minigames-Minigame|S
0D2D1E7F-6084495B-A1C5D338-EC1F69BA|MiB_Environment||Minigames-Minigame|L
0D3F3807-D13A4A27-BBD88AE0-F80EA533|Disco|DiscoController|Minigames-Minigame|P
0D4E1FEC-840F4BF8-A9D9E876-96748827|Twitter Screens|Twitter Screens|Minigames-Minigame|P
0D683332-6A2A4858-98DC0F09-2F056E21|Supa-Fun Robo-Goalie Time..|Supa-Fun Robo-Goalie Time..|Minigames-Minigame|L
0DA6DC26-EB794A34-BF4E7F1F-A0155B02|Mokujin Firewood|Wood Made From Layers Of Mokujin|Minigames-Minigame|L
0DAF6B85-564A40EB-B4A9AB7B-F2B63563|About Dolphies (4)|About Dolphies (4)|Minigames-Minigame|L
0DC657ED-942E458C-A1EEFB85-32F99F44|Fishing|Which Is A Test Of A Fishing Game|Minigames-Minigame|L
0DCA55CD-E0494430-893F88E2-6716DD16|Fishing Game Leaderboard|Object Description|Minigames-Minigame|P
0DE59869-12CA33A2-C776D685-F39CE898|The Midway Big Bang|Be shot from a cannon.|Minigames-Minigame|P
0E0FDD95-A0864820-B961F462-2643CD23|Return To Mainplate|Minigames-Minigame|Minigames-Minigame|S
0E106E0B-DCB14AE5-B2A7EBD5-1C206F19|Vendetta|Resistance|Minigames-Minigame|P
0E7C5C1E-71A34C8A-83F29747-E0340539|Video Screen ON OFF|Video Screen ON OFF|Minigames-Minigame|S
0E8E6008-C4F241F2-8BA9605F-3C6F045E|Musicality Shop|Here you can buy additional packs of music for the Musicality game either Rock or R and B. The t-shirts will automatically unlock the music inside the game.|Minigames-Minigame|P
0EB81440-A9C14F4F-A46628AB-B6FBC280|Den O Pain|Minigame 04a|Minigames-Minigame|L
0EBE01A3-5A214917-B56A5E04-81DEBF7D|Survival Bomber|Survival Bomber|Minigames-Minigame|S
0EC16C48-8AA34475-852E2E7A-9093BBD0|TicketStation|TicketStation|Minigames-Minigame|P
0ED36B4B-4BEE4BF6-B4FDFB25-26C7344A|Avatar Effects|Minigame That Detects Certain Costumes And Generates Effects|Minigames-Minigame|L
0ED510B7-AA4E4490-A8047517-4ED219D0|Paths In The Forest|Ghost In The Wood (Wooden Spirit)|Minigames-Minigame|P
0EE94D0D-A55540BE-A718EBB2-4A138B3A|EdoDataStation|Object Description|Minigames-Minigame|P
0EF4F778-32164A36-83FF8205-8CDD9F4A|VersionStation(South Island PS)|VersionStation(South Island PS)|Minigames-Minigame|P
0F136EFE-28F94BB5-89EF4A17-DF7BEECC|TicketStation|TicketStation|Minigames-Minigame|P
0F19CA6B-2BEE78E1-F4DBB140-A2E128F6|Home Square Extras|Home Square Extras|Minigames-Minigame|P
0F42D705-A5554147-80FFCD66-08C9281A|DataStationSentai|DataStation(Sentai)|Minigames-Minigame|P
0F4B632C-AA6147FF-91BDA2C1-610F9968|Survival Bomber|Survival Bomber|Minigames-Minigame|S
0F543141-C5B749BC-914D4175-7FC394D8|Photo Area 3|Take A Photo Minigame|Minigames-Minigame|P
0F6BEDDC-D8FB4A00-ACBFEB02-A68833D2|Screen|Screen|Minigames-Minigame|P
0F9A308A-EA5A4B00-B5614E70-3F5501A8|The Dollar Feeling Game|The Dollar Feeling Game|Minigames-Minigame|L
0FAD2C6A-5C844F30-9B8861F9-50134938|To Large Monitor|To Large Monitor|Minigames-Minigame|L
0FDB81D3-636B4CA3-AA1211AE-B5D85E11|Konami Twitter Feed|KONAMI Twitter|Minigames-Minigame|P
0FDD171C-73AB436E-A44BE98F-C8506B5A|Cameraitem|Cameraitem|Minigames-Minigame|L
0FFDB329-A1664312-8DC1D55F-4684B31F|Kick Ball|A ball to kick around.|Minigames-Minigame|L
100E5894-2B0F4632-A3D7DE1D-B746E1BA|Geykotsu|Geykotsu|Minigames-Minigame|L
105C9066-173C4C7E-9E7C1E21-C3AA847F|The temptation to go underground|Stone Statues Of The Moon & Sun|Minigames-Minigame|P
