id|name|desc|category|thumbnail
00004315-A4D54487-95D275AC-12615BD8|Interact|Cavity Wall Animation MG|Minigames-Targetable|L
002F710A-131D44E1-917411E7-19759197|nDreams Shop|nDreams Shop|Minigames-Targetable|L
007B35A1-2EB243FE-872D585E-53023593|Ferris Wheel|Enjoy a birds-eye view of the Casual District with a friend.|Minigames-Targetable|L
00991E11-16D047EA-8E6FACA1-D808B770|Cashier|Tournament Cashier|Minigames-Targetable|L
00C61CEE-D5044059-9A051821-2C608CCE|Screen Controls|Diamond Beach Mansion Screens|Minigames-Targetable|L
011504A5-F5864C04-938A662B-38129D72|Community Lounge|Off to the Community Lounge we go.|Minigames-Targetable|L
01702297-89A84FD0-81EB9642-63E25A14|Board for the Great Seal of the Order|Board for the Great Seal of the Order|Minigames-Targetable|P
01B20606-C34D480E-AF07741C-F2D6BA10|Peakvox Information||Minigames-Targetable|L
0211E2C6-C0844646-B2E0D6E3-6A83B631|E3 Photobooth|Have your photograph taken with your favourite video game characters|Minigames-Targetable|S
026EF574-9E2F493A-B1B34C1A-49B6FE83|Active Objects Yacht|Interact with objects in the scene|Minigames-Targetable|L
028E969D-DF324EF7-A89516BF-6F7B3720|Stone Sundial|Stone Sundial|Minigames-Targetable|P
02EBBE16-0C7C4DC5-9D39D769-88DA3B1A|Moon Forest Items|Moon Forest Items|Minigames-Targetable|S
032E585F-9D744979-9F55C1BF-C1DD8D85|Conversation|Conversation|Minigames-Targetable|P
03456610-E0524F0C-C0566907-965F96FA|Set Dressing 01|set dressing one|Minigames-Targetable|P
0346A442-1F7E4809-A65799D4-F96A57E0|x7 Dance Floor|Get your groove on at x7. Dance the night away on the clubs interactive dance floor. The more the merrier.|Minigames-Targetable|L
038D2285-5D2D47D8-9BDADAB5-2B4162D8|Yuwim|Yuwim (Lounge)|Minigames-Targetable|P
03980CA5-FC9242A1-9664C9B5-C400C372|Element Shop|Element Shop|Minigames-Targetable|L
03A5AFD1-56CD4052-98EE998D-128BB8D3|Xi Continuum Video Screen|Xi Continuum Video Screen|Minigames-Targetable|L
041D68F9-C3A44FFE-A2E05B39-7FFD0E59|What Mana Colour Are You? Game|A multiple choice quiz to determine your mana affinity.|Minigames-Targetable|L
044AEA9F-E21343CB-8A469654-09CAEF21|Vehicle Hub (SUV)|Vehicle Hub|Minigames-Targetable|L
046C7571-C5374F3D-B9CA24F2-D8CD91C8|L-Project|-|Minigames-Targetable|L
049ED25D-441D4C2B-BD0538EC-162FE9D1|Media Pad - Night-time version|Media Pad - Night-time version|Minigames-Targetable|P
053758E1-15E242A5-8A5DF044-0B39F25B|Information Board|Information Board|Minigames-Targetable|S
05452231-BF9341A0-97772798-F7B29001|Photo Screen Manager|Fill this in|Minigames-Targetable|L
054D6FF8-5F894D48-9FE3D6DF-C6F81E9E|Lights|Lights for the basic apartment|Minigames-Targetable|L
056B0793-337644B0-BC9AE5A9-F8EDB98C|Liars Dice|Welcome to Liars Dice, the game where telling deception is the key to success.|Minigames-Targetable|L
05BA33AA-68CC4D1B-984241F1-9E476022|Conversation|Conversation|Minigames-Targetable|P
05CD8BD9-ABCA42F9-904442D1-64C63F22|Zakumi (Zakumi) Doll Present|Zakumi (Zakumi) Doll Present|Minigames-Targetable|S
05FA62A9-270C4065-910F7807-4EC0D7EC|Move|Move (Gz Square)|Minigames-Targetable|P
06330CC4-F4F94F54-B7F4025C-FFA2D78C|Photography (for Minigame)|Photography (for Minigame)|Minigames-Targetable|P
0647F70F-C7CF4439-9A1FD113-5F61F64A|Abduct The Earthling|-|Minigames-Targetable|L
06BFEC61-EE5F49C4-B7380D75-9524894A|Roulette|This is Roulette|Minigames-Targetable|L
06E06FE5-8212436D-8965DAD9-14127010|Tanabata Double Stardust Flight|Seven Days Double Stardust Flight PS|Minigames-Targetable|P
076D8051-A1834174-A6C078D1-02517BCE|Hot Streak Air Hockey 4|Two-player heat.|Minigames-Targetable|L
07D1EE65-D378448A-A0B93523-2B7C920F|Zoom|Zoom|Minigames-Targetable|P
07DE3B52-A4884600-90679DB7-55BEA59B|Abbey Hill Garden Party|Abbey Hill Garden Party|Minigames-Targetable|L
0805DA1D-A3AD4662-9D60BBAF-9C20E339|Exclusive Area|TARDIS control room barrier|Minigames-Targetable|L
08680A4B-CADA416A-BDAD5D96-D65F59D5|Settings Menu|Settings Menu(School PS)|Minigames-Targetable|P
0871763A-A3EB400E-BB6B4D1B-02A86AD4|U-MAN NARIKIRI STAGE|U-MAN NARIKIRI STAGE|Minigames-Targetable|P
089A0CA7-F15D4B34-8C27836D-8EFC432E|Swim|Yuwim|Minigames-Targetable|P
08A0BAC1-B346419A-8799150C-CE1926CC|Christmas Relocator|Christmas Relocator|Minigames-Targetable|P
08E71AED-C9224B6C-9B933296-9561D281|Opening|Opening|Minigames-Targetable|P
090007D5-F27D44DD-AA7EB52B-417B46E6|Tea Room|Tea Room|Minigames-Targetable|P
09169C53-90A444B8-B456BA33-79DEFC22|Armory|All the things a pirate needs to send others to Davy Jones Locker|Minigames-Targetable|L
092D9655-CAD14E59-AC1F1FD2-1176B600|Bus Stop|Bus Stop (sandy Beach)Moving Part|Minigames-Targetable|P
0950E8B7-BBC54540-89BA303C-ABE70DF1|take a photo(for minigame)|Take A Photo(for Minigame)|Minigames-Targetable|P
0A32F358-A5E44A33-9D6E5CD4-F53FD007|Fire Game|Fire Game|Minigames-Targetable|L
0A86790A-0DA84071-87305AD9-082B7F22|Home Square Object|Home Square Object|Minigames-Targetable|L
0AB9ED7F-5CB848DC-B046B1CD-E343A086|PlayStation Network Teleport|PlayStation Network Teleport|Minigames-Targetable|P
0AD2A0C9-3A664398-B06D44F7-1598E56D|UnionSaveObject|-|Minigames-Targetable|L
0B604F30-EC5742AE-93044175-9332F728|Move|Move (Gz Square)|Minigames-Targetable|P
0BAEA1F0-73AC4DA3-9F901DAB-DFEB7A0E|Xoff Cola Machine|Access the Continuum.|Minigames-Targetable|S
0BBD5831-E70546E4-B7A73C0E-A279A3D3|Yetis vs. Hunters Items|Yetis vs. Hunters Items|Minigames-Targetable|S
0BE4E967-67C7467E-A5AD0901-87107A38|Swimming On A Float|Swimming On A Float (PS)|Minigames-Targetable|P
0C28EA86-25144215-81D26271-4087EC8D|Tournament Finals Room|Gateway to tournament finals|Minigames-Targetable|P
0C571DBD-E0EF403A-84DA464F-2894BB43|BusStation|Bus Stop (sandy Beach) Moving Part|Minigames-Targetable|P
0C63FC55-7FC145BD-A8B8FACE-4BA8232C|Unidentified Squadron U-Man Transformation Stage|Unidentified Squadron U-Man Transformation Stage|Minigames-Targetable|P
0C785E18-C68542F0-B358E9A1-A61F95DE|Jump to nDreams Aurora|Jump to nDreams Aurora|Minigames-Targetable|L
0D43526A-44BC4CA6-B0FEA19E-94958CAD|Unidentified Squadron U-Man Transformation Stage|Unidentified Squadron U-Man Transformation Stage|Minigames-Targetable|P
0D7BBF34-AA294843-B1C16E52-1BBA2FF8|Stone Sundial|Stone Sundial|Minigames-Targetable|P
0D8AC4C8-1FF849BD-899D9D18-A597E2E2|Interact - Yacht (club)|Interact - Dream Hideaway|Minigames-Targetable|L
0DD26B37-81F94B2E-93850CC8-81C2A298|LKWD LockDraw Toolkit|LKWD LockDraw Toolkit|Minigames-Targetable|L
0E1FEB7A-E7A14885-A35BD06D-481A0876|Move|Move (Gz Square)|Minigames-Targetable|P
0E2FAF13-DDCF4240-8233BEEA-801877AF|IntroCamera For Race|IntroCamera For Race|Minigames-Targetable|P
0E491924-7D6844B4-B4D09651-30E44D29|Bed|Bed|Minigames-Targetable|L
0E8F69A0-CA2E4C20-86677437-31E684C9|PersonalSpaceManagement|Manages Personal Space Behavior.|Minigames-Targetable|P
0EEE1D47-3D9A418A-9008D1B8-ACFBDA4F|Treasure Chest|TreasureBox Whale |Minigames-Targetable|P
0EF939C1-D5D74F1F-A721C6C6-758F6D0E|Bus Stop Sign|Bus Stop Sign (Sandy Beach Lounge)|Minigames-Targetable|P
0F26C0FF-885B4135-AC216C9A-1EC36964|Move|Move (Gz Square)|Minigames-Targetable|P
