id|name|desc|category|thumbnail
00000000-00000000-00000000-000000A0|Ice Breaker|Keep the ball bouncing and smash all of the ice blocks.|Minigames-ArcadeMachine|L
00004315-A4D54487-95D275AC-12615BD8|Interact|Cavity Wall Animation MG|Minigames-Targetable|L
002F710A-131D44E1-917411E7-19759197|nDreams Shop|nDreams Shop|Minigames-Targetable|L
0033A3B3-8FBE4F40-9C0A1197-27CDE015|Phantom|Phantom|Minigames-Minigame|P
004E6146-4CAF4DD3-AAD0BF28-B90B335A|Media Tutorial|An Introduction to the Hollywood Hills House.|Minigames-Minigame|L
006D5E10-9C594A99-B61F40FF-343706DF|DataStation(School PS)|DataStation(School PS)|Minigames-Minigame|P
007B35A1-2EB243FE-872D585E-53023593|Ferris Wheel|Enjoy a birds-eye view of the Casual District with a friend.|Minigames-Targetable|L
0081B161-AD21424B-AF16E0FD-DE36A222|Avatar Effects (Spring)|Minigame That Detects Certain Outfits And Generates Effects|Minigames-Minigame|S
008953C5-AB30498F-88A86BA1-A9F8E05F|Inside PlayStation Vita Sign Up|Inside PlayStation Vita Sign Up|Minigames-Minigame|P
00926FEC-647E40DE-B3DA4950-D9214475|Theater Viewing Detection|Theater Viewing Detection|Minigames-Minigame|S
00991E11-16D047EA-8E6FACA1-D808B770|Cashier|Tournament Cashier|Minigames-Targetable|L
00C61CEE-D5044059-9A051821-2C608CCE|Screen Controls|Diamond Beach Mansion Screens|Minigames-Targetable|L
011504A5-F5864C04-938A662B-38129D72|Community Lounge|Off to the Community Lounge we go.|Minigames-Targetable|L
01356182-575B4042-B5A4442B-6736CA90|Ammo Meteor Gun|Fires a flaming hunk of rock that explodes when it lands. Available in two diagonal shot patterns.|Minigames-Minigame|L
01583AA4-891C468C-81B5C7CF-61FF977B|XEVIOUS RESURRECTION|XEVIOUS RESURRECTION Boot Script|Minigames-ArcadeMachine|P
01702297-89A84FD0-81EB9642-63E25A14|Board for the Great Seal of the Order|Board for the Great Seal of the Order|Minigames-Targetable|P
017AA686-641C4DEA-9779F241-77AD7AC2|ChristmasTree|Singstar xmas minigame|Minigames-Minigame|P
0191D574-291343A9-8A88AAAC-B2A98C14|How to play Prinny Race|How to play Prinny Race|Minigames-Minigame|S
01B20606-C34D480E-AF07741C-F2D6BA10|Peakvox Information||Minigames-Targetable|L
01E4B162-EC1E4A83-A0A560EB-A392BDDD|Audi TV|Audi TV|Minigames-Minigame|L
01E9B889-606F4F3C-A936DF75-91037017|WeaponDataStation||Minigames-Minigame|P
01F0936A-AB964E68-848F0FB7-04EE228F|Tour|all spaces|Minigames-Minigame|L
0211E2C6-C0844646-B2E0D6E3-6A83B631|E3 Photobooth|Have your photograph taken with your favourite video game characters|Minigames-Targetable|S
021DF19F-0FCB42F4-984BBDD6-ADCCFFCA|Game Shop|Game Shop|Minigames-Minigame|L
024F5D09-24414301-B5AE0148-5D9173A8|The Batsuit|The Batsuit|Minigames-Minigame|P
0269C7B9-9BE04661-9BBD528C-F27179BC|Item Shop|Item Shop|Minigames-Minigame|S
026EF574-9E2F493A-B1B34C1A-49B6FE83|Active Objects Yacht|Interact with objects in the scene|Minigames-Targetable|L
027DAA86-58FB4570-B95F2597-408119B6|Pet Game|Pet Game|Minigames-Minigame|S
028E969D-DF324EF7-A89516BF-6F7B3720|Stone Sundial|Stone Sundial|Minigames-Targetable|P
02981672-D4A64888-8AE7CCF6-B68EE572|Ranch Animals|Object Description|Minigames-Embedded|L
02C9726D-89D8435D-83F341B1-9F210771|Move To Monster Japon, One Piece (GAW)|Move To Monster Japon, One Piece (GAW)|Minigames-Minigame|P
02EBBE16-0C7C4DC5-9D39D769-88DA3B1A|Moon Forest Items|Moon Forest Items|Minigames-Targetable|S
02FC7492-83E64CE2-9A2FF8AE-2D2883D2|Racing||Minigames-Minigame|S
03281EED-92254405-B1C83BCA-A1793DC8|Hexopolis|Hexopolis|Minigames-Minigame|L
032E585F-9D744979-9F55C1BF-C1DD8D85|Conversation|Conversation|Minigames-Targetable|P
03321F35-E6F044FF-B88809A1-2D1CE7CF|FrontierKeeper||Minigames-Minigame|L
03456610-E0524F0C-C0566907-965F96FA|Set Dressing 01|set dressing one|Minigames-Targetable|P
0346A442-1F7E4809-A65799D4-F96A57E0|x7 Dance Floor|Get your groove on at x7. Dance the night away on the clubs interactive dance floor. The more the merrier.|Minigames-Targetable|L
0356F1AC-D765462C-BC95A104-D42664FB|Jump on the Bed.|A jumping collection game.|Minigames-Minigame|L
038C51AF-DF0A4740-B7F777C3-13BBDF50|Relocate to Diesel Museum|Relocate to Diesel Museum|Minigames-Minigame|S
038D2285-5D2D47D8-9BDADAB5-2B4162D8|Yuwim|Yuwim (Lounge)|Minigames-Targetable|P
03980CA5-FC9242A1-9664C9B5-C400C372|Element Shop|Element Shop|Minigames-Targetable|L
03A5AFD1-56CD4052-98EE998D-128BB8D3|Xi Continuum Video Screen|Xi Continuum Video Screen|Minigames-Targetable|L
03CDEB39-2326463F-8DDF8BFD-9ED9F1B0|PODI|Lockwoods Pyrotechnic Overhead Display Interface, or PODI, is a friendly little machine that loves it when you interact with it. Create incredible displays, or let PODI take care of it for you. Keep PODI happy for a special reward.|Minigames-Minigame|L
03DA11BF-97B245D5-9989B888-E3A5ABDA|Mononoke Extermination Mission, Personal Battle |Monononoke Extermination Mission, Personal Battle |Minigames-Minigame|P
04019D4C-7B714661-9BA45850-85B31EEA|Mad Blocker PlayStation Home|Mad Blocker PlayStation Home is a puzzle game where players attempt to combine blocks of the same colour.|Minigames-ArcadeMachine|L
041D68F9-C3A44FFE-A2E05B39-7FFD0E59|What Mana Colour Are You? Game|A multiple choice quiz to determine your mana affinity.|Minigames-Targetable|L
043550D2-F62C4589-96046CE2-628C274B|Satisfied Woman|More than dates or fashion, pachinko is the best.|Minigames-Minigame|P
044AEA9F-E21343CB-8A469654-09CAEF21|Vehicle Hub (SUV)|Vehicle Hub|Minigames-Targetable|L
045494AA-2D9B46C5-A17DF1C6-81A23BAC|Enjoying the Sunshine|Object Description|Minigames-Minigame|P
046C7571-C5374F3D-B9CA24F2-D8CD91C8|L-Project|-|Minigames-Targetable|L
049ED25D-441D4C2B-BD0538EC-162FE9D1|Media Pad - Night-time version|Media Pad - Night-time version|Minigames-Targetable|P
04A957B3-EFFF4101-867CF153-1C0BFACF|Golden AK Assembly|Assemble a golden AK-47|Minigames-Minigame|S
053191EC-85F944AB-B275AC46-C8AA8061|ShopMessage|ShopMessage|Minigames-Minigame|S
053758E1-15E242A5-8A5DF044-0B39F25B|Information Board|Information Board|Minigames-Targetable|S
05452231-BF9341A0-97772798-F7B29001|Photo Screen Manager|Fill this in|Minigames-Targetable|L
054D6FF8-5F894D48-9FE3D6DF-C6F81E9E|Lights|Lights for the basic apartment|Minigames-Targetable|L
056B0793-337644B0-BC9AE5A9-F8EDB98C|Liars Dice|Welcome to Liars Dice, the game where telling deception is the key to success.|Minigames-Targetable|L
056CF176-E0474303-AD89FC79-5FB6CF96|GAME V|GAME V|Minigames-Minigame|L
056D43E8-0A064E66-9CEC3731-E2ED4829|GAME Moonbase shop|GAME Moonbase shop|Minigames-Minigame|P
05825B22-507347C9-882D03F9-82FE9BBE|Door|Door in the Anime space|Minigames-Minigame|L
0585D153-D872460B-976B6966-DA50283B|EnterStore|EnterStore|Minigames-Minigame|P
058DE4A1-D1AB4C1D-A4DF4B8B-E5806F2A|Dolphy Ring Game|Race through rings with your Dolphy|Minigames-Minigame|L
05932F82-B12F4ACA-B00CCAFE-CF4EE929|VEEMEE Store Tickers|VEEMEE Store Tickers|Minigames-Minigame|L
05BA33AA-68CC4D1B-984241F1-9E476022|Conversation|Conversation|Minigames-Targetable|P
05C45892-67114DCB-9C433586-2D0C6B10|Time Turner Old Woman|Time Turner Old Woman|Minigames-Minigame|P
05CD8BD9-ABCA42F9-904442D1-64C63F22|Zakumi (Zakumi) Doll Present|Zakumi (Zakumi) Doll Present|Minigames-Targetable|S
05DA9C34-754F436D-92AFFFCC-F6C8B1A2|Simple Screen Poster|Base Template For Creating Various Events|Minigames-Minigame|L
05FA62A9-270C4065-910F7807-4EC0D7EC|Move|Move (Gz Square)|Minigames-Targetable|P
0617F4E7-C8434FC7-AB7D4F33-9211E35F|The door to the 2nd level underground?|The door to the 2nd level underground?|Minigames-Minigame|P
06330CC4-F4F94F54-B7F4025C-FFA2D78C|Photography (for Minigame)|Photography (for Minigame)|Minigames-Targetable|P
064137D7-52744447-8BE9A6B4-2327500F|NPC|NPC Manager|Minigames-Embedded|L
0647F70F-C7CF4439-9A1FD113-5F61F64A|Abduct The Earthling|-|Minigames-Targetable|L
06757B77-CABF4D76-A0B3A2D5-3FBCB870|Minecarts|Minecarts (conveyor)|Minigames-Minigame|P
06A05618-33CA4A3F-85508DF4-1E1AEB21|Stage Door Exit|Stage Door Exit|Minigames-Minigame|P
06A7FEDF-F7D94320-8FD9A556-0D0BDCB6|DoorToHouse|To A Secret Private Garden|Minigames-Minigame|P
06AAE2F4-9DA842EA-ACFBD0E4-40655E86|DataStation(School PS)|DataStation(School PS)|Minigames-Minigame|P
06BFEC61-EE5F49C4-B7380D75-9524894A|Roulette|This is Roulette|Minigames-Targetable|L
06D92E07-C2DA4D1E-A2B48E56-459A678E|Read Memo Left at the RosenQueen Co. General Store|Read Memo Left at the RosenQueen Co. General Store|Minigames-Minigame|S
06E06FE5-8212436D-8965DAD9-14127010|Tanabata Double Stardust Flight|Seven Days Double Stardust Flight PS|Minigames-Targetable|P
06E18F25-B2EC4A57-999B0340-345144C8|RAINBOW GRAND PRIX VOTING POINT Male Division|RAINBOW GRAND PRIX VOTING POINT|Minigames-Minigame|S
07356657-49FE4A42-97BDC6AB-1C241CEC|Tug Of War|Compete in this classic game of fun. Take on the opposition as a team or on your own.|Minigames-Minigame|S
076D8051-A1834174-A6C078D1-02517BCE|Hot Streak Air Hockey 4|Two-player heat.|Minigames-Targetable|L
077496FA-39DB4A15-9D642A8F-4DEACDDA|Home Square Extras|Home Square Extras|Minigames-Minigame|L
077A4F68-E7584114-95B932A5-1DCD6356|Chicken|Cock-a-doodle-doo.|Minigames-Minigame|L
07A30296-C2A64854-B85EEF29-69B3521B|MuiMui King|Loco House Jukebox|Minigames-Minigame|L
07B5BFFF-6B5D4E3B-978FFD4D-AB156F7C|Down Elevator 2|Down Elevator 2|Minigames-Minigame|S
07BC05E0-8FA445A7-AC28641A-D2895F17|Mortar Tower|Shells Fired From This Old-fashioned Cannon Shake The Ground And Deal Major Damage To Enemies.|Minigames-Minigame|S
07BC1E1C-BDDA4784-B16863A6-1574329A|Dumbbell Rack|TEKKEN6 Presenter|Minigames-Minigame|P
07C7D626-0EBA4BAC-83CF45C2-FEBE7344|UnionSaveObject|System Management Organization|Minigames-Minigame|L
07D1EE65-D378448A-A0B93523-2B7C920F|Zoom|Zoom|Minigames-Targetable|P
07DE3B52-A4884600-90679DB7-55BEA59B|Abbey Hill Garden Party|Abbey Hill Garden Party|Minigames-Targetable|L
0805DA1D-A3AD4662-9D60BBAF-9C20E339|Exclusive Area|TARDIS control room barrier|Minigames-Targetable|L
082F0E99-FECC4761-B5E5472C-263EC4A2|Events Landing|Events Landing|Minigames-Minigame|S
0836DEB7-772440A1-92239927-21CB0C7A|Boarding Ramp Inside Hangar|Boarding Ramp Inside Hangar|Minigames-Minigame|P
08680A4B-CADA416A-BDAD5D96-D65F59D5|Settings Menu|Settings Menu(School PS)|Minigames-Targetable|P
086D2B0A-460D493B-BCD64F35-CB3DC7B6|About Dolphies (3)|About Dolphies (3)|Minigames-Minigame|L
0871763A-A3EB400E-BB6B4D1B-02A86AD4|U-MAN NARIKIRI STAGE|U-MAN NARIKIRI STAGE|Minigames-Targetable|P
08850964-ADD94776-BFA7F670-F96E6EE1|Camera - Green Screen|Camera - Green Screen|Minigames-Minigame|P
08856E83-13754A67-B59DAAC7-F80CE4D4|Oscars Lobster Mania Shop|Oscars Lobster Mania Shop|Minigames-Minigame|L
088A0BA6-DC99423E-9B5DD3E9-843490F6|Gate|Gate|Minigames-Minigame|P
0897F140-A536402E-A08E8726-02B6C357|SA_SceneManager|Docking at Space Apartment (S.A.R.A)|Minigames-Minigame|L
089A0CA7-F15D4B34-8C27836D-8EFC432E|Swim|Yuwim|Minigames-Targetable|P
089ACE2B-DA574E4F-BC164CC7-15CBD934|Club Gate|Guards the stairs.|Minigames-Embedded|L
08A0BAC1-B346419A-8799150C-CE1926CC|Christmas Relocator|Christmas Relocator|Minigames-Targetable|P
08B17432-60644972-93CE314F-EBE69D30|Survival Bomber|Survival Bomber|Minigames-Minigame|S
08BB44A3-EEDD4321-91E95DBF-BB21CB8D|Chess|Play a game of chess with another player or learn the rules by playing solo in practice mode. Spectators can queue to play after the current game is over.|Minigames-Minigame|P
08E71AED-C9224B6C-9B933296-9561D281|Opening|Opening|Minigames-Targetable|P
090007D5-F27D44DD-AA7EB52B-417B46E6|Tea Room|Tea Room|Minigames-Targetable|P
09169C53-90A444B8-B456BA33-79DEFC22|Armory|All the things a pirate needs to send others to Davy Jones Locker|Minigames-Targetable|L
092D9655-CAD14E59-AC1F1FD2-1176B600|Bus Stop|Bus Stop (sandy Beach)Moving Part|Minigames-Targetable|P
093B2501-B37941F9-8541483C-2ECC2433|Cave Bat Guano|Guano Dropped By Bats Living In The Caves. People Sometimes Die From Touching It, Thinking Its Only Bat Poop.|Minigames-Minigame|P
0950E8B7-BBC54540-89BA303C-ABE70DF1|take a photo(for minigame)|Take A Photo(for Minigame)|Minigames-Targetable|P
095F3F0E-775D4B5A-B89E101C-78AB1FEA|Bus Depot|Bus Depot|Minigames-Minigame|P
0983C615-13C940C7-8378E459-EFDF3FC3|Droll Mask Vendor|You want masks, Ive got masks, buddy.|Minigames-Minigame|P
0989DB8F-66474981-A8B25C0E-54032AA6|Jump to Cinema|Jump to Cinema|Minigames-Minigame|S
09E091B0-DE7F44B5-81A10CEA-1385CA2E|Cherry Blossom Front 2013|Cherry Blossom Front 2013|Minigames-Embedded|L
09E4A6FE-8B034B92-AB6A4AC5-BBF521F3|Cinema Reward Mini-game|Cinema Reward Mini-game|Minigames-Minigame|S
0A00312B-ED5141C7-86A9870E-4913203C|Gold Scrolls X20|Scrolls That Raise Amount Of Gold Coins (game Currency) Gained In Peakvox Ninja. Set Of 20 Scrolls. 1 Use Lasts Five Rounds, Provides +50% Gold Coin Earnings. Gives The Same Effect To Other Players In Ready Screen For One Round.|Minigames-Minigame|S
0A32F358-A5E44A33-9D6E5CD4-F53FD007|Fire Game|Fire Game|Minigames-Targetable|L
0A6C5D8B-5C1C4529-B844CCFA-A6F49BB9|Women|Kind Women|Minigames-Minigame|P
0A72DDC2-453F48AC-A69AAACF-50A7A855|Second Floor Control Panel|SeaClyff Night Retreat|Minigames-Minigame|P
0A86790A-0DA84071-87305AD9-082B7F22|Home Square Object|Home Square Object|Minigames-Targetable|L
0AA4C5A4-EA214CAA-B703F7F7-7FCA207D|Penny Pincher|Minigame 10|Minigames-Minigame|L
0AB697BC-7E1D4B96-B3CF1678-0354F7A8|Stone statue at the site of a mining site|May you devote yourself to cave exploration|Minigames-Minigame|P
0AB9ED7F-5CB848DC-B046B1CD-E343A086|PlayStation Network Teleport|PlayStation Network Teleport|Minigames-Targetable|P
0AC0150A-B6A44F17-B2D2037F-F46760E8|Rainbow Event|Timed Rainbow Event|Minigames-Minigame|S
0AD2A0C9-3A664398-B06D44F7-1598E56D|UnionSaveObject|-|Minigames-Targetable|L
0ADAF830-656D4DDA-B33416D9-4495E734|Teleporter|Teleporter|Minigames-Minigame|S
0AE8D13D-2F3F4B70-97AC4EFC-B29D596A|Mononoke Hunting Mission - Group Battle One|Mononoke Hunting Mission - Group Battle One|Minigames-Minigame|P
0B1D9179-4C8246AA-855E3BE7-264BF9C9|Armor?|Armor?|Minigames-Minigame|L
0B35D293-24DA4B2B-BA53817F-A8A57F23|Survival Bomber|Survival Bomber|Minigames-Minigame|S
0B604F30-EC5742AE-93044175-9332F728|Move|Move (Gz Square)|Minigames-Targetable|P
0B63CD15-4A48415C-80AFE7D2-79F9BB22|Survival Bomber Description|Survival Bomber Description|Minigames-Minigame|S
0B9D3B97-FC014D6B-BE8FA9D2-5C31CF31|Tickers|Tickers|Minigames-Minigame|L
0BA28922-2901431B-AA810055-4DC7B7CE|Big Box?|Passing Race Reward According To Psychological Testing|Minigames-Minigame|P
0BAEA1F0-73AC4DA3-9F901DAB-DFEB7A0E|Xoff Cola Machine|Access the Continuum.|Minigames-Targetable|S
0BBD5831-E70546E4-B7A73C0E-A279A3D3|Yetis vs. Hunters Items|Yetis vs. Hunters Items|Minigames-Targetable|S
0BE4E967-67C7467E-A5AD0901-87107A38|Swimming On A Float|Swimming On A Float (PS)|Minigames-Targetable|P
0C160FA4-9E8543E2-9456A737-F75ABD14|VersionStation(South Island PS)|VersionStation(South Island PS)|Minigames-Minigame|P
0C28EA86-25144215-81D26271-4087EC8D|Tournament Finals Room|Gateway to tournament finals|Minigames-Targetable|P
0C2BB9A0-B0B242E2-A92F2577-55E391C8|FrontierRelocate|Relocation Object for Scene Transition|Minigames-ArcadeMachine|L
0C3784E3-4EDE4767-8456FEE1-6C4470B5|MaGe Kito Grassland Clear|True Ge Kito meadow clear.|Minigames-Minigame|P
0C571DBD-E0EF403A-84DA464F-2894BB43|BusStation|Bus Stop (sandy Beach) Moving Part|Minigames-Targetable|P
0C5C1C03-9D1F4E36-A5853D4F-33B87800|Escape The Virus|-|Minigames-Minigame|L
0C63FC55-7FC145BD-A8B8FACE-4BA8232C|Unidentified Squadron U-Man Transformation Stage|Unidentified Squadron U-Man Transformation Stage|Minigames-Targetable|P
0C760747-A9764A3D-88C02990-4933BA39|Label|Player Label|Minigames-Minigame|L
0C785E18-C68542F0-B358E9A1-A61F95DE|Jump to nDreams Aurora|Jump to nDreams Aurora|Minigames-Targetable|L
0C826C78-9F514A34-B9C2775B-50C0D834|Blackbeards Challenge Music Player|Music player for the Blackbeards Challenge game.|Minigames-Embedded|L
0C97D2F9-A4BC43FA-8375A35B-21E888DC|Item Shop|Item Shop|Minigames-Minigame|S
0D0AC262-9B7B4D9B-BDA05E37-8FFD3624|Intellivision Astrosmash Gen2|Giant Asteroids fall from the sky. It s an attack. The Alien bombardment has begun. In command of a giant laser cannon, it s up to you to blast the extraterrestrial menace from the skies. The fate of the world is in your hands in this updated all-time classic, brought to you by Realtime Associates.|Minigames-ArcadeMachine|L
0D0CBDB7-AE854917-B13B9E35-ED1625DE|Halloween Demo Production (ToT Version)|Rolly Cafe 1f(sound, Screen, Light, Motion)|Minigames-Minigame|S
0D2D1E7F-6084495B-A1C5D338-EC1F69BA|MiB_Environment||Minigames-Minigame|L
0D3F3807-D13A4A27-BBD88AE0-F80EA533|Disco|DiscoController|Minigames-Minigame|P
0D43526A-44BC4CA6-B0FEA19E-94958CAD|Unidentified Squadron U-Man Transformation Stage|Unidentified Squadron U-Man Transformation Stage|Minigames-Targetable|P
0D4E1FEC-840F4BF8-A9D9E876-96748827|Twitter Screens|Twitter Screens|Minigames-Minigame|P
