id|name|desc|category|thumbnail
00033179-83F9478E-914C756D-D38A72B2|Cafe Table, Square|A wooden table perfectly suited for a cafe.|NoSDAT|S
001A05CA-B39D4A2F-86A375CD-0B82B029|001A05CA-B39D4A2F-86A375CD-0B82B029||NoSDAT|S
0076F6A5-D2424443-9E8BE347-B02E6853|Twin Lightning (for women)|Twin swords with lightning power.|NoSDAT|S
008D86B6-795A428B-8F8E7C76-7829DACF|008D86B6-795A428B-8F8E7C76-7829DACF||NoSDAT|S
020224E0-486A44A6-99F7B623-3FC8F0B7|UFO companion|UFO companion|NoSDAT|L
0251C24F-874A4EA9-9D090F36-FF1978B4|Statue of the King Great Leap  9 (Silver)|Silver statue given to those who participate in events during the period. The Kings Great Leap of Faith  9.|NoSDAT|S
02BD459F-EF284111-AAF4D644-C11AD56D|Funkster 74 Bundle (Male)|The Funkster 74 bundle contains a range of cool, retro and funk-tastic clothing items. Included in this set *Funk Master (Outfit) *Blazing Inferno (Outfit) *White Lightning (Outfit) *Dancing Thunder (Outfit) *Lean Green Dance Machine (Outfit) *Funk Stick (Male) Upon purchase, all items will be added to their corresponding categories.|NoSDAT|S
02ED9C23-A96A45B8-84D9FDD9-F96BAEDE|Bubble Skirt (Pink, Women)|A pink check skirt billowing out from the hem. Defensive Strength Cuteness |NoSDAT|S
03470884-65194F65-9CB15062-093A1E21|Kappa Pumpkin Head, Blue (for women)|Redemption reward for Halloween period only. Kappa-like pumpkin headpiece.|NoSDAT|S
04888328-03254A93-A0A8704E-5C44A4AE|Techno Peep - Heavy Pet - Glowing Green|Move to the groove with Techno Peep. As the hottest gadget on the market, you can bring him into your apartment for hours of fun. You can control him with custom animations and special Peep moves.|NoSDAT|L
04DF14A2-A72145A6-BE8E0230-C726ABAD|04DF14A2-A72145A6-BE8E0230-C726ABAD||NoSDAT|S
055B2AEF-E4BF42C1-879BC520-E3E2D5BA|Character Stand Sign 08 (Teacher Woman)|Character panel creating a lively school atmosphere.|NoSDAT|S
057DBA42-35B0467C-BD55E6FE-4ADD0020|140 LOOT Gold EOD TV - Wall Mounted|For gamers who have it all, here is a special edition gold EOD TV that lets you watch full length movies, TV episodes, live shows and more with your friends in PlayStation Home. The LOOT Entertainment On Demand TV will work in any private space unless the space comes with a video screen you can t turn off, it does not include streaming radio or audio-only content. This bundle-exclusive wall mounted TV works with the FREE LOOT TV Wall Mount (found in the LOOT Store.) Simply hang the mount on the wall like a picture frame then hook your Wall Mounted EOD TV on it. Decorating has never been so easy. PLEASE READ BEFORE YOU PURCHASE Due to contractual and rights agreements, some EOD channels are nation specific. Crackle content is ONLY available in United States, Canada, United Kingdom, and Australia. RadioIO is ONLY available in the United States and Canada. In addition, due to rights issues, countries may not receive the same content selections within the channels. Only one TV can be active at a time. The LOOT EOD will work in any private space, UNLESS the space comes with a video screen you cannot turn off.|NoSDAT|S
05C64419-7D254D2E-A2748AFE-353961FF|Unidentified Sentai Youman suit (Youma green, male)|Unidentified Sentai Youman suit. Defense Heroism |NoSDAT|S
060D319D-AE2A4BBC-AC79EDDB-642D4BD9|060D319D-AE2A4BBC-AC79EDDB-642D4BD9||NoSDAT|S
0636C931-A3184AE6-8883BE84-4E9C0D5F|0636C931-A3184AE6-8883BE84-4E9C0D5F||NoSDAT|S
0640C07E-D2744BE9-924CA483-AD68643A|Modular Skatepark - Grind Rail|A straight grind rail. This is part of the Modular Skatepark set and can be used to create your very own skatepark.|NoSDAT|S
06518B81-484A4FF1-88328A04-6DDF7C51|Uranus|Fact Space is cool. Now LOOT s brought all the planets to you so you can create the solar system in your personal space. Who doesn t love Venus with all its carbon dioxide? Don t even get me started on the gas giant Jupiter. Sorry, Pluto, you re no longer in the club.|NoSDAT|L
069E1A90-B2AA492A-A980E572-0299168F|Poker Tournament - Tournament 23 Bracelet|Poker Tournament - Tournament 23 Bracelet. Both male and female versions are included.|NoSDAT|P
06EF1F41-A47E4BB2-89BC1DF5-145E1E58|Unidentified Squadron U-Man Red Figure (Men)|A figure of one of the heroes of justice, Unidentified Squadron U-Man.|NoSDAT|S
070CF51D-C2E34C4C-8E95A2C3-AD3D03B3|SFRGBT.. Bucket and Spade|Dig and carry till you drop.|NoSDAT|S
075F2071-67F44B5B-AD531539-9F6D5BB4|075F2071-67F44B5B-AD531539-9F6D5BB4||NoSDAT|S
076EEC70-DB3149C3-AB8EE78E-978A6E21|076EEC70-DB3149C3-AB8EE78E-978A6E21||NoSDAT|S
078399BD-661F47D4-BDBF3EDA-AEB16587|078399BD-661F47D4-BDBF3EDA-AEB16587||NoSDAT|S
07EA2623-12AC4CE2-8C613E17-ED5EDF73|Scary Fairy Peep - Heavy Pet - Persnickety Purple|Scary Fairy is one twisted sister Peep. Bring Sweetie Pie with you into your apartment and let the fun begin. Control her with custom animations and special Peep moves.|NoSDAT|L
