id|name|desc|category|thumbnail
0132A6C7-4D514080-89F49052-02AE1FF3|Kissin Whimsy|Kissin Whimsy|Other-Aquatic|L
0268A642-855246C9-AE5209B1-D4429D4B|Rainbow Notho|Rainbow Notho|Other-Aquatic|L
04149EF2-0D18401B-A195D847-43361F76|Bonzai Tree|Bonzai Tree|Other-Aquatic|L
04AB830A-5FD14945-8786F39D-F3D37F32|Tribal Tatsnarf|Tribal Tatsnarf|Other-Aquatic|L
04EA861F-2FC24668-ACD89D85-9874E4D6|Heads Will Roll Pack|Decorations included Skull, Diving Helmet, T-Rex Skull, Divers Mask.|Other-Aquatic|L
058C29CD-DE714512-870894AF-36AB6234|Robotic Snike|Robotic Snike|Other-Aquatic|L
0A488B16-AD4A44F1-837F0B5F-A1524307|Rainbow Pack|The fish included are Mandarinfish, Rainbow Notho, Cortez Rainbow Wrasse, Bicolor Parrotfish.|Other-Aquatic|L
0D5D68C5-9A2E4605-8568421F-34348293|Camo Flange|Camo Flange|Other-Aquatic|L
0E3627A9-A5C9465E-B1972FAA-6711A1F0|Sky Fishing Lure Bundle|Get this bundle of fantastic lures for the Aurora Sky Fishing game so you can hone in on specific catches . This set includes * The Tasty Snapper * The Magnetico * Genie in a Bottle Upon purchase, these items will not appear in your inventory. These items are upgrades that will increase your chances of catching specific items in the Aurora Sky Fishing game.|Other-Aquatic|L
0E6D48A7-27F44D61-B376B38D-C8F17B36|Catalina Goby|Catalina Goby|Other-Aquatic|L
10FAC86A-B1CD45AB-B7F0F90A-6A76EE53|Plasma Globe|Plasma Globe|Other-Aquatic|S
11405ADD-0B844B0F-81206495-B76924FE|X-Ray Spix|X-Ray Spix|Other-Aquatic|L
1839D9B7-A4F2459D-9527F1CC-4D852F03|Small Fish Pack|The fish included are Coral Beauty Angelfish, Fire Fish, Flame Angelfish, Serpae Tetra, Catalina Goby.|Other-Aquatic|L
18D6195B-B1C64536-86D7DDAD-DCEBA46D|Teeny Emo|Teeny Emo|Other-Aquatic|L
19DF6B48-75434D8C-ACC3C18E-57CCCBE5|Zebra Pleco|Zebra Pleco|Other-Aquatic|L
1F66861A-9E654B82-87C8B8B2-03EE366D|Stingray|Stingray|Other-Aquatic|L
219E4D0E-DDDA4E38-B0D6C340-B15F45D7|Coral Beauty|Coral Beauty|Other-Aquatic|L
245EA65C-3D2B4E5B-89EACFE9-57A68EAA|Yellow Sponge|Yellow Sponge|Other-Aquatic|L
24772C6B-9321482A-BADFD872-DFC25AE4|Conch Shell|Conch Shell|Other-Aquatic|L
27C3B58C-9CB641AA-95078E41-CDD699C1|Medium Aquarium Bundle Pack|A perfect fit for every room. This tank comes with a collection of 5 fish and 6 decorations. It holds up to 15 small or medium fish and 10 small or medium decorations. To get your tank started, included with this purchase is the Medium Fish Pack and the decoration Plant Pack. The fish included are Saddleback Clownfish, Cave Tetra, Green Swordtail, Bubble Eye Goldfish and Flowerhorn Cichlid. Plant life included Flaming Myriophyllum, Torch Coral, Blue Ludwigia, Crimson Hygrophila, Green Ludwigia and Seaweed. Thats over ten items included with your purchase. This is an animated active item.|Other-Aquatic|L
28756EEA-73724AE2-841E43B0-ED366745|Kuhli Loach|Kuhli Loach|Other-Aquatic|L
2B76ED18-17AA46EC-90333D67-9C9C4A64|Squareback Anthias|Squareback Anthias|Other-Aquatic|L
2BA885F3-7845434F-97271C44-C808DA85|Treasure Chest|Treasure Chest|Other-Aquatic|L
2BCC61AB-7E0D4DEB-B3F5E737-9B68D115|Yellowtail Damsel|Yellowtail Damsel|Other-Aquatic|L
2C9EEEBD-2D194CB3-8FB39C71-98AF5028|Citron Clown Goby|Citron Clown Goby|Other-Aquatic|L
2E31B0AC-60774B68-88418C96-B63F04E9|Siamese Fighting Fish|Siamese Fighting Fish|Other-Aquatic|L
2FDE0D84-D3304D6B-B971084D-65BB86C3|Striped Fish Pack|The fish included are Banggai Cardinal, Barred Angelfish, Altum Angelfish, Harlequin Tuskfish,Golden-striped Grouper.|Other-Aquatic|L
33106F24-70B44E94-ACB0EF77-2EFFE741|Harlequin Tusk|Harlequin Tusk|Other-Aquatic|L
3414B91F-4CC14E8B-845CB72E-78F5DFBF|Volcano Bubbler|Volcano Bubbler|Other-Aquatic|L
367E0B96-54C24337-9FE6278B-409AE8B9|T-Rex Skull|T-Rex Skull|Other-Aquatic|L
36C158FC-D8A24ED8-82031224-378471B4|Psychedelic Leery|Psychedelic Leery|Other-Aquatic|L
3753B663-53D84936-84FF89DD-6D67AF7B|Deluxe Aquarium Bundle Pack|This gorgeous tank will be the centerpiece of your room. This special cylindrical aquarium comes with 5 unique fish, and 4 decorations. This tank is capable of holding up to 60 fish and 30 decorations so you can build it your way. To get your tank started, included with this purchase is the Animal Fish Pack and the decoration Riverbed Pack. The fish included are Butterflyfish, Longnose Hawkfish, Pandamoor, Seahorse and Freckled Hawkfish. Plant life included Hollow Log, Rocky Cave, Red Ludwigia and Green Hygrophila. This is an animated active item.|Other-Aquatic|L
379D70D1-076C4294-A8A0EF89-97448076|Columns|Columns|Other-Aquatic|L
3855DD48-A1E24C55-A06A61AB-19CE89F6|Mandarinfish|Mandarinfish|Other-Aquatic|L
3870E120-7E8A4B5E-940F8A6E-CA514E1E|Epic Reel of Win|This upgrade will reinforce your fishing rod in the Aurora Sky Fishing game, making it a lot easier to reel in your valuable catch.|Other-Aquatic|L
39AFBD0F-6FC945E3-8C885223-E56420C7|Yellow Tang|Yellow Tang|Other-Aquatic|L
