id|name|desc|category|thumbnail
0070C3F1-C5BB48FD-8B971296-0307705E|Spunland Seeds|Whenever you visit Spunland you will always start with 3 seeds.|Other-Consumable|L
00AF6438-94C74746-88F8442D-9DC872B0|Charcoal Champ Ultimate Lighter Fluid|Toss on the lighter fluid to instantly cook all meat on the grill to perfect in Charcoal Champ. 60 uses in each pack.|Other-Consumable|L
00D5EB51-49014907-8A178A00-BCCB5C57|Xi Continuum - Buff Pack (250)|Give your associates a temporary boost of power and gain the upper hand in the Xi Continuum Combat Game. This pack contains 250 consumable buffs. These buffs are only for use in the Xi Continuum Combat Game. Note - This is a consumable item.|Other-Consumable|L
023F207A-BD994DEE-AA4B4D66-9E389D81|Xi Continuum - Associate Pack 10|Add more grunt, guile and guns to your crew with these 5 random associates for the Xi Continuum Combat Game. 5 associates that you do not currently own will be chosen at random. These associates are only for use in the Xi Continuum Combat Game. Note - On buying all 16 Associate Packs you are guaranteed to unlock all 80 purchasable associates.|Other-Consumable|L
04BFCBAA-59C0485B-8EAB9F8C-63C65832|Xi Continuum - Associate Pack 1|Add more grunt, guile and guns to your crew with these 5 random associates for the Xi Continuum Combat Game. 5 associates that you do not currently own will be chosen at random. These associates are only for use in the Xi Continuum Combat Game. Note - On buying all 16 Associate Packs you are guaranteed to unlock all 80 purchasable associates.|Other-Consumable|L
066E7127-21CF45FD-9010A87E-200B5E8A|GZ Tickets (240)|A strand of 240 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
0689BD6B-52DD440E-84C27863-12B59112|GZ Tickets (30)|A strand of 30 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
06B86A70-034E4C25-8DD78D26-D255DD38|Uproar Credits - 2,620|Uproar Credits allow you to purchase, rent and gift Weapons, Serums, Clothing Items and Taunts in Uproar - the fast paced, action packed third-person shooter, exclusive to PlayStation Home. This Pack contains 2221 Uproar Credits + 399 Bonus Uproar Credits Get more bonus Credits when you purchase larger packs and take full advantage of the games extensive customisation options.|Other-Consumable|L
06E23C61-887D4319-8E2E8B44-98F01804|GZ Tickets (30)|A strand of 30 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
0706DB2B-B0494BA1-ADDEC48A-6D8EE292|GZ Ticket (30 Tickets)|These 30 tickets bring you special discounts in various Granzella lounges.|Other-Consumable|S
07541DAB-28924A4E-854E3606-0158C1AF|GZ Tickets (60)|A strand of 60 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
07F8BA4E-9FAB4801-9ACEAB83-D4856A49|Xi Continuum - Associate Pack 14|Add more grunt, guile and guns to your crew with these 5 random associates for the Xi Continuum Combat Game. 5 associates that you do not currently own will be chosen at random. These associates are only for use in the Xi Continuum Combat Game. Note - On buying all 16 Associate Packs you are guaranteed to unlock all 80 purchasable associates.|Other-Consumable|L
