id|name|desc|category|thumbnail
0D62B103-03234E1B-BC04D5AE-389A5C1B|COLE MACGRATH (EVIL) Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|S
1670D2B8-F7B349B5-AD592B98-A71FCBD1|RATCHET and CLANK Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|S
17A9F45B-D33041F0-B48035F0-0B361AE6|SIR DANIEL Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|S
184748FA-25F349EE-9FBAE12B-82195CFA|TORO INOUE Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|S
27D397EF-C8FB43D4-AA5240DC-04330D0D|HEIHACHI MISHIMA Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|S
320A27EF-98364CCA-B238EFF0-CE344632|SPIKE Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|S
504E18AC-40954342-A94DD43A-CA474FD5|JAK and DAXTER Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
5B4ECD90-5ACA4381-B20419BC-BDF0C494|SLY COOPER Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
683EC3DE-690F49CF-99511258-938323B8|SACKBOY Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
6A94E0E8-ACBA493D-A3F88BC4-75910F4B|BIG DADDY Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
72B042DE-DD2B4210-8B3DFC78-78BAF4F8|RAIDEN Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
788CA4FD-09854434-83D88727-8EF6C6D0|KRATOS Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
855E3A0A-A19A448D-90E299C2-7AF5D289|COLONEL RADEC Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
C0823E9F-FC524C4E-9C786AC9-87C22E05|FAT PRINCESS Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
CEFAFDBB-A03D4EBE-BF83A435-3FF2E8D6|NATHAN DRAKE Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
EAD1E1F1-7EFA48E5-8F22C272-A90932A1|NARIKO Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
F4BD0AC1-10854C97-92F048B1-FCFA7B7C|PARAPPA Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
FC14FA7C-730A4C6C-A868DEEF-126D22EB|COLE MACGRATH (GOOD) Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
FD492570-C72449AB-B2D40063-E28A9A8B|SWEET TOOTH Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
FD4DA6EC-7CE2468F-86D44C91-A966FDA2|DANTE Sticker|A sticker for the PlayStation All-Stars Battle Royale Sticker Album.|Other-Sticker|L
