id|name|desc|category|thumbnail
0034A777-F38E4B47-96796A89-BCA61C97|Deton8 DX Fuel Additive x26|An explosive fuel additive for your Sodium2 racer that focuses on providing boosted acceleration when added as well as increasing top speed. This is a 26 use item that will be used automatically in a race if equipped.|Other-Technology|S
0755CD76-FDED4547-84C25E39-7DFA6053|Turbulence DX Rocket Booster Pair x52|These are high power boosters with a slightly delayed onset. Get the timing right and you can kiss your old personal best goodbye.|Other-Technology|S
0F3F1726-5801447E-A861725E-93F3BF30|Sonic Camo - Sodium2 Racer Paint Scheme|This futuristic evolution of the classic camo paint scheme will leave other racers wondering what just past them by.|Other-Technology|S
1347390A-0F3048CC-B9340114-77500F84|Titan DX Engine|Control the lower turning speed into corners and your Sodium2 racer will hit those higher velocities.|Other-Technology|S
16EFB4A5-B7804388-A802A605-D4089D32|Digital Code Bomb|This disposable device installs a crude, yet effective, brute-force software attack used for bypassing a safe s logic code and forcing it open. Use of this device may cause a spike in a facility s alarm state. This is a Conspiracy game item and is placed in your game character s inventory when purchased. It equips in a Gadget slot on raids. Quantity 3.|Other-Technology|L
19DD9067-52694AFB-9A90AA11-A678A3BB|Behemoth Go-Faster Stripes|This custom livery for the mighty Behemoth ship has go-faster stripes and looks great too. You will be unable to purchase this livery unless you own the corresponding ship pack.|Other-Technology|L
1BB203AF-C28F4DE3-848DAE8C-78824E2A|Terrapin DX Rocket Booster Pair x130|A more steady boost effect but with a much longer duration that will give you a big advantage if you can maintain your speed.|Other-Technology|L
20823B91-BBBA44F8-9607B9E8-963659D4|Molotov DX Fuel Additive x140|A balanced fuel additive for your Sodium2 racer that marginally increases both your top speed and your acceleration. This is a 140 use item that will be used automatically in a race if equipped.|Other-Technology|S
2C687690-AF664B0D-9283B076-836861DC|Large Pulse Alarm Suppressor|For use in extreme emergencies, this disposable item significantly reduces the alarm state of any alerted facility. This is a Conspiracy game item and is placed in your game character s inventory when purchased. It equips in a Gadget slot on raids. Quantity 3.|Other-Technology|L
363A35DC-DE9644BC-A9E16D48-453C2E92|Dynamite DX Fuel Additive x65|A highly unstable and powerful fuel additive for your Sodium2 racer that supplements your fuel to increase your top speed. This is a 65 use item that will be used automatically in a race if equipped.|Other-Technology|S
36476F38-A0FB44C8-BEA37778-F69FC9DF|Turbulence DX Rocket Booster Pair x280|These are high power boosters with a slightly delayed onset. Get the timing right and you can kiss your old personal best goodbye.|Other-Technology|S
3B49537B-D546484E-8360F7C8-D57F008A|Hummingbird DX Hover Engine|Adding the more powerful motor in this Hover Engine to your Sodium2 racer will increase stability and reduce slow-down from crashes at the cost of turning response.|Other-Technology|L
3EA70031-5EE0499B-A647470C-1BE7BE0D|Vortex DX Hover Engine|This Hover Engine benefits from increased blade size and less weight to produce a more stable craft that will cope better with the occasional crash. A dip in the crafts turning capabilities will be pronounced.|Other-Technology|S
4090B4AB-36A14722-961738BE-E123FBCF|Terrapin DX Rocket Booster Pair x280|A more steady boost effect but with a much longer duration that will give you a big advantage if you can maintain your speed.|Other-Technology|L
417F1584-16024650-9283E02D-EA36D953|Hornet DX Hover Engine|Improved stability will allow your Sodium2 racer to stay on course at high speed and handle crashes better. A decent set of air brakes to counteract the reduced turning circle is highly recommended.|Other-Technology|S
41D4359D-E5914C60-928B7344-C2A5CE28|Interceptor DX Aerofoils|A more streamlined design for your Sodium2 racer to produce exceptional straight line speed and turning power. Turn too tightly though and youll lose momentum.|Other-Technology|S
42C3ADE2-87424DFB-A684075D-A0BA8D6C|Vector DX Flight Computer|The latest in flight computer technology will constantly update the trajectory of your Sodium2 racer to greatly increase stability and turn response, but an extended time to break the Mach 1 barrier may let your opponents in.|Other-Technology|S
4448F1A0-C268416D-82263EC7-960D1809|Inertia DX Air Brakes|Sacrifice a small fraction of your Sodium2 racers top speed and youll turn more sharply into corners.|Other-Technology|L
48C878C9-72094B97-860F4397-3E20BE20|Phoenix - Sodium2 Racer Paint Scheme|Turn up the heat on your competition with this firey paint scheme for you velocity racer.|Other-Technology|L
49B9F674-47A34C8C-8A4DB946-3B048B44|Fruit Salad - Sodium2 Racer Paint Scheme|A paint scheme that looks good enough to eat. Dont though - youll break your teeth on the titanium alloy bodywork.|Other-Technology|L
4D21F3D1-0743493B-B3B3DB88-CFC630E1|Galvonium DX Chassis|Heavier materials increase the stability of your Sodium2 racer as well as making it more resistant to loss of speed during impacts.|Other-Technology|L
4F8131B8-E5914AEA-A57D13D4-D8399B4E|Live Wire DX Afterburners|Hold your nerve through the increased instability and you will control a higher level of acceleration.|Other-Technology|L
55D38C68-03F5407F-BFD84A13-F4ADAC6A|Quadratus Hacking Script Pack|A uncommon and somewhat powerful hacking script. Hacking scripts provide different functions specific to each hacking mini-game. Code Hacking - randomly reveals two of the code symbols. Memory Hacking - reveals one hidden symbol from each pair. Data Pulse Hacking - clears the board. Your amount of RAM determines the maximum number of each hacking script you can have in a raid mission. This is a Conspiracy game item and is placed in your game character s inventory when purchased. Quantity 3.|Other-Technology|L
5788783F-E5994747-872ABFCC-706616AF|Dynamite DX Fuel Additive x140|A highly unstable and powerful fuel additive for your Sodium2 racer that supplements your fuel to increase your top speed. This is a 140 use item that will be used automatically in a race if equipped.|Other-Technology|L
584FA265-5D0D49D5-997B4C99-B5CD8F15|Molotov DX Fuel Additive x650|A balanced fuel additive for your Sodium2 racer that marginally increases both your top speed and your acceleration. This is a 650 use item that will be used automatically in a race if equipped.|Other-Technology|L
5A001426-82E84B40-AF0C9CE4-D34F48E0|Deton8 DX Fuel Additive x650|An explosive fuel additive for your Sodium2 racer that focuses on providing boosted acceleration when added as well as increasing top speed. This is a 650 use item that will be used automatically in a race if equipped.|Other-Technology|L
5A5A83FE-31744B44-8C3223A1-65D850AA|Salamander - Sodium2 Racer Paint Scheme|This radical Salamander paint scheme features go-faster everything.|Other-Technology|L
6A7D838A-3F464005-A1539E67-1D74727E|Equilateral Hacking Script Pack|A common and low-powered hacking script. Hacking scripts provide different functions specific to each hacking mini-game. Code Hacking - randomly reveals one of the code symbols. Memory Hacking - reveals two pairs of hidden symbols. Data Pulse Hacking - empties the bucket of all symbols. Your amount of RAM determines the maximum number of each hacking script you can have in a raid mission. This is a Conspiracy game item and is placed in your game character s inventory when purchased. Quantity 5.|Other-Technology|L
6A8FEA41-7F42419E-B8E69AA1-24FB3C64|Aerobatic DX Aerofoils|A minor improvement to the straight line speed of the Sodium2 racer also allows you to cut smoothly through the most awkward of turns.|Other-Technology|L
6C472C37-1E9D46DB-AE408A07-E4A090B1|Terrapin DX Rocket Booster Pair x1300|A more steady boost effect but with a much longer duration that will give you a big advantage if you can maintain your speed.|Other-Technology|L
6C5DA5CB-E574493C-A7A72130-5AA2648C|Classic Green - Sodium2 Racer Paint Scheme|Add a smooth green skin to your Sodium2 racer for a more natural look whilst racing to winning times.|Other-Technology|L
6C9E498E-58044EDC-8E14AF10-B18B5E11|Nanite Regeneration Kit|Using advanced nanite healing technology, this disposable device instantly heals a substantial amount of your health. This is a Conspiracy game item and is placed in your game character s inventory when purchased. It equips in a Gadget slot on raids. Quantity 3.|Other-Technology|L
74AF3FC4-8FB24E8C-82A65B14-BD7984E4|Aceso Healing Pack|This disposable device utilizes specialized mitochondrial tissue regrowth techniques to instantly heal a moderate amount of your health. This is a Conspiracy game item and is placed in your game character s inventory when purchased. It equips in a Gadget slot on raids. Quantity 5.|Other-Technology|L
7895A9C4-FE224928-B29FDE8E-2108B2C0|Synapse DX Flight Computer|A minor stability increase is offset by a longer transonic period as you push through the speed of sound.|Other-Technology|L
7E8BCE04-2F0245CF-89508C58-A506E5EE|Dynamite DX Fuel Additive x650|A highly unstable and powerful fuel additive for your Sodium2 racer that supplements your fuel to increase your top speed. This is a 650 use item that will be used automatically in a race if equipped.|Other-Technology|L
7F3E9C98-97BF4931-A0A60E5E-B0343E31|Ignition Afterburners|Adds a small level of acceleration to your Sodium2 racer. Your ride may become more unstable as a result.|Other-Technology|L
8AD342FE-B9914B12-ACC8EDE0-A808C52D|Velocity Racer Green - Sodium2 Racer Paint Scheme|Show your true colors with this official Project Velocity paint scheme. Emblazoned with the preferred color-scheme of the Velocity Racing leagues this paint-job goes perfectly with the official Project Velocity Racers Outfit.|Other-Technology|L
8B91AAA0-59374515-BB3D8A2D-70EE4097|Orbis Hacking Script Pack|A rare and powerful hacking script. Hacking scripts provide different functions specific to each hacking mini-game. Code Hacking - reveals all of the symbols and solves the code. Memory Hacking - reveals all hidden symbols. Data Pulse Hacking - bypasses the system and solves the hack. Your amount of RAM determines the maximum number of each hacking script you can have in a raid mission. This is a Conspiracy game item and is placed in your game character s inventory when purchased. Quantity 1.|Other-Technology|L
8F4F9DC5-3656469F-BEEF2AB2-C6965E33|Animal Magnetism - Sodium2 Racer Paint Scheme|Not exactly camouflage, but whizzing past them in a Velocity Racer is going to get their attention anyway.|Other-Technology|L
9303E5B7-1E894BD3-903B2014-91A057E9|Deton8 DX Fuel Additive x65|An explosive fuel additive for your Sodium2 racer that focuses on providing boosted acceleration when added as well as increasing top speed. This is a 65 use item that will be used automatically in a race if equipped.|Other-Technology|L
95520461-A4CD46BC-AC2FC4AC-354D6DA6|Apollo DX Engine|A noticeable jump in top speed to pull your Sodium2 racer away from its competition on the straights. An increase in weight will slow you down through the turns.|Other-Technology|L
958EF03F-FF8E4C27-A59A40F3-175460B5|Windrush Go-Faster Stripes|This custom livery for the speedy Windrush ship has go-faster stripes and looks great too. You will be unable to purchase this livery unless you own the corresponding ship pack.|Other-Technology|L
9A286E3B-495A41A2-867B9BE7-4C3B8445|Omniplex DX Chassis|A heavy, sturdy frame for your Sodium2 racer will notably increase stability but the increased weight will create a greater loss of momentum following race impacts.|Other-Technology|L
9D9D8B68-9B45461D-AE2E81FA-AA74933D|Deton8 DX Fuel Additive x140|An explosive fuel additive for your Sodium2 racer that focuses on providing boosted acceleration when added as well as increasing top speed. This is a 140 use item that will be used automatically in a race if equipped.|Other-Technology|L
9E0C238F-43944AEF-A56DC751-DBF2B944|Star Spangled - Sodium2 Racer Paint Scheme|Represent your own country, or just one you feel a strong affinity for, with this patriotic paint scheme.|Other-Technology|L
9F6304A6-EAE74FDD-807C7336-5D557B26|Scout Go-Faster Stripes|This custom livery for your trusty scout ship has go-faster stripes and looks great too.|Other-Technology|L
9F85BECF-B9C44ECB-B433C5F7-C937147C|Nanofiber DX Chassis|A lighter frame that will increase the acceleration of your Sodium2 racer at the cost of stability. Crash impacts will also reduce momentum by a greater amount.|Other-Technology|L
AB858A59-35354127-80DDFA3F-E06F9FCC|Mission Pack Escalation|When the Novus Prime research division picks up signs of a massive bot fleet, it becomes clear that the Earths days are numbered. This bundle pack includes two missions for the Novus Prime campaign Dark Beacons and The Mysterious Hulk. The Elite versions of these missions are also included, adding a total of four missions to your game list.|Other-Technology|L
B8D6D8D0-B62847D0-B16B423B-8DC37D28|Terminus DX Air Brakes|Improved hydraulics for your Sodium2 vehicle will give you a greater braking force. Youll spend less time on the brakes round the tight bends and more time on the POWER.|Other-Technology|L
C15323D2-C7874183-ADBCF062-425D5898|Union Jackson - Sodium2 Racer Paint Scheme|Represent your own country, or just one you feel a strong affinity for, with this patriotic paint scheme.|Other-Technology|L
C2FBF0D7-A7A2485A-B581376F-5EF3C934|Molotov DX Fuel Additive x26|A balanced fuel additive for your Sodium2 racer that marginally increases both your top speed and your acceleration. This is a 26 use item that will be used automatically in a race if equipped.|Other-Technology|L
C54AFDD6-0BF141BA-90726913-FF0EAFD5|Molotov DX Fuel Additive x65|A balanced fuel additive for your Sodium2 racer that marginally increases both your top speed and your acceleration. This is a 65 use item that will be used automatically in a race if equipped.|Other-Technology|L
CA287F30-8DBF4C9D-9E3B9190-E861B7E6|Terrapin DX Rocket Booster Pair x52|A more steady boost effect but with a much longer duration that will give you a big advantage if you can maintain your speed.|Other-Technology|L
CB640789-4D404426-8BFAE4A2-BF0FF508|Ignition DX Afterburners|Adds a small level of acceleration to your Sodium2 racer. Your ride may become more unstable as a result.|Other-Technology|L
CD94111B-F1D74F7C-8E52D6EE-C5CD45C4|Forefront DX Afterburners|With great power comes great instability. Leave your opponents standing but be careful that the reduced stability doesn t slam you into a wall. That would be embarrassing.|Other-Technology|L
CF454459-EF654244-AD3854B4-79B550C0|Steadfast DX Aerofoils|Improves general handling of the Sodium2 racer and reduces drag through the sound barrier.|Other-Technology|L
D3E75DDD-66694B33-9CB58D3D-FC3EF299|Dynamite DX Fuel Additive x26|A highly unstable and powerful fuel additive for your Sodium2 racer that supplements your fuel to increase your top speed. This is a 26 use item that will be used automatically in a race if equipped.|Other-Technology|L
DCEACB45-C32E4508-A6199B85-5B39BB7C|Turbulence DX Rocket Booster Pair x130|These are high power boosters with a slightly delayed onset. Get the timing right and you can kiss your old personal best goodbye.|Other-Technology|L
E11F6C2F-EBFD4805-825BEAE8-06878114|Hinomaru Racer - Sodium2 Racer Paint Scheme|Represent your own country, or just one you feel a strong affinity for, with this patriotic paint scheme.|Other-Technology|L
EEDEE103-521A46BE-B92394D7-59724031|Turbulence DX Rocket Booster Pair x1300|These are high power boosters with a slightly delayed onset. Get the timing right and you can kiss your old personal best goodbye.|Other-Technology|L
F0B75557-D5E24F98-9AF93276-C40B2C26|Medium Pulse Alarm Suppressor|This disposable item moderately reduces the alarm state of any facility. This is a Conspiracy game item and is placed in your game character s inventory when purchased. It equips in a Gadget slot on raids. Quantity 5.|Other-Technology|L
F5254614-5C264087-931140A8-3F220C1F|Thor DX Engine|A Large and powerful engine to push your Sodium2 racer towards Mach 2. Dont forget to take account of the extra weight through the bends or a crash at that speed will leave nothing but a smear.|Other-Technology|L
