id|name|desc|category|thumbnail
0818C316-B41B4A2D-9D52C556-7E029FD1|Styx-Lethe Grinder Machine Gun - Lucky Shot|High powered, high calibre, large clip. Destructive but not too accurate.|Other-Weapon|L
0A243347-37414947-AA30358E-4FD0FE32|Khul Mercali Raiders Shield|Built for close-quarters combat style of a Mercian Fighter. Made from mighty oak and adorned with the horns of fierce creatures, this shield can withstand the onslaught of battle but is light enough for a Warrior to charge into the fray. Will unlock items within the Mercia Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|L
0AE665D6-14A94BE9-AACD514F-185BDBDF|Haze Smoke Grenade|Grenade Billows smokes for a few seconds that hinders the vision of anyone near it.|Other-Weapon|S
0E440EA9-43664BC7-8F419AE3-719630ED|Kretsky Slugger Assault Rifle - Shiny|Good to medium accuracy depending on the length of time of the burst of fire. High damage weapon. Average clip size.|Other-Weapon|L
13F797D4-7BEE402A-866904AE-03D10A27|Kretsky KS-9 Sniper Rifle - Renegade|High powered rifle, small clip, accurate and powerful but a slow rate of fire|Other-Weapon|L
146AF0C7-CBFB48BA-B8B0AA2B-D258EF75|Khul Blade|Built for the close-quarters combat style of a Mercian Fighter. Will unlock items within the Mercia Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|L
15ED0EB0-AAFB43EF-8A304CFB-E1328D0C|Kretsky Anvil Revolver - Shiny|Hand gun, revolver type, small clip, slow fire rate, has high accuracy, high recoil, high power.|Other-Weapon|L
172B95D4-CCFB4C39-A11871FB-C9B7096F|Taloc Blade|Built for the close-quarters combat style of a Mercian Fighter. Will unlock items within the Mercia Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|L
1A8CC7B8-85A1490E-A5009A74-205306B9|Taloc Bow|Used by Rangers for long range attacks. Will unlock items within the Mercia Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|L
1B953F36-FC9D46E0-869DF08E-1FE39CBE|Eztil Shield|Built for the close-quarters combat style of a Mercian Fighter. Will unlock items within the Mercia Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|L
1E7A8281-6F0A497A-962CCF73-A810A966|Inferno Incendiary Grenade|Grenade Sets the detonation area on fire for a few seconds, causing burn damage to anyone who enters the flames.|Other-Weapon|S
2003D0AC-7847491D-9E7D5260-8CDA8774|Strike Frag Grenade|Grenade High explosive shrapnel grenade, deals high damage to anyone in the blast radius.|Other-Weapon|S
231A9C15-F78140E8-8621A804-62D4FAB9|Styx-Lethe T-67 Automatic Pistol - Lucky Shot|Hand gun, fully automatic, larger clip, can fire very rapidly but has poor accuracy. Best used at close range.|Other-Weapon|L
249EEACB-136D49D8-B2946D21-3B7FB203|Khul Mercali Northland Warblade|Designed for confrontation, providing irresistible force to a Defenders might. Protects warriors of the Northlands against the many perils in the ice capped mountains and the carnivorous stone lands of the North. Will unlock items within the Mercia Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|L
