id|name|desc|category|thumbnail
0034A777-F38E4B47-96796A89-BCA61C97|Deton8 DX Fuel Additive x26|An explosive fuel additive for your Sodium2 racer that focuses on providing boosted acceleration when added as well as increasing top speed. This is a 26 use item that will be used automatically in a race if equipped.|Other-Technology|S
0070C3F1-C5BB48FD-8B971296-0307705E|Spunland Seeds|Whenever you visit Spunland you will always start with 3 seeds.|Other-Consumable|L
00AF6438-94C74746-88F8442D-9DC872B0|Charcoal Champ Ultimate Lighter Fluid|Toss on the lighter fluid to instantly cook all meat on the grill to perfect in Charcoal Champ. 60 uses in each pack.|Other-Consumable|L
00D5EB51-49014907-8A178A00-BCCB5C57|Xi Continuum - Buff Pack (250)|Give your associates a temporary boost of power and gain the upper hand in the Xi Continuum Combat Game. This pack contains 250 consumable buffs. These buffs are only for use in the Xi Continuum Combat Game. Note - This is a consumable item.|Other-Consumable|L
0132A6C7-4D514080-89F49052-02AE1FF3|Kissin Whimsy|Kissin Whimsy|Other-Aquatic|L
023F207A-BD994DEE-AA4B4D66-9E389D81|Xi Continuum - Associate Pack 10|Add more grunt, guile and guns to your crew with these 5 random associates for the Xi Continuum Combat Game. 5 associates that you do not currently own will be chosen at random. These associates are only for use in the Xi Continuum Combat Game. Note - On buying all 16 Associate Packs you are guaranteed to unlock all 80 purchasable associates.|Other-Consumable|L
0268A642-855246C9-AE5209B1-D4429D4B|Rainbow Notho|Rainbow Notho|Other-Aquatic|L
04149EF2-0D18401B-A195D847-43361F76|Bonzai Tree|Bonzai Tree|Other-Aquatic|L
04AB830A-5FD14945-8786F39D-F3D37F32|Tribal Tatsnarf|Tribal Tatsnarf|Other-Aquatic|L
04BFCBAA-59C0485B-8EAB9F8C-63C65832|Xi Continuum - Associate Pack 1|Add more grunt, guile and guns to your crew with these 5 random associates for the Xi Continuum Combat Game. 5 associates that you do not currently own will be chosen at random. These associates are only for use in the Xi Continuum Combat Game. Note - On buying all 16 Associate Packs you are guaranteed to unlock all 80 purchasable associates.|Other-Consumable|L
04EA861F-2FC24668-ACD89D85-9874E4D6|Heads Will Roll Pack|Decorations included Skull, Diving Helmet, T-Rex Skull, Divers Mask.|Other-Aquatic|L
058C29CD-DE714512-870894AF-36AB6234|Robotic Snike|Robotic Snike|Other-Aquatic|L
066E7127-21CF45FD-9010A87E-200B5E8A|GZ Tickets (240)|A strand of 240 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
0689BD6B-52DD440E-84C27863-12B59112|GZ Tickets (30)|A strand of 30 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
06B86A70-034E4C25-8DD78D26-D255DD38|Uproar Credits - 2,620|Uproar Credits allow you to purchase, rent and gift Weapons, Serums, Clothing Items and Taunts in Uproar - the fast paced, action packed third-person shooter, exclusive to PlayStation Home. This Pack contains 2221 Uproar Credits + 399 Bonus Uproar Credits Get more bonus Credits when you purchase larger packs and take full advantage of the games extensive customisation options.|Other-Consumable|L
06E23C61-887D4319-8E2E8B44-98F01804|GZ Tickets (30)|A strand of 30 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
0706DB2B-B0494BA1-ADDEC48A-6D8EE292|GZ Ticket (30 Tickets)|These 30 tickets bring you special discounts in various Granzella lounges.|Other-Consumable|S
07541DAB-28924A4E-854E3606-0158C1AF|GZ Tickets (60)|A strand of 60 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
0755CD76-FDED4547-84C25E39-7DFA6053|Turbulence DX Rocket Booster Pair x52|These are high power boosters with a slightly delayed onset. Get the timing right and you can kiss your old personal best goodbye.|Other-Technology|S
07F8BA4E-9FAB4801-9ACEAB83-D4856A49|Xi Continuum - Associate Pack 14|Add more grunt, guile and guns to your crew with these 5 random associates for the Xi Continuum Combat Game. 5 associates that you do not currently own will be chosen at random. These associates are only for use in the Xi Continuum Combat Game. Note - On buying all 16 Associate Packs you are guaranteed to unlock all 80 purchasable associates.|Other-Consumable|L
08162686-EB694695-8B80DE93-FCC2C015|GZ Tickets (60)|A strand of 60 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
0818C316-B41B4A2D-9D52C556-7E029FD1|Styx-Lethe Grinder Machine Gun - Lucky Shot|High powered, high calibre, large clip. Destructive but not too accurate.|Other-Weapon|L
087C88C2-1EAB4313-81985860-B45E28BE|GZ Ticket (60 Tickets)|These 60 tickets bring you special discounts in various Granzella lounges.|Other-Consumable|S
094C6D68-49634716-B746B65C-3BE8074D|GZ Tickets (240)|A strand of 240 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|L
