id|name|desc|category|thumbnail
0075FA0B-5970445C-90EED6AF-7BDCE126|nDreams Gestures - Insults (Female)|Time to show how you really feel in PlayStation Home with this pack of five unique gestures. This includes Taunt, Yo Trippin, Whack Attack, Shamone and Whats Up.|Portable-Animation|L
0084F0DE-0BA9411B-989C18E9-DA70C004|EMT Panic Run|Flee from whatever strikes fear in your heart with this EMT. Includes a custom walk, run and idle animations for both male and female avatars.|Portable-Animation|L
00A6A1B4-64404251-913CCE5D-4141B2C2|GST - nDreams Gestures - Rude (Female)|The perfect Gesture pack for when words just cant convey your thoughts. Includes Loser, Vomit, Devil Horns, Watching You and Weirdo.|Portable-Animation|L
01077FB1-8C74473D-A600EF46-C858A8A2|Robo-Punk Dance Pack 1 (Female)|Show off your dancing talents with da funkiest electronic moves in PlayStation Home.|Portable-Animation|S
02AEB22A-6E774776-A18D004E-99136E0B|Winter Activities Pack (for Female)|Winter Activities Pack (for Female) This pack includes the following animations Hand Warming Shivering Slide Slip Over Snow Angel Winter has arrived and now you can show just how it affects you.|Portable-Animation|L
02F23842-EDFB4AF1-9C509EE9-C3A05D4F|GST - New. Toprock Dance Pack (Female)|This dance pack includes three Toprock style dances.|Portable-Animation|L
03D539FD-06D44B7C-843DCFD7-82D6B3E5|Serenity Lake Oriental Dance Pack for Male|Serenity Lake Oriental Dance Pack (for Male) This pack includes the following dances Tranquility Peace Strength Discover culture and art form with these profound oriental dances|Portable-Animation|L
03DC3673-73434CE3-B6CAEC72-66D66A09|GST - Party Dance 1 (Male)|This dance pack includes 3 popular party style dances Warp Time, Superhero and Maca-yeah-yeah.|Portable-Animation|L
04A049B6-4A344CFD-8124FB77-27568F3A|nDreams Gestures - Pack 2 (Male)|Time to show off your true emotions in PlayStation Home with this pack of five unique gestures. Gestures include beg, cry, wipe brow, double take and sneeze.|Portable-Animation|L
0528B0D4-50F94401-82BFFF34-3D5B05EF|Believer Fever Dance Pack (Male)|Show off your best moves in PlayStation Home with this new pop icon dance pack from nDreams. Contains the Believer Fever dance moves.|Portable-Animation|L
05614CFB-280E481F-84212191-E877D58C|Showdown Death Pack|Now you can stage a showdown wherever you go. This pack will provide the losing end of a duel, but dont worry youll walk it off.|Portable-Animation|L
081CC2F1-AB0C4FE9-886715F4-50E4767F|GST - nDreams Gestures - Love 2 (Female)|Show those special to you exactly how you feel with this gesture pack. Includes Lovers Worship, I Love You and The Proposal. *This is a portable item.|Portable-Animation|L
08882BC0-CAD241A4-BFFE7623-F73588A3|Rock, Paper, Scissors, Lizard, Geek gestures|Take Rock, Paper, Scissors to the next level with this collection of 5 gestures, for less chances of a draw than the classic game. You can challenge your friends anywhere in PlayStation Home... And to spice things up, this pack also contains a random move even you dont know what gesture your avatar will make.|Portable-Animation|L
092E5ED5-90284F62-8EFDD15F-EDFF2094|GST - nDreams Gestures - Rude 2 (Female)|The perfect Gesture pack for when words just cant convey your thoughts. Includes Whatever., Face Palm, Not Listening and Stop Talking. *This is a portable item.|Portable-Animation|L
0A035ACA-E1584229-852BB8A3-1827D620|LMO - Taisho era style student movement|The best locomotion for Taisho student clothes and cloak or Taisho student kimono and hakama.When used, it changes the way you run and the way you move while waiting. Movement speed *LMO (locomotion) is a portable item.|Portable-Animation|L
0A428373-7225407E-97C8C0EF-5B0E10E4|Animal moves|This pack contains no less than 8 animal-inspired dance moves the Fox, the Raccoon, the Rabbit, the Bird, the Elephant, the Tiger, Nodding and Swaying. All moves are both for male and female avatars. There is also a randomizer to add some variety.|Portable-Animation|L
0AF750F2-FF3E4231-A90D36CF-59BEEAB1|Zombie dance|This is the sequel to the zombie choreography.|Portable-Animation|L
0C27B249-5B514833-B0EE5CD8-2C0EB72E|Castle Greywold Dance Pack 2 (Female)|Show off your medieval moves with this new dance pack from nDreams.|Portable-Animation|L
0C3E16E5-B8BE402A-84959AEB-15C05199|GST - Conversational Gestures Pack (for Female)|GST - Conversational Gestures Pack (for Female) This pack includes the following animations Yeah, I Agree The Thing Is Hello. No Way. Express yourself your way with some conversational gestures.|Portable-Animation|L
0D0BD96C-75BC4890-913177BF-F0C3734A|GST - Street Dance|Item that allows you to choose 6 types of gestures, including backflip, frontflip, headspin, scratch spin, backspin, and crouching roll. * GST (Gesture) is a portable item.|Portable-Animation|L
0EFD3FFA-866547E4-903793A3-EBB5BBAC|The Boutique Apartment Dance Pack 1 (Male)|Dance around PlayStation Home in style with this new dance pack from nDreams.|Portable-Animation|L
0F12AA73-70084908-8E8956CF-BBED3402|GST- Hero Pose Collection (for Men Offense)|Collection Of Poses To Color The Main Character. 4 Gestures GST (Gestures) Is A Portable Item.|Portable-Animation|L
0F26D663-161546C8-97E143BF-17E821E4|GST - nDreams Dance Pack - World Dances Pack 1 (Female)|Show off your heritage with the World Dances Pack. Includes Russian, Greek and Irish.|Portable-Animation|L
100629B2-4DEB4F9C-BCEEF93D-DEC98BF1|Martial Arts Pose Pack|Stand your ground with these fighting stances.|Portable-Animation|L
104A8A9A-334F4AAE-952CB862-A31FC358|Cha-cha step|Equip this choreography to execute the famous dance from the noughties. This dance can be performed by both male and female avatars.|Portable-Animation|L
10AA7EC7-0D40475E-9FF34E82-A7FBFE60|GST - Kung Fu Dance Pack (Female)|This dance pack includes three awesome Kung Fu style dances.|Portable-Animation|L
10D8D10A-E4AE4F3E-B04D6699-C287E27A|AVAN - Pop Dances Cult Icons Pack for Male|Pop Dances Cult Icons Pack for Male. This pack includes the following animations The Twister (Male) The Shooter (Male) The Deep Blue (Male) Give the gift of awesome dance moves to that friend with two left feet.|Portable-Animation|L
10EB4207-06714E09-AEB21593-B10D57BC|Scary Poses Pack (for Female)|Scary Poses Pack (for Female) This pack includes the following animations Creeper Frozen Chase Zombie Scare Stance Cursed Drag Strike a creepy pose to scare your friends.|Portable-Animation|L
10FA9712-9304418F-89A494D8-FFB96E23|GST - Sexy Dance Pack (Female)|For those who like to show their sexy side while dancing. This pack includes Workout , Belly Dance and Hips dances.|Portable-Animation|L
