id|name|desc|category|thumbnail
00D1996F-7F734C0F-A7B7F798-7CA393DE|Mythical Creature Avatars - Bundle 02|Transform your avatar into a Mythical Creature with these Mythical Creature locomotion items. Speed -Standard = 5.25 meters per second This bundle contains (1) LMO - Mythical Creature Avatars - Chimera (2) LMO - Mythical Creature Avatars - Manticore (3) LMO - Mythical Creature Avatars - Phoenix|Portable-Bundle|L
017EEA30-0D1642B0-8AB2424A-9AE3DC1A|LMO - Bladestream Corp A3000 Bundle|Bladestream Corp is proud to introduce this great value for money bundle. This bundle includes * LMO - Bladestream Corp A3000RBK * LMO - Bladestream Corp A3000BLR * LMO - Bladestream Corp A3000GG * LMO - Bladestream Corp A3000V Speed LMO (Locomotion) is a Portable item. Upon purchase, all items will be added to their corresponding categories.|Portable-Bundle|L
022DD7EA-877548FC-84336AF8-8F0AA3D4|Animal Avatars - Baby Animals - Bundle|Transform your avatar into a cute baby animal with these Baby Animal Avatar locomotions. These locomotion objects will boost your speed. Speed Standard = 5.25meters per second This bundle contains (1) Animal Avatars - Baby Animals - Red Deer Fawn (2) Animal Avatars - Baby Animals - Rhino Calf (3) Animal Avatars - Baby Animals - Baby Chimpanzee (4) Animal Avatars - Baby Animals - Seal Pup These items are portable items.|Portable-Bundle|L
03A7713C-32C74119-B2C4C38F-94550FE5|Codeglue Companion Special Bundle 2|Its the Codeglue Companion Special Bundle 2. This bundle includes the Spotted Jack, Brown Jack and Dog House. **IMPORTANT NOTICE** This Codeglue Companion Special Bundle 2may contain the items you have already purchased. Only the item which is not yet purchased is added to your inventory and same purchased item will not appear in the inventory twice. Purchased Special Bundles are not refundable, transferable or exchangeable, and cannot be redeemed for cash or credit.|Portable-Bundle|S
03D57442-56E34EB7-9FB5F2A5-C898CFAB|LMO - Sports SuperStars Bundle|This great value for money bundle contains all of the Sports SuperStars Locomotion items including two bonus Hockey Stick colour variations. This bundle includes * LMO - Sports SuperStars American Football Pro * LMO - Sports SuperStars Basketball Pro * LMO - Sports SuperStars Ice Hockey Pro (Red and Blue) * LMO - Sports SuperStars Ice Hockey Pro (Green Flame) * LMO - Sports SuperStars Ice Hockey Pro (Neon) * LMO - Sports SuperStars Ice Hockey Pro (White Flame) Speed LMO (Locomotion) is a Portable item. Upon purchase, all items will be added to their corresponding categories.|Portable-Bundle|L
068E76B1-1DC641E8-ACE3D6CE-31F03EEB|Apartment Pets Lil Ninja Bundle|See your apartment come to life with these fantastic free-roaming pets. For best results, try combining them with the other apartment pets now available from nDreams. This bundle includes * Apartment Pets Lil Ninjas (Appliance) * Ninjutsu Warrior - Lil Ninja (Companion) Upon purchase, all items will be added to their corresponding categories.|Portable-Bundle|L
08A8BA38-7DC74021-9FD9A06D-8126E389|Adult Tiger Companions Bundle|White tigers, orange tigers, and even black tigers, this bundle has them all.|Portable-Bundle|L
0BFF6A65-C0E745AF-8A79F08E-3FA8E8B8|Lockwood Rare Species Pack|Lockwood Rare Species Pack This pack includes the following Maliki the Lion Xiong Mao the Baby Panda Pirta the Penguin All these animals are rare in the real world, but in PlayStation Home they can roam free, plentiful and safe. For every purchase made on or before 5th September 2012 (23.59 GMT) Lockwood Publishing will donate 25% of the retail price to REACT Red Endangered Animal Connection Trust, Charity Number 1136449. For more information, please visit www.LockwoodPublishing.com|Portable-Bundle|L
0C6641D7-379B482A-99D37E96-23628731|Animal Avatar - Cubs - Bundle|Transform your avatar into one of these adorable cubs. These locomotion objects will boost your speed. Speed Standard = 5.25meters per second This bundle contains (1) Animal Avatar - Cubs - Leopard (2) Animal Avatar - Cubs - Lion (3) Animal Avatar - Cubs - Brown Bear (4) Animal Avatar - Cubs - Polar Bear These items are portable items.|Portable-Bundle|L
0E2E0D0D-3931480A-9B289129-8E8097CE|Kittens - Bundle|These kittens are a little balls of furry feline fun. This bundle contains (1) Kittens - Black (2) Kittens - Black and White (3) Kittens - White (4) Kittens - Calico (5) Kittens - Ginger (6) Kittens - Tabby These items are portable items. Upon purchase, the items will be placed into their respective categories.|Portable-Bundle|L
