id|name|desc|category|thumbnail
00000000-00000000-00000000-0000000B|Bubble Machine|A fun bubbly toy.|Portable-Companion|L
00000000-00000000-000000F0-00000004|Camera|This camera allows you to save those precious PlayStation Home moments to your HDD.|Portable-Companion|L
00000000-00000000-000000F3-00000001|Dice|A huge dice for all to see. Play your own game with this massive dice.|Portable-Companion|L
00165FE8-48794596-BB092E26-25B2ED1C|Sheep Companion|Show off your farming prowess with this fuzzy sheep companion.|Portable-Companion|L
00E718B9-291F4FBF-B80D8DE7-3B7481DF|Pig Bomb (Gold)|Congratulations on your victory in YECK Tower Defense. The next stage is unlocked. You will receive a Pig Bomb (Gold). *This item is a portable item.|Portable-Companion|L
014495ED-60A34AD6-B022246D-6F528F29|Warframe Shade (companion)|With Revenge and Ghost as default precepts, Shade is well suited for stealth gameplay. Includes a Burst Laser Pistol.|Portable-Companion|L
01C7EDF8-349F45D1-B6B97CF0-90D2E6A0|Vane the Cockatrice|Whatever you do, dont call him chicken.|Portable-Companion|L
02555752-9FF742B9-A16420B5-1314585D|AAA - Devilrobots - Humphrey|Companion Item designed by DevilRobots.|Portable-Companion|L
02EC942D-5FB74B9F-BDEE55DB-10ED830B|Trudging Prinny (Yellow)|Ill Stay With You, Dood. The Prinny Will Walk, Run, And Stay With You Wherever You Go. Ah, How Lovely They Look. Enjoy The Game Even More Together With The Prinny..|Portable-Companion|L
0313F183-E4A84D35-8287C15A-6B743BBF|Zombie Purple (Thunder)|Category demonic species. Attributes lightning. A member of the Corruption Squadron Zombie Rangers. The biggest challenge in the team is what to put them in charge of. He is considering changing jobs because the hourly wage of the Sombi Rangers is 800 yen.|Portable-Companion|L
03E0E726-F12B413D-8A226374-10BD4BA2|Snowman Companion|This collection of snow, clothing and assortment of vegetables makes a fantastic companion. This item is a portable item. Exclusive to the VEEMEE 3D Printer.|Portable-Companion|L
03F0F7ED-AB354490-B900AC9F-857EBAD9|Sir Francis Bacon|By popular demand Lockwood presents the Bacon Companion. Bacon thats given is always better than bacon you buy yourself. Lockwood - bringing Home the Bacon.|Portable-Companion|L
0418F81E-D8694FFA-B9CAC2E2-C8296741|Lootosaurus Purple|We asked ourselves, What s the coolest thing ever? Answer Dinosaurs... So, the LOOT wranglers have brought you our fiercest, deadliest and oh-so-cutest companion The Lootosaurus. But beware, while all six styles are adorable, they re clever girls. Raaaawr...|Portable-Companion|L
04581622-AD324B6F-B6467CED-0EECB573|Grand Duke Of Dantalian|Category Spirit Species Attributes Wood A Grand Duke With A Number Of Demons. He Possesses Strength And Knowledge And Desires To Be Strong.|Portable-Companion|L
049CE621-61424A9D-9F6D97EE-D3223E54|Kittens - Ginger|These kittens are a little balls of furry feline fun. This item is a portable item.|Portable-Companion|L
04BE403F-7CD741B7-A750052B-742C91AA|Large Fire Rat Male|A Mouse That Lives In A Tree That Never Burns Out. They Are Always Running Around.|Portable-Companion|L
0527C7AF-322E40E9-BA08881D-9F513B1D|Beautiful Shadow Companion (The Honey)|This large companion is your new shadow, showing others what you really look like. *This is a portable item.|Portable-Companion|L
054F4350-4E4D445A-A8A827C2-F6153BCA|Charlotte Nemesis|Category Aquatic Species Attribute Fire She Has A High-flying Personality And A Princess-like Disposition That Annoys Those Around Her. In Fact, She Would Like To Have A Maidens Heart, But Her Original Personality Gets In The Way And It Hasnt Worked Out.|Portable-Companion|L
05CD31EB-23604DDD-A6F67CBA-5EAD9162|D.O.G. BLU|See D.O.G. run. See D.O.G. sit. See D.O.G. be your favorite companion because that s what he s programmed to be. Good D.O.G.|Portable-Companion|L
05E1B9D4-75314CBD-A113ED0F-B9C4ABBD|Domestic Cat - White|The perfect feline companion for your travels. The Domestic Cat is one of the most popular pets in the world. The history of this classic feline dates back to ancient Egypt and beyond.|Portable-Companion|L
06FBD1EC-5EBA4501-8F6E1DD5-D9720808|Poppy Plates|Jurassic Pets are the cutest and most colorful companions for your avatar. And you dont have to be afraid of them, because their teeth are so small they cant hurt you at all.|Portable-Companion|L
07395E8E-DF404D5F-B33B5A06-37A6A35B|Molly the English Setter|An excellent country dog with a great nose for sniffing out the most silent prey. Molly the English Setter is a friend for life making for best companion for any time or place|Portable-Companion|L
0749F6E2-45734532-972566DE-C05F1C32|Cookie|One Of The Cats That Enjoy Their Free Time In The Kingdom. He Is Friendly And Laid Back With A Calm Personality. He Will Surely Like You Too. *This Item Is A Portable Item. When Used, It Will Walk With Your Avatar As A Pet.|Portable-Companion|L
075ABD8D-7E2E40F9-B4D7E798-692AED44|Koala Companion|This Koala has decided to follow you instead of spending all day eating and sleeping. He must really like you.|Portable-Companion|L
07AA8ED3-1ADD4FE1-9C41AC2F-E8944C37|Barn Owl|The barn owl is common in Europe and has an acute sense of hearing.  PMExtraCommerce |Portable-Companion|L
07F30684-DDB4429E-AB4FBEFF-D39580FA|Blob Monster Companion|This toxic blob monster oozes noxious slime consuming all in its path.|Portable-Companion|L
07FA4D08-E81547C6-93BA1414-EEA9DD7F|AZMD Fire Mutant Zombie.|Hotter headed than Hades this ragging inferno. Extinguish this bad boy cause hes ready to burn....oh.|Portable-Companion|L
080F2563-25084518-90DE7736-86B4857B|Count Druid|Category Spirit Species Attributes Tree Intelligent General Of Demons Who Wins Battles With His Wits. However, He Is Annoyed By The Demons Who Act Arbitrarily.|Portable-Companion|L
08158215-CC514A13-9F49C7B6-FD6FE688|Seal Point Siamese Girl Kitten|Siamese cats are known for their grace and beauty. This little un isnt quite there yet, but a playful youngsters much more fun than a stuck up adult anyway.|Portable-Companion|L
