id|name|desc|category|thumbnail
0B2424D6-586E4233-8CE7F7CB-A2979B0E|GAP - Bollywood Dance Pack One|GAP - Bollywood Dance Pack One This pack includes the following animations The Lotus Jubilation Take to the dancefloor and shake your booty like a true Bollywood star. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
108C204C-9C6848A8-B9553697-5541D0CF|GAP - Thousand Arm Dances|GAP - Thousand Arm Dances This pack includes the following animations Rise Up Sway Have fun with some epic authentic Eastern dance moves. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
139B98AE-2D4B43D1-B8F7EC78-703EA7B0|GAP - Drop Science Breakdancing Pack|GAP - Drop Science Breakdancing Pack This pack includes the following animations Flare Top Rock Your crew shows your best moves, and a break battle ensues. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
18A143D8-B1E74764-AFA2C4A6-BD7C818F|Group Interactions - Bollywood Dance 02|Group up with your friends and amaze others with your synchronized Bollywood Dance animation. This group animation pack is for you and 7 other users.|Portable-Interaction-Group|L
1B5EA4D6-9AC5445C-B2472204-64875DD4|Line Dancing group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
242C4D38-98A24AAD-8B72E6F0-B6907EDD|GAP - Cheerleading Moves Pack One|GAP - Cheerleading Moves Pack One This pack includes the following animations Legendary Spirit So Fierce Bring Your Game Get your cheer on with these totally awesome group cheerleading moves. Go Lockwood. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
26E33355-8EA7409B-9CE323C9-CF616913|The Train nDreams Group Dance Pack|Do you love dancing with friends? Then this Group Dance Pack is for you. Dance The Train and have people join in when you equip this new, fully motion-captured animation pack.|Portable-Interaction-Group|L
2E6474E5-058C4BCA-B5105FBE-C68B6241|Cossak jump-style group animation|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
33580C64-EE164680-96F672F5-E1FECB02|Dance Warp GAP Part 3|Why dance alone when seven others can join you? The Dance Warp GAP 3 features knees knocking, hip thrust and hip rotation in a fun, synchronized dance routine that is sure to have the entire room on their feet. Both men and women can lock on the Dance Warp GAP disco ball and join the fun.|Portable-Interaction-Group|S
3E8AADEF-C17C4E13-9182A2B3-4E5B2364|Bollywood group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
401242F7-24184D09-B5F8CCFC-7A0CEF05|GAP - Bollywood Dance Pack Five|GAP - Bollywood Dance Pack Five This pack includes the following animations Bhangra Star The Eye Take to the dancefloor and shake your booty like a true Bollywood star. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
412A38F4-F1F54444-B9B08E8D-790E56CC|GAP - Dance Crazes Pack One|GAP - Dance Crazes Pack One This pack includes the following animations Hand Jive Twist Bust out some party friendly dance moves with this fun and familiar dance pack. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
4F1C7034-9F4448F5-B77A8740-44F8EF61|Disco Inferno group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join, by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
5F36CA6D-A17A4592-B51C9C64-C52D2F84|GAP - Gothic Dance Pack Two|GAP - Gothic Dance Pack Two This pack includes the following animations Apocalyptic Bees Falling Angels Haunting Willow Break out some perculiar, macabre dances to show people just how goth you are and invite them to join in. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
6BA830D4-C3614349-B3C4B745-9A74960D|Group Interactions - Bollywood Dance 01|Group up with your friends and amaze others with your synchronized Bollywood Dance animation. This group animation pack is for you and 7 other users.|Portable-Interaction-Group|L
7BD2D68E-F1FB4EE9-BDF68C0F-508E7C10|GAP - Burlesque Dance Pack|GAP - Burlesque Dance Pack This pack includes the following animations Shimmy Flourish Tap into your inner entertainer with these fun and fierce dance moves. Do the Burlesque. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
808605B6-FC1D4CA8-894AFE1C-4948327B|GAP Demon Dance Pack|GAP - Demon Dance Pack This pack includes the following animations Zombies Sway Possessed Poser Youve all been possessed by the demons of dance. Throw some, quite frankly, terrifying shapes on the dancefloor. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
8329D40C-59124B73-B217E950-FCCC13FC|GAP - Cheerleading Moves Pack Two|GAP - Cheerleading Moves Pack Two This pack includes the following animations Cheertastic Twist Winning Wave Get your cheer on with these totally awesome group cheerleading moves. Go Lockwood. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
87AB2F54-F13846E1-AB968470-650739D7|Cha-Cha Step group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
87D291DE-8BE24739-94BB3ED3-B7DE5492|Dance Warp GAP Part 1|Why dance alone when seven others can join you? The Dance Warp GAP 1 features the hands in the air move. Both men and women can lock on the Dance Warp GAP disco ball and join the fun.|Portable-Interaction-Group|S
8CC00F1F-911A4AEC-B153127D-F3FF6C24|GAP - Party Dance Pack One|GAP - Party Dance Pack One This pack includes the following animations Shimmy n Shake Chest Poppin Join your friends for a marathon dance session. Choose one of two dances to perform in unison or mix it up and go wild. GAP is a Portable Item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
9095914E-E9D84A3D-98C1807A-0C4C93E6|Modern Country group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
920BFA22-E50F42A8-AB171171-BF22CDEA|Chicken Dance group animation|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
97B4409F-A2344BF0-856D649F-71FA3200|GAP - Techtonik Dance Pack One|GAP - Techtonik Dance Pack One This pack includes the following animations Achilles Heel Au Revoir. Bust out the latest street moves to impress your crew. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
9923257B-6F3A4BDD-87638F52-67332C7B|The Can-Can nDreams Group Dance Pack|Do you love dancing with friends? Then this Group Dance Pack is for you. Dance The Can-Can and have people join in when you equip this new, fully motion-captured animation pack.|Portable-Interaction-Group|L
9F8C7008-4A9A4AAB-B46AA917-2B328A31|Dance Warp GAP Part 2|Why dance alone when seven others can join you? The Dance Warp GAP 2 features the hop move. Both men and women can lock on the Dance Warp GAP disco ball and join the fun.|Portable-Interaction-Group|S
A6999F0A-A3474164-86634B65-9D873EF4|GAP - Bollywood Dance Pack Two|GAP - Bollywood Dance Pack Two This pack includes the following animations Indira The Saran Shake Take to the dancefloor and shake your booty like a true Bollywood star. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
AEC45082-0E9A41D7-9D897236-2439DDB3|Zombie group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
B275F338-EAD3424C-BDAED865-2D040A0D|GAP - Dance Crazes Pack Two|GAP - Dance Crazes Pack Two This pack includes the following animations Time Hop Row Boat Bust out some party friendly dance moves with this fun and familiar dance pack. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
B307545A-82D848D3-BF7DBEA4-856AE990|GAP - Gothic Dance Pack One|GAP - Gothic Dance Pack One This pack includes the following animations Spider Webs Gothic Step Break out some perculiar, macabre dances to show people just how goth you are and invite them to join in. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
B75A5393-3D454E4C-8FB8C5FF-300E09EC|GAP - Party Dance Pack Two|GAP - Party Dance Pack Two This pack includes the following animations Whiplash Shoulder Roll Join your friends for a marathon dance session. Choose one of two dances to perform in unison or mix it up and go wild. GAP is a Portable Item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
BA9B7E6A-284A4A63-90F7D26B-D18F90D2|GAP - Delirious Squid Cybergoth Industrial Dance Pack Two|GAP - Delirious Squid Cybergoth Industrial Dance Pack Two This pack includes the following animations Rave Ripple Cyber Dip Join your friends for a marathon dance session. Choose one of two dances to perform in unison or mix it up and go wild. GAP is a Portable Item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
C02330A4-C6CF4CAA-8A12A6A3-CBEF76B0|GAP - Human Wave|GAP - Human Wave This pack includes the following animations Mexican Wave The Cancan Arm Wave Join your friends and perform three fun wave routines in perfect synchronicity. GAP is a Portable Item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
C764B7B5-9A434B7C-A54CB39E-B5C04B13|Latin Routine group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
DBA4CB9C-F3B747D4-B5B4588B-FDCB3AD5|K-pop group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
E17E2C35-A5FE43F4-8BA7B191-958D3692|GAP - Delirious Squid Cybergoth Industrial Dance Pack One|GAP - Delirious Squid Cybergoth Industrial Dance Pack One This pack includes the following animations Melbourne Shuffle Dynamo Join your friends for a marathon dance session. Choose one of two dances to perform in unison or mix it up and go wild. GAP is a Portable Item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
F17A3D56-0EDB44BC-9A68DD59-DB12839E|GAP - Techtonik Dance Pack Two|GAP - Techtonik Dance Pack Two This pack includes the following animations Cest Chaud Danse Macabre Bust out the latest street moves to impress your crew. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
F3150F7D-B52A492E-9DB83448-820C84C2|GAP - Bollywood Dance Pack Three|GAP - Bollywood Dance Pack Three This pack includes the following animations Usha Jhoti Hai Take to the dancefloor and shake your booty like a true Bollywood star. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
F4EDE378-D6144A9C-852059FA-281F1321|Mexican Wave group animation|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|L
FCA0D883-FF87456F-AD73FED5-BCDB8343|The Mexican Wave nDreams Group Dance Pack|Do you love dancing with friends? Then this Group Dance Pack is for you. Dance The Mexican Wave and have people join in when you equip this new, fully motion-captured animation pack.|Portable-Interaction-Group|L
FCD30CE4-7F7243AE-B5BD9673-451CF370|GAP - Bollywood Dance Pack Four|GAP - Bollywood Dance Pack Four This pack includes the following animations Aaja To Aaja Chamma Chamma Take to the dancefloor and shake your booty like a true Bollywood star. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|L
