id|name|desc|category|thumbnail
11D2A9B6-B30F4E2A-81374866-62EA722F|Anime Photobooth Interaction Pack One|Anime Photobooth Interaction Pack One This pack includes the following animations Peace Out. Loved Up Kawaii poses for you and a friend to strike, snap, and enjoy forever.|Portable-Interaction|L
137D6FB9-893A4897-BEC84325-6263BEBE|nDreams 2-Player Interactions Dancing Pack 4|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. Dance The Waltz with this intimate new dance pack.|Portable-Interaction|L
167101AD-6C2248AF-B3403FE5-759C2BFB|nDreams 2-Player Interactions Romantic Lift Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to lift or be lifted with this intimate new gesture pack.|Portable-Interaction|L
20C0A0CD-432146CA-AAB3B8BA-8EC12B18|Friends poses|A collection of 8 static avatar-to-avatar physical interactions. Strike a pose with a friend arm around partners shoulder, arm around partners waist, side hug, carry partner on shoulders, piggyback, sit back to back, cover partners eyes, and whisper in partners ear. Equip the item to invite other users to interact with you, and press square to choose the type of interaction other users will need to press the X button to interact with you.|Portable-Interaction|L
21BBF490-67274D85-88429775-37E5B04D|nDreams 2-Player Interactions Slapstick Pack 1|Get closer than ever to people in PlayStation Home with these new interactive 2-player slapstick moves from nDreams. Choose to throw or kick a willing avatar with this intimate new slapstick pack.|Portable-Interaction|L
23F1BD56-77BF40AE-A6CAE02D-8459928D|nDreams 2-Player Interactions Gesture Pack 2|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to give a high five or a fist bump with this intimate new gesture pack.|Portable-Interaction|L
265D2621-8AC64ECD-831E446B-ED9A4046|nDreams 2-Player Interactions Hip Bump Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to hip bump from two different positions with this intimate new gesture pack.|Portable-Interaction|L
3466EE0F-DBD14BCF-A77BEB54-44905E9F|nDreams 2-Player Interactions Holding Hands Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to hold hands from two different positions with this intimate new gesture pack.|Portable-Interaction|L
3AD6BA11-4B2E4E6C-971F0749-73579B2D|nDreams 2-Player Interactions Leap Frog Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to Jump or be be jumped with this intimate new gesture pack.|Portable-Interaction|L
3DF69F05-B51F4F87-AEB71ECF-EC094220|Spun Fun 01 (Avatar Interaction Pack)|Flatulent fun for finger pulling friends. Pull an avatar s finger to make them break wind. Or get them to pull your finger... Silent but deadly.|Portable-Interaction|L
434908FD-EB46481D-822AD797-C843C74E|nDreams 2-Player Interactions Dancing Pack 7 (Follow)|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. Dance The Handshake with this intimate new dance pack.|Portable-Interaction|L
4F716933-B5EC4F05-A78A0A02-AD27425A|nDreams 2-Player Interactions Gesture Pack 5|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to hold hands or shake hands with this intimate new gesture pack.|Portable-Interaction|L
583024E6-8A094A8E-A72109F5-66E2EE52|Spuncrobatics 01 (Avatar Interaction Pack)|Get a leg up and go flipping crazy with the spuncrobatic back flip.|Portable-Interaction|L
601C6BA1-B31D43A6-A6A5A1B8-53BFAEF6|nDreams 2-Player Interactions Romantic Pose Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to romance or be romanced with this intimate new gesture pack.|Portable-Interaction|L
61B50363-DE42408D-8DBF13AB-7DEF2E96|nDreams 2-Player Interactions Medieval Dance (Lead)|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. Dance Medieval with this intimate new dance pack.|Portable-Interaction|L
6F7DC6C3-1C264B65-A848456C-6A86239B|Group Interactions - Slaptick Fighting|Play fight with a friend using this slaptick fighting animation pack. This group animation pack is for you and 1 other user.|Portable-Interaction|L
70617B5E-B3BD4B2F-8E9AE64F-0A36FDB9|nDreams 2-Player Interactions Firemans Lift Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to lift or be lifted with this intimate new gesture pack.|Portable-Interaction|L
725ED7E2-777B44BB-84DB5F69-95E9EB9F|nDreams 2-Player Interactions Dancing Pack 6 (Follow)|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. Dance The Tango with this intimate new dance pack.|Portable-Interaction|L
779B7759-EFFF4A95-B47A2FB4-40D8A13B|Partner Packs Best Friends|Interact with another avatar with 6 exclusive animations. Includes Hold Hands, Piggyback, Side Hug, Give Kiss, Receive Kiss, and Embrace.|Portable-Interaction|L
8150751D-D34840AD-A2096093-5D1EE978|nDreams 2-Player Interactions Gesture Pack 1|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to give a friendly hug or a lovers hug with this intimate new gesture pack.|Portable-Interaction|L
87414AD8-2D7B4EC2-AAE07793-48D8056C|Iron Fusion Mind Powers Interaction Pack Two|Iron Fusion Mind Powers Interaction Pack Two This pack includes the following animations Mind Control Force Drag Iron Fusions latest neurological advances can make any man or woman into a force to be reckoned with |Portable-Interaction|L
8AB5177A-4CF640F4-BAAB5CD0-9540A6FB|nDreams 2-Player Interactions Pat-a-Cake Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to pat-a-cake from two different positions with this intimate new gesture pack.|Portable-Interaction|L
8BF3139D-F04145B9-B50ACC7E-10533A05|Romantic Gestures Interaction Pack|Romantic Gestures Interaction Pack This pack includes the following animations Marriage Proposal Relax Together Propose to your true love and relax together after all the excitement. Interaction Pack is a Portable Item. This is a two player interaction pack.|Portable-Interaction|L
8C036616-7A664307-ABBE27C0-99F761AE|nDreams 2-Player Interactions 1 Potato, 2 Potato Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to 1 potato, 2 potato from two different positions with this intimate new gesture pack.|Portable-Interaction|L
902E6BEB-7B194183-8497300B-CD5D1D82|Spuncrobatics 02 (Avatar Interaction Pack)|Get a leg up and stand Head on Shoulders above the rest.|Portable-Interaction|L
99B1A130-9F4B4209-A6E688EE-706980A7|nDreams 2-Player Interactions Medieval Dance (Follow)|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. Dance Medieval with this intimate new dance pack.|Portable-Interaction|L
A11A8671-6A794213-83A43EB5-4CA0EB1E|Romantic poses|A collection of 8 static avatar-to-avatar physical interactions. Strike a pose with your sweetheart down on one knee, holding your partner by the waist, lifting up your partner by the hips, resting your head on your partners shoulder, carrying your partner in your arms, cuddled up, arm-in-arm and holding hands. Equip the item to invite other users to interact with you, and press square to choose the type of interaction other users will need to press the X button to interact with you.|Portable-Interaction|L
A35392C3-DAC44B89-98BEAFF1-B0506B0E|nDreams 2-Player Interactions Dancing Pack 6 (Lead)|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. Dance The Tango with this intimate new dance pack.|Portable-Interaction|L
A4290F78-B6CC4FDF-B81D83C0-0FB67FE1|nDreams 2-Player Interactions Dancing Pack 3|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. Dance Latin with this intimate new dance pack.|Portable-Interaction|L
AF61AE5D-F1084322-93666FAE-C92DD336|nDreams 2-Player Interactions Dancing Pack 5 (Lead)|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. Dance Dirty with this intimate new dance pack.|Portable-Interaction|L
AF87B218-29454006-82A22B17-E408CDCA|Iron Fusion Mind Powers Interaction Pack One|Iron Fusion Mind Powers Interaction Pack One This pack includes the following animations Mind Gun Throat Lift Iron Fusions latest neurological advances can make any man or woman into a force to be reckoned with |Portable-Interaction|L
B0DD61F9-04FC473C-860C6D5E-8C227350|Dance with a partner|An avatar-to-avatar physical interaction invite other users to a romantic dance. Equip the item to invite other users to interact with you they will need to press X to interact.|Portable-Interaction|L
B171A159-A00242E1-9F2C0634-2025AAD2|Partner Packs Massages|Give and receive friendly massages with this exclusive two-person interaction pack. Comes with 6 special animations, including back, foot, and deluxe massages. You can find this gift at the Giftinator 9000 from Hellfire Games.|Portable-Interaction|L
B7ADAE9E-D02C435A-91425501-AAFA6C03|Chill-out poses|A collection of 6 romantic static avatar-to-avatar physical interactions, to chill out with your loved one sit with your partners head on your lap, sit with your partner in your arms, lie side by side, lie with your partners head on your stomach, lie with your head on partners shoulder, sit side by side. Equip the item to invite other users to interact with you, and press square to choose the type of interaction other users will need to press the X button to interact with you.|Portable-Interaction|L
