id|name|desc|category|thumbnail
005E5FB2-4A4447FB-B95E862E-C478E583|Classic Scooter - Cream|Become a style icon with this fashionable Classic Scooter. Hold the square button to gain a speed boost. Speed Standard = 4meters per second Square Boost = 5.25meters per second|Portable-Locomotion|L
0072B2BF-89974A9F-8FAA019D-4CF69A27|Auras - Energywave Locomotion Item|An aura emanates from your core. Unleash the power within. Combines with all clothing items.|Portable-Locomotion|L
0082BA41-21354140-A674D4A9-8B129D11|LMO - Xi Hover Bike The Scarab|The Scarab is a sleek, futuristic hover bike. Rocket around on the latest technology and hold the square button to receive a speed boost. Speed LMO (Locomotion) is a portable item.|Portable-Locomotion|L
0084E6AB-0D644652-893F607F-B8536428|Shadow Mysterious UFO|Blast off into the past and boost your speed to 150% with Retro Flyers. Your speed boost will automatically engage when moving at full running speed. Retro Flyers can be accessed from your personal inventory.|Portable-Locomotion|L
00876BDB-66BE424D-9E0AFB28-B143BF18|Dr Pepper TEN Vending Machine Costume|Representing the very latest in stealth technology, this vending machine disguise allows the wearer to blend seamlessly into the background whenever danger presents itself. Pressing SQUARE increases the avatars speed.|Portable-Locomotion|L
00A4BA4E-77A84F4E-878B24D0-6C3F88DE|Element - Evan Moonshine Cigar Box Deck - Kickflip|An authentic Element skateboard. Hold the square button to perform a trick and gain a speed boost. Speed Standard = 4meters per second Square Boost = 5.25meters per second This item is a portable item.|Portable-Locomotion|L
00BBC23E-C1234A5D-A4565DE2-3FCF8774|Mythical Creature Avatars - Golden Phoenix|Transform your avatar into a Golden Phoenix with this mythical creature locomotion item. This item is part of the Limited Edition 3D Printer Anniversary Collection. Speed -Standard = 5.25 meters per second This item is a portable item.|Portable-Locomotion|L
010049B6-EB7E41B8-A4BC8B3E-6B43200D|Juggernaut Hoverdisc - Cloudrunner|This inventory item boosts your avatars speed by 50%. BONUS Unlocks the Hoverdisc gadget for use in MiniBots multiplayer.|Portable-Locomotion|L
0105D304-F74B4A29-A16BE43C-FA73A55E|LMO - Bat Swarm|Transform yourself into a terrifying swarm of blood sucking bats and prowl the streets for tasty victims. LMO (Locomotion) is a Portable Item. By equipping this item, your movement speed will be increased.|Portable-Locomotion|L
010F0CC5-17D94A64-85210AE3-6A2E38CE|Locomotion - Snacks and Picnic Sheet (Camellia)|A sheet spread out on the ground that is indispensable for outings. When using it, your avatar will sit atop the sheet when you stop moving. Open the menu with the R1 button to choose from 4 different sitting styles. Locomotion Speed *Locomotion is a portable item.|Portable-Locomotion|L
0111DB17-80FE41F9-B0D12AF3-51D4375D|Oxide Exomech|Run through PlayStation Home in style in this futuristic red giant robot. Press square to reach top speed.|Portable-Locomotion|L
014CC021-85C54D53-843A6037-698BECF9|Giant Vampire Bat Morph - White|Escaped from a local laboratory, this supersized bloodsucking beast invokes terror wherever it goes. LMO (Locomotion) is a Portable Item. Press Square for a speed boost.|Portable-Locomotion|L
01678769-6BB24357-8A270A4A-4FA8D7D8|Mythical Creature Avatars - Cherufe|Transform your avatar into a Cherufe with this Mythical Creature locomotion item. This locomotion object will boost your speed Standard = 5.25 meters per second This item is a portable item.|Portable-Locomotion|L
0170ED3E-809F4C2B-BC39627C-F907570F|LMO - nDreams Choppers - High Rise (Flame)|An nDreams Chopper is the ultimate status symbol. You will be the envy of all your friends with this custom chopper. Speed LMO (Locomotion) is a portable item.|Portable-Locomotion|L
0172F187-BAF94EA2-A13AB7E9-C2A6F917|Locomotion - Pumpkin Lantern|Pumpkin Lantern|Portable-Locomotion|L
018DCE34-D08E4C9A-A0BC8BE6-E1D6E64B|Animal Avatar - Easter Rabbit - White|Turn your avatar into an adorable rabbit, and hop around with your friends. This locomotion object will boost your speed Standard = 5.25 meters per second This item is a portable item.|Portable-Locomotion|L
01990F12-118E4C20-87F0DB5F-8C146C72|LMO - Steampunk Pogostick|Go hop, hop, hop with this Steampunk Pogostick. Speed Up LMO (Locomotion) is a Portable item.|Portable-Locomotion|L
01CEB606-E33645B2-933E962E-C2427EF0|Dragon Mount - Blue And Orange|This tamed Dragon will allow you to ride on its back and fly. Ride around on this dragon to move fast and look cool.|Portable-Locomotion|L
01F22011-9A9D473B-BBD2D867-2006D3C1|Locomotion - Stacked Food Boxes and Picnic Sheet (Camellia)|A sheet spread out on the ground that is indispensable for outings. When using it, your avatar will sit atop the sheet when you stop moving. Open the menu with the R1 button to choose from 4 different sitting styles. Locomotion Speed *Locomotion is a portable item.|Portable-Locomotion|L
01F42818-5CBB415E-8CD962DE-B3D98ACE|Animal Avatars - Scamper - Koala|Transform your avatar into this cute little Koala and scamper on your way. This locomotion object will boost your speed Standard = 5.25 meters per second This item is a portable item.|Portable-Locomotion|L
0224B630-5C9747DF-ABF195F5-A811375B|Snowboarding - Grid - Board|This snowboarding locomotion is great fun whether youre on or off piste. Exclusive to the Winter Holiday Acorn Meadows Park. Hold the square button to perform a trick and gain a speed boost. Speed Standard = 4meters per second Square Boost = 5.25meters per second This item is a portable item.|Portable-Locomotion|L
023B9195-044940EF-9FB18C9C-8FB3781B|LMO-Bouquet of Roses|A hand-held bouquet of flowers. *Locomotion is a portable item. *This item was sent from GZ Gift.|Portable-Locomotion|L
023D9ACD-096D48B8-8B1D975E-8C3B8808|Spun Moustache Portable (Comb)|Moods Happy and Angry|Portable-Locomotion|L
025197B8-07D145C6-B1B81797-930007EC|LMO - nDreams Quad Bike - Black|A powerful Quad bike. Perfect for tearing around PlayStation Home. Hold the square button to boost and perform a cool stunt. Speed LMO (Locomotion) is a portable item.|Portable-Locomotion|L
02552FB3-A0AC4058-8B899716-4B02D8D5|LMO - Mustang - Black|The wild, beautiful Mustang. To use a saddle and bridle would be to sully its spirited nature. All horse owners are granted entry to the exclusive Prairie public space. Why not head over there for a ride? LMO (Locomotion) is a Portable Item. Press Square for a speed boost.|Portable-Locomotion|L
0257A6EA-C5904F7B-A6F4F78A-963ECF5A|Spunland Rocket (LMO)|Feel the firework force by mounting the Spunland Rocket and go streaking through PlayStation Home. By equipping this Locomotion Item, your avatars run speed will be faster. LMO (Locomotion) is a Portable Item.|Portable-Locomotion|L
026CCD76-BD0B4E57-A8A94EBD-659E13D2|Golden Nebulon SpeedWings|These deluxe Nebulon-fueled SpeedWings include two modes Flight and Glide. The speed boost is engaged when the avatar is moving at its full running speed. You can find this gift at the Giftinator 9000 from Hellfire Games.|Portable-Locomotion|L
02AB3B94-A8BD4AAC-80E72663-A9EFB96B|Power Fallen Angel Wings (Animated)|Your halo might have slipped a little, but you can always knock it back into place with a gust from your impressive wings. (Locomotion Object)|Portable-Locomotion|L
02BE030B-0ADE4DC6-BD97D424-557B9147|Fairy Wings - Glitter Cloud (Animated)|Be the cheeky sprite you always wanted to be with these magical fairy wings that really flutter. (Locomotion Object)|Portable-Locomotion|L
02F9C9B6-408E4558-837DB025-5596F3B0|LMO - Bladestream Corp V1000Z|Bladestream Corp is proud to introduce the V1000. Drive around effortlessly and hold the square button to receive a speed boost. Speed LMO (Locomotion) is a Portable item.|Portable-Locomotion|L
030236EB-4EDE453F-81A4D7F2-6B663D3D|Surfboard Skeleton|Move at maximum speed with this surfboard. AQUA is the most refreshing collection from PlayStation Home.|Portable-Locomotion|L
033068CF-B2AE463A-87BA84EC-86D6A2AB|LMO - WINGS - Exotic|Adorn this Locomotion Object and sprout amazing wings that allows your avatar to fly through PlayStation Home. This item comes complete with custom animations. Speed LMO (Locomotion) is a Portable item.|Portable-Locomotion|L
0359F3E4-8FEE44E2-850C66D0-4A14725E|Animal Avatars - Dog - Labrador (Chocolate)|Transform your avatar into a Chocolate Labrador Dog with this Animal Avatars locomotion object. This locomotion object will boost your speed Standard = 5.25 meters per second This item is a portable item.|Portable-Locomotion|L
035EE655-B63948C3-8A7D45C6-216FF162|Animal Avatars - Aquatic - Dolphin|Transform your avatar into a Dolphin with this Aquatic themed Animal Avatars locomotion object. This locomotion object will boost your speed Standard = 5.25 meters per second This item is a portable item.|Portable-Locomotion|L
03BFA82B-54C6420B-9768D345-FD411239|LMO - Wings of the Demon King|Wings of a flying demon king. LMO (locomotion) is a portable item.|Portable-Locomotion|L
