id|name|desc|category|thumbnail
130C3613-9E07498F-B6CAC8E2-92C9E8B8|Fourth of July Marching Drum (Sound Pack)|Celebrate the Declaration of Independence on July 4th 1776 by marching on the spot in time to the beat of your massive magical invisible star spangled drum.|Portable-Soundpack|L
15C08DF4-FF4B4946-B39AB649-EE95E530|Fourth of July Marching Whistle (Sound Pack)|Celebrate the Declaration of Independence on July 4th 1776 by marching on the spot with a war wounded limp and a soulful tune - like twas 1776.|Portable-Soundpack|L
191C2D6D-571F41FF-904F2B48-8016D80E|Air-Mic Sound Pack|A collection of 3 air-mic animations, with voice samples which can be heard by other avatars near you. Your avatar can sing lyrically, rock and chant Yeah yeah, or croon Oooh yeah.. Press square for the contextual menu, to choose the sound sample and its associated animation.|Portable-Soundpack|L
24D8444F-37C4437B-ACD2E99B-09154F8C|nDreams Sound Packs Whistling Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you wolf whistle and get attention with this new whistling sound pack.|Portable-Soundpack|L
29092C6D-4FFD4C37-9E90577D-C80541C4|nDreams Sound Packs Kissing Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you blow a kiss and kiss the air with this new kissing sound pack.|Portable-Soundpack|L
30E5B2C9-2F1B4D5F-B1CEAD0A-A5F8AB8F|nDreams Sound Packs Clapping Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you clap and cheer with this new clapping sound pack.|Portable-Soundpack|L
39A6DC34-BAA546CD-9FA7A5D3-DC2DA7E9|Air-Drums Sound Pack|A collection of 3 air-drums animations, with drum samples which can be heard by other avatars near you. You can choose between the slow loop, the fast loop, and drumsticks-tapping. Press square for the contextual menu, to choose the sound sample and its associated animation.|Portable-Soundpack|L
4D4812D3-2F504482-B22A8843-20DBAFD2|nDreams Sound Packs Rude Pack 2|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you fart and break wind with this new rude sound pack.|Portable-Soundpack|L
504A76B2-E7DA4FB6-AAF6BA84-7FD414BF|Undead Voice Male 01 | Male Speak like the undead. 3 sounds |Portable-Soundpack|L
61812DCD-732B460D-875872DB-D343DF5D|Ghost Voice Male 01 | Male Speak like a ghost. 3 sounds |Portable-Soundpack|L
7901B9C0-11DF4FD8-81311762-01136DF2|nDreams Sound Packs Laughing Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you giggle and laugh with this new laughing sound pack.|Portable-Soundpack|L
79B5EF71-3A454F2A-9CD9E9E9-2D3172BA|Adventurer Voice Male 01 | Male Speak like an adventurer. 8 sounds |Portable-Soundpack|L
7AA2DD0E-49554568-A433E0B5-48454D47|Fartinator Sound Pack|Whats that smell? This audible version of the Fartinator 8000 is the opposite of silent but deadly, as nearby users will hear every bodily function you can muster.|Portable-Soundpack|L
7B116421-19474AAD-B282B4F3-3F743FFC|Necromancer Voice Male 01 | Male Speak like a necromancer. 8 sounds |Portable-Soundpack|L
9BFF3B55-19844A2A-B9FBD829-4D50EE86|nDreams Sound Packs Crying Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you cry and sob with this new crying sound pack.|Portable-Soundpack|L
A19092D3-28944C8E-92198426-CD6750C4|Wizard Voice Male 01 | Male Speak like a wizard. 8 sounds |Portable-Soundpack|L
A8B0FB05-66554F1F-A62728AD-A9565DF0|nDreams Sound Packs Rude Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you burp and hiccup with this new rude sound pack.|Portable-Soundpack|L
AB37FAB4-C5D042D8-9F030832-39183043|Air-Guitar Sound Pack|A collection of 4 air-guitar animations, with electric guitar samples which can be heard by other avatars near you. You can choose between the loop, the hand-up, the jump and the riff. Press square for the contextual menu, to choose the sound sample and its associated animation.|Portable-Soundpack|L
B539A83B-63EB4418-A5D82346-B4D3D17B|nDreams Sound Packs Waving Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you wave and cute wave with this new waving sound pack.|Portable-Soundpack|L
B835D19E-D0EF4E17-9BB8A2C6-3915AAFC|Beat-Boxing Sound Pack|A collection of 3 beatboxing animations, with voice samples which can be heard by other avatars near you. Press square for the contextual menu, to choose the sound sample and its associated animation.|Portable-Soundpack|L
DBB2E02D-AC0A4D44-AEDC4396-0F653523|Air-Keyboard Sound Pack|A collection of 3 Air-Keyboard animations, with keyboard samples which can be heard by other avatars near you. You can choose between the quiet loop, the hammering and the intense loop. Press square for the contextual menu, to choose the sound sample and its associated animation.|Portable-Soundpack|L
E0492FD4-7DC840E2-BC66EC9E-88496FC9|Assassin Voice Male 01 | Male Speak like an assassin. 8 sounds |Portable-Soundpack|L
E883F13E-DE6446B6-B76AA739-DBE9BB8E|Spun Fun Sound Pack 01|Lifes a gas with these smelly sounds with animations. Drop one and blame someone else, or just let rip regardless.|Portable-Soundpack|L
