id|name|desc|category|thumbnail
50s_Diner_Apt_FED2_B1BC|VEEMEEs 50s Diner|Dont be a square on those summer nights and head down to the VEEMEE 50s Diner to hand jive, grab some food and hang with friends.|Private|L
921_Acacia_Drive_6B3F_16ED|921 Acacia Drive|Live the suburban dream at 921 Acacia Drive. With a range of rooms for you to decorate to suit your tastes, along with 8 daily reward items that give you the essential furniture items, this personal space is a bonafide slice of Americana.|Private|L
AC2_Venetian_Apt_3161_9FB5|Assassin s Creed Apartment|Take time out and relax in the birthplace of culture and art, 15th Century Italy. Place your treasured possessions within a luxurious Venice apartment overlooking the famous canals.|Private|L
AM_Birthday_Apt_830A_D57F|Acorn Meadows Park Apartment - 1st Birthday.|Join us in in celebrating Acorn Meadows Parks 1st Birthday. Your own little private slice of Acorn Meadows Park, this lakeside garden apartment provides the perfect place to relax and take time away from the main Park without leaving the Acorn Meadows environment. Awarded in the 1st Birthday Acorn Meadows Park after completing all 22 Birthday Challanges.|Private|L
AbbeyHillCottage_Apt_A513_5000|Abbey Hill Cottage|In a picturesque setting beside the river, stands the timeless Abbey Hill Cottage. Dating back to the 17th century, this period house was home to the Lord Ronald Phillipson distant cousin to the inventor of the watering can. The cottage now nestles in serenity, amongst stunning scenery, enveloped by a breathtaking countryside scene.|Private|L
Aeronautilus_F37A_F04C|The Imperial Voyager|Traverse the great blue yonder in Professor Sidwell s patented steampunk skyship, the legendary Imperial Voyager.|Private|L
Ajagaras_Peak_Apt_4A94_3E08|Ajagaras Peak|Nestled atop a steep and perilous mountain Ajagaras Peak is only accessible to a select few - those known as the Dragon Scouts. A place for diligent training, scholarly pursuits and deep mediation the monastery at Ajagaras Peak was founded to train an elite band of soldiers who keep watch over the kingdom of Ajagara.|Private|L
AnsadaFone_Apt_97BA_6BD6|Ansada Fone Apartment|This truly unique apartment isnt like anything you have ever seen before in PlayStation Home. A fantastic cartoon world where you can play a frantic 4 player mini game with your friends or chill out and redecorate. Will you get there in time to Ansada Fone?|Private|L
Ansadafone_Night_Apt_A474_EDB5|Ansada Fone Apartment (Night)|This is a special version of the Ansada Fone Apartment that was won from playing the OMG Trap-O-Matic in Aurora. Dont forget to check out the other cool apartments and clubhouses from nDreams.|Private|L
ApartmentEvening|Rainy Day Apartment|When the sun is setting and its wet outside, there really is no place like home...|Private|L
Arabian_Castle_Apta_12FC_3AE3|The Jewel of the Skies|The Jewel of the Skies was once a flourishing village in the clouds, each palace and dwelling accessible only by flying carpet. Long ago this magical knowledge was lost and the towers and spires gradually fell into disrepair until only a few remained. Awaken the Genie, unleash his magic and reap the rewards. Flying Carpet Gem Collection Mini-game Interactive Genie Unlockable rewards and apartment customisations|Private|L
ArcticDreamYacht_Apt_D1C5_F674|The Dream Yacht Arctic Voyage|Treat them to the sights of breathtaking glaciers, giant ice formations and crystal blue waters with the Dream Yacht Arctic Voyage. Explore three decks, chill out on the private ice shelf and collect 20 unique rewards. Live the dream.|Private|L
Atom_Park_Apt_AD76_3C79|Atom Republic Park personal space|Whether you prefer to chill out by the fountain, or dance with your friends in the music pavilion, there is always a good reason to come and visit this peaceful art-d co public park. Contains a go-kart racing game, a rythm-action game, and the Space Crash arcade cabinet. Get exclusive rewards form playing and winning.|Private|L
AudiApt_394B_F75E|Audi Apartment|The Audi apartment is your reward for reaching the skies in the Audi Vertical Run game. Inside the apartment you can watch Audi TV, or simply admire the view of the city below.|Private|L
Audi_Connect_Apt_C2D4_2F8B|Audi Technology Apartment|The Audi Technology Apartment is your reward for configuring and racing your perfect car in the Audi Technology Experience. Inside the apartment you can relax, entertain your friends, or simply admire the view of the city below.|Private|L
Audi_Sled_MP_695B_CC81|Audi S1 Sledge Multiplayer|Jump onto an Audi S1 Sledge and race down the mountainside against up to 5 other players, with a chance to win rewards.|Private|L
Aurora_100RewardApt_5594_97F6|Aurora Champion Apartment|To reward you for your hard work and dedication to Aurora, we have gifted you this Aurora Champion apartment.|Private|L
Aurora_Island_ACAA_2178|Aurora Island|Your very own slice of Aurora - It is a place to relax and contemplate. Well, when Aurora isnt under attack.|Private|L
Aurora_Trophy_Apt_F843_B9D|Aurora Showcase Apartment|The perfect apartment for showcasing your rewards and purchases.|Private|L
Avalon_Apt_C12_6EAC|Avalon Keep|The Avalon Keep is an impregnable fortress on your very own floating island. The magical crystals of Avalon allow the landmass to stay afloat and power all the new technological advances that have swept the world of Avalon. Your Keep sets you apart as one of the nobility that have taken residence in the skies around Avalon. Master all the mini-games and share the wealth with the latest in gift machine technology. Can you unlock all the secrets of your Keep?|Private|L
BasicApartment|Harbour Studio|A gorgeous studio apartment with a beautiful view of the harbour and ocean.|Private|L
Batman_Outpost_Apt_F6F1_D038|Batman Arkham Asylum Batcave Outpost|Your very own Batcave Outpost apartment TM & DC Comics. (s09)|Private|L
BeachMansion_CE77_91AA|Diamond Beach Mansion|Enter the most luxurious personal space in PlayStation Home. The Diamond Beach Mansion is packed with special features befitting the rich and famous from a gifting machine that lets you give your friends exclusive virtual items (and rewards just for the owner), to fully-functional appliances and fun interactives like the user-controlled weather and day night cycles. The Diamond Beach Mansion includes four extensions 1st Floor, 2nd Floor, Infinity Pool and Private Yacht that you can buy in any order. Collect all four areas of the Diamond Beach Mansion to unlock a secret area.|Private|L
Blueprint_Apt_AAA9_892A|Blueprint Home|Blueprint Home is an apartment that you can design, build and customise. You can tailor each aspect of your apartment including the walls, ceilings, floors, outer walls, windows, doorways, room sizes and positions, environment and skies, as well as place fantastic feature items in any rooms you like.|Private|L
Boutique_Apt_4C31_6B57|The Boutique Apartment|This FREE apartment from nDreams is the perfect place for the suave and sexy socialites of PlayStation Home. Show off your social status by purchasing the additional rooms. Unlock all of the rooms for a collection of prestigious reward items.|Private|L
Bowling_Apt_D13A_6B8E|Bowling Apartment|Youll never have to queue for a lane again with your own private bowling alley. As if that wasnt enough you also get your own Pool table with this sporty personal apartment.|Private|L
Bramble_Nook_Apt_BB4B_1E68|Bramblenook Farm|Relax and get back to nature in this charming country farm. In this space you can raise plants and animals to improve your farming skills. As you gain experience, you will be able to plant new crops and raise new animals. Chop wood and level your woodworking skills to create furnishings for yourself or to gift to a guest. Place crafted furniture items in Bramblenook Farm for no furniture cost.|Private|L
