id|name|desc|category|thumbnail
2013Apl_City1_SCEA_FF6A_46C0|Shinjuku Station Front|The west side of Shinjuku Station where the fiendish Kikai soldiers act like they own the place. Humanitys counterattack starts here. Defeat the Kikai soldiers and move ahead.|Public|L
2013Apl_City1_SCEE_B916_3F7B|The Secret Base?|A secret base you can enter from a stone statue in the Southern Island Hideaway lounge? Apparently, its mankinds last hope.|Public|L
2013Apl_City2_SCEA_BD38_46C|Shinjuku Intersection|Warriors of the self-defence troops that struggled through the attack on Shinjuku Station. The empires attack is heating up in this intersection.|Public|L
2013Apl_City2_SCEE_2F44_E476|Shinjuku Intersection|Warriors of the self-defence troops that struggled through the attack on Shinjuku Station. The empires attack is heating up in this intersection.|Public|L
2013Apl_City3_SCEA_EAE0_F63C|Shinjuku Tokyo Government Office|Once they pass through the intersection, they arrive in front of a government office. A giant flying object hovers ominously above the buildings. Its time to board the enemys flying object. Come on, lets go.|Public|L
2013Apl_City3_SCEE_8586_9627|Shinjuku Tokyo Government Office|Once they pass through the intersection, they arrive in front of a government office. A giant flying object hovers ominously above the buildings. Its time to board the enemys flying object. Come on, lets go.|Public|L
2013Apl_Ship1_SCEA_6168_6360|UFO Rear Section|They have finally boarded the Kikai Machine Empires mothership. The warriors have no choice but to move forward.|Public|L
2013Apl_Ship2_SCEA_642E_A423|UFO Front Section|Warriors of the self-defense troops that sally forth into the giant UFO. What awaits them at the end.?|Public|L
2013Apl_Ship2_SCEE_705C_6914|UFO Front Section|Warriors of the self-defense troops that sally forth into the giant UFO. What awaits them at the end.?|Public|L
2013Apl_base_SCEA_F852_6E50|The Secret Base?|A secret base you can enter from a stone statue in the Southern Island Hideaway lounge? Apparently, its mankinds last hope.|Public|L
2013Apl_base_SCEE_3A4E_22AE|The Secret Base?|A secret base you can enter from a stone statue in the Southern Island Hideaway lounge? Apparently, its mankinds last hope.|Public|L
2013_Cinema_193B_7E40|Cinema|Keep up with the latest new releases. Watch game and movie trailers on eight exclusive screens in the PlayStation Home Cinema.|Public|L
2013_Marketplace_8480_98F0|Shopping Mall - East|Looking for something new? Check out the latest items available for purchase in the Mall.|Public|L
AC2_Hideout_C9A1_3E42|Assassin s Hideout|Reveal the concealed entrance to the Assassin s Hideout and discover more about the world of Assassin s Creed.|Public|L
AC2_Lab_C277_EA79|Abstergo Lab|Use your Eagle Vision to explore the Abstergo Animus Labs and discover hidden messages. Live through the Vendetta between the Templars and Assassins in a unique twist on the Tower Defense genre.|Public|L
Abbey_Hill_Field_7D5D_6172|Abbey Hill Garden Party|You have been cordially invited to Abbey Hill s finest Garden Party. Overlooking Abbey Hill Cottage, this is the perfect place to immerse yourself in the picturesque setting beside the river and enjoy the fresh country air with friends, family and loved ones.|Public|L
Abbey_Hill_Winter_8C9E_DE4F|Abbey Hill Garden Party - Winter|Don your scarves and your muffs, because you are once again cordially invited to the Abbey Hill Garden Party. Winter has shed its first snow, so what better way to celebrate than in the lush surroundings of Abbey Hill? Come and admire the breathtaking winter view and collect your free snowman as a welcoming gift.|Public|L
Acorn_Meadows_Winter_EC70_4DE2|Acorn Meadows Park - Winter Holiday Celebration|VEEMEE invites you to join in the holiday celebrations as winter comes to Acorn Meadows Park. Enjoy ice skating on the frozen lake or a snowball fight with friends then head to Santas Grotto and meet the big man himself. Lets hope youve been good this year.|Public|L
Acorn_Park_Autumn_F848_227|Acorn Meadows Park Halloween|Guys, gals and ghouls, come and enjoy the spooky fun in the Halloween Acorn Meadows Park.|Public|L
Acorn_Park_Birthday|Acorn Meadows Park - 1st Birthday.|Join us in in celebrating Acorn Meadows Parks 1st Birthday. Bouncy castles, cake, jelly and ice cream aplenty for those wanting to celebrate with us.|Public|L
Acorn_Park_E2AE_6FC8|Acorn Meadows Park - 4th July|Whether you wish to relax in a beautiful environment, enjoy the many activities on offer, explore every nook and cranny, or you just wish to socialise with your friends, Acorn Meadows Park has something for everyone.|Public|L
Acorn_Park_Easter|Acorn Meadows Park Spring|Come celebrate Spring in the Acorn Meadows Park, chase the rabbits and hunt for golden eggs.|Public|L
Acorn_Park_Football|Acorn Meadows Park - Football Mania|Whether you wish to relax in a beautiful environment, enjoy the many activities on offer, explore every nook and cranny, or you just wish to socialise with your friends, Acorn Meadows Park has something for everyone.|Public|L
Acorn_Park_Normal|Acorn Meadows Park|Whether you wish to relax in a beautiful environment, enjoy the many activities on offer, explore every nook and cranny, or you just wish to socialise with your friends, Acorn Meadows Park has something for everyone.|Public|L
Acorn_Park_Saint_Patricks|Acorn Meadows Park - St Patricks Day|Celebrate St. Patricks Day in style in Acorn Meadows Park.|Public|L
Acorn_Park_Valentines|Acorn Meadows Park|Come meet that Special someone at the Valentines Acorn Meadows Park.|Public|L
Acorn_Thanksgiving_B0F4_374|Thanksgiving Acorn Meadows Park|Celebrate Thanksgiving with your friends and family in the Thanksgiving Acorn Meadows Park.|Public|L
Ajagaras_Peak_Public_211C_B987|Ajagaras Peak - Dragontop|After a long and wearisome journey, you find yourself at Dragontop. From here, only the fabled Dragon Scouts can make it across to the monastery where the dragons of Ajagaras Peak reside. For your efforts in making the perilous climb, it is said that a decorative item will be awarded to you atop this fearsome spire.|Public|L
Arctic_Ruins_D004_26BA|The Lost Shore|Journey to the mysterious land where Orsons bears are trapped|Public|L
Asia_CAPCOM_SF4_8A9C_F5BB|S.I.N.s Secret Base from Street Fighter IV|Watch your step. Its S.I.N.s Secret Laboratory. Don your fighting gear from Street Fighter IV and unlock your hidden power...|Public|L
Atom_Republic_Park_5825_4469|Atom Republic Park|Whether you prefer to chill out by the fountain, or dance with your friends in the music pavilion, there is always a good reason to come and visit this peaceful art-d co public park. Contains a go-kart racing game with leaderboards and rewards.|Public|L
AudiHub_231D_83AC|Audi Home Terminal|Discover the Audi Home Terminal. Learn more about Audi and selected cars or travel to the Audi Vertical Run game with the chance to win an Audi apartment.|Public|L
AudiTechDrive_Garage_7C96_4C9E|Audi Technology Experience|The Audi Technology Experience, where you will learn about the core technologies that keep Audi at the forefront of automotive design.|Public|L
AudiTechDrive_Track1_C3AB_2CCC|Audi City Track|Audi City Track|Public|L
AudiTechDrive_Track2_74_45E2|Audi Mountain Track|Audi Mountain Track|Public|L
AudiVrun_152E_D24C|Audi Vertical Run|Take control of the Audi e-tron. Race through a vertical cityscape against up to 5 other players, launching into the atmosphere for a chance to win your own Audi apartment.|Public|L
Audi_Auditorium_35B0_F3CE|Audi Concert Hall|The classical piano re-imagined by Audi Design & B sendorfer, brought to life in the Audi Concert Hall. Playing the piano is about concentration, flair, and timing. The same can be said for the Audi Design B sendorfer Piano game. Completely free to play and with 3 different tracks to master Audi Piano challenges you to hit the right notes at the right times. There are nine trophies to discover and unlock. There are six reward items to be won a trophy cabinet, 2 conductor s batons (one male, one female), 2 great formal wear outfits (one male, one female) and, for the most talented pianists of the day, the Audi B sendorfer Grand Piano.|Public|L
Audi_Sled_D1B8_AAB8|Audi Alpine Lodge|Jump onto an Audi S1 Sledge and race down the mountainside against up to 5 other players, with a chance to win rewards and maybe even catch a glimpse of the elusive yeti.|Public|L
Aurora_Non_SCEJ_568D_1E32|Aurora 1.9|Welcome to Aurora 1.9. Want to bag yourself 100,000 XP and an exlusive dance pack reward? Then check out the new mini game found near the cafe area. There have also been some disturbing sightings in Aurora lately, so make sure you come back every day to keep an eye on things as we may need your help.|Public|L
Avalon_30A5_6B4F|Village of Hexalon|Come visit the little town of Hexalon. This town might not be the largest in the realm but it is home to the finest shops and boasts having tame dragons. Those citizen who have status in the Order of the Heavy have access to a posh private room and can actually experience the village from the eyes of a dragon. Hexalon is also home of the wildly popular game of Hexx. The whole of the kingdom loves to play the tile capture game of Hexx and collect all the rarest tiles they can find. So come on and join the game sensation that is sweeping the Kingdom of Avalon.|Public|L
Avalon_Clubhouse_8828_5731|Avalon Keep Clubhouse|The Avalon Keep Clubhouse is an impregnable fortress on your very own floating island. The magical crystals of Avalon allow the landmass to stay afloat and power all the new technological advances that have swept the world of Avalon. Your Keep sets you apart as one of the nobility that have taken residence in the skies around Avalon. Master all the mini-games and share the wealth with the latest in gift machine technology. Can you unlock all the secrets of your Keep?|Public|L
Beach_Mansion_Open_6CD0_52D6|Diamond Beach Mansion Infinity Pool - Open House|Personal Space Open House- available for a limited time only. Add a private pool and a stretch of beach to your Diamond Beach Mansion complete with custom swim animations, user-controlled day night cycles, a rock waterfall, cabanas, a poolside bar, and fully-functional appliances. Gift your friends with six rewards and receive five additional rewards just for owning the space. Collect all four levels of the Diamond Beach Mansion to unlock a secret area of the mansion.|Public|L
Broomstick_Racing_5E44_D072|Forbidden Forest|The Forbidden Forest is on the edge of the Hogwarts grounds, near Hagrids hut. The forest, full of magical, mysterious and dangerous creatures, is out of bounds to any student unaccompanied by Hogwarts staff.|Public|L
Bunker_Clubhouse_A015_56D9|The War Room Clubhouse|The War Room - perfect for clan meetings, socialising and plotting world domination. You and your fellow warmongerers can have your face and commands displayed on large screens throughout this high tech facility.|Public|L
Buzz_Game_Space_FRA_3943_B2D2|Buzz. Studio|Make sure youre standing in the right spot when the timer runs out in this multiplayer MyBuzz. quiz game.|Public|L
Buzz_Game_Space_SPA_6BE1_78E2|Buzz. Studio|Make sure youre standing in the right spot when the timer runs out in this multiplayer MyBuzz. quiz game.|Public|L
Buzz_Game_Space_UK_CA5A_267E|Buzz. Studio|Make sure youre standing in the right spot when the timer runs out in this multiplayer MyBuzz. quiz game.|Public|L
Buzz_Game_Space_US_B035_5E8C|Buzz. Studio|Make sure youre standing in the right spot when the timer runs out in this multiplayer MyBuzz. quiz game.|Public|L
Buzz_Lobby_1655_6402|Buzz. HQ|Step off the red carpet into Buzz. HQs plush waiting area before heading into the Studio for a game.|Public|L
Capcom_Event_Winter_DEE9_376A|Capcom No., Outdoor Event Hall|Open and airy outdoor venue, where you can dance in a silvery white world. A great place for good conversation amongst like-minded people. Various events are also held here.|Public|L
Capcom_L_AirShip_C26E_A149|Capcom No., Bow|A balcony with a magnificent view of the sky. Rarely do you see anything unexpected?|Public|L
Capcom_L_Shop_54C0_7E0D|Capcom No. Information (2F)|Shopping store where you can buy various items. This is the place to go if youre looking for something special. You can also download trial versions in the download room.|Public|L
Capcom_L_Syugou01_C867_C3AB|Capcom No. Play Room (SSF IV)|A meeting place for those wishing to play Super Street Fighter IV. Avatars can start up a session here and play against each other right away.|Public|L
Capcom_L_Syugou02_D2A1_16BD|Capcom No.2 Playroom (MONSTER HUNTER PORTABLE 3rd)|Meeting place for those wishing to participate in MONSTER HUNTER PORTABLE 3rd game play. If you set up an ad hoc party here, you can participate in cooperative play with several people.|Public|L
Capcom_L_Theater_48F6_6046|Capcom No. Theater 1 (PS3 Theater)|A cinema where you can watch PlayStation 3 trailers.The latest footage of upcoming games can be viewed on the big screen.|Public|L
Casino_Bingo_Hall_3C7B_ECBD|The Casino Bingo Hall|Welcome to the Bingo Hall. A keen eye and solid reflexes are needed to make sure you come out on top. Get your dauber in hand and get ready to shout BINGO when your number comes up.|Public|L
CastleGreywoldClub_7BED_8DCB|Castle Greywold Clubhouse|In this new clubhouse, you can take up arms in the training yard, entertain guests in the audience chamber, or survey your surroundings from the castle ramparts.|Public|L
Castle_Strakh_CFDB_36FE|Castle Strakh Graveyard|Thunder crashes, the wind screeches and wolves howl in the distance. Castle Strakh looms above you, the moon illuminating its towers. The closest most get before fear overwhelms them is Castle Strakh Graveyard, where they will receive a reward to protect them on their journey ahead. Only those invited by the Count can enter the gates.|Public|L
Charcoal_Champ_E162_E0E8|Charcoal Champ|Grill your way to victory in this fast-paced puzzle game with 50 BBQ challenges.|Public|L
Charms_Lesson_526E_E8D9|Charms|All first-years at Hogwarts must take seven subjects Transfiguration, Charms, Potions, History of Magic, Defence Against the Dark Arts, Astronomy and Herbology.|Public|L
CinemaGB_OLD|Home Theatre|The Original EU Theater (2009) Featuring 10 Different Auditoriums|Public|L
CinemaJP|Theater|The Japanese Theater lobby with four Auditoriums opened to the public. It also features the popular miku jukebox near the entrance.|Public|L
CinemaUS|Cinema|Keep up with the latest new releases. Watch game and movie trailers on ten exclusive screens in the Home Cinema.|Public|L
CinemaUSFord|Movie Theater Lobby|The SCEA Theater Lobby prior to the complete redesign of Playstation Homes core spaces. It is the entrance to ten auditoriums and features one of the Ford quests. ( June 2011 )|Public|L
Clearasil_Public_72AC_F815|Clearasil Kart Racing|Clearasil knows that, when it comes to fighting acne, faster is better. But that is also true for racing. Head on over to the Clearasil Kart Racing track and fulfill your need for speed.|Public|L
Cliff_Top_Clubhouse_705E_BD45|The Complex 2 Clubhouse|This clubhouse, brought to you by nDreams, is based on the Complex 2 apartment. This luxurious cliff-side complex comes with all additional rooms and rewards already unlocked.|Public|L
Codename_DuelingGent_6D4E_B90A|Slap Happy Sams Stage Show|Square off in a battle of honor, wit, and comedic violence, where the last man standing is the only true winner. Take to the stage in this 2- 6 player strategic duel, from the award-winning development studio The Odd Gentlemen. Pie your friends in the face, drop a piano on them, or slap them with a giant over-sized glove and much more. Purchasing this game will give you an all access pass to Slap Happy s private tent, where you can square off against the pro s with four high resolution stages, rewards, and leaderboards. What are you waiting for? It s time to get Slapped Happy.|Public|L
Cogs_Space_FBE9_3420|Cogs Sky Platform|Cogs is a steampunk style puzzle game where players build machines from sliding tiles. Cogs will challenge players to construct a wide variety of 3D machines from sliding tiles -- from flying contraptions to rocketships, and offers multiple rewards for players, based on their skill.|Public|L
Community_Lounge_383B_3C85|Community Lounge English|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
Community_Lounge_AR_826E_85F9|Community Lounge Arabic|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
Community_Lounge_DE_20DF_C695|Community Lounge German|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
Community_Lounge_FR_395C_1950|Community Lounge French|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
Community_Lounge_GRE_76A2_1C4D|Community Lounge Greek|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
Community_Lounge_IT_FFCD_B327|Community Lounge Italian|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
Community_Lounge_NED_8160_8FBB|Community Lounge Dutch|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
Community_Lounge_POL_E26E_D8C1|Community Lounge Polish|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
Community_Lounge_POR_345_C47C|Community Lounge Portuguese|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
Community_Lounge_RUS_E521_9F2C|Community Lounge Russian|Welcome to the Community space. This is where you can relax, chat and play games in a place where everyone is speaking your chosen language.|Public|L
